期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2012M09,"18,908",5.03,0.81,-,"9,831",4.77,"9,077",5.30,"11,359",-2.58,0.49,-,"6,947",-3.25,"4,412",-1.52,"7,549",-,0.32,-,"-1,320",-,-0.06,-,"6,229",-,0.27,-,"18,228",5.08,"9,477",4.79,"8,751",5.41,263,-1.87,141,3.68,122,-7.58,417,7.20,213,4.93,204,9.68,0,--,0,--,0,--,3,50.00,1,--,2,0.00,604,-5.03,315,-3.67,289,-6.47,3,-80.00,0,-100.00,3,-50.00
2012M10,"23,398",36.54,1.00,-,"12,163",35.93,"11,235",37.21,"13,107",13.18,0.56,-,"7,860",11.43,"5,247",15.90,"10,291",-,0.44,-,632,-,0.03,-,"10,923",-,0.47,-,"22,551",36.85,"11,719",36.46,"10,832",37.27,323,31.30,173,17.69,150,51.52,524,27.49,271,27.23,253,27.78,0,--,0,--,0,--,1,-75.00,1,-50.00,0,-100.00,697,49.89,372,48.21,325,51.87,16,166.67,10,233.33,6,100.00
2012M11,"21,953",19.03,0.94,-,"11,425",19.97,"10,528",18.03,"12,086",-0.19,0.52,-,"7,387",-2.00,"4,699",2.80,"9,867",-,0.42,-,"1,561",-,0.07,-,"11,428",-,0.49,-,"21,177",18.98,"11,019",19.71,"10,158",18.20,318,28.23,165,38.66,153,18.60,454,14.94,237,19.10,217,10.71,4,300.00,4,--,0,-100.00,4,0.00,1,-75.00,3,--,696,32.32,358,39.30,338,25.65,15,66.67,10,66.67,5,66.67
2012M12,"21,202",13.36,0.91,-,"10,861",13.17,"10,341",13.56,"11,843",-6.93,0.51,-,"7,247",-7.59,"4,596",-5.88,"9,359",-,0.40,-,"1,442",-,0.06,-,"10,801",-,0.46,-,"20,479",13.64,"10,482",13.37,"9,997",13.93,290,6.23,136,-1.45,154,14.07,431,6.16,242,15.24,189,-3.57,2,-33.33,1,-66.67,1,--,2,-71.43,2,-33.33,0,-100.00,725,15.63,331,4.75,394,26.69,12,-45.45,7,-36.36,5,-54.55
2013M01,"21,982",43.71,0.94,-,"11,336",42.50,"10,646",45.02,"15,352",18.17,0.66,-,"9,318",16.78,"6,034",20.39,"6,630",-,0.28,-,"1,640",-,0.07,-,"8,270",-,0.35,-,"21,179",43.76,"10,921",42.63,"10,258",44.99,320,56.10,166,61.17,154,50.98,483,35.29,249,29.02,234,42.68,0,-100.00,0,-100.00,0,--,2,--,0,--,2,--,754,43.62,381,42.16,373,45.14,14,133.33,6,50.00,8,300.00
2013M02,"15,666",-10.48,0.67,-,"8,071",-11.99,"7,595",-8.81,"11,838",-17.32,0.51,-,"7,228",-16.79,"4,610",-18.15,"3,828",-,0.16,-,682,-,0.03,-,"4,510",-,0.19,-,"15,115",-10.41,"7,803",-11.74,"7,312",-8.95,210,-20.45,97,-26.52,113,-14.39,340,-6.59,170,-14.14,170,2.41,1,--,1,--,0,--,3,--,2,--,1,--,459,-24.38,229,-31.23,230,-16.06,9,-40.00,8,-11.11,1,-83.33
2013M03,"16,880",-12.46,0.72,-,"8,684",-12.64,"8,196",-12.28,"13,708",-5.38,0.59,-,"8,242",-6.11,"5,466",-4.26,"3,172",-,0.14,-,931,-,0.04,-,"4,103",-,0.18,-,"16,159",-13.03,"8,312",-12.99,"7,847",-13.07,298,1.02,169,6.96,129,-5.84,420,3.45,202,-11.40,218,22.47,3,50.00,1,0.00,2,100.00,2,-50.00,1,0.00,1,-66.67,473,-25.04,229,-34.01,244,-14.08,9,-10.00,3,-62.50,6,200.00
2013M04,"15,506",-10.91,0.66,-,"8,160",-8.90,"7,346",-13.04,"13,176",1.99,0.56,-,"8,051",2.98,"5,125",0.47,"2,330",-,0.10,-,545,-,0.02,-,"2,875",-,0.12,-,"14,860",-11.63,"7,804",-9.83,"7,056",-13.53,274,26.85,146,28.07,128,25.49,371,-0.27,210,12.30,161,-12.97,1,-50.00,0,-100.00,1,0.00,1,-87.50,1,-66.67,0,-100.00,546,-9.60,279,-10.00,267,-9.18,15,150.00,8,300.00,7,75.00
2013M05,"16,223",-12.51,0.70,-,"8,519",-10.58,"7,704",-14.54,"12,973",-1.12,0.56,-,"7,865",-1.40,"5,108",-0.68,"3,250",-,0.14,-,"1,306",-,0.06,-,"4,556",-,0.20,-,"15,611",-12.62,"8,225",-10.36,"7,386",-15.00,242,-5.10,115,-17.86,127,10.43,368,-12.38,178,-15.64,190,-9.09,2,0.00,1,--,1,-50.00,4,300.00,2,100.00,2,--,584,2.10,312,4.70,272,-0.73,6,-33.33,3,-25.00,3,-40.00
2013M06,"13,963",-28.33,0.60,-,"7,211",-29.25,"6,752",-27.32,"11,499",-1.88,0.49,-,"6,928",-1.77,"4,571",-2.04,"2,464",-,0.11,-,"1,613",-,0.07,-,"4,077",-,0.17,-,"13,373",-28.84,"6,901",-29.77,"6,472",-27.82,228,-14.61,110,-24.14,118,-3.28,362,-13.81,200,-8.68,162,-19.40,0,-100.00,0,-100.00,0,-100.00,1,-66.67,0,-100.00,1,-50.00,485,-28.89,251,-29.89,234,-27.78,5,-16.67,3,0.00,2,-33.33
