期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2013M09,"3,690,842",60.79,"32,650,635",81.24,"146,896",-31.22,"1,022,853",-50.40,"2,942,458",103.24,"26,616,432",120.48,"582,455",-5.03,"4,943,434",29.55,"8,042",-34.89,"29,286",-25.67,"9,804",43.50,"33,013",79.18,"1,187",-27.09,"5,617",-20.97
2013M10,"3,863,898",37.04,"36,998,562",69.93,"403,649",-19.90,"4,825,297",54.26,"3,050,649",70.88,"28,708,162",95.40,"397,198",-23.07,"3,425,958",-12.15,"10,056",63.43,"30,370",30.37,"1,460",-76.18,"4,894",-72.34,886,-50.61,"3,881",-67.20
2013M11,"2,517,726",-23.88,"20,202,951",-30.13,"166,975",-73.55,"1,226,980",-84.41,"1,981,245",-15.07,"16,112,347",-16.82,"347,432",9.32,"2,797,714",76.19,"17,108",-22.71,"49,947",-30.35,"2,849",2.56,"8,479",5.43,"2,117",130.86,"7,484",33.07
2013M12,"3,896,395",19.69,"35,548,887",20.00,"347,526",53.40,"3,276,401",14.44,"3,083,744",24.12,"28,400,917",32.34,"440,340",-16.50,"3,793,218",-27.68,"9,817",7.40,"32,986",4.55,"5,206",-29.52,"15,028",-29.27,"9,762","1,346.22","30,337",895.64
2014M01,"3,736,260",-1.86,"32,201,988",-7.36,"205,608",-0.72,"2,019,405",-12.90,"3,045,948",-0.49,"27,213,013",-5.80,"448,700",-9.00,"2,767,864",-18.69,"7,402",-78.66,"29,358",-72.45,"4,053",80.21,"11,451",85.80,"24,549",180.24,"160,897",328.70
2014M02,"2,604,344",14.56,"22,533,495",13.28,"97,750",-24.24,"873,806",-10.53,"2,157,433",10.79,"19,309,944",7.94,"332,707",76.57,"2,298,406",131.88,"8,251",56.03,"28,183",20.41,0,-100.00,0,-100.00,"8,203",220.43,"23,156",144.67
2014M03,"3,265,982",19.19,"26,101,973",16.66,"317,115",48.70,"2,750,358",26.12,"2,318,192",9.58,"19,942,129",12.39,"611,523",58.18,"3,351,938",42.25,"3,790",-75.36,"14,761",-71.82,"4,477",-20.54,"12,560",-44.31,"10,885",200.77,"30,227",60.58
2014M04,"3,650,640",3.10,"31,896,645",-0.16,"177,421",-59.45,"1,249,711",-75.04,"2,926,290",19.61,"27,369,806",25.76,"533,422",-16.09,"3,233,473",-36.61,"7,766",-38.58,"25,805",-41.75,800,2.56,"4,932",126.97,"4,941",-35.70,"12,918",-56.87
2014M05,"3,026,395",-21.13,"25,011,464",-25.66,"283,532",134.74,"3,147,260",280.02,"2,223,345",-26.67,"18,353,669",-34.36,"480,184",-26.70,"3,363,088",-29.01,"17,622",51.82,"53,985",55.14,"9,918",7.12,"29,701",-10.00,"11,794",34.73,"63,761",30.66
2014M06,"3,251,804",20.41,"27,177,599",23.58,"175,948",-4.01,"1,362,119",-12.77,"2,538,469",19.65,"21,244,872",19.33,"518,154",35.38,"4,507,048",74.81,"13,581",54.03,"44,429",41.45,"1,123",-44.60,"5,419",-15.16,"4,529",100.49,"13,712",20.71
2014M07,"3,351,495",3.95,"26,512,676",1.88,"181,420",-16.12,"1,650,445",-11.81,"2,593,818",5.20,"19,805,881",-2.82,"557,979",5.41,"4,989,547",33.86,"8,037",-2.66,"30,876",2.03,"1,062",-72.35,"2,974",-74.32,"9,179","1,026.26","32,953",797.41
