期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%)
2008M12,580,-10.08,766,-14.41,92,-44.58,99,-41.07,485,2.11,664,-8.16,1,--,1,--,2,-50.00,2,-50.00
2009M01,613,-14.39,"1,173",-0.17,141,11.90,155,6.16,471,-19.76,"1,017",-0.78,0,-100.00,0,-100.00,1,0.00,1,-50.00
2009M02,909,1.91,"1,598",3.36,347,-6.22,371,-5.84,557,7.74,"1,222",6.54,2,0.00,2,0.00,3,0.00,3,0.00
2009M03,682,-22.68,"1,034",-22.78,199,-18.11,208,-15.10,480,-24.05,823,-24.29,0,-100.00,0,-100.00,3,-40.00,3,-40.00
2009M04,728,2.97,"1,052",-2.68,243,26.56,276,41.54,483,-4.92,773,-12.16,0,-100.00,0,-100.00,2,-66.67,3,-40.00
2009M05,564,-36.41,764,-35.80,215,0.00,230,5.99,346,-48.20,531,-44.69,2,--,2,--,1,-75.00,1,-92.31
2009M06,555,-17.16,730,-19.96,119,3.48,138,-6.12,424,-23.47,579,-24.21,10,--,10,--,2,100.00,3,200.00
2009M07,980,-29.75,"1,172",-29.06,655,-24.54,720,-20.27,323,-38.59,450,-39.84,0,--,0,--,2,100.00,2,100.00
2009M08,992,-36.90,"1,242",-32.68,598,-43.53,604,-45.09,386,-23.72,629,-13.95,4,33.33,4,33.33,4,0.00,5,-54.55
2009M09,683,-48.30,944,-41.73,378,-55.32,383,-55.26,303,-34.98,553,-26.07,1,-50.00,1,-50.00,1,-85.71,7,-50.00
2009M10,641,-21.73,834,-21.39,277,-10.36,289,-6.17,355,-29.00,527,-28.88,2,-60.00,2,-66.67,7,40.00,16,166.67
2009M11,436,-16.95,683,-4.48,145,31.82,152,20.63,287,-29.14,527,-7.54,1,-66.67,1,-66.67,3,-57.14,3,-81.25
2009M12,474,-18.28,654,-14.62,150,63.04,158,59.60,305,-37.11,474,-28.61,1,0.00,1,0.00,18,800.00,21,950.00
2010M01,414,-32.46,750,-36.06,144,2.13,169,9.03,250,-46.92,561,-44.84,15,--,15,--,5,400.00,5,400.00
2010M02,632,-30.47,"1,499",-6.20,240,-30.84,329,-11.32,381,-31.60,"1,154",-5.56,2,0.00,2,0.00,9,200.00,14,366.67
2010M03,631,-7.48,"1,103",6.67,242,21.61,254,22.12,370,-22.92,824,0.12,12,--,12,--,7,133.33,13,333.33
2010M04,574,-21.15,905,-13.97,178,-26.75,178,-35.51,389,-19.46,719,-6.99,0,--,0,--,7,250.00,8,166.67
2010M05,463,-17.91,801,4.84,96,-55.35,112,-51.30,356,2.89,673,26.74,0,-100.00,0,-100.00,11,"1,000.00",16,"1,500.00"
2010M06,431,-22.34,625,-14.38,88,-26.05,93,-32.61,332,-21.70,521,-10.02,1,-90.00,1,-90.00,10,400.00,10,233.33
2010M07,"1,053",7.45,"1,254",7.00,745,13.74,752,4.44,300,-7.12,493,9.56,0,--,0,--,8,300.00,9,350.00
2010M08,"1,214",22.38,"1,583",27.46,873,45.99,874,44.70,330,-14.51,696,10.65,0,-100.00,0,-100.00,11,175.00,13,160.00
2010M09,727,6.44,954,1.06,419,10.85,430,12.27,300,-0.99,514,-7.05,1,0.00,1,0.00,7,600.00,9,28.57
