期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2004M06,"18,812,455",3.69,"6,261,511",3.88,"12,550,944",3.60,"11,247",14.77,5.99,-,194,6.01,205,0.99,80,-25.23,"11,053",14.93,"14,726",16.18,190,7.95,0,-100.00,4,-20.00,0,--,0,--
2004M07,"18,905,423",3.79,"6,303,875",4.11,"12,601,548",3.63,"11,238",8.05,5.96,-,205,-8.89,217,-8.05,101,17.44,"11,033",8.42,"14,445",7.33,197,-8.37,2,-50.00,6,0.00,0,--,0,--
2004M08,"18,949,737",3.72,"6,317,563",4.11,"12,632,174",3.53,"10,946",10.40,5.78,-,161,-26.82,172,-24.89,77,-37.90,"10,785",11.24,"14,328",11.30,155,-27.23,2,100.00,4,-33.33,0,--,0,--
2004M09,"19,018,022",3.56,"6,331,056",4.01,"12,686,966",3.33,"11,315",16.25,5.96,-,224,-4.27,233,-5.28,103,-31.33,"11,091",16.76,"14,496",15.40,209,-9.13,3,50.00,12,500.00,0,--,0,--
2004M10,"19,099,584",3.67,"6,352,571",4.00,"12,747,013",3.51,"12,333",13.63,6.47,-,221,7.80,239,3.91,108,-38.98,"12,112",13.74,"16,146",13.27,213,10.94,1,0.00,7,-41.67,0,--,0,--
2004M11,"19,147,702",3.70,"6,376,138",4.02,"12,771,564",3.53,"12,054",16.92,6.30,-,223,1.36,230,-2.95,98,25.64,"11,831",17.25,"15,675",17.35,210,-0.47,2,--,11,22.22,0,--,0,--
2004M12,"19,183,136",3.69,"6,389,186",4.16,"12,793,950",3.45,"12,646",7.32,6.60,-,245,12.39,252,11.50,122,-10.95,"12,401",7.23,"16,293",7.35,230,11.11,3,0.00,12,71.43,0,-100.00,0,--
2005M01,"19,269,378",3.83,"6,446,923",4.48,"12,822,455",3.51,"12,783",15.34,6.65,-,211,-0.94,225,-1.32,86,-34.35,"12,572",15.66,"16,324",14.12,201,0.50,0,-100.00,10,-16.67,0,--,0,--
2005M02,"19,311,058",3.86,"6,459,686",4.44,"12,851,372",3.57,"9,994",-6.04,5.18,-,160,-20.40,167,-18.93,102,-15.00,"9,834",-5.76,"12,825",-6.05,152,-20.42,1,0.00,7,-12.50,0,--,0,-100.00
2005M03,"19,366,735",3.86,"6,481,382",4.49,"12,885,353",3.55,"12,514",12.15,6.47,-,240,21.83,246,20.59,132,37.50,"12,274",11.98,"15,995",11.23,232,24.06,1,--,7,-22.22,0,--,0,-100.00
2005M04,"19,408,391",3.79,"6,502,005",4.49,"12,906,386",3.45,"12,279",13.39,6.33,-,200,3.09,208,0.48,119,40.00,"12,079",13.58,"16,020",13.99,196,8.29,1,-66.67,3,-70.00,0,--,0,--
2005M05,"19,460,385",3.79,"6,525,276",4.58,"12,935,109",3.40,"13,370",13.92,6.88,-,250,11.61,259,7.47,132,3.94,"13,120",13.97,"17,194",11.93,233,8.37,1,-50.00,15,114.29,1,--,0,--
2005M06,"19,523,951",3.78,"6,552,094",4.64,"12,971,857",3.35,"12,844",14.20,6.59,-,223,14.95,235,14.63,113,41.25,"12,621",14.19,"16,576",12.56,212,11.58,1,--,10,150.00,0,--,0,--
2005M07,"19,601,881",3.68,"6,589,654",4.53,"13,012,227",3.26,"13,017",15.83,6.65,-,207,0.98,215,-0.92,94,-6.93,"12,810",16.11,"16,926",17.18,197,0.00,0,-100.00,9,50.00,0,--,1,--
2005M08,"19,649,915",3.69,"6,597,782",4.44,"13,052,133",3.32,"12,993",18.70,6.62,-,213,32.30,227,31.98,111,44.16,"12,780",18.50,"16,632",16.08,209,34.84,0,-100.00,4,0.00,0,--,0,--
2005M09,"19,740,519",3.80,"6,622,602",4.61,"13,117,917",3.40,"13,245",17.06,6.72,-,227,1.34,242,3.86,95,-7.77,"13,018",17.37,"17,299",19.34,223,6.70,0,-100.00,4,-66.67,0,--,0,--
2005M10,"19,791,663",3.62,"6,635,364",4.45,"13,156,299",3.21,"13,957",13.17,7.06,-,254,14.93,266,11.30,132,22.22,"13,703",13.14,"18,484",14.48,244,14.55,5,400.00,5,-28.57,0,--,0,--
2005M11,"19,829,054",3.56,"6,647,230",4.25,"13,181,824",3.21,"14,164",17.50,7.15,-,268,20.18,281,22.17,127,29.59,"13,896",17.45,"18,524",18.18,256,21.90,0,-100.00,10,-9.09,1,--,1,--
2005M12,"19,862,807",3.54,"6,667,542",4.36,"13,195,265",3.14,"14,654",15.88,7.38,-,314,28.16,323,28.17,140,14.75,"14,340",15.64,"18,905",16.03,300,30.43,0,-100.00,14,16.67,0,--,0,--
2006M01,"19,912,431",3.34,"6,698,513",3.90,"13,213,918",3.05,"14,029",9.75,7.05,-,324,53.55,333,48.00,152,76.74,"13,705",9.01,"18,062",10.65,309,53.73,0,--,13,30.00,1,--,1,--
2006M02,"19,938,794",3.25,"6,692,625",3.61,"13,246,169",3.07,"11,436",14.43,5.74,-,194,21.25,202,20.96,66,-35.29,"11,242",14.32,"14,813",15.50,188,23.68,1,0.00,5,-28.57,0,--,0,--
2006M03,"19,971,953",3.13,"6,698,812",3.35,"13,273,141",3.01,"13,140",5.00,6.58,-,274,14.17,288,17.07,91,-31.06,"12,866",4.82,"16,937",5.89,260,12.07,1,0.00,12,71.43,0,--,1,--
2006M04,"19,996,131",3.03,"6,703,621",3.10,"13,292,510",2.99,"12,429",1.22,6.22,-,237,18.50,246,18.27,119,0.00,"12,192",0.94,"16,167",0.92,222,13.27,2,100.00,12,300.00,0,--,1,--
2006M05,"20,032,243",2.94,"6,714,429",2.90,"13,317,814",2.96,"14,091",5.39,7.04,-,250,0.00,262,1.16,101,-23.48,"13,841",5.50,"18,377",6.88,245,5.15,0,-100.00,5,-66.67,0,-100.00,0,--
2006M06,"20,071,354",2.80,"6,720,965",2.58,"13,350,389",2.92,"13,421",4.49,6.69,-,255,14.35,267,13.62,118,4.42,"13,166",4.32,"17,308",4.42,246,16.04,1,0.00,7,-30.00,1,--,0,--
2006M07,"20,120,824",2.65,"6,733,211",2.18,"13,387,613",2.88,"13,523",3.89,6.73,-,227,9.66,243,13.02,99,5.32,"13,296",3.79,"17,502",3.40,220,11.68,1,--,5,-44.44,1,--,0,-100.00
2006M08,"20,155,742",2.57,"6,731,514",2.03,"13,424,228",2.85,"13,198",1.58,6.55,-,230,7.98,235,3.52,94,-15.32,"12,968",1.47,"17,335",4.23,222,6.22,0,--,7,75.00,1,--,0,--
2006M09,"20,220,450",2.43,"6,739,350",1.76,"13,481,100",2.77,"12,986",-1.96,6.43,-,233,2.64,236,-2.48,100,5.26,"12,753",-2.04,"17,006",-1.69,224,0.45,1,--,8,100.00,0,--,0,--
2006M10,"20,252,522",2.33,"6,738,263",1.55,"13,514,259",2.72,"14,320",2.60,7.08,-,267,5.12,286,7.52,129,-2.27,"14,053",2.55,"19,116",3.42,260,6.56,0,-100.00,7,40.00,0,--,0,--
2006M11,"20,286,685",2.31,"6,744,617",1.47,"13,542,068",2.73,"13,835",-2.32,6.83,-,229,-14.55,234,-16.73,102,-19.69,"13,606",-2.09,"18,268",-1.38,224,-12.50,0,--,4,-60.00,0,-100.00,1,0.00
2006M12,"20,307,197",2.24,"6,750,169",1.24,"13,557,028",2.74,"14,489",-1.13,7.14,-,279,-11.15,308,-4.64,130,-7.14,"14,210",-0.91,"18,984",0.42,271,-9.67,0,--,8,-42.86,0,--,0,--
2007M01,"20,341,288",2.15,"6,761,403",0.94,"13,579,885",2.77,"14,080",0.36,6.93,-,243,-25.00,253,-24.02,65,-57.24,"13,837",0.96,"18,131",0.38,234,-24.27,1,--,8,-38.46,0,-100.00,0,-100.00
2007M02,"20,368,314",2.15,"6,765,783",1.09,"13,602,531",2.69,"11,678",2.12,5.74,-,189,-2.58,202,0.00,73,10.61,"11,489",2.20,"15,207",2.66,182,-3.19,0,-100.00,7,40.00,0,--,0,--
