期間,總指數_原始值,總指數_年增率(%),依內外銷-一、內銷品_原始值,依內外銷-一、內銷品_年增率(%),(一)國產內銷品_原始值,(一)國產內銷品_年增率(%),(二)進口品_原始值,(二)進口品_年增率(%),依內外銷--二、出口品_原始值,依內外銷--二、出口品_年增率(%),依產地來源--一、國產品_原始值,依產地來源--一、國產品_年增率(%),依產地來源--二、進口品_原始值,依產地來源--二、進口品_年增率(%)
2008M08,104.68,9.35,103.57,14.48,105.31,14.34,101.97,14.90,107.10,-0.99,106.19,6.53,101.97,14.90
2008M09,102.73,6.10,100.54,9.69,102.01,9.98,99.21,9.59,107.47,-1.31,104.70,4.31,99.21,9.59
2008M10,98.56,1.56,95.28,3.28,98.36,5.27,92.49,1.62,105.64,-2.19,101.95,1.47,92.49,1.62
2008M11,92.59,-5.73,88.75,-5.38,90.55,-3.81,87.10,-6.84,100.91,-6.42,95.66,-5.16,87.10,-6.84
2008M12,88.82,-9.66,84.60,-9.98,86.26,-8.49,83.11,-11.33,97.93,-9.07,92.01,-8.80,83.11,-11.33
2009M01,88.25,-10.85,84.17,-11.61,85.23,-10.56,83.22,-12.56,97.09,-9.38,91.08,-9.94,83.22,-12.56
2009M02,89.24,-9.34,84.74,-11.13,85.45,-11.04,84.10,-11.19,98.96,-5.84,92.11,-8.36,84.10,-11.19
2009M03,89.08,-9.31,84.88,-11.63,85.78,-11.69,84.07,-11.56,98.16,-4.67,91.89,-8.12,84.07,-11.56
2009M04,88.52,-11.14,84.44,-13.60,86.16,-12.99,82.87,-14.16,97.33,-6.18,91.67,-9.54,82.87,-14.16
2009M05,88.54,-13.50,85.37,-15.15,87.01,-13.54,83.89,-16.60,95.39,-10.13,91.14,-11.81,83.89,-16.60
2009M06,89.96,-13.70,87.09,-15.52,87.71,-15.91,86.54,-15.15,96.17,-9.89,91.88,-12.91,86.54,-15.15
2009M07,91.06,-13.99,88.21,-16.17,89.10,-16.39,87.40,-15.99,97.22,-9.34,93.10,-12.90,87.40,-15.99
2009M08,93.15,-11.01,90.52,-12.60,91.62,-13.00,89.52,-12.21,98.83,-7.72,95.18,-10.37,89.52,-12.21
2009M09,93.00,-9.47,90.14,-10.34,91.31,-10.49,89.08,-10.21,99.20,-7.70,95.21,-9.06,89.08,-10.21
2009M10,92.47,-6.18,89.80,-5.75,90.59,-7.90,89.08,-3.69,98.26,-6.99,94.37,-7.44,89.08,-3.69
2009M11,93.58,1.07,91.02,2.56,91.27,0.80,90.79,4.24,99.11,-1.78,95.14,-0.54,90.79,4.24
2009M12,93.94,5.76,91.42,8.06,92.12,6.79,90.79,9.24,99.38,1.48,95.70,4.01,90.79,9.24
2010M01,94.26,6.81,91.93,9.22,93.41,9.60,90.58,8.84,99.30,2.28,96.32,5.75,90.58,8.84
2010M02,94.68,6.10,92.20,8.80,93.55,9.48,90.96,8.16,100.04,1.09,96.75,5.04,90.96,8.16
2010M03,95.20,6.87,92.79,9.32,94.06,9.65,91.64,9.00,100.43,2.31,97.20,5.78,91.64,9.00
2010M04,96.54,9.06,94.82,12.29,96.19,11.64,93.57,12.91,100.24,2.99,98.19,7.11,93.57,12.91
2010M05,96.88,9.42,94.83,11.08,96.66,11.09,93.17,11.06,101.29,6.19,98.95,8.57,93.17,11.06
2010M06,96.28,7.03,93.98,7.91,95.31,8.66,92.76,7.19,101.26,5.29,98.25,6.93,92.76,7.19
2010M07,95.90,5.32,93.72,6.25,94.54,6.11,92.97,6.37,100.62,3.50,97.54,4.77,92.97,6.37
2010M08,96.25,3.33,94.28,4.15,95.02,3.71,93.62,4.58,100.51,1.70,97.73,2.68,93.62,4.58
2010M09,96.51,3.77,94.71,5.07,95.20,4.26,94.25,5.80,100.40,1.21,97.77,2.69,94.25,5.80
2010M10,95.86,3.67,94.47,5.20,95.42,5.33,93.62,5.10,98.85,0.60,97.11,2.90,93.62,5.10
2010M11,95.85,2.43,94.74,4.09,96.28,5.49,93.34,2.81,98.25,-0.87,97.25,2.22,93.34,2.81
2010M12,96.14,2.34,95.42,4.38,96.76,5.04,94.21,3.77,97.67,-1.72,97.21,1.58,94.21,3.77
2011M01,96.12,1.97,95.97,4.39,97.90,4.81,94.22,4.02,96.43,-2.89,97.18,0.89,94.22,4.02
2011M02,98.34,3.87,98.18,6.49,99.11,5.94,97.34,7.01,98.68,-1.36,98.89,2.21,97.34,7.01
2011M03,100.74,5.82,100.63,8.45,101.09,7.47,100.21,9.35,101.00,0.57,101.05,3.96,100.21,9.35
2011M04,101.04,4.66,101.35,6.89,101.84,5.87,100.91,7.84,100.35,0.11,101.11,2.97,100.91,7.84
2011M05,100.19,3.42,100.51,5.99,101.63,5.14,99.51,6.80,99.49,-1.78,100.58,1.65,99.51,6.80
2011M06,100.02,3.88,100.41,6.84,101.14,6.12,99.75,7.54,99.18,-2.05,100.17,1.95,99.75,7.54
2011M07,99.78,4.05,100.06,6.76,100.29,6.08,99.86,7.41,99.17,-1.44,99.74,2.26,99.86,7.41
2011M08,100.17,4.07,100.37,6.46,100.67,5.95,100.10,6.92,99.75,-0.76,100.22,2.55,100.10,6.92
2011M09,101.41,5.08,101.29,6.95,100.70,5.78,101.84,8.05,101.66,1.25,101.17,3.48,101.84,8.05
2011M10,101.38,5.76,100.91,6.82,99.27,4.03,102.40,9.38,102.37,3.56,100.80,3.80,102.40,9.38
2011M11,100.56,4.91,100.20,5.76,98.11,1.90,102.09,9.37,101.34,3.15,99.70,2.52,102.09,9.37
2011M12,100.25,4.28,100.10,4.90,98.25,1.54,101.76,8.01,100.57,2.97,99.40,2.25,101.76,8.01
2012M01,100.32,4.37,100.09,4.29,98.58,0.69,101.46,7.68,100.81,4.54,99.68,2.57,101.46,7.68
2012M02,100.14,1.83,100.25,2.11,98.91,-0.20,101.46,4.23,99.92,1.26,99.40,0.52,101.46,4.23
2012M03,100.52,-0.22,100.67,0.04,99.49,-1.58,101.74,1.53,100.20,-0.79,99.84,-1.20,101.74,1.53
2012M04,100.47,-0.56,100.65,-0.69,100.41,-1.40,100.87,-0.04,100.07,-0.28,100.24,-0.86,100.87,-0.04
2012M05,99.31,-0.88,99.51,-0.99,100.11,-1.50,98.96,-0.55,98.89,-0.60,99.51,-1.06,98.96,-0.55
2012M06,98.25,-1.77,98.23,-2.17,99.34,-1.78,97.21,-2.55,98.30,-0.89,98.83,-1.34,97.21,-2.55
2012M07,98.23,-1.55,98.34,-1.72,98.95,-1.34,97.79,-2.07,97.96,-1.22,98.46,-1.28,97.79,-2.07
2012M08,99.26,-0.91,99.61,-0.76,100.25,-0.42,99.04,-1.06,98.49,-1.26,99.38,-0.84,99.04,-1.06
2012M09,99.03,-2.35,99.53,-1.74,100.60,-0.10,98.57,-3.21,97.92,-3.68,99.28,-1.87,98.57,-3.21
2012M10,97.60,-3.73,97.99,-2.89,99.24,-0.03,96.87,-5.40,96.77,-5.47,98.02,-2.76,96.87,-5.40
2012M11,96.62,-3.92,97.04,-3.15,98.50,0.40,95.72,-6.24,95.71,-5.56,97.12,-2.59,95.72,-6.24
2012M12,96.29,-3.95,96.65,-3.45,98.53,0.28,94.94,-6.70,95.50,-5.04,97.04,-2.37,94.94,-6.70
2013M01,96.48,-3.83,96.88,-3.21,98.91,0.33,95.02,-6.35,95.64,-5.13,97.29,-2.40,95.02,-6.35
2013M02,97.86,-2.28,98.10,-2.14,99.52,0.62,96.79,-4.60,97.29,-2.63,98.47,-0.94,96.79,-4.60
2013M03,97.42,-3.08,97.32,-3.33,98.79,-0.70,95.97,-5.67,97.45,-2.74,98.23,-1.61,95.97,-5.67
2013M04,96.72,-3.73,96.33,-4.29,98.15,-2.25,94.67,-6.15,97.24,-2.83,97.83,-2.40,94.67,-6.15
2013M05,95.79,-3.54,95.42,-4.11,97.84,-2.27,93.24,-5.78,96.26,-2.66,97.15,-2.37,93.24,-5.78
2013M06,96.19,-2.10,95.77,-2.50,97.79,-1.56,93.94,-3.36,96.78,-1.55,97.41,-1.44,93.94,-3.36
2013M07,96.06,-2.21,95.69,-2.69,97.84,-1.12,93.75,-4.13,96.55,-1.44,97.31,-1.17,93.75,-4.13
2013M08,96.46,-2.82,96.36,-3.26,98.51,-1.74,94.42,-4.66,96.49,-2.03,97.57,-1.82,94.42,-4.66
2013M09,96.48,-2.57,96.62,-2.92,99.65,-0.94,93.89,-4.75,96.10,-1.86,97.87,-1.42,93.89,-4.75
2013M10,95.80,-1.84,96.02,-2.01,99.29,0.05,93.07,-3.92,95.29,-1.53,97.26,-0.78,93.07,-3.92
2013M11,95.72,-0.93,95.88,-1.20,98.95,0.46,93.12,-2.72,95.28,-0.45,97.10,-0.02,93.12,-2.72
2013M12,96.28,-0.01,96.48,-0.18,99.21,0.69,94.02,-0.97,95.80,0.31,97.51,0.48,94.02,-0.97
2014M01,97.05,0.59,96.94,0.06,99.51,0.61,94.62,-0.42,97.08,1.51,98.35,1.09,94.62,-0.42
2014M02,97.51,-0.36,97.30,-0.82,99.52,0.00,95.29,-1.55,97.73,0.45,98.71,0.24,95.29,-1.55
2014M03,97.40,-0.02,97.20,-0.12,99.76,0.98,94.89,-1.13,97.59,0.14,98.74,0.52,94.89,-1.13
2014M04,96.79,0.07,96.67,0.35,99.58,1.46,94.06,-0.64,96.85,-0.40,98.25,0.43,94.06,-0.64
2014M05,96.89,1.15,96.84,1.49,99.78,1.98,94.20,1.03,96.83,0.59,98.33,1.21,94.20,1.03
2014M06,96.96,0.80,97.09,1.38,100.35,2.62,94.16,0.23,96.57,-0.22,98.45,1.07,94.16,0.23
2014M07,96.94,0.92,97.06,1.43,100.62,2.84,93.88,0.14,96.58,0.03,98.57,1.29,93.88,0.14
2014M08,96.58,0.12,96.61,0.26,100.60,2.12,93.03,-1.47,96.38,-0.11,98.46,0.91,93.03,-1.47
