期間,進口合計_原始值,進口合計_年增率(%),進口合計_原始值,進口合計_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),出口合計_原始值,出口合計_年增率(%),出口合計_原始值,出口合計_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%)
2011M08,"669,758",-3.91,"23,135.0",6.24,"81,651",-27.46,"2,820.4",-19.79,"520,093",-0.74,"17,965.2",9.76,"62,345",13.44,"2,153.5",25.43,"743,759",-3.08,"25,780.2",7.20,"2,156",-16.27,74.7,-7.43,"7,217",21.01,250.1,33.81,"734,386",-3.22,"25,455.3",7.04,"601,824",-3.95,"20,860.4",6.23,"132,562",0.24,"4,594.9",10.88
2011M09,"667,440",1.25,"22,802.9",10.59,"75,007",-33.67,"2,562.6",-27.55,"528,745",8.41,"18,064.4",18.41,"58,913",10.79,"2,012.7",21.01,"717,891",0.58,"24,610.6",9.89,"1,696",-1.91,58.1,7.20,"6,144",4.40,210.6,14.02,"710,052",0.55,"24,341.9",9.86,"583,970",-0.12,"20,019.5",9.13,"126,082",3.78,"4,322.3",13.38
2011M10,"722,155",9.28,"23,685.0",11.72,"81,161",-21.92,"2,661.9",-20.18,"565,853",14.71,"18,558.6",17.26,"67,765",21.44,"2,222.5",24.14,"821,291",9.27,"27,025.0",11.72,"2,006",3.72,66.0,6.11,"6,848",4.28,225.3,6.58,"812,437",9.33,"26,733.7",11.78,"670,435",9.08,"22,061.0",11.53,"142,003",10.53,"4,672.7",13.00
2011M11,"647,319",-11.16,"21,462.8",-10.42,"79,815",-35.00,"2,646.4",-34.46,"495,813",-8.19,"16,439.4",-7.43,"63,183",6.17,"2,094.9",7.05,"741,711",0.41,"24,674.3",1.24,"2,100",10.01,69.8,10.79,"7,270",27.30,241.9,28.40,"732,341",0.17,"24,362.6",1.01,"602,774",-0.64,"20,052.4",0.19,"129,567",4.12,"4,310.3",4.98
2011M12,"656,826",-2.30,"21,627.4",-2.69,"89,638",-16.04,"2,951.5",-16.37,"491,562",-1.57,"16,185.8",-1.96,"66,415",9.37,"2,186.8",8.94,"724,852",0.96,"23,946.2",0.56,"2,152",-1.65,71.1,-2.07,"7,326",27.97,242.0,27.44,"715,374",0.75,"23,633.1",0.35,"584,882",-0.33,"19,322.2",-0.72,"130,492",5.89,"4,310.9",5.47
2012M01,"622,279",-9.63,"20,591.6",-12.20,"69,568",-28.14,"2,302.1",-30.19,"484,249",-7.65,"16,024.1",-10.28,"63,469",1.66,"2,100.2",-1.23,"635,656",-14.24,"21,104.1",-16.69,"2,290",-0.87,76.0,-3.68,"6,927",23.12,230.0,19.60,"626,440",-14.57,"20,798.1",-17.01,"503,488",-17.00,"16,716.1",-19.37,"122,951",-2.95,"4,082.1",-5.72
2012M02,"610,747",2.94,"20,557.0",1.21,"72,843",-11.24,"2,451.8",-12.73,"480,407",3.04,"16,169.9",1.30,"53,013",28.87,"1,784.3",26.69,"693,864",12.30,"23,433.4",10.40,"2,167",-14.62,73.2,-16.06,"6,369",8.87,215.1,7.07,"685,328",12.44,"23,145.2",10.54,"567,029",10.73,"19,149.9",8.86,"118,299",21.45,"3,995.2",19.40
2012M03,"708,982",-5.96,"23,968.3",-5.86,"84,803",-19.14,"2,866.9",-19.06,"558,697",-4.18,"18,887.7",-4.09,"59,718",-0.29,"2,018.9",-0.18,"777,187",-3.24,"26,363.2",-3.15,"2,444",-5.89,82.9,-5.80,"7,246",2.46,245.8,2.59,"767,497",-3.29,"26,034.5",-3.19,"631,922",-3.63,"21,435.6",-3.54,"135,575",-1.64,"4,598.9",-1.54
2012M04,"733,477",2.75,"24,804.8",1.85,"85,822",-0.63,"2,902.3",-1.50,"582,009",2.56,"19,682.4",1.65,"59,155",7.71,"2,000.5",6.76,"752,193",-5.69,"25,524.0",-6.52,"2,118",0.05,71.9,-0.83,"7,307",22.44,248.0,21.39,"742,768",-5.92,"25,204.2",-6.75,"606,817",-7.49,"20,591.0",-8.30,"135,951",1.80,"4,613.2",0.90
2012M05,"700,529",-8.55,"23,795.1",-10.63,"91,299",-19.73,"3,101.2",-21.56,"542,510",-7.83,"18,427.6",-9.93,"61,936",5.20,"2,103.8",2.80,"766,383",-4.04,"26,120.8",-6.23,"2,190",3.35,74.6,0.95,"7,885",32.12,268.7,29.06,"756,309",-4.33,"25,777.4",-6.52,"619,761",-5.10,"21,123.4",-7.26,"136,548",-0.69,"4,654.0",-2.96
2012M06,"650,023",-5.30,"21,754.5",-8.53,"94,210",0.26,"3,153.0",-3.16,"494,476",-6.66,"16,548.7",-9.84,"56,873",-1.75,"1,903.4",-5.11,"725,767",0.30,"24,371.0",-3.14,"2,082",-1.09,69.9,-4.51,"7,827",19.31,262.8,15.21,"715,858",0.13,"24,038.2",-3.30,"588,271",0.12,"19,753.9",-3.31,"127,586",0.18,"4,284.3",-3.25
2012M07,"717,243",0.33,"23,916.1",-3.32,"100,010",16.42,"3,334.8",12.18,"544,310",-3.52,"18,149.7",-7.02,"67,321",13.10,"2,244.8",8.99,"744,162",-8.12,"24,896.7",-11.47,"2,341",-6.43,78.3,-9.90,"7,516",22.39,251.5,17.96,"734,305",-8.36,"24,566.9",-11.70,"599,950",-9.94,"20,071.9",-13.22,"134,355",-0.58,"4,495.0",-4.20
2012M08,"641,219",-4.26,"21,310.0",-7.89,"84,588",3.60,"2,811.2",-0.33,"489,105",-5.96,"16,254.7",-9.52,"61,908",-0.70,"2,057.4",-4.46,"742,073",-0.23,"24,744.0",-4.02,"1,978",-8.26,66.0,-11.65,"7,964",10.35,265.6,6.20,"732,131",-0.31,"24,412.5",-4.10,"601,242",-0.10,"20,048.1",-3.89,"130,889",-1.26,"4,364.4",-5.02
2012M09,"687,201",2.96,"23,068.2",1.16,"78,094",4.12,"2,621.5",2.30,"536,970",1.56,"18,025.2",-0.22,"67,191",14.05,"2,255.5",12.06,"806,276",12.31,"27,156.5",10.34,"2,179",28.48,73.4,26.33,"8,688",41.41,292.6,38.94,"795,409",12.02,"26,790.5",10.06,"656,949",12.50,"22,126.9",10.53,"138,460",9.82,"4,663.5",7.89
2012M10,"682,285",-5.52,"23,262.4",-1.78,"82,565",1.73,"2,815.0",5.75,"527,660",-6.75,"17,990.5",-3.06,"66,584",-1.74,"2,270.2",2.15,"775,006",-5.64,"26,514.1",-1.89,"2,127",6.03,72.8,10.30,"7,308",6.72,250.0,10.96,"765,571",-5.77,"26,191.3",-2.03,"626,400",-6.57,"21,430.0",-2.86,"139,171",-1.99,"4,761.3",1.90
2012M11,"627,918",-3.00,"21,482.0",0.09,"74,601",-6.53,"2,552.2",-3.56,"487,989",-1.58,"16,694.8",1.55,"59,522",-5.79,"2,036.3",-2.80,"724,676",-2.30,"24,877.3",0.82,"1,964",-6.48,67.4,-3.44,"7,763",6.78,266.5,10.17,"714,949",-2.37,"24,543.4",0.74,"591,905",-1.80,"20,319.4",1.33,"123,044",-5.03,"4,224.0",-2.00
2012M12,"639,553",-2.63,"21,962.7",1.55,"89,094",-0.61,"3,059.5",3.66,"472,573",-3.86,"16,228.5",0.26,"72,821",9.65,"2,500.7",14.35,"756,722",4.40,"26,075.9",8.89,"2,132",-0.93,73.5,3.38,"7,581",3.48,261.2,7.93,"747,010",4.42,"25,741.2",8.92,"616,200",5.35,"21,233.6",9.89,"130,809",0.24,"4,507.6",4.56
2013M01,"730,804",17.44,"25,156.8",22.17,"94,054",35.20,"3,237.7",40.64,"553,336",14.27,"19,047.7",18.87,"77,988",22.88,"2,684.6",27.83,"743,169",16.91,"25,670.8",21.64,"2,570",12.23,88.8,16.84,"7,964",14.97,275.1,19.61,"732,635",16.95,"25,306.9",21.68,"603,181",19.80,"20,835.3",24.64,"129,454",5.29,"4,471.6",9.54
2013M02,"554,742",-9.17,"18,798.5",-8.55,"66,853",-8.22,"2,265.4",-7.60,"424,923",-11.55,"14,399.3",-10.95,"42,906",-19.07,"1,453.9",-18.52,"580,275",-16.37,"19,730.5",-15.80,"2,007",-7.38,68.2,-6.83,"5,247",-17.62,178.4,-17.06,"573,021",-16.39,"19,483.9",-15.82,"477,980",-15.70,"16,252.3",-15.13,"95,041",-19.66,"3,231.6",-19.11
2013M03,"713,864",0.69,"24,011.6",0.18,"96,228",13.47,"3,236.7",12.90,"547,716",-1.97,"18,423.0",-2.46,"63,454",6.26,"2,134.4",5.72,"806,332",3.75,"27,213.4",3.22,"2,637",7.90,89.0,7.36,"7,360",1.57,248.4,1.06,"796,334",3.76,"26,876.0",3.23,"654,759",3.61,"22,097.8",3.09,"141,575",4.43,"4,778.1",3.90
2013M04,"680,508",-7.22,"22,744.3",-8.31,"82,073",-4.37,"2,743.1",-5.49,"528,650",-9.17,"17,668.8",-10.23,"62,907",6.34,"2,102.5",5.10,"746,684",-0.73,"25,039.7",-1.90,"2,130",0.57,71.4,-0.70,"7,346",0.53,246.3,-0.69,"737,209",-0.75,"24,722.0",-1.91,"605,236",-0.26,"20,296.3",-1.43,"131,973",-2.93,"4,425.6",-4.07
2013M05,"650,504",-7.14,"21,873.0",-8.08,"99,658",9.16,"3,351.0",8.05,"483,245",-10.92,"16,249.0",-11.82,"60,053",-3.04,"2,019.3",-4.02,"779,475",1.71,"26,298.1",0.68,"1,819",-16.94,61.4,-17.69,"7,930",0.57,267.5,-0.45,"769,726",1.77,"25,969.2",0.74,"634,133",2.32,"21,394.5",1.28,"135,593",-0.70,"4,574.7",-1.70
2013M06,"693,114",6.63,"23,181.1",6.56,"98,131",4.16,"3,282.0",4.09,"524,137",6.00,"17,529.7",5.93,"65,635",15.41,"2,195.2",15.33,"789,300",8.75,"26,486.6",8.68,"2,191",5.24,73.5,5.15,"8,578",9.59,287.8,9.51,"778,531",8.75,"26,125.2",8.68,"647,721",10.11,"21,735.6",10.03,"130,810",2.53,"4,389.6",2.46
2013M07,"663,455",-7.50,"22,063.7",-7.75,"79,909",-20.10,"2,657.4",-20.31,"505,916",-7.05,"16,824.6",-7.30,"71,176",5.73,"2,367.0",5.44,"758,272",1.90,"25,301.0",1.62,"2,490",6.36,83.1,6.13,"8,196",9.05,273.5,8.75,"747,585",1.81,"24,944.5",1.54,"611,563",1.94,"20,405.8",1.66,"136,023",1.24,"4,538.6",0.97
2013M08,"631,131",-1.57,"21,037.7",-1.28,"74,512",-11.91,"2,483.7",-11.65,"491,647",0.52,"16,388.2",0.82,"60,012",-3.06,"2,000.4",-2.77,"766,456",3.29,"25,634.0",3.60,"2,079",5.11,69.5,5.30,"7,644",-4.02,255.7,-3.73,"756,732",3.36,"25,308.8",3.67,"624,426",3.86,"20,883.8",4.17,"132,307",1.08,"4,425.0",1.39
2013M09,"684,346",-0.42,"22,895.5",-0.75,"89,963",15.20,"3,009.8",14.81,"517,141",-3.69,"17,301.5",-4.01,"71,203",5.97,"2,382.2",5.62,"751,977",-6.73,"25,242.6",-7.05,"1,880",-13.72,63.1,-14.03,"7,852",-9.62,263.6,-9.91,"742,245",-6.68,"24,915.9",-7.00,"614,264",-6.50,"20,619.8",-6.81,"127,982",-7.57,"4,296.1",-7.88
2013M10,"666,075",-2.38,"22,594.1",-2.87,"80,163",-2.91,"2,719.2",-3.40,"501,716",-4.92,"17,018.9",-5.40,"72,444",8.80,"2,457.4",8.25,"784,774",1.26,"26,711.2",0.74,"1,906",-10.39,64.9,-10.85,"7,768",6.29,264.4,5.76,"775,100",1.24,"26,381.9",0.73,"635,375",1.43,"21,626.1",0.92,"139,724",0.40,"4,755.8",-0.12
2013M11,"630,647",0.43,"21,377.9",-0.48,"85,246",14.27,"2,889.7",13.22,"469,975",-3.69,"15,931.3",-4.57,"68,711",15.44,"2,329.2",14.38,"756,461",4.39,"25,730.0",3.43,"2,010",2.34,68.4,1.48,"7,178",-7.54,244.2,-8.37,"747,272",4.52,"25,417.4",3.56,"617,992",4.41,"21,020.1",3.45,"129,280",5.07,"4,397.3",4.10
2013M12,"716,426",12.02,"24,162.8",10.02,"115,267",29.38,"3,887.6",27.07,"514,704",8.92,"17,359.3",6.97,"80,070",9.95,"2,700.5",7.99,"779,632",3.03,"26,383.5",1.18,"2,166",1.59,73.3,-0.27,"7,545",-0.47,255.3,-2.26,"769,921",3.07,"26,054.9",1.22,"633,976",2.88,"21,454.4",1.04,"135,945",3.93,"4,600.5",2.06
2014M01,"640,193",-12.40,"21,339.8",-15.17,"81,657",-13.18,"2,721.9",-15.93,"475,914",-13.99,"15,863.8",-16.72,"69,290",-11.15,"2,309.7",-13.96,"728,676",-1.95,"24,289.2",-5.38,"2,329",-9.38,77.6,-12.61,"7,591",-4.68,253.0,-8.03,"718,756",-1.89,"23,958.5",-5.33,"588,742",-2.39,"19,624.7",-5.81,"130,014",0.43,"4,333.8",-3.08
2014M02,"597,023",7.62,"19,716.8",4.88,"76,638",14.64,"2,531.0",11.72,"465,173",9.47,"15,362.4",6.69,"51,275",19.51,"1,693.4",16.47,"644,424",11.05,"21,282.2",7.86,"2,322",15.70,76.7,12.46,"6,137",16.96,202.7,13.62,"635,966",10.98,"21,002.8",7.80,"529,176",10.71,"17,476.1",7.53,"106,790",12.36,"3,526.7",9.13
2014M03,"782,135",9.56,"25,796.0",7.43,"112,488",16.90,"3,710.0",14.62,"582,711",6.39,"19,218.7",4.32,"76,220",20.12,"2,513.9",17.78,"841,133",4.32,"27,741.9",1.94,"2,926",10.96,96.5,8.43,"9,324",26.68,307.5,23.79,"828,883",4.09,"27,337.8",1.72,"681,958",4.15,"22,492.0",1.78,"146,925",3.78,"4,845.8",1.42
2014M04,"729,563",7.21,"24,062.1",5.79,"98,868",20.46,"3,260.8",18.87,"535,635",1.32,"17,666.1",-0.02,"74,295",18.10,"2,450.4",16.55,"806,478",8.01,"26,598.9",6.23,"2,262",6.20,74.6,4.48,"8,172",11.24,269.5,9.42,"796,044",7.98,"26,254.8",6.20,"652,516",7.81,"21,521.0",6.03,"143,528",8.76,"4,733.8",6.96
2014M05,"645,168",-0.82,"21,377.3",-2.27,"92,416",-7.27,"3,062.1",-8.62,"480,376",-0.59,"15,917.0",-2.04,"67,304",12.07,"2,230.1",10.44,"804,594",3.22,"26,659.8",1.38,"2,080",14.35,68.9,12.21,"8,677",9.42,287.5,7.48,"793,837",3.13,"26,303.4",1.29,"653,657",3.08,"21,658.6",1.23,"140,180",3.38,"4,644.8",1.53
2014M06,"748,692",8.02,"24,914.9",7.48,"103,264",5.23,"3,436.4",4.70,"563,195",7.45,"18,741.9",6.92,"76,531",16.60,"2,546.8",16.02,"805,095",2.00,"26,791.8",1.15,"2,473",12.87,82.3,11.97,"8,469",-1.27,281.8,-2.08,"794,153",2.01,"26,427.7",1.16,"655,113",1.14,"21,800.8",0.30,"139,040",6.29,"4,627.0",5.41
2014M07,"723,646",9.07,"24,161.8",9.51,"104,913",31.29,"3,502.9",31.82,"538,177",6.38,"17,969.2",6.80,"74,276",4.36,"2,480.0",4.77,"801,775",5.74,"26,770.5",5.81,"2,295",-7.83,76.6,-7.82,"8,103",-1.13,270.5,-1.10,"791,378",5.86,"26,423.3",5.93,"652,419",6.68,"21,783.6",6.75,"138,959",2.16,"4,639.7",2.23
