期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
1998M02,"9,941",80.75,"8,465",...,"407,534",55.20,"3,750",-31.82,"8,163",307.95,"333,592",27.52,"6,191",--,302,...,"73,942","7,294.20"
1998M03,"15,541",76.84,"11,233",-23.31,"411,842",21.42,"5,620",-24.56,"4,703",261.77,"334,509",24.94,"9,921",641.48,"6,530",-51.08,"77,333",8.23
1998M04,"16,650",57.31,"9,259",63.62,"419,233",25.51,"11,250",23.90,"1,064",-56.34,"344,695",25.63,"5,400",259.04,"8,195",154.35,"74,538",24.95
1998M05,"29,454",114.99,"4,738",22.94,"443,949",29.39,"25,400",179.12,"2,763",17.77,"367,332",30.66,"4,054",-11.87,"1,975",30.97,"76,617",23.65
1998M06,"35,247",47.66,"5,101",-49.12,"474,095",32.78,"33,320",68.79,"3,179",-63.48,"397,473",36.04,"1,927",-53.35,"1,922",45.72,"76,622",18.09
1998M07,"24,523",62.65,"4,374",-15.46,"494,245",35.07,"23,000",72.03,"2,441",-50.85,"418,032",39.08,"1,523",-10.78,"1,933",829.33,"76,213",16.62
1998M08,"33,540",100.84,656,-71.64,"527,128",38.24,"24,600",47.31,325,-85.61,"442,307",40.41,"8,940",--,331,512.96,"84,821",27.92
1998M09,"14,600",141.60,"2,020",51.20,"539,708",40.54,"8,600",104.76,673,-48.86,"450,234",41.63,"6,000",225.56,"1,347","6,635.00","89,474",35.30
1998M10,"33,650",416.90,"2,498",-74.55,"570,860",49.55,"29,150",559.50,"1,537",-45.88,"477,847",49.57,"4,500",115.31,961,-86.23,"93,013",49.44
1998M11,"10,720",36.80,"3,305",-67.68,"578,276",49.69,"10,720",181.36,"3,217",149.38,"485,350",50.73,0,-100.00,88,-99.02,"92,926",44.49
1998M12,"42,250",209.12,"9,171",16.10,"611,355",55.93,"41,750",454.45,"8,165",29.54,"518,935",60.55,500,-91.85,"1,006",-36.97,"92,420",34.23
1999M01,"18,150",1.95,"2,246",-41.30,"627,259",54.48,"17,850",2.59,"2,242",-14.53,"534,543",58.15,300,-25.37,4,-99.67,"92,716",36.24
1999M02,"5,000",-49.70,"3,585",-57.65,"610,674",49.85,"4,800",28.00,"2,125",-73.97,"519,218",55.64,200,-96.77,"1,460",383.44,"91,456",23.69
1999M03,"16,550",6.49,"4,421",-60.64,"640,803",55.59,"6,000",6.76,"4,391",-6.63,"538,827",61.08,"10,550",6.34,30,-99.54,"101,976",31.87
1999M04,50,-99.70,"3,165",-65.82,"637,687",52.11,0,-100.00,"3,129",194.08,"535,698",55.41,50,-99.07,36,-99.56,"101,989",36.83
1999M05,"24,950",-15.29,"9,191",93.98,"653,446",47.19,"24,900",-1.97,"3,676",33.04,"556,922",51.61,50,-98.77,"5,515",179.24,"96,524",25.98
1999M06,"18,870",-46.46,"13,077",156.36,"659,239",39.05,"18,000",-45.98,"10,267",222.96,"564,655",42.06,870,-54.85,"2,810",46.20,"94,584",23.44
1999M07,"41,119",67.68,"17,850",308.09,"682,508",38.09,"19,840",-13.74,"15,872",550.23,"568,623",36.02,"21,279","1,297.18","1,978",2.33,"113,885",49.43
1999M08,"6,371",-81.00,"3,406",419.21,"685,473",30.04,"5,550",-77.44,"2,483",664.00,"571,690",29.25,821,-90.82,923,178.85,"113,783",34.14
1999M09,"8,550",-41.44,"5,467",170.64,"688,556",27.58,"8,470",-1.51,"1,563",132.24,"578,597",28.51,80,-98.67,"3,904",189.83,"109,959",22.89
1999M10,"21,450",-36.26,"7,092",183.91,"702,914",23.13,"21,400",-26.59,"4,638",201.76,"595,359",24.59,50,-98.89,"2,454",155.36,"107,555",15.63
1999M11,"10,130",-5.50,"8,365",153.10,"704,679",21.86,"8,550",-20.24,"3,216",-0.03,"600,693",23.76,"1,580",--,"5,149","5,751.14","103,986",11.90
1999M12,"2,250",-94.67,"18,984",107.00,"687,945",12.53,"2,150",-94.85,"12,694",55.47,"590,149",13.72,100,-80.00,"6,290",525.25,"97,796",5.82
2000M01,"29,574",62.94,"6,508",189.76,"711,011",13.35,"29,274",64.00,"4,613",105.75,"614,810",15.02,300,0.00,"1,895","47,275.00","96,201",3.76
2000M02,"2,125",-57.50,"8,928",149.04,"704,208",15.32,"2,075",-56.77,"3,545",66.82,"613,340",18.13,50,-75.00,"5,383",268.70,"90,868",-0.64
2000M03,"8,070",-51.24,"13,114",196.63,"699,164",9.11,0,-100.00,"3,805",-13.35,"609,535",13.12,"8,070",-23.51,"9,309","30,930.00","89,629",-12.11
2000M04,"25,790","51,480.00","11,836",273.97,"713,118",11.83,"22,240",--,"3,482",11.28,"628,293",17.28,"3,550","7,000.00","8,354","23,105.56","84,825",-16.83
2000M05,"10,350",-58.52,"6,846",-25.51,"716,623",9.67,"7,300",-70.68,"5,525",50.30,"630,068",13.13,"3,050","6,000.00","1,321",-76.05,"86,555",-10.33
2000M06,"41,220",118.44,"14,197",8.56,"743,646",12.80,"41,170",128.72,"11,404",11.07,"659,834",16.86,50,-94.25,"2,793",-0.60,"83,812",-11.39
2000M07,"20,605",-49.89,"9,825",-44.96,"754,425",10.54,"20,555",3.60,"7,127",-55.10,"673,262",18.40,50,-99.77,"2,698",36.40,"81,163",-28.73
2000M08,"14,200",122.88,"9,493",178.71,"759,133",10.75,"9,100",63.96,"1,211",-51.23,"681,151",19.15,"5,100",521.19,"8,282",797.29,"77,982",-31.46
2000M09,"4,030",-52.87,"6,541",19.65,"756,622",9.89,"3,930",-53.60,505,-67.69,"684,576",18.32,100,25.00,"6,036",54.61,"72,046",-34.48
2000M10,"14,380",-32.96,"7,841",10.56,"763,161",8.57,"6,480",-69.72,"2,825",-39.09,"688,231",15.60,"7,900","15,700.00","5,016",104.40,"74,930",-30.33
2000M11,"18,286",80.51,"3,720",-55.53,"777,727",10.37,"9,780",14.39,"3,105",-3.45,"694,906",15.68,"8,506",438.35,615,-88.06,"82,821",-20.35
2000M12,"38,710","1,620.44","17,465",-8.00,"798,972",16.14,"29,340","1,264.65","16,942",33.46,"707,304",19.85,"9,370","9,270.00",523,-91.69,"91,668",-6.27
2001M01,"7,530",-74.54,"6,653",2.23,"799,850",12.49,"3,990",-86.37,"6,386",38.43,"704,908",14.65,"3,540","1,080.00",267,-85.91,"94,942",-1.31
2001M02,"18,150",754.12,"2,687",-69.90,"815,313",15.78,"15,450",644.58,"2,440",-31.17,"717,918",17.05,"2,700","5,300.00",247,-95.41,"97,395",7.18
2001M03,"2,900",-64.06,"4,869",-62.87,"813,344",16.33,550,--,"3,331",-12.46,"715,137",17.33,"2,350",-70.88,"1,538",-83.48,"98,207",9.57
2001M04,"16,680",-35.32,"3,392",-71.34,"826,632",15.92,"15,000",-32.55,"3,283",-5.72,"726,854",15.69,"1,680",-52.68,109,-98.70,"99,778",17.63
