期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
2012M04,"36,876",-0.86,"14,236",19.40,"2,322,912",0.98,"24,694",-4.66,"14,116",173.41,"1,408,832",12.73,"12,182",6.84,120,-97.62,"914,080",9.11
2012M05,"46,032",24.83,"27,339",92.04,"2,341,604",0.80,"29,230",16.69,"19,861",-24.57,"1,418,201",13.60,"16,802",-46.58,"7,478",-54.92,"923,403",8.30
2012M06,"114,672",149.11,"21,994",-19.55,"2,434,282",3.96,"88,800",31.40,"16,332",-56.61,"1,490,669",16.61,"25,872",3.07,"5,662",-44.23,"943,613",8.76
2012M07,"35,352",-69.17,"37,581",70.87,"2,432,052",-0.09,"35,350",-21.44,"34,559",140.21,"1,491,460",13.94,2,-99.96,"3,022",0.10,"940,592",8.21
2012M08,"98,187",177.74,"12,444",-66.89,"2,517,795",3.53,"82,935",184.61,"12,424",-34.09,"1,561,971",18.39,"15,252",21.51,20,-99.60,"955,824",9.01
2012M09,"72,482",-26.18,"19,219",54.44,"2,571,058",2.12,"53,480",26.74,"19,026",-23.96,"1,596,425",19.45,"19,002",4.97,193,-94.58,"974,633",9.34
2012M10,"36,562",-49.56,"10,922",-43.17,"2,596,698",1.00,"23,860",-47.19,"7,494",-53.51,"1,612,791",18.11,"12,702",-31.53,"3,428",-75.81,"983,907",9.84
2012M11,"41,552",13.65,"19,638",79.80,"2,618,611",0.84,"26,850",-22.13,"15,990",-54.26,"1,623,651",18.94,"14,702",0.68,"3,648",-59.37,"994,960",10.39
2012M12,"82,702",99.03,"59,675",203.88,"2,641,638",0.88,"37,750",10.15,"41,878",-13.28,"1,619,523",19.87,"44,952",158.32,"17,797",-2.89,"1,022,115",13.51
2013M01,"65,415",-20.90,"19,962",-66.55,"2,687,091",1.72,"65,413",148.39,"9,919",-35.56,"1,675,017",22.98,2,-99.99,"10,043",75.85,"1,012,074",11.34
2013M02,"45,202",-30.90,"9,878",-50.52,"2,722,415",1.31,"30,200",62.37,"9,878",14.14,"1,695,339",23.57,"15,002",649.35,-,-,"1,027,076",13.73
2013M03,"41,200",-8.85,"10,947",10.82,"2,752,668",1.11,"23,880",-30.97,"5,939",-28.11,"1,713,280",22.53,"17,320",565.64,"5,008",36.76,"1,039,388",15.23
2013M04,"18,200",-55.83,"46,698",326.58,"2,724,170",-1.04,"6,700",-72.87,"21,700",53.73,"1,698,280",20.55,"11,500",-5.60,"24,998","20,731.67","1,025,890",12.23
2013M05,"39,944",119.47,"24,744",-47.01,"2,739,370",0.56,"30,454",4.19,"16,437",-17.24,"1,712,297",20.74,"9,490",-43.52,"8,307",11.09,"1,027,073",11.23
2013M06,"55,194",38.18,"21,957",-11.26,"2,772,607",1.21,"52,694",-40.66,"14,503",-11.20,"1,750,488",17.43,"2,500",-90.34,"7,454",31.65,"1,022,119",8.32
2013M07,"68,770",24.60,"27,985",27.45,"2,813,392",1.47,"68,770",94.54,"21,685",-37.25,"1,797,573",20.52,-,-,"6,300",108.47,"1,015,819",8.00
2013M08,"48,190",-29.93,"18,837",-32.69,"2,842,745",1.04,"39,940",-51.84,"12,837",3.32,"1,824,676",16.82,"8,250",-45.91,"6,000","29,900.00","1,018,069",6.51
2013M09,"25,780",-46.50,"23,305",23.72,"2,845,220",0.09,"23,580",-55.91,"16,055",-15.62,"1,832,201",14.77,"2,200",-88.42,"7,250","3,656.48","1,013,019",3.94
2013M10,"30,930",19.98,"18,290",-21.52,"2,857,860",0.44,"30,930",29.63,"17,611",135.00,"1,845,520",14.43,-,-,679,-80.19,"1,012,340",2.89
2013M11,"44,840",44.97,"44,790",144.89,"2,857,910",0.00,"34,840",29.76,"32,419",102.75,"1,847,941",13.81,"10,000",-31.98,"12,371",239.12,"1,009,969",1.51
2013M12,"92,600",106.51,"55,390",23.67,"2,895,120",1.30,"58,600",55.23,"41,208",-1.60,"1,865,333",15.18,"34,000",-24.36,"14,182",-20.31,"1,029,787",0.75
2014M01,"61,796",-33.27,"26,004",-53.05,"2,930,912",1.24,"41,100",-37.17,"13,875",39.88,"1,892,558",12.99,"20,696","1,034,700.00","12,129",20.77,"1,038,354",2.60
2014M02,"7,900",-87.22,"12,162",-53.23,"2,926,650",-0.15,"5,900",-80.46,"6,001",-39.25,"1,892,457",11.63,"2,000",-86.67,"6,161",-,"1,034,193",0.69
2014M03,"53,090",572.03,"21,234",74.59,"2,958,506",1.09,"24,190",1.30,"4,683",-21.15,"1,911,964",11.60,"28,900",66.86,"16,551",230.49,"1,046,542",0.69
2014M04,"16,750",-68.45,"23,575",11.02,"2,951,682",-0.23,"3,750",-44.03,"18,056",-16.79,"1,897,658",11.74,"13,000",13.04,"5,519",-77.92,"1,054,024",2.74
2014M05,"92,750",453.73,"32,997",39.97,"3,011,435",2.02,"52,750",73.21,"20,458",24.46,"1,929,950",12.71,"40,000",321.50,"12,539",50.94,"1,081,485",5.30
2014M06,"107,850",16.28,"42,541",28.92,"3,076,744",2.17,"45,750",-13.18,"23,441",61.63,"1,952,259",11.53,"62,100","2,384.00","19,100",156.24,"1,124,485",10.02
2014M07,"62,150",-42.37,"22,005",-48.27,"3,116,889",1.30,"62,150",-9.63,"22,005",1.48,"1,992,404",10.84,-,-,-,-,"1,124,485",10.70
