期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2013M06,645,2.38,"22,727",-6.13,403,0.00,"57,444",5.92,"10,717",22.45,"14,000",-22.48,"53,238",2.79,97,-11.82,"159,271",0.68,"169,528",-3.23,"85,396",18.26,"-95,653",--
2013M07,617,10.97,"23,222",-0.19,402,-0.25,"57,244",18.53,"10,417",25.55,"13,943",-0.49,"54,211",22.18,97,29.33,"160,153",14.99,"170,541",8.67,"86,839",34.24,"-97,227",--
2013M08,631,0.80,"22,781",-6.31,402,-0.25,"57,398",0.48,"10,975",23.36,"14,013",-21.87,"53,579",1.65,96,-11.11,"159,875",-1.38,"169,939",-3.67,"86,967",15.49,"-97,031",--
2013M09,619,-4.48,"22,420",-5.54,402,-0.25,"58,305",0.81,"10,980",22.87,"14,140",-21.38,"53,675",1.75,98,-9.26,"160,639",-1.09,"168,616",-3.98,"88,356",15.03,"-96,333",--
2013M10,611,-5.56,"22,691",-4.05,302,-25.06,"58,426",4.32,"10,946",19.24,"14,056",-21.86,"52,312",-2.63,97,-8.49,"159,441",-1.40,"167,667",-3.93,"89,501",17.70,"-97,727",--
2013M11,589,-4.54,"22,383",-8.11,302,-25.06,"57,952",3.75,"10,948",16.46,"15,968",-11.22,"52,778",-1.30,96,-7.69,"161,016",-0.73,"166,156",-4.17,"89,814",15.84,"-94,954",--
2013M12,580,-5.07,"22,007",-9.17,301,-25.50,"58,968",10.02,"11,071",22.18,"16,032",-10.70,"55,324",2.54,96,-5.88,"164,379",2.79,"166,177",-2.94,"90,235",14.97,"-92,033",--
2014M01,582,-14.03,"21,918",-4.60,302,-25.25,"55,935",0.69,"10,863",8.35,"16,187",15.89,"55,451",0.55,94,-3.09,"161,332",1.57,"170,035",0.02,"87,907",4.38,"-96,610",--
2014M02,571,-16.52,"21,438",-7.82,201,-50.12,"58,179",3.34,"10,753",4.57,"16,388",15.61,"54,354",0.08,96,-2.04,"161,980",1.55,"167,499",-0.29,"89,744",4.88,"-95,263",--
2014M03,572,-15.01,"19,492",-14.91,201,-50.12,"59,734",4.38,"10,760",1.17,"16,110",13.51,"56,033",2.97,95,-1.04,"162,997",1.52,"168,671",0.78,"90,058",3.65,"-95,732",--
2014M04,609,-10.96,"19,394",-14.98,101,-74.94,"59,361",3.88,"11,026",7.77,"16,005",12.92,"53,671",-1.12,97,2.11,"160,264",0.28,"168,295",0.95,"89,096",0.78,"-97,127",--
2014M05,615,-7.38,"19,221",-15.49,101,-74.94,"59,636",2.91,"11,069",8.54,"15,984",13.04,"52,464",-1.35,98,4.26,"159,188",-0.12,"169,326",0.76,"88,826",2.11,"-98,964",--
2014M06,614,-4.81,"19,184",-15.59,101,-74.94,"60,290",4.95,"11,338",5.79,"15,951",13.94,"52,297",-1.77,97,0.00,"159,872",0.38,"171,313",1.05,"87,019",1.90,"-98,460",--
