期間,流通卡數(千張)_原始值,流通卡數(千張)_年增率(%),簽帳金額-合計(新臺幣百萬元)_原始值,簽帳金額-合計(新臺幣百萬元)_年增率(%),簽帳金額-國內(新臺幣百萬元)_原始值,簽帳金額-國內(新臺幣百萬元)_年增率(%),簽帳金額-國外(新臺幣百萬元)_原始值,簽帳金額-國外(新臺幣百萬元)_年增率(%),預借現金-合計(新臺幣百萬元)_原始值,預借現金-合計(新臺幣百萬元)_年增率(%),預借現金-國內(新臺幣百萬元)_原始值,預借現金-國內(新臺幣百萬元)_年增率(%),預借現金-國外(新臺幣百萬元)_原始值,預借現金-國外(新臺幣百萬元)_年增率(%),循環信用餘額(新臺幣百萬元)_原始值,循環信用餘額(新臺幣百萬元)_年增率(%)
2010M11,"30,585",-0.41,"135,906",13.00,"128,597",12.91,"7,309",14.59,"2,562",-5.13,"2,523",-5.36,39,12.49,"182,201",-13.25
2010M12,"30,706",0.45,"146,307",8.40,"139,169",8.55,"7,139",5.62,"2,731",-9.86,"2,696",-9.95,35,-2.10,"180,980",-13.04
2011M01,"30,769",1.26,"145,045",17.61,"138,164",18.13,"6,881",8.01,"2,393",-14.64,"2,359",-14.77,34,-4.26,"178,382",-12.49
2011M02,"30,874",2.09,"113,618",-2.36,"107,534",-2.30,"6,084",-3.52,"1,513",-30.50,"1,490",-30.64,23,-19.89,"176,972",-13.34
2011M03,"31,091",3.24,"136,580",9.78,"128,793",9.46,"7,787",15.32,"2,648",-5.60,"2,613",-5.70,35,2.56,"171,820",-12.05
2011M04,"31,389",4.34,"121,809",4.81,"114,922",4.76,"6,887",5.50,"2,316",-17.58,"2,285",-17.58,31,-17.34,"169,395",-12.20
2011M05,"31,586",4.88,"135,951",12.77,"128,211",12.53,"7,739",16.86,"2,593",-14.23,"2,557",-14.42,36,1.86,"163,478",-14.25
2011M06,"31,948",6.09,"160,524",14.02,"152,320",13.99,"8,204",14.56,"2,489",-15.06,"2,450",-15.27,38,1.15,"161,980",-14.57
2011M07,"32,251",6.92,"134,454",6.34,"125,864",5.97,"8,590",12.05,"2,494",-10.61,"2,459",-10.65,35,-7.30,"160,744",-14.61
2011M08,"32,161",6.33,"148,977",11.42,"140,541",11.32,"8,436",13.18,"3,004",6.93,"2,956",6.64,48,28.21,"158,636",-14.67
2011M09,"32,278",6.34,"135,018",7.01,"126,778",6.68,"8,241",12.41,"2,608",-2.51,"2,569",-2.58,39,1.99,"142,959",-22.86
