期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
2010M06,"1,275",0.31,"2,047,679",34.83,347,3.27,"308,098",-58.10,4,-60.00,209,-91.47,45,-16.67,"50,880",85.06,35,191.67,"13,128",198.77,737,1.66,"1,675,366",123.66,20,-55.56,43,-18.87,44,22.22,0,--,0,--,0,--,0,--
2010M07,610,-19.74,"672,027",-51.74,273,1.49,"176,172",-76.14,1,-87.50,32,-97.14,25,-62.12,"32,605",-39.29,2,-71.43,24,-95.08,270,-26.63,"463,133",-22.65,1,-90.91,28,75.00,8,-46.67,0,--,0,--,2,--,62,--
2010M08,773,-3.62,"3,874,264",137.37,287,5.13,"2,166,463",307.29,9,12.50,"1,229",36.25,36,-21.74,"51,810",-62.19,3,-82.35,46,-99.90,287,-28.78,"1,654,718",80.45,30,275.00,65,96.97,56,300.00,0,--,0,--,0,--,0,--
2010M09,837,-20.36,"1,484,845",-30.74,272,-16.31,"222,887",-62.18,2,-81.82,76,-97.89,68,15.25,"100,146",177.54,52,-23.53,"10,136",-71.99,358,-4.53,"1,151,600",48.78,8,-89.47,48,-43.53,29,-40.82,0,--,0,--,0,-100.00,0,-100.00
2010M10,924,-29.03,"1,239,443",-17.41,280,-12.77,"194,552",-12.81,3,-78.57,237,-98.83,23,-54.00,"34,814",-27.89,10,-47.37,"10,473",-47.84,540,-27.52,"999,368",-15.94,8,-82.61,40,-38.46,20,-52.38,0,--,0,--,0,--,0,--
2010M11,515,-34.23,"983,331",-57.92,86,-68.73,"47,969",-95.09,2,-71.43,786,-85.16,12,-70.00,"13,531",-72.44,5,-68.75,"8,045",-76.97,318,-5.64,"913,001",-28.17,16,-50.00,53,15.22,23,-23.33,0,--,0,--,0,--,0,--
2010M12,"1,279",65.89,"2,621,759",36.52,239,91.20,"1,415,887",53.80,9,12.50,"1,658",-41.64,34,-45.16,"10,024",-80.52,43,-6.52,"21,251",168.56,862,68.69,"1,172,940",25.10,10,233.33,31,210.00,51,750.00,0,--,0,--,0,--,0,--
2011M01,576,-11.11,"1,131,310",42.92,123,-56.23,"100,470",-57.82,5,-54.55,"5,671",64.76,53,43.24,"25,381",-71.25,27,145.45,"60,982",479.90,280,0.72,"938,805",108.08,18,350.00,52,147.62,18,260.00,0,--,0,--,0,--,0,--
2011M02,722,-11.74,"703,986",-93.42,339,18.53,"317,723",-96.87,6,-40.00,"76,453","8,273.82",22,-72.84,"12,674",-82.17,17,-79.52,"35,681",152.09,250,5.04,"261,456",-42.07,11,-66.67,58,11.54,19,-45.71,0,--,0,--,0,--,0,--
2011M03,"1,254",14.73,"2,010,364",-24.81,276,-6.76,"439,679",-5.79,10,-41.18,"1,121",-75.86,78,65.96,"76,019",7.03,46,119.05,"5,352",-16.87,675,0.45,"1,488,193",-29.96,19,280.00,113,391.30,36,200.00,1,--,0,--,0,--,0,--
