期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),賦閒_原始值,賦閒_年增率(%),賦閒_原始值,賦閒_年增率(%),賦閒_原始值,賦閒_年增率(%),傷病_原始值,傷病_年增率(%),傷病_原始值,傷病_年增率(%),傷病_原始值,傷病_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
2006M11,203,-4.19,131,-6.85,72,1.05,"2,169",1.36,"1,124",2.18,"1,045",0.49,"2,395",-3.35,8,-53.78,"2,387",-2.99,"2,140",1.38,"1,110",-0.28,"1,030",3.22,534,--,439,--,95,--,158,--,113,--,45,--,42,-93.55,28,-94.72,14,-88.15
2006M12,199,-4.73,128,-6.84,71,-0.63,"2,181",0.86,"1,127",2.09,"1,054",-0.42,"2,392",-3.16,10,-28.82,"2,382",-3.01,"2,136",1.14,"1,112",-0.88,"1,024",3.44,553,--,439,--,114,--,148,--,109,--,39,--,40,-93.88,30,-94.28,10,-92.12
2007M01,189,-6.20,118,-11.86,71,4.95,"2,187",0.40,"1,132",0.71,"1,054",0.07,"2,401",-3.54,15,6.60,"2,386",-3.60,"2,132",1.22,"1,109",-0.84,"1,023",3.55,568,--,455,--,112,--,139,--,98,--,41,--,39,-94.09,30,-94.28,9,-93.36
2007M02,190,-2.49,118,-12.04,72,18.53,"2,200",-0.24,"1,143",0.97,"1,057",-1.52,"2,411",-3.64,16,-6.82,"2,395",-3.62,"2,127",1.08,"1,099",-1.07,"1,028",3.48,572,--,468,--,104,--,129,--,91,--,38,--,36,-94.49,29,-94.40,7,-94.83
2007M03,185,-3.49,116,-11.20,68,13.33,"2,223",0.20,"1,141",0.11,"1,082",0.29,"2,403",-3.33,15,17.47,"2,388",-3.43,"2,123",0.60,"1,101",-1.35,"1,022",2.79,552,--,462,--,90,--,140,--,97,--,43,--,35,-94.76,26,-95.18,9,-93.03
2007M04,188,-0.73,121,-5.91,67,10.22,"2,242",0.20,"1,159",0.43,"1,083",-0.03,"2,403",-3.42,13,74.64,"2,390",-3.64,"2,129",1.05,"1,102",-1.15,"1,028",3.51,562,--,465,--,97,--,133,--,101,--,32,--,31,-95.31,20,-96.27,11,-91.31
2007M05,184,0.45,119,3.15,65,-4.18,"2,242",-0.36,"1,177",0.62,"1,065",-1.42,"2,381",-3.19,16,30.47,"2,365",-3.36,"2,139",1.07,"1,100",-1.60,"1,039",4.07,570,--,456,--,114,--,136,--,96,--,41,--,33,-94.94,22,-95.73,11,-92.14
2007M06,188,1.64,124,4.19,64,-2.92,"2,236",-0.19,"1,170",0.95,"1,066",-1.41,"2,369",-2.94,13,8.54,"2,355",-3.00,"2,148",1.17,"1,103",-1.27,"1,045",3.87,575,--,460,--,114,--,140,--,94,--,46,--,36,-94.58,24,-95.47,12,-91.11
2007M07,200,2.47,127,1.76,73,3.72,"2,152",-0.37,"1,107",-0.68,"1,045",-0.04,"2,371",-2.51,16,10.45,"2,355",-2.59,"2,147",1.03,"1,107",-1.10,"1,041",3.41,565,13.42,452,8.38,113,39.39,149,20.18,99,13.03,50,37.34,60,-22.14,46,-22.76,14,-20.07
2007M08,207,1.02,124,7.82,83,-7.60,"2,104",-0.93,"1,100",-2.03,"1,004",0.32,"2,377",-2.06,17,-17.22,"2,360",-1.94,"2,152",1.37,"1,108",-1.00,"1,045",4.01,557,12.55,442,11.09,115,18.55,155,7.37,111,7.75,43,6.40,72,0.25,54,-9.82,17,54.67
2007M09,205,-3.16,127,12.80,78,-21.29,"2,163",0.13,"1,140",-1.04,"1,023",1.46,"2,380",-1.75,14,-4.00,"2,366",-1.74,"2,154",1.25,"1,095",-1.42,"1,059",4.17,580,12.22,466,11.88,114,13.62,156,4.77,110,10.50,46,-6.72,63,18.41,49,17.18,14,22.93
2007M10,198,-7.65,132,9.62,66,-29.74,"2,165",0.45,"1,123",-1.04,"1,041",2.10,"2,386",-0.83,16,63.90,"2,369",-1.10,"2,163",1.15,"1,098",-1.02,"1,065",3.49,591,10.92,481,8.72,110,21.69,157,7.04,111,11.27,46,-1.94,60,28.29,44,39.17,17,6.21
2007M11,186,-8.27,118,-9.60,68,-5.86,"2,161",-0.36,"1,119",-0.43,"1,042",-0.29,"2,381",-0.58,17,103.94,"2,364",-0.94,"2,170",1.42,"1,115",0.48,"1,055",2.43,601,12.38,483,9.94,117,23.65,159,1.21,113,-0.10,47,4.50,57,34.33,40,41.11,17,20.38
2007M12,175,-12.03,115,-10.67,60,-14.52,"2,172",-0.38,"1,119",-0.72,"1,053",-0.02,"2,367",-1.06,13,23.66,"2,354",-1.16,"2,174",1.77,"1,119",0.65,"1,055",2.99,622,12.56,493,12.34,129,13.38,153,3.54,112,2.58,41,6.27,45,11.93,30,-1.08,15,52.80
2008M01,172,-8.76,112,-4.65,60,-15.55,"2,180",-0.32,"1,113",-1.71,"1,067",1.18,"2,371",-1.24,13,-10.65,"2,357",-1.18,"2,179",2.22,"1,121",1.06,"1,058",3.48,623,9.75,507,11.27,116,3.59,154,10.81,111,12.87,44,5.96,41,4.68,27,-10.01,14,53.21
