期間,市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),市區_原始值,市區_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%),公路_原始值,公路_年增率(%)
2011M11,"13,331",10.18,"7,347",9.79,"2,251,894",14.00,"32,682",6.95,"80,997",6.75,"662,429",10.30,8.2,3.32,"1,255,482",5.89,"48,765",-11.10,"6,938",-3.84,"894,054",-6.26,"55,172",-5.35,"18,464",-3.47,"768,152",4.93,41.6,8.70,"1,164,300",-0.60
2011M12,"14,504",19.72,"8,209",21.42,"2,327,680",11.56,"34,016",5.49,"84,622",3.78,"695,691",8.89,8.2,4.92,"1,399,528",13.74,"47,595",-13.22,"6,798",-4.78,"911,742",-8.46,"57,439",-7.20,"18,950",-5.14,"809,001",4.98,42.7,10.67,"1,240,178",-0.72
2012M01,"15,201",26.74,"7,783",9.07,"2,259,217",-2.92,"32,585",-1.07,"72,205",-6.32,"594,359",-0.57,8.2,6.13,"1,190,277",2.13,"51,181",1.20,"6,621",-6.79,"856,266",-11.74,"57,181",-6.54,"16,204",-11.01,"798,196",11.24,49.3,25.00,"1,237,002",7.63
2012M02,"15,263",24.07,"8,358",15.91,"2,235,530",12.09,"32,160",14.17,"75,846",12.05,"623,504",22.64,8.2,9.45,"1,255,228",27.53,"50,896",0.74,"6,522",-8.58,"809,652",-5.23,"52,260",-8.43,"16,136",-1.83,"770,112",6.65,47.7,8.63,"1,174,784",0.22
2012M03,"15,250",23.87,"8,395",16.34,"2,411,827",1.54,"34,729",2.83,"85,994",1.15,"703,610",8.67,8.2,7.43,"1,447,474",15.12,"50,380",0.08,"6,384",-8.35,"860,145",-9.75,"54,494",-10.73,"17,688",-7.08,"784,866",6.11,44.4,14.19,"1,206,871",1.22
2012M04,"15,356",24.49,"7,810",7.55,"2,325,345",3.39,"33,500",5.60,"81,679",-0.02,"667,713",9.39,8.2,9.41,"1,366,974",15.01,"50,233",-0.30,"6,391",-9.00,"837,178",-9.43,"53,979",-10.57,"17,238",-9.85,"805,315",1.21,46.7,12.27,"1,235,748",-1.91
2012M05,"15,812",28.09,"7,899",9.01,"2,442,121",7.22,"35,145",6.53,"87,257",9.06,"708,822",11.00,8.1,1.78,"1,452,362",18.95,"49,955",-0.88,"6,378",-9.31,"851,559",-9.17,"54,509",-7.88,"17,545",-8.67,"792,116",-1.87,45.1,7.44,"1,213,929",-3.30
2012M06,"15,854",23.29,"8,052",10.70,"2,333,834",5.21,"33,726",4.88,"79,469",6.34,"653,447",8.41,8.2,1.94,"1,339,378",15.88,"45,857",-7.26,"6,417",-8.14,"797,004",-10.44,"52,212",-6.19,"15,947",-10.92,"740,791",-6.53,46.5,4.93,"1,135,071",-5.16
2012M07,"16,332",27.12,"8,312",14.27,"2,437,214",6.96,"35,550",7.48,"80,461",7.33,"644,097",5.74,8.0,-1.48,"1,365,954",17.04,"49,555",2.44,"6,282",-9.55,"823,149",-9.48,"54,767",-6.01,"15,690",-10.95,"824,646",-4.76,52.6,6.96,"1,226,233",-4.70
2012M08,"16,621",29.24,"8,288",14.19,"2,418,703",5.84,"35,401",6.77,"80,624",5.72,"646,718",3.87,8.0,-1.75,"1,369,827",14.95,"49,375",1.01,"6,300",-9.05,"794,003",-13.12,"52,315",-9.32,"15,198",-14.48,"790,778",-6.63,52.0,9.18,"1,183,164",-6.91
2012M09,"16,710",28.03,"8,311",13.96,"2,390,127",7.94,"34,968",8.68,"84,844",7.15,"709,841",10.19,8.4,2.84,"1,436,457",16.95,"44,840",-7.92,"6,342",-8.38,"797,062",-10.68,"52,351",-6.63,"16,198",-13.30,"793,033",-4.12,49.0,10.59,"1,208,015",-4.18
2012M10,"17,105",29.54,"8,376",14.63,"2,501,594",9.34,"36,687",10.63,"89,892",10.38,"751,720",13.16,8.4,2.52,"1,521,263",20.20,"44,579",-8.41,"6,288",-9.03,"820,013",-10.97,"53,300",-7.37,"16,813",-12.44,"781,790",-7.40,46.5,5.75,"1,198,086",-6.13
2012M11,"17,212",29.12,"8,320",13.24,"2,431,410",7.97,"35,682",9.18,"86,582",6.90,"727,087",9.76,8.4,2.68,"1,462,186",16.46,"44,669",-8.40,"6,293",-9.30,"794,916",-11.09,"51,363",-6.90,"15,955",-13.59,"743,296",-3.24,46.6,11.98,"1,136,686",-2.37
2012M12,"18,307",26.22,"8,507",3.63,"2,513,075",7.96,"37,078",9.00,"89,856",6.19,"756,945",8.80,8.4,2.47,"1,519,485",8.57,"43,740",-8.10,"6,285",-7.55,"809,462",-11.22,"53,181",-7.41,"16,439",-13.25,"772,507",-4.51,47.0,10.08,"1,201,528",-3.12
2013M01,"19,163",26.06,"8,662",11.29,"2,580,143",14.21,"37,987",16.58,"86,622",19.97,"735,651",23.77,8.5,3.17,"1,476,123",24.02,"42,574",-16.82,"5,974",-9.77,"768,619",-10.24,"51,435",-10.05,"14,593",-9.94,"728,023",-8.79,49.9,1.28,"1,091,024",-11.80
2013M02,...,...,...,...,"2,232,328",-0.14,"31,890",-0.84,"72,124",-4.91,"617,448",-0.97,8.6,4.14,"1,232,557",-1.81,"42,374",-16.74,"5,905",-9.46,"678,148",-16.24,"47,027",-10.01,"13,031",-19.24,"717,723",-6.80,55.1,15.40,"1,096,885",-6.63
2013M03,...,...,...,...,"2,567,019",6.43,"37,890",9.10,"91,570",6.48,"769,874",9.42,8.4,2.76,"1,542,500",6.56,"42,557",-15.53,"5,912",-7.39,"755,425",-12.17,"51,086",-6.25,"15,413",-12.87,"768,167",-2.13,49.8,12.32,"1,182,042",-2.06
2013M04,...,...,...,...,"2,544,692",9.43,"36,579",9.19,"86,573",5.99,"723,620",8.37,8.4,2.25,"1,466,219",7.26,"42,559",-15.28,"5,896",-7.75,"731,371",-12.64,"49,495",-8.31,"14,609",-15.25,"732,054",-9.10,50.1,7.26,"1,118,132",-9.52
2013M05,...,...,...,...,"2,650,866",8.55,"38,029",8.20,"92,041",5.48,"775,431",9.40,8.4,3.71,"1,562,252",7.57,"42,559",-14.80,"5,908",-7.37,"757,211",-11.08,"51,432",-5.65,"15,108",-13.89,"752,380",-5.02,49.8,10.30,"1,142,832",-5.86
2013M06,...,...,...,...,"2,540,062",8.84,"36,842",9.24,"84,986",6.94,"722,210",10.52,8.5,3.35,"1,442,571",7.70,"42,486",-7.35,"5,948",-7.31,"728,283",-8.62,"50,028",-4.18,"14,378",-9.84,"748,547",1.05,52.1,12.07,"1,134,904",-0.01
2013M07,...,...,...,...,"2,632,962",8.03,"38,075",7.10,"83,836",4.20,"714,732",10.97,8.5,6.50,"1,427,852",4.53,"42,174",-14.89,"5,931",-5.59,"729,716",-11.35,"50,433",-7.91,"13,783",-12.15,"761,550",-7.65,55.3,5.12,"1,133,816",-7.54
2013M08,...,...,...,...,"2,624,723",8.52,"38,347",8.32,"82,655",2.52,"711,492",10.02,8.6,7.31,"1,427,693",4.22,"42,557",-13.81,"5,941",-5.70,"742,915",-6.43,"51,479",-1.60,"13,896",-8.57,"789,155",-0.21,56.8,9.15,"1,185,247",0.18
2013M09,...,...,...,...,"2,576,715",7.81,"37,704",7.82,"86,361",1.79,"736,752",3.79,8.5,1.97,"1,477,117",2.83,"40,999",-8.57,"5,881",-7.27,"725,396",-8.99,"50,202",-4.11,"14,301",-11.71,"756,787",-4.57,52.9,8.08,"1,153,684",-4.50
2013M10,...,...,...,...,"2,723,104",8.85,"39,598",7.93,"93,645",4.18,"800,322",6.47,8.5,2.20,"1,599,899",5.17,"40,969",-8.10,"5,913",-5.96,"746,590",-8.95,"51,114",-4.10,"15,050",-10.49,"750,098",-4.05,49.8,7.19,"1,153,471",-3.72
2013M11,...,...,...,...,"2,604,918",7.14,"38,220",7.11,"91,134",5.26,"783,914",7.82,8.6,2.43,"1,541,678",5.44,"41,037",-8.13,"5,958",-5.32,"729,880",-8.18,"50,428",-1.82,"14,668",-8.07,"748,760",0.74,51.0,9.58,"1,137,581",0.08
2013M12,...,...,...,...,"2,720,282",8.25,"39,666",6.98,"93,785",4.37,"800,760",5.79,8.5,1.36,"1,587,353",4.47,"41,051",-6.15,"5,953",-5.28,"756,752",-6.51,"52,456",-1.36,"14,987",-8.83,"769,896",-0.34,51.4,9.32,"1,175,499",-2.17
2014M01,...,...,...,...,"2,604,608",0.95,"38,790",2.11,"85,775",-0.98,"748,608",1.76,8.7,2.77,"1,500,647",1.66,"40,766",-4.25,"5,972",-0.03,"746,709",-2.85,"52,895",2.84,"14,009",-4.00,"743,133",2.08,53.0,6.33,"1,152,665",5.65
2014M02,...,...,...,...,"2,294,187",2.77,"33,668",5.57,"77,457",7.39,"672,242",8.87,8.7,1.38,"1,330,071",7.91,"40,989",-3.27,"6,003",1.66,"670,527",-1.12,"47,445",0.89,"13,184",1.18,"728,340",1.48,55.2,0.30,"1,108,491",1.06
2014M03,...,...,...,...,"2,627,900",2.37,"38,708",2.16,"91,941",0.40,"790,906",2.73,8.6,2.32,"1,579,972",2.43,"40,894",-3.91,"5,917",0.08,"748,830",-0.87,"51,347",0.51,"14,900",-3.33,"776,754",1.12,52.1,4.60,"1,182,462",0.04
2014M04,...,...,...,...,"2,599,037",2.14,"38,152",4.30,"88,709",2.47,"767,336",6.04,8.7,3.49,"1,493,927",1.89,"40,722",-4.32,"5,846",-0.85,"725,906",-0.75,"49,920",0.86,"14,607",-0.01,"754,426",3.06,51.6,3.07,"1,135,685",1.57
2014M05,...,...,...,...,"2,686,288",1.34,"39,598",4.13,"93,082",1.13,"801,058",3.30,8.6,2.15,"1,564,201",0.12,"40,764",-4.22,"5,869",-0.66,"755,176",-0.27,"52,485",2.05,"14,876",-1.54,"775,786",3.11,52.1,4.72,"1,187,118",3.88
2014M06,...,...,...,...,"2,604,971",2.56,"38,239",3.79,"86,492",1.77,"754,304",4.44,8.7,2.63,"1,458,016",1.07,"40,668",-4.28,"5,893",-0.92,"722,259",-0.83,"50,224",0.39,"14,238",-0.98,"748,961",0.06,52.6,1.04,"1,116,424",-1.63
