期間,總計_原始值,總計_年增率(%),產業外籍勞工-合計_原始值,產業外籍勞工-合計_年增率(%),產業外籍勞工-農、林、漁、牧業(國內外船員)_原始值,產業外籍勞工-農、林、漁、牧業(國內外船員)_年增率(%),產業外籍勞工-製造業_原始值,產業外籍勞工-製造業_年增率(%),產業外籍勞工-製造業-重大投資_原始值,產業外籍勞工-製造業-重大投資_年增率(%),產業外籍勞工-營造業_原始值,產業外籍勞工-營造業_年增率(%),產業外籍勞工-營造業-重大公共工程_原始值,產業外籍勞工-營造業-重大公共工程_年增率(%),社福外籍勞工-合計_原始值,社福外籍勞工-合計_年增率(%),社福外籍勞工-看護工_原始值,社福外籍勞工-看護工_年增率(%),社福外籍勞工-家庭幫傭_原始值,社福外籍勞工-家庭幫傭_年增率(%)
2007M01,"341,871",4.45,"186,040",2.79,"3,356",6.20,"170,902",3.82,"84,061",6.20,"11,782",-10.92,"5,822",-5.21,"155,831",6.50,"153,396",6.48,"2,435",7.79
2007M02,"341,623",2.98,"184,312",0.63,"3,417",7.28,"169,167",1.41,"83,184",2.92,"11,728",-10.80,"5,840",-8.78,"157,311",5.87,"154,856",5.83,"2,455",8.48
2007M03,"345,812",3.79,"187,255",1.82,"3,542",9.56,"172,031",2.68,"84,128",3.14,"11,682",-10.99,"5,959",-6.22,"158,557",6.21,"156,069",6.18,"2,488",8.32
2007M04,"347,172",4.07,"187,747",1.64,"3,572",10.32,"172,947",2.91,"84,371",2.74,"11,228",-16.35,"5,952",-10.28,"159,425",7.09,"156,915",7.03,"2,510",10.52
2007M05,"348,670",4.56,"188,371",1.97,"3,623",11.61,"173,975",3.16,"84,776",2.04,"10,773",-16.05,"5,871",-5.25,"160,299",7.76,"157,761",7.72,"2,538",10.49
2007M06,"350,955",4.16,"190,051",1.72,"3,656",13.43,"176,061",3.08,"85,546",1.36,"10,334",-19.27,"5,858",-5.52,"160,904",7.19,"158,360",7.15,"2,544",9.51
2007M07,"351,215",4.29,"190,002",2.44,"3,656",14.32,"176,368",3.98,"85,269",1.20,"9,978",-21.10,"5,949",-3.05,"161,213",6.55,"158,683",6.53,"2,530",7.80
2007M08,"352,297",4.71,"190,442",3.10,"3,660",16.12,"177,242",4.79,"85,412",1.33,"9,540",-23.24,"5,801",-3.80,"161,855",6.66,"159,312",6.64,"2,543",7.75
2007M09,"355,756",5.61,"192,606",4.51,"3,727",18.20,"179,726",6.36,"86,082",2.10,"9,153",-24.74,"5,841",-1.52,"163,150",6.94,"160,602",6.93,"2,548",7.56
2007M10,"356,510",5.79,"194,270",5.43,"3,713",18.06,"181,269",7.22,"86,417",2.58,"9,288",-22.91,"6,091",2.15,"162,240",6.23,"159,713",6.24,"2,527",5.29
2007M11,"357,705",5.82,"195,233",5.60,"3,724",14.83,"182,813",7.86,"86,666",2.95,"8,696",-28.31,"6,150",2.38,"162,472",6.07,"159,934",6.08,"2,538",5.49
2007M12,"357,937",5.66,"195,709",5.81,"3,786",13.97,"183,329",7.90,"86,582",3.08,"8,594",-26.83,"5,992",1.84,"162,228",5.49,"159,702",5.49,"2,526",5.51
2008M01,"359,103",5.04,"195,220",4.93,"3,785",12.78,"183,142",7.16,"86,328",2.70,"8,293",-29.61,"5,773",-0.84,"163,883",5.17,"161,353",5.19,"2,530",3.90
2008M02,"362,782",6.19,"196,426",6.57,"3,947",15.51,"184,542",9.09,"86,496",3.98,"7,937",-32.32,"5,455",-6.59,"166,356",5.75,"163,815",5.79,"2,541",3.50
2008M03,"365,229",5.61,"198,085",5.78,"4,091",15.50,"186,224",8.25,"86,701",3.06,"7,770",-33.49,"5,380",-9.72,"167,144",5.42,"164,572",5.45,"2,572",3.38
2008M04,"367,119",5.75,"199,139",6.07,"4,204",17.69,"187,298",8.30,"86,566",2.60,"7,637",-31.98,"5,287",-11.17,"167,980",5.37,"165,383",5.40,"2,597",3.47
2008M05,"369,406",5.95,"201,291",6.86,"4,302",18.74,"189,484",8.91,"86,592",2.14,"7,505",-30.34,"5,191",-11.58,"168,115",4.88,"165,517",4.92,"2,598",2.36
2008M06,"372,097",6.02,"203,927",7.30,"4,417",20.82,"192,230",9.18,"86,400",1.00,"7,280",-29.55,"5,015",-14.39,"168,170",4.52,"165,573",4.55,"2,597",2.08
2008M07,"374,147",6.53,"205,849",8.34,"4,497",23.00,"194,258",10.14,"85,936",0.78,"7,094",-28.90,"4,947",-16.84,"168,298",4.39,"165,727",4.44,"2,571",1.62
2008M08,"373,336",5.97,"205,657",7.99,"4,497",22.87,"194,221",9.58,"84,689",-0.85,"6,939",-27.26,"4,817",-16.96,"167,679",3.60,"165,093",3.63,"2,586",1.69
2008M09,"369,730",3.93,"204,014",5.92,"4,488",20.42,"192,598",7.16,"83,190",-3.36,"6,928",-24.31,"4,797",-17.87,"165,716",1.57,"163,167",1.60,"2,549",0.04
2008M10,"373,190",4.68,"206,532",6.31,"4,613",24.24,"195,268",7.72,"82,636",-4.38,"6,651",-28.39,"4,633",-23.94,"166,658",2.72,"164,116",2.76,"2,542",0.59
2008M11,"373,276",4.35,"205,163",5.09,"4,723",26.83,"194,052",6.15,"80,834",-6.73,"6,388",-26.54,"4,559",-25.87,"168,113",3.47,"165,564",3.52,"2,549",0.43
2008M12,"365,060",1.99,"196,633",0.47,"4,865",28.50,"185,624",1.25,"74,757",-13.66,"6,144",-28.51,"4,467",-25.45,"168,427",3.82,"165,898",3.88,"2,529",0.12
2009M01,"355,743",-0.94,"186,606",-4.41,"4,929",30.22,"175,910",-3.95,"68,871",-20.22,"5,767",-30.46,"4,212",-27.04,"169,137",3.21,"166,603",3.25,"2,534",0.16
2009M02,"349,258",-3.73,"178,216",-9.27,"5,222",32.30,"167,601",-9.18,"62,704",-27.51,"5,393",-32.05,"3,978",-27.08,"171,042",2.82,"168,484",2.85,"2,558",0.67
2009M03,"343,227",-6.02,"172,509",-12.91,"5,387",31.68,"162,015",-13.00,"59,660",-31.19,"5,107",-34.27,"3,829",-28.83,"170,718",2.14,"168,179",2.19,"2,539",-1.28
2009M04,"344,372",-6.20,"171,715",-13.77,"5,877",39.80,"160,988",-14.05,"58,716",-32.17,"4,850",-36.49,"3,618",-31.57,"172,657",2.78,"170,146",2.88,"2,511",-3.31
2009M05,"341,943",-7.43,"169,406",-15.84,"5,805",34.94,"158,951",-16.11,"57,501",-33.60,"4,650",-38.04,"3,513",-32.33,"172,537",2.63,"170,058",2.74,"2,479",-4.58
2009M06,"341,484",-8.23,"169,091",-17.08,"5,819",31.74,"158,728",-17.43,"56,836",-34.22,"4,544",-37.58,"3,413",-31.94,"172,393",2.51,"169,964",2.65,"2,429",-6.47
2009M07,"343,228",-8.26,"170,265",-17.29,"5,915",31.53,"159,967",-17.65,"56,941",-33.74,"4,383",-38.22,"3,218",-34.95,"172,963",2.77,"170,584",2.93,"2,379",-7.47
2009M08,"344,599",-7.70,"170,779",-16.96,"6,036",34.22,"160,435",-17.40,"56,745",-33.00,"4,308",-37.92,"3,130",-35.02,"173,820",3.66,"171,462",3.86,"2,358",-8.82
2009M09,"345,755",-6.48,"172,054",-15.67,"6,113",36.21,"161,758",-16.01,"56,863",-31.65,"4,183",-39.62,"3,020",-37.04,"173,701",4.82,"171,359",5.02,"2,342",-8.12
2009M10,"347,618",-6.85,"173,583",-15.95,"6,134",32.97,"163,294",-16.37,"56,992",-31.03,"4,155",-37.53,"2,999",-35.27,"174,035",4.43,"171,711",4.63,"2,324",-8.58
2009M11,"349,433",-6.39,"175,046",-14.68,"6,337",34.17,"164,697",-15.13,"56,860",-29.66,"4,012",-37.19,"2,822",-38.10,"174,387",3.73,"172,079",3.94,"2,308",-9.45
2009M12,"351,016",-3.85,"176,073",-10.46,"6,452",32.62,"165,790",-10.69,"56,573",-24.32,"3,831",-37.65,"2,725",-39.00,"174,943",3.87,"172,647",4.07,"2,296",-9.21
2010M01,"353,805",-0.54,"176,988",-5.15,"6,532",32.52,"166,761",-5.20,"56,439",-18.05,"3,695",-35.93,"2,597",-38.34,"176,817",4.54,"174,513",4.75,"2,304",-9.08
2010M02,"355,136",1.68,"177,210",-0.56,"6,583",26.06,"167,000",-0.36,"56,474",-9.94,"3,627",-32.75,"2,524",-36.55,"177,926",4.02,"175,610",4.23,"2,316",-9.46
2010M03,"359,583",4.77,"180,276",4.50,"6,709",24.54,"170,028",4.95,"56,291",-5.65,"3,539",-30.70,"2,458",-35.81,"179,307",5.03,"176,982",5.23,"2,325",-8.43
