期間,合計_原始值,合計_年增率(%),業務_原始值,業務_年增率(%),觀光_原始值,觀光_年增率(%),探親_原始值,探親_年增率(%),會議_原始值,會議_年增率(%),求學_原始值,求學_年增率(%),展覽_原始值,展覽_年增率(%),醫療_原始值,醫療_年增率(%),其他_原始值,其他_年增率(%),未列明_原始值,未列明_年增率(%)
2002M05,"243,941",1.35,"72,049",-7.15,"82,645",0.50,"28,057",3.38,"3,486",5.06,"1,275",-8.01,-,--,-,--,"11,118",4.87,"45,311",17.94
2002M06,"241,378",-4.82,"75,236",-3.93,"74,817",-15.30,"30,430",-5.22,"4,107",-29.63,"1,665",7.56,-,--,-,--,"9,481",7.78,"45,642",18.06
2002M07,"234,596",0.85,"65,527",-6.35,"68,793",-17.32,"29,591",-3.24,"3,008",1.97,"8,013",236.54,-,--,-,--,"12,330",49.98,"47,334",34.10
2002M08,"246,079",2.23,"59,496",-8.31,"82,880",-11.65,"25,808",-9.54,"2,934",-1.58,"11,612",301.94,-,--,-,--,"15,682",66.00,"47,667",24.93
2002M09,"233,613",7.90,"66,886",13.11,"79,160",-4.67,"20,492",-5.17,"4,015",37.31,"10,608",146.58,-,--,-,--,"11,855",37.26,"40,597",10.15
2002M10,"258,360",20.95,"78,695",9.09,"86,318",20.98,"21,889",-0.10,"4,304",22.55,"7,323",560.32,-,--,-,--,"12,819",60.78,"47,012",32.01
2002M11,"255,645",17.36,"69,409",1.40,"96,004",29.15,"24,135",-3.68,"4,456",9.06,"6,143",375.83,-,--,-,--,"11,035",58.21,"44,463",18.16
2002M12,"285,303",17.55,"63,230",7.99,"116,278",22.45,"33,687",-3.26,"3,344",9.75,"4,867",339.26,-,--,-,--,"12,320",66.26,"51,577",20.46
2003M01,"238,031",9.39,"65,554",-6.81,"85,072",18.87,"31,386",27.66,"2,025",-3.66,"4,379",273.63,-,--,-,--,"11,612",49.22,"38,003",-5.11
2003M02,"259,966",11.15,"66,554",18.55,"101,259",23.06,"25,290",-22.61,"2,411",58.72,"10,739",79.40,-,--,-,--,"13,867",58.21,"39,846",-14.35
2003M03,"258,128",-8.31,"74,433",-1.64,"99,707",-9.76,"27,304",-11.40,"2,968",-11.03,"4,571",169.99,-,--,-,--,"10,929",28.37,"38,216",-25.06
2003M04,"110,640",-54.98,"34,031",-56.80,"27,937",-63.90,"15,088",-45.30,"1,021",-64.47,"2,178",40.79,-,--,-,--,"6,815",-31.73,"23,570",-50.48
2003M05,"40,256",-83.50,"11,538",-83.99,"3,484",-95.78,"5,925",-78.88,152,-95.64,860,-32.55,-,--,-,--,"4,265",-61.64,"14,032",-69.03
2003M06,"57,131",-76.33,"18,441",-75.49,"4,147",-94.46,"9,867",-67.57,286,-93.04,"1,244",-25.29,-,--,-,--,"8,774",-7.46,"14,372",-68.51
2003M07,"154,174",-34.28,"57,350",-12.48,"29,577",-57.01,"23,676",-19.99,"1,196",-60.24,"3,399",-57.58,-,--,-,--,"16,002",29.78,"22,974",-51.46
2003M08,"200,614",-18.48,"67,266",13.06,"51,538",-37.82,"26,759",3.68,"2,232",-23.93,"5,732",-50.64,-,--,-,--,"19,377",23.56,"27,710",-41.87
2003M09,"218,594",-6.43,"80,163",19.85,"57,311",-27.60,"24,871",21.37,"4,148",3.31,"6,629",-37.51,-,--,-,--,"17,855",50.61,"27,617",-31.97
2003M10,"223,552",-13.47,"81,128",3.09,"64,304",-25.50,"25,569",16.81,"4,621",7.37,"2,825",-61.42,-,--,-,--,"17,378",35.56,"27,727",-41.02
2003M11,"241,349",-5.59,"77,605",11.81,"78,925",-17.79,"28,118",16.50,"5,831",30.86,"3,191",-48.05,-,--,-,--,"18,401",66.75,"29,278",-34.15
2003M12,"245,682",-13.89,"64,729",2.37,"92,016",-20.87,"36,169",7.37,"4,654",39.17,"2,828",-41.89,-,--,-,--,"17,381",41.08,"27,905",-45.90
2004M01,"212,854",-10.58,"62,635",-4.45,"63,766",-25.04,"36,966",17.78,"3,117",53.93,"2,733",-37.59,-,--,-,--,"17,793",53.23,"25,844",-31.99
2004M02,"221,020",-14.98,"79,000",18.70,"62,147",-38.63,"27,144",7.33,"2,753",14.18,"7,871",-26.71,-,--,-,--,"17,277",24.59,"24,828",-37.69
2004M03,"239,575",-7.19,"84,527",13.56,"74,308",-25.47,"30,506",11.73,"3,573",20.38,"2,280",-50.12,-,--,-,--,"17,691",61.87,"26,690",-30.16
2004M04,"229,061",107.03,"75,256",121.14,"75,862",171.55,"29,785",97.41,"2,706",165.03,"2,153",-1.15,-,--,-,--,"17,598",158.22,"25,701",9.04
