期間,10天_原始值,10天_年增率(%),10天_原始值,10天_年增率(%),30天_原始值,30天_年增率(%),30天_原始值,30天_年增率(%),60天_原始值,60天_年增率(%),60天_原始值,60天_年增率(%),90天_原始值,90天_年增率(%),90天_原始值,90天_年增率(%),120天_原始值,120天_年增率(%),120天_原始值,120天_年增率(%),180天_原始值,180天_年增率(%),180天_原始值,180天_年增率(%)
2007M02,32.843,-1.43,32.988,-1.51,32.768,-1.41,32.928,-1.50,32.671,-1.38,32.830,-1.48,32.564,-1.35,32.723,-1.45,32.485,-1.41,32.632,-1.47,32.275,-1.40,32.429,-1.48
2007M03,32.986,-1.87,33.135,-1.95,32.916,-1.86,33.079,-1.96,32.812,-1.86,32.975,-1.96,32.719,-1.86,32.882,-1.97,32.622,-1.86,32.785,-1.97,32.435,-1.90,32.598,-2.01
2007M04,33.174,-4.09,33.358,-4.26,33.098,-4.09,33.298,-4.29,33.006,-4.09,33.205,-4.29,32.907,-4.09,33.107,-4.29,32.808,-4.12,33.007,-4.32,32.615,-4.11,32.815,-4.30
2007M05,32.924,-3.04,33.093,-3.17,32.871,-3.09,33.047,-3.23,32.773,-3.10,32.960,-3.27,32.694,-3.21,32.880,-3.38,32.618,-3.26,32.810,-3.43,32.434,-3.32,32.640,-3.55
2007M06,32.634,-1.16,32.785,-1.20,32.565,-1.19,32.730,-1.26,32.468,-1.21,32.634,-1.28,32.385,-1.28,32.550,-1.35,32.292,-1.35,32.460,-1.43,32.134,-1.52,32.300,-1.58
2007M07,32.704,-0.15,32.852,-0.24,32.627,-0.17,32.791,-0.29,32.543,-0.20,32.705,-0.32,32.453,-0.27,32.615,-0.38,32.365,-0.33,32.528,-0.44,32.203,-0.45,32.367,-0.57
2007M08,32.891,-0.24,33.038,-0.33,32.817,-0.23,32.979,-0.35,32.707,-0.23,32.869,-0.34,32.613,-0.25,32.774,-0.35,32.514,-0.27,32.674,-0.38,32.346,-0.34,32.507,-0.45
2007M09,32.482,1.61,32.632,1.50,32.415,1.60,32.580,1.46,32.325,1.57,32.490,1.43,32.235,1.54,32.401,1.40,32.147,1.48,32.313,1.34,32.000,1.38,32.165,1.23
2007M10,32.295,2.70,32.456,2.56,32.237,2.65,32.411,2.49,32.156,2.61,32.331,2.44,32.078,2.54,32.254,2.37,32.010,2.47,32.185,2.31,31.875,2.30,32.050,2.13
2007M11,32.156,0.52,32.308,0.45,32.075,0.55,32.242,0.46,31.980,0.53,32.145,0.44,31.892,0.52,32.060,0.43,31.806,0.50,31.973,0.40,31.655,0.39,31.843,0.23
2007M12,32.330,0.50,32.487,0.40,32.268,0.46,32.438,0.34,32.191,0.42,32.363,0.29,32.114,0.37,32.286,0.24,32.030,0.35,32.213,0.19,31.886,0.20,32.088,-0.02
2008M01,32.070,2.38,32.255,2.27,32.039,2.28,32.238,2.16,31.998,2.10,32.198,1.97,31.969,1.88,32.168,1.77,31.934,1.66,32.143,1.50,31.873,1.26,32.073,1.13
2008M02,30.841,6.49,31.011,6.38,30.809,6.36,30.997,6.23,30.783,6.13,30.968,6.01,30.755,5.88,30.940,5.76,30.723,5.74,30.908,5.58,30.660,5.27,30.845,5.14
2008M03,30.291,8.90,30.466,8.76,30.265,8.76,30.455,8.62,30.240,8.51,30.430,8.36,30.214,8.29,30.405,8.15,30.190,8.06,30.380,7.92,30.145,7.60,30.335,7.46
2008M04,30.368,9.24,30.514,9.32,30.343,9.08,30.502,9.17,30.311,8.89,30.472,8.97,30.282,8.67,30.443,8.75,30.255,8.44,30.415,8.52,30.190,8.03,30.350,8.12
2008M05,30.318,8.60,30.479,8.58,30.298,8.49,30.474,8.44,30.277,8.24,30.454,8.23,30.254,8.07,30.431,8.05,30.231,7.90,30.408,7.90,30.169,7.51,30.347,7.56
2008M06,30.272,7.80,30.414,7.80,30.239,7.69,30.396,7.68,30.210,7.47,30.371,7.45,30.181,7.30,30.338,7.29,30.147,7.12,30.304,7.11,30.059,6.90,30.232,6.84
2008M07,30.514,7.18,30.696,7.02,30.487,7.02,30.684,6.87,30.449,6.88,30.646,6.72,30.415,6.70,30.612,6.54,30.374,6.55,30.572,6.40,30.260,6.42,30.467,6.24
2008M08,31.446,4.60,31.621,4.48,31.422,4.44,31.613,4.32,31.386,4.21,31.577,4.09,31.349,4.03,31.540,3.91,31.295,3.90,31.486,3.77,31.188,3.71,31.380,3.59
2008M09,32.008,1.48,32.254,1.17,31.884,1.67,32.173,1.27,31.715,1.92,32.053,1.36,31.565,2.12,31.943,1.43,31.415,2.33,31.793,1.64,31.115,2.84,31.733,1.36
2008M10,32.884,-1.79,33.070,-1.86,32.824,-1.79,33.060,-1.96,32.749,-1.81,33.005,-2.04,32.695,-1.89,32.935,-2.07,32.620,-1.87,32.850,-2.02,32.469,-1.83,32.750,-2.14
2008M11,33.202,-3.15,33.361,-3.16,33.128,-3.18,33.349,-3.32,33.064,-3.28,33.289,-3.44,32.979,-3.30,33.194,-3.42,32.883,-3.28,33.119,-3.46,32.699,-3.19,32.979,-3.44
2008M12,32.703,-1.14,32.929,-1.34,32.686,-1.28,32.925,-1.48,32.626,-1.33,32.915,-1.68,32.586,-1.45,32.870,-1.78,32.521,-1.51,32.820,-1.85,32.401,-1.59,32.740,-1.99
2009M01,33.497,-4.26,33.870,-4.77,33.484,-4.32,33.866,-4.81,33.449,-4.34,33.861,-4.91,33.399,-4.28,33.831,-4.92,33.353,-4.25,33.796,-4.89,33.233,-4.09,33.706,-4.84
2009M02,34.844,-11.49,35.019,-11.45,34.828,-11.54,35.018,-11.48,34.786,-11.51,34.998,-11.51,34.731,-11.45,34.963,-11.51,34.665,-11.37,34.905,-11.45,34.520,-11.18,34.794,-11.35
2009M03,33.829,-10.46,33.985,-10.35,33.806,-10.47,33.976,-10.36,33.764,-10.44,33.955,-10.38,33.707,-10.36,33.920,-10.36,33.645,-10.27,33.864,-10.29,33.520,-10.07,33.773,-10.18
2009M04,32.989,-7.95,33.302,-8.37,32.971,-7.97,33.300,-8.40,32.934,-7.96,33.283,-8.45,32.887,-7.92,33.257,-8.46,32.836,-7.86,33.208,-8.41,32.716,-7.72,33.128,-8.39
2009M05,32.549,-6.85,32.719,-6.85,32.538,-6.88,32.715,-6.85,32.503,-6.85,32.710,-6.90,32.462,-6.80,32.690,-6.91,32.419,-6.75,32.655,-6.88,32.313,-6.64,32.580,-6.85
2009M06,32.731,-7.51,32.888,-7.52,32.720,-7.58,32.883,-7.56,32.700,-7.61,32.875,-7.62,32.654,-7.57,32.870,-7.70,32.619,-7.58,32.840,-7.72,32.513,-7.55,32.767,-7.74
2009M07,32.728,-6.76,32.887,-6.66,32.717,-6.82,32.884,-6.69,32.701,-6.89,32.878,-6.79,32.670,-6.90,32.870,-6.87,32.639,-6.94,32.858,-6.96,32.558,-7.06,32.814,-7.15
2009M08,32.841,-4.25,32.993,-4.16,32.833,-4.30,32.992,-4.18,32.816,-4.36,32.988,-4.28,32.803,-4.43,32.983,-4.37,32.764,-4.48,32.974,-4.51,32.691,-4.60,32.940,-4.74
2009M09,32.058,-0.16,32.270,-0.05,32.051,-0.52,32.269,-0.30,32.038,-1.01,32.267,-0.66,32.023,-1.43,32.262,-0.99,31.996,-1.82,32.258,-1.44,31.934,-2.56,32.246,-1.59
2009M10,32.440,1.37,32.605,1.43,32.433,1.21,32.603,1.40,32.419,1.02,32.600,1.24,32.404,0.90,32.596,1.04,32.383,0.73,32.588,0.80,32.306,0.50,32.567,0.56
2009M11,32.097,3.44,32.239,3.48,32.088,3.24,32.239,3.44,32.081,3.06,32.233,3.28,32.067,2.84,32.230,2.99,32.049,2.60,32.225,2.77,31.997,2.19,32.211,2.38
2009M12,31.890,2.55,32.085,2.63,31.880,2.53,32.083,2.62,31.874,2.36,32.078,2.61,31.862,2.27,32.074,2.48,31.840,2.14,32.064,2.36,31.790,1.92,32.047,2.16
