期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
2007M02,"15,600",155.74,"7,879",-65.63,"2,066,579",3.81,"8,400",663.64,"6,994",-68.58,"1,136,449",-3.04,"7,200",44.00,885,33.28,"930,130",13.63
2007M03,"30,900",157.50,"21,153",38.91,"2,076,326",4.47,"6,700",34.00,"8,837",-26.91,"1,134,312",-2.64,"24,200",245.71,"12,316",292.60,"942,014",14.54
2007M04,"14,240",-51.47,"32,378",87.09,"2,058,188",2.93,"10,340",54.33,"21,233",23.49,"1,123,419",-2.70,"3,900",-82.77,"11,145","9,850.89","934,769",10.63
2007M05,"10,700",-63.74,"26,688",-10.96,"2,042,200",2.16,"9,200",-29.23,"19,134",-26.98,"1,113,485",-2.44,"1,500",-90.91,"7,554",100.32,"928,715",8.28
2007M06,"29,540",-3.84,"31,081",-16.17,"2,040,659",2.41,"13,820",-1.99,"14,159",-60.41,"1,113,146",-0.58,"15,720",-5.42,"16,922","1,192.74","927,513",6.24
2007M07,"24,200",32.10,"54,155",74.43,"2,010,704",1.55,"24,200",59.95,"28,137",-8.84,"1,109,209",0.48,...,...,"26,018","14,435.20","901,495",2.91
2007M08,"10,130",-65.07,"21,690",-10.36,"1,999,144",0.72,"5,130",-77.70,"12,286",-9.29,"1,102,053",-1.02,"5,000",-16.67,"9,404",-11.72,"897,091",2.95
2007M09,"43,928",167.85,"21,169",-35.71,"2,021,903",2.73,"10,808",-18.74,"10,630",-48.96,"1,102,231",-0.33,"33,120",968.39,"10,539",-12.92,"919,672",6.65
2007M10,"10,150",-74.40,"45,921",162.80,"1,986,132",-0.22,"10,150",-60.35,"10,804",-32.01,"1,101,577",-1.26,...,...,"35,117","2,116.98","884,555",1.11
2007M11,"33,825",-59.03,"18,362",-46.08,"2,001,594",-1.83,"21,740",-62.77,"10,552",-61.77,"1,112,765",-2.93,"12,085",-49.97,"7,810",20.94,"888,829",-0.41
2007M12,"126,505",28.34,"106,148",76.55,"2,021,951",-2.67,"37,000",-23.08,"44,907",4.33,"1,104,858",-4.05,"89,805",77.94,"61,241",258.51,"917,393",-0.92
2008M01,"22,860",320.99,"25,111",4.91,"2,019,700",-1.90,"1,660",-69.43,"16,122",-26.16,"1,090,396",-3.93,"21,200",...,"8,989",328.05,"929,604",0.63
2008M02,"6,700",-57.05,"15,659",98.74,"2,010,741",-2.70,"3,700",-55.95,"4,179",-40.25,"1,089,917",-4.09,"3,000",-58.33,"11,480","1,197.18","921,124",-0.97
2008M03,"17,650",-42.88,"12,420",-41.28,"2,015,971",-2.91,"1,600",-76.12,"8,506",-3.75,"1,083,011",-4.52,"16,050",-33.68,"3,914",-68.22,"933,260",-0.93
2008M04,"48,500",240.59,"32,382",0.01,"2,032,089",-1.27,"19,500",88.59,"16,080",-24.27,"1,086,431",-3.29,"29,000",643.59,"16,302",46.27,"945,958",1.20
2008M05,"49,239",360.18,"27,443",2.83,"2,052,838",0.52,"20,900",127.17,"23,742",24.08,"1,083,589",-2.68,"28,339","1,789.27","3,701",-51.01,"969,549",4.40
2008M06,"69,625",135.70,"69,108",122.35,"2,053,355",0.62,"43,625",215.67,"64,550",355.89,"1,062,664",-4.54,"26,000",65.39,"4,558",-73.06,"990,991",6.84
2008M07,"19,250",-20.45,"27,939",-48.41,"2,044,667",1.69,"18,150",-25.00,"22,194",-21.12,"1,058,620",-4.56,"1,100",...,"5,745",-77.92,"986,347",9.41
2008M08,"11,850",16.98,"24,933",14.95,"2,031,584",1.62,"11,850",130.99,"21,471",74.76,"1,048,999",-4.81,...,...,"3,462",-63.19,"982,885",9.56
2008M09,"26,000",-40.81,"37,448",76.90,"2,020,136",-0.09,"18,100",67.47,"15,355",44.45,"1,051,744",-4.58,"7,900",-76.15,"22,093",109.63,"968,692",5.33
2008M10,"13,850",36.45,"22,809",-50.33,"2,011,176",1.26,"9,050",-10.84,"6,020",-44.28,"1,054,774",-4.25,"4,800",...,"16,789",-52.19,"956,702",8.16
2008M11,"34,460",1.88,"46,451",152.97,"1,999,185",-0.12,"34,460",58.51,"18,792",78.09,"1,070,442",-3.80,...,...,"27,659",254.15,"929,043",4.52
2008M12,"128,460",1.55,"94,700",-10.78,"2,032,945",0.54,"104,680",182.92,"36,108",-19.59,"1,139,014",3.09,"23,780",-73.52,"56,792",-7.26,"896,031",-2.33
2009M01,"9,000",-60.63,"49,370",96.61,"1,992,875",-1.33,"6,000",261.45,"33,289",106.48,"1,111,725",1.96,"3,000",-85.85,"10,581",17.71,"888,450",-4.43
2009M02,"6,000",-10.45,"25,297",61.55,"1,973,578",-1.85,"5,000",35.14,"7,868",88.27,"1,108,857",1.74,"1,000",-66.67,"17,429",51.82,"872,021",-5.33
2009M03,500,-97.17,"56,768",357.07,"1,917,310",-4.89,...,...,"3,457",-59.36,"1,105,400",2.07,500,-96.88,"53,311","1,262.06","819,210",-12.22
2009M04,"32,790",-32.39,"24,276",-25.03,"1,925,824",-5.23,"24,690",26.62,"21,139",31.46,"1,108,951",2.07,"8,100",-72.07,"3,137",-80.76,"824,173",-12.87
2009M05,"14,700",-70.15,"35,017",27.60,"1,905,507",-7.18,"8,000",-61.72,"24,617",3.69,"1,092,334",0.81,"6,700",-76.36,"10,400",181.01,"820,473",-15.38
2009M06,"16,320",-76.56,"46,191",-33.16,"1,875,636",-8.66,"4,200",-90.37,"34,380",-46.74,"1,062,154",-0.05,"12,120",-53.38,"11,811",159.13,"820,782",-17.18
2009M07,"14,490",-24.73,"31,182",11.61,"1,866,244",-8.73,"10,090",-44.41,"16,241",-26.82,"1,056,003",-0.25,"4,400",300.00,"14,941",160.07,"810,241",-17.85
2009M08,"29,400",148.10,"23,498",-5.76,"1,872,146",-7.85,"28,400",139.66,"23,480",9.36,"1,060,923",1.14,"1,000",...,18,-99.48,"811,223",-17.47
2009M09,"22,700",-12.69,"16,972",-54.68,"1,877,874",-7.04,"13,700",-24.31,"6,535",-57.44,"1,068,088",1.55,"9,000",13.92,"10,437",-52.76,"809,786",-16.40
2009M10,"73,280",429.10,"31,199",36.78,"1,919,955",-4.54,"48,430",435.14,"10,719",78.06,"1,105,799",4.84,"24,850",417.71,"20,480",21.98,"814,156",-14.90
2009M11,"24,200",-29.77,"14,474",-68.84,"1,929,681",-3.48,"22,200",-35.58,"3,839",-79.57,"1,124,160",5.02,"2,000",...,"10,635",-61.55,"805,521",-13.30
2009M12,"59,167",-53.94,"39,459",-58.33,"1,949,389",-4.11,"33,170",-68.31,"20,391",-43.53,"1,136,939",-0.18,"25,997",9.32,"19,068",-66.42,"812,450",-9.33
