期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),美國道瓊工業指數_原始值,美國道瓊工業指數_年增率(%),美國NASDAQ指數_原始值,美國NASDAQ指數_年增率(%),日本日經225_原始值,日本日經225_年增率(%),倫敦金融時報_原始值,倫敦金融時報_年增率(%),香港恆生指數_原始值,香港恆生指數_年增率(%),韓國綜合指數_原始值,韓國綜合指數_年增率(%),新加坡海峽時報_原始值,新加坡海峽時報_年增率(%),上海綜合指數_原始值,上海綜合指數_年增率(%)
2007M06,"8,883.21",32.50,"13,408.62",20.25,"2,603.23",19.85,"18,138.36",16.98,"6,607.90",13.28,"21,772.73",33.84,"1,743.60",34.63,"3,548.20",45.69,...,...
2007M07,"9,287.25",43.89,"13,211.99",18.12,"2,545.57",21.71,"17,248.89",11.59,"6,360.10",7.28,"23,184.94",36.61,"1,933.27",48.96,"3,547.66",45.07,...,...
2007M08,"8,982.16",35.85,"13,357.74",17.37,"2,596.36",18.89,"16,569.09",2.65,"6,303.30",6.73,"23,984.14",37.90,"1,873.24",38.48,"3,392.91",36.68,...,...
2007M09,"9,476.52",37.68,"13,895.63",18.98,"2,701.50",19.62,"16,785.69",4.08,"6,466.80",8.49,"27,142.47",54.72,"1,946.48",41.93,"3,706.23",44.28,...,...
2007M10,"9,711.37",38.31,"13,930.01",15.31,"2,859.12",20.81,"16,737.63",2.06,"6,721.60",9.67,"31,352.58",71.10,"2,064.85",51.32,"3,805.70",40.86,...,...
2007M11,"8,586.40",13.46,"13,371.72",9.41,"2,660.96",9.42,"15,680.67",-3.65,"6,432.50",6.34,"28,643.61",51.07,"1,906.00",33.08,"3,521.27",24.05,...,...
2007M12,"8,506.28",8.72,"13,264.82",6.43,"2,652.28",9.81,"15,307.78",-11.13,"6,456.90",3.80,"27,812.65",39.31,"1,897.13",32.25,"3,482.30",16.63,...,...
2008M01,"7,521.13",-2.32,"12,650.36",0.23,"2,389.86",-3.01,"13,592.47",-21.81,"5,879.80",-5.21,"23,455.74",16.66,"1,624.68",19.44,"2,981.75",-4.60,"2,881.07",...
2008M02,"8,412.76",6.46,"12,266.39",-0.02,"2,271.48",-5.99,"13,603.02",-22.73,"5,884.30",-4.65,"24,331.67",23.82,"1,711.62",20.76,"3,026.45",-2.50,"3,183.98",...
2008M03,"8,572.59",8.73,"12,262.89",-0.74,"2,279.10",-5.89,"12,525.54",-27.55,"5,702.10",-9.61,"22,849.20",15.39,"1,703.99",17.31,"3,007.36",-6.93,"3,841.27",...
2008M04,"8,919.92",13.26,"12,820.13",-1.86,"2,412.80",-4.45,"13,849.99",-20.40,"6,087.30",-5.61,"25,755.35",26.76,"1,825.47",18.36,"3,147.79",-6.35,"4,109.65",...
2008M05,"8,619.08",5.82,"12,638.32",-7.26,"2,522.66",-3.14,"14,338.54",-19.79,"6,053.50",-8.58,"24,533.12",18.89,"1,852.02",8.88,"3,192.62",-9.07,"3,820.70",...
2008M06,"7,523.54",-15.31,"11,350.01",-15.35,"2,292.98",-11.92,"13,481.38",-25.67,"5,625.90",-14.86,"22,102.01",1.51,"1,674.92",-3.94,"2,947.54",-16.93,"4,471.03",...
2008M07,"7,024.06",-24.37,"11,378.02",-13.88,"2,325.55",-8.64,"13,376.81",-22.45,"5,411.90",-14.91,"22,731.10",-1.96,"1,594.67",-17.51,"2,929.65",-17.42,"5,218.83",...
2008M08,"7,046.11",-21.55,"11,543.55",-13.58,"2,367.52",-8.81,"13,072.87",-21.10,"5,636.60",-10.58,"21,261.89",-11.35,"1,474.24",-21.30,"2,739.95",-19.24,"5,552.30",...
2008M09,"5,719.28",-39.65,"10,850.66",-21.91,"2,091.88",-22.57,"11,259.86",-32.92,"4,902.50",-24.19,"18,016.21",-33.62,"1,448.06",-25.61,"2,358.91",-36.35,"5,954.77",...
2008M10,"4,870.66",-49.85,"9,325.01",-33.06,"1,720.95",-39.81,"8,576.98",-48.76,"4,377.34",-34.88,"13,968.67",-55.45,"1,113.06",-46.09,"1,794.20",-52.85,"4,871.78",...
2008M11,"4,460.49",-48.05,"8,829.04",-33.97,"1,535.57",-42.29,"8,512.27",-45.71,"4,288.01",-33.34,"13,888.24",-51.51,"1,076.07",-43.54,"1,732.57",-50.80,"5,261.56",...
2008M12,"4,591.22",-46.03,"8,776.39",-33.84,"1,577.03",-40.54,"8,859.56",-42.12,"4,434.17",-31.33,"14,387.48",-48.27,"1,124.47",-40.73,"1,761.56",-49.41,"1,820.81",...
2009M01,"4,247.97",-43.52,"8,000.86",-36.75,"1,476.42",-38.22,"7,994.05",-41.19,"4,149.64",-29.43,"13,278.21",-43.39,"1,162.11",-28.47,"1,746.47",-41.43,"4,348.54",50.93
2009M02,"4,557.15",-45.83,"7,062.93",-42.42,"1,377.84",-39.34,"7,568.42",-44.36,"3,830.09",-34.91,"12,811.57",-47.35,"1,063.03",-37.89,"1,594.87",-47.30,"3,472.71",9.07
2009M03,"5,210.84",-39.22,"7,608.92",-37.95,"1,528.59",-32.93,"8,109.53",-35.26,"3,926.14",-31.15,"13,576.02",-40.58,"1,206.26",-29.21,"1,699.99",-43.47,"3,693.11",-3.86
2009M04,"5,992.57",-32.82,"8,168.12",-36.29,"1,717.30",-28.83,"8,828.26",-36.26,"4,243.71",-30.29,"15,520.99",-39.74,"1,369.36",-24.99,"1,920.28",-39.00,"3,433.35",-16.46
2009M05,"6,890.44",-20.06,"8,500.33",-32.74,"1,774.33",-29.66,"9,522.50",-33.59,"4,417.94",-27.02,"18,171.00",-25.93,"1,395.89",-24.63,"2,329.08",-27.05,"2,736.10",-28.39
2009M06,"6,432.16",-14.51,"8,447.00",-25.58,"1,835.04",-19.97,"9,958.44",-26.13,"4,249.21",-24.47,"18,378.73",-16.85,"1,390.07",-17.01,"2,333.14",-20.84,"2,775.72",-37.92
2009M07,"7,077.71",0.76,"9,171.61",-19.39,"1,978.50",-14.92,"10,356.83",-22.58,"4,608.36",-14.85,"20,573.33",-9.49,"1,557.29",-2.34,"2,659.20",-9.23,"2,397.37",-54.06
2009M08,"6,825.95",-3.12,"9,496.28",-17.74,"2,009.06",-15.14,"10,492.53",-19.74,"4,908.90",-12.91,"19,724.19",-7.23,"1,591.85",7.98,"2,592.90",-5.37,"2,293.78",-58.69
2009M09,"7,509.17",31.30,"9,712.28",-10.49,"2,122.42",1.46,"10,133.23",-10.01,"5,133.90",4.72,"20,955.25",16.31,"1,673.14",15.54,"2,672.57",13.30,"1,728.79",-70.97
2009M10,"7,340.08",50.70,"9,712.73",4.16,"2,045.11",18.84,"10,034.74",17.00,"5,044.55",15.24,"21,752.87",55.73,"1,580.69",42.01,"2,651.13",47.76,"1,871.16",-61.59
2009M11,"7,582.21",69.99,"10,344.84",17.17,"2,144.60",39.66,"9,345.55",9.79,"5,190.68",21.05,"21,821.50",57.12,"1,555.60",44.56,"2,732.12",57.69,"1,820.81",-65.39
2009M12,"8,188.11",78.34,"10,428.05",18.82,"2,269.15",43.89,"10,546.44",19.04,"5,412.88",22.07,"21,872.50",52.02,"1,682.77",49.65,"2,897.62",64.49,"1,990.66",9.33
2010M01,"7,640.44",79.86,"10,067.33",25.83,"2,147.35",45.44,"10,198.04",27.57,"5,188.52",25.04,"20,121.99",51.54,"1,602.43",37.89,"2,745.35",57.19,"2,989.29",-31.26
2010M02,"7,436.10",63.17,"10,325.26",46.19,"2,238.26",62.45,"10,126.03",33.79,"5,354.52",39.80,"20,608.70",60.86,"1,594.58",50.00,"2,750.86",72.48,"3,051.94",-12.12
2010M03,"7,920.06",51.99,"10,856.63",42.68,"2,397.96",56.87,"11,089.94",36.75,"5,679.64",44.66,"21,239.35",56.45,"1,692.85",40.34,"2,887.46",69.85,"3,109.11",-15.81
2010M04,"8,004.25",33.57,"11,008.61",34.78,"2,461.19",43.32,"11,057.40",25.25,"5,553.29",30.86,"21,108.59",36.00,"1,741.56",27.18,"2,974.61",54.91,"2,870.61",-16.39
2010M05,"7,373.98",7.02,"10,136.63",19.25,"2,257.04",27.21,"9,768.70",2.59,"5,188.43",17.44,"19,765.19",8.77,"1,641.25",17.58,"2,752.60",18.18,"2,592.15",-5.26
2010M06,"7,329.37",13.95,"9,774.02",15.71,"2,109.24",14.94,"9,382.64",-5.78,"4,916.87",15.71,"20,128.99",9.52,"1,698.29",22.17,"2,835.51",21.53,"2,398.37",-13.59
2010M07,"7,760.63",9.65,"10,465.94",14.11,"2,254.70",13.96,"9,537.30",-7.91,"5,258.02",14.10,"21,029.81",2.22,"1,759.33",12.97,"2,987.70",12.35,"2,637.50",10.02
