期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
2003M05,"881,463",2.60,"166,521",2.15,"714,942",2.71,"582,115",5.56,"748,950",4.78,"166,835",2.18,"1,463,578",3.76,"921,363",3.64,"171,102",3.11,"750,261",3.76,"567,887",6.68,"739,293",5.84,"171,406",3.15,"1,489,250",4.78
2003M06,"876,008",1.86,"166,947",3.13,"709,061",1.57,"582,559",7.14,"749,789",6.21,"167,230",3.12,"1,458,567",3.91,"950,237",19.25,"173,060",3.75,"777,177",23.35,"570,313",8.95,"743,719",7.68,"173,406",3.73,"1,520,550",15.16
2003M07,"893,904",4.07,"166,363",1.43,"727,541",4.70,"586,599",10.49,"753,243",8.34,"166,644",1.41,"1,480,503",6.52,"951,001",0.20,"171,628",2.58,"779,373",-0.31,"568,144",11.49,"740,023",9.27,"171,879",2.53,"1,519,145",4.15
2003M08,"888,870",1.98,"165,313",2.47,"723,557",1.87,"587,095",11.60,"752,707",9.45,"165,612",2.46,"1,475,965",5.60,"928,914",2.84,"166,679",1.07,"762,235",3.23,"576,204",12.92,"743,273",10.04,"167,069",1.15,"1,505,118",6.48
2003M09,"906,129",4.59,"168,118",4.26,"738,011",4.66,"589,387",12.34,"757,813",10.44,"168,426",4.25,"1,495,516",7.51,"945,808",4.76,"174,749",3.12,"771,059",5.14,"569,150",11.60,"744,207",9.49,"175,057",3.15,"1,514,958",7.23
2003M10,"915,492",6.37,"167,034",2.55,"748,458",7.26,"591,941",12.94,"759,246",10.46,"167,305",2.51,"1,507,433",8.86,"990,173",5.11,"171,003",3.40,"819,170",5.47,"579,850",14.00,"751,142",11.38,"171,292",3.34,"1,570,023",8.23
2003M11,"920,320",6.58,"166,517",2.89,"753,803",7.43,"600,105",13.55,"766,912",11.05,"166,807",2.88,"1,520,425",9.23,"931,559",0.49,"170,187",3.74,"761,372",-0.21,"589,288",13.13,"759,709",10.88,"170,421",3.74,"1,520,847",5.03
2003M12,"931,128",7.04,"167,912",2.70,"763,216",8.05,"611,007",14.51,"779,235",11.74,"168,228",2.70,"1,542,135",9.88,"1,011,219",-2.91,"176,609",3.33,"834,610",-4.13,"608,205",15.35,"785,164",12.41,"176,959",3.37,"1,619,424",3.23
2004M01,"961,250",6.90,"242,481",15.12,"718,769",4.38,"742,951",25.94,"985,784",23.09,"242,833",15.13,"1,704,201",14.44,"988,222",13.18,"231,542",-3.45,"756,680",19.48,"768,784",-2.85,"1,000,554",-3.00,"231,770",-3.50,"1,757,006",5.56
2004M02,"958,659",10.11,"194,541",-6.69,"764,118",15.40,"706,469",4.69,"901,335",2.00,"194,866",-6.69,"1,665,128",7.74,"984,780",3.48,"183,590",0.31,"801,190",4.23,"664,130",11.49,"848,056",8.86,"183,926",0.30,"1,648,910",6.56
2004M03,"991,733",12.76,"177,559",2.08,"814,174",15.40,"667,807",12.76,"845,684",10.33,"177,877",2.08,"1,659,540",12.76,"1,055,226",12.22,"181,584",4.07,"873,642",14.07,"645,947",12.94,"827,793",10.86,"181,846",4.04,"1,701,173",12.49
2004M04,"1,011,281",15.77,"177,014",6.48,"834,267",17.96,"659,178",12.93,"836,529",11.50,"177,351",6.48,"1,670,459",14.63,"998,358",10.46,"183,841",4.83,"814,517",11.81,"638,569",13.45,"822,586",11.37,"184,017",4.72,"1,636,927",11.61
2004M05,"999,369",13.38,"177,834",6.79,"821,535",14.91,"654,327",12.41,"832,465",11.15,"178,138",6.77,"1,653,696",12.99,"1,039,449",12.82,"185,845",8.62,"853,604",13.77,"632,676",11.41,"818,825",10.76,"186,149",8.60,"1,672,125",12.28
2004M06,"975,580",11.37,"176,729",5.86,"798,851",12.66,"650,655",11.69,"827,660",10.39,"177,005",5.85,"1,626,235",11.50,"979,557",3.09,"184,018",6.33,"795,539",2.36,"635,267",11.39,"819,597",10.20,"184,330",6.30,"1,614,824",6.20
2004M07,"981,106",9.76,"176,840",6.30,"804,266",10.55,"655,131",11.68,"832,269",10.49,"177,138",6.30,"1,636,237",10.52,"1,047,927",10.19,"181,570",5.79,"866,357",11.16,"638,991",12.47,"820,835",10.92,"181,844",5.80,"1,686,918",11.04
2004M08,"990,121",11.39,"177,368",7.29,"812,753",12.33,"657,281",11.95,"834,900",10.92,"177,619",7.25,"1,647,402",11.62,"1,001,082",7.77,"185,418",11.24,"815,664",7.01,"639,141",10.92,"824,881",10.98,"185,740",11.18,"1,640,223",8.98
2004M09,"1,003,574",10.75,"177,368",5.50,"826,206",11.95,"657,858",11.62,"835,496",10.25,"177,638",5.47,"1,661,432",11.09,"1,055,488",11.60,"186,161",6.53,"869,327",12.74,"645,244",13.37,"831,780",11.77,"186,536",6.56,"1,700,732",12.26
2004M10,"991,321",8.28,"177,754",6.42,"813,567",8.70,"663,716",12.13,"841,767",10.87,"178,051",6.42,"1,655,037",9.79,"1,039,262",4.96,"181,346",6.05,"857,916",4.73,"652,032",12.45,"833,669",10.99,"181,637",6.04,"1,691,294",7.72
2004M11,"996,610",8.29,"177,242",6.44,"819,368",8.70,"670,601",11.75,"848,114",10.59,"177,513",6.42,"1,667,211",9.65,"975,738",4.74,"187,390",10.11,"788,348",3.54,"655,039",11.16,"842,791",10.94,"187,752",10.17,"1,630,777",7.23
2004M12,"1,022,112",9.77,"178,941",6.57,"843,171",10.48,"677,333",10.86,"856,564",9.92,"179,231",6.54,"1,699,445",10.20,"1,047,808",3.62,"186,893",5.82,"860,915",3.15,"669,848",10.14,"856,951",9.14,"187,103",5.73,"1,717,656",6.07
2005M01,"1,024,144",6.54,"227,557",-6.15,"796,587",10.83,"702,884",-5.39,"930,765",-5.58,"227,881",-6.16,"1,727,028",1.34,"1,129,823",14.33,"338,310",46.11,"791,513",4.60,"729,005",-5.17,"1,067,707",6.71,"338,702",46.14,"1,858,828",5.80
2005M02,"1,035,905",8.06,"251,113",29.08,"784,792",2.71,"874,735",23.82,"1,126,249",24.95,"251,514",29.07,"1,910,640",14.74,"1,055,671",7.20,"216,882",18.13,"838,789",4.69,"781,748",17.71,"998,973",17.80,"217,225",18.10,"1,837,419",11.43
2005M03,"1,031,980",4.06,"196,159",10.48,"835,821",2.66,"755,977",13.20,"952,425",12.62,"196,448",10.44,"1,787,957",7.74,"1,057,182",0.19,"193,945",6.81,"863,237",-1.19,"724,599",12.18,"918,831",11.00,"194,232",6.81,"1,781,781",4.74
2005M04,"1,046,671",3.50,"188,902",6.72,"857,769",2.82,"737,868",11.94,"927,063",10.82,"189,195",6.68,"1,784,539",6.83,"1,073,008",7.48,"196,118",6.68,"876,890",7.66,"718,085",12.45,"914,469",11.17,"196,384",6.72,"1,791,093",9.42
2005M05,"1,040,154",4.08,"187,220",5.28,"852,934",3.82,"731,015",11.72,"918,498",10.33,"187,483",5.25,"1,771,169",7.10,"1,110,493",6.83,"193,700",4.23,"916,793",7.40,"706,693",11.70,"900,594",9.99,"193,901",4.16,"1,817,186",8.68
2005M06,"1,047,917",7.41,"183,772",3.99,"864,145",8.17,"727,466",11.81,"911,533",10.13,"184,067",3.99,"1,775,383",9.17,"1,158,844",18.30,"189,628",3.05,"969,216",21.83,"708,645",11.55,"898,644",9.64,"189,999",3.08,"1,867,489",15.65
2005M07,"1,050,673",7.09,"185,892",5.12,"864,781",7.52,"729,213",11.31,"915,367",9.98,"186,154",5.09,"1,779,886",8.78,"1,112,605",6.17,"192,666",6.11,"919,939",6.18,"711,553",11.36,"904,431",10.18,"192,878",6.07,"1,824,158",8.14
2005M08,"1,067,681",7.83,"186,930",5.39,"880,751",8.37,"724,230",10.19,"911,434",9.17,"187,204",5.40,"1,791,911",8.77,"1,136,208",13.50,"194,132",4.70,"942,076",15.50,"704,268",10.19,"898,703",8.95,"194,435",4.68,"1,840,476",12.21
2005M09,"1,060,430",5.67,"188,137",6.07,"872,293",5.58,"726,734",10.47,"915,151",9.53,"188,417",6.07,"1,787,164",7.57,"1,193,316",13.06,"195,279",4.90,"998,037",14.81,"706,940",9.56,"902,519",8.50,"195,579",4.85,"1,900,256",11.73
2005M10,"1,065,492",7.48,"187,178",5.30,"878,314",7.96,"728,313",9.73,"915,753",8.79,"187,440",5.27,"1,793,805",8.38,"1,069,999",2.96,"192,407",6.10,"877,592",2.29,"712,227",9.23,"904,878",8.54,"192,651",6.06,"1,782,226",5.38
2005M11,"1,060,614",6.42,"185,435",4.62,"875,179",6.81,"733,062",9.31,"918,793",8.33,"185,731",4.63,"1,793,676",7.59,"1,036,877",6.27,"194,537",3.81,"842,340",6.85,"715,669",9.26,"910,571",8.04,"194,902",3.81,"1,752,546",7.47
2005M12,"1,067,822",4.47,"187,674",4.88,"880,148",4.39,"739,056",9.11,"927,050",8.23,"187,994",4.89,"1,806,878",6.32,"1,028,122",-1.88,"192,242",2.86,"835,880",-2.91,"730,367",9.03,"922,910",7.70,"192,543",2.91,"1,758,489",2.38
2006M01,"1,111,899",8.57,"263,434",15.77,"848,465",6.51,"829,601",18.03,"1,093,386",17.47,"263,785",15.76,"1,941,500",12.42,"1,090,302",-3.50,"292,764",-13.46,"797,538",0.76,"1,025,884",40.72,"1,319,028",23.54,"293,144",-13.45,"2,116,186",13.85
2006M02,"1,096,805",5.88,"241,006",-4.02,"855,799",9.05,"873,265",-0.17,"1,114,592",-1.04,"241,327",-4.05,"1,970,070",3.11,"1,084,544",2.74,"213,183",-1.71,"871,361",3.88,"793,959",1.56,"1,007,411",0.84,"213,452",-1.74,"1,878,503",2.24
2006M03,"1,093,867",6.00,"196,583",0.22,"897,284",7.35,"788,044",4.24,"984,923",3.41,"196,879",0.22,"1,881,911",5.25,"1,055,409",-0.17,"196,518",1.33,"858,891",-0.50,"763,260",5.34,"960,058",4.49,"196,798",1.32,"1,818,669",2.07
2006M04,"1,091,276",4.26,"191,105",1.17,"900,171",4.94,"778,408",5.49,"969,802",4.61,"191,394",1.16,"1,869,684",4.77,"1,062,894",-0.94,"200,243",2.10,"862,651",-1.62,"759,311",5.74,"959,806",4.96,"200,495",2.09,"1,822,205",1.74
2006M05,"1,097,306",5.49,"189,827",1.39,"907,479",6.39,"772,015",5.61,"962,121",4.75,"190,106",1.40,"1,869,321",5.54,"1,149,635",3.52,"196,319",1.35,"953,316",3.98,"755,319",6.88,"951,898",5.70,"196,579",1.38,"1,904,954",4.83
2006M06,"1,096,994",4.68,"188,493",2.57,"908,501",5.13,"768,103",5.59,"956,888",4.98,"188,785",2.56,"1,865,097",5.05,"1,145,064",-1.19,"194,489",2.56,"950,575",-1.92,"747,724",5.51,"942,519",4.88,"194,795",2.52,"1,892,788",1.35
