期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
2008M09,235,5.38,43,79.17,0,-100.00,2,0.00,13,0.00,2,0.00,5,-54.55,94,13.25,11,83.33,1,0.00,0,--,-,--,7,40.00,1,--,3,-25.00,0,-100.00,3,-25.00,1,-66.67,1,--,2,100.00,46,-22.03
2008M10,211,-25.96,40,5.26,1,0.00,0,-100.00,6,-53.85,2,-50.00,19,-38.71,70,-29.29,8,-46.67,2,-71.43,0,--,-,--,4,-20.00,0,--,3,50.00,0,-100.00,0,-100.00,4,300.00,0,--,2,-77.78,50,-9.09
2008M11,257,-1.15,37,15.62,1,-66.67,1,-66.67,12,-7.69,2,-75.00,23,64.29,88,3.53,9,-10.00,2,-33.33,1,--,-,--,5,-44.44,0,-100.00,1,-66.67,0,-100.00,1,--,2,-33.33,3,--,9,125.00,60,-11.76
2008M12,280,-0.36,29,-21.62,4,300.00,3,0.00,16,33.33,4,300.00,18,-47.06,77,-7.23,8,-20.00,2,-71.43,1,--,-,--,6,-33.33,0,--,2,100.00,1,-50.00,1,--,3,200.00,0,--,1,-87.50,104,44.44
2009M01,348,28.89,27,-18.18,6,200.00,4,33.33,20,11.11,9,350.00,44,144.44,103,5.10,5,-37.50,5,-16.67,2,--,-,--,6,0.00,0,--,5,--,0,-100.00,20,150.00,3,--,0,--,11,--,78,21.88
2009M02,227,-20.63,15,-48.28,7,250.00,3,-50.00,5,-64.29,6,20.00,39,30.00,74,-31.48,3,-25.00,0,-100.00,1,0.00,-,--,4,300.00,0,--,2,-66.67,2,0.00,3,-62.50,0,-100.00,0,--,6,200.00,57,-1.72
2009M03,246,-7.52,25,-24.24,6,50.00,0,-100.00,2,-87.50,7,-22.22,55,57.14,75,-15.73,8,33.33,4,-20.00,0,--,-,--,6,-53.85,0,--,1,-50.00,0,--,1,-50.00,1,-50.00,0,--,6,--,49,2.08
2009M04,204,0.00,28,3.70,1,-83.33,1,-50.00,8,60.00,7,-22.22,24,71.43,64,6.67,3,-62.50,1,-75.00,0,--,-,--,6,0.00,0,-100.00,4,33.33,0,--,2,--,2,--,0,--,3,-83.33,50,21.95
2009M05,220,0.92,22,0.00,2,-33.33,2,100.00,10,0.00,0,-100.00,45,200.00,67,-15.19,12,100.00,3,50.00,0,--,-,--,10,0.00,1,--,2,-50.00,0,-100.00,0,-100.00,1,0.00,0,--,4,--,39,-32.76
2009M06,185,-12.32,23,-14.81,1,-50.00,1,-66.67,9,-10.00,0,-100.00,37,208.33,61,-22.78,4,-60.00,2,0.00,0,--,-,--,3,-40.00,1,0.00,2,0.00,2,--,0,-100.00,1,0.00,0,-100.00,1,-66.67,37,-24.49
2009M07,165,-22.17,22,4.76,4,0.00,1,-50.00,6,-33.33,1,--,15,15.38,59,-33.71,6,-25.00,2,-50.00,0,--,-,--,5,-16.67,0,-100.00,3,50.00,2,--,0,--,0,-100.00,0,--,5,--,34,-33.33
2009M08,158,-33.05,24,-45.45,3,0.00,1,-66.67,7,40.00,0,-100.00,8,-60.00,65,-23.53,4,-20.00,0,--,0,--,-,--,5,0.00,0,--,3,--,0,--,1,--,1,-50.00,0,--,1,-50.00,35,-37.50
2009M09,213,-9.36,29,-32.56,2,--,0,-100.00,6,-53.85,2,0.00,22,340.00,69,-26.60,8,-27.27,1,0.00,0,--,-,--,7,0.00,1,0.00,3,0.00,1,--,1,-66.67,0,-100.00,2,100.00,3,50.00,56,21.74
2009M10,195,-7.58,26,-35.00,1,0.00,2,--,13,116.67,5,150.00,6,-68.42,66,-5.71,7,-12.50,2,0.00,0,--,-,--,6,50.00,0,--,2,-33.33,1,--,4,--,1,-75.00,0,--,6,200.00,47,-6.00
2009M11,230,-10.51,31,-16.22,1,0.00,0,-100.00,9,-25.00,7,250.00,27,17.39,74,-15.91,3,-66.67,3,50.00,0,-100.00,-,--,3,-40.00,1,--,5,400.00,0,--,2,100.00,1,-50.00,0,-100.00,5,-44.44,58,-3.33
2009M12,230,-17.86,22,-24.14,5,25.00,3,0.00,9,-43.75,4,0.00,25,38.89,69,-10.39,7,-12.50,1,-50.00,1,0.00,-,--,3,-50.00,1,--,5,150.00,0,-100.00,1,0.00,0,-100.00,1,--,15,"1,400.00",58,-44.23
2010M01,218,-37.36,23,-14.81,5,-16.67,1,-75.00,11,-45.00,2,-77.78,24,-45.45,60,-41.75,4,-20.00,6,20.00,0,-100.00,-,--,3,-50.00,0,--,1,-80.00,3,--,0,-100.00,3,0.00,0,--,7,-36.36,65,-16.67
2010M02,207,-8.81,24,60.00,2,-71.43,3,0.00,5,0.00,1,-83.33,15,-61.54,70,-5.41,4,33.33,1,--,1,0.00,-,--,2,-50.00,0,--,0,-100.00,0,-100.00,8,166.67,2,--,0,--,2,-66.67,67,17.54
2010M03,251,2.03,26,4.00,6,0.00,3,--,13,550.00,28,300.00,17,-69.09,72,-4.00,4,-50.00,2,-50.00,0,--,-,--,5,-16.67,0,--,1,0.00,2,--,1,0.00,2,100.00,0,--,3,-50.00,66,34.69
2010M04,194,-4.90,20,-28.57,4,300.00,1,0.00,5,-37.50,8,14.29,15,-37.50,68,6.25,2,-33.33,6,500.00,0,--,-,--,1,-83.33,0,--,5,25.00,2,--,3,50.00,2,0.00,0,--,1,-66.67,51,2.00
2010M05,182,-17.27,31,40.91,3,50.00,0,-100.00,6,-40.00,1,--,13,-71.11,71,5.97,4,-66.67,2,-33.33,0,--,-,--,8,-20.00,0,-100.00,2,0.00,1,--,5,--,0,-100.00,0,--,0,-100.00,35,-10.26
2010M06,135,-27.03,16,-30.43,0,-100.00,0,-100.00,7,-22.22,0,--,6,-83.78,56,-8.20,6,50.00,2,0.00,0,--,-,--,3,0.00,1,0.00,2,0.00,0,-100.00,3,--,2,100.00,0,--,1,0.00,30,-18.92
2010M07,196,18.79,38,72.73,1,-75.00,0,-100.00,11,83.33,4,300.00,13,-13.33,64,8.47,5,-16.67,1,-50.00,1,--,-,--,7,40.00,0,--,1,-66.67,1,-50.00,0,--,5,--,0,--,1,-80.00,43,26.47
2010M08,171,8.23,24,0.00,1,-66.67,0,-100.00,11,57.14,0,--,11,37.50,62,-4.62,4,0.00,1,--,1,--,-,--,6,20.00,1,--,1,-66.67,0,--,0,-100.00,3,200.00,2,--,2,100.00,41,17.14
2010M09,130,-38.97,13,-55.17,1,-50.00,0,--,5,-16.67,1,-50.00,12,-45.45,51,-26.09,6,-25.00,3,200.00,0,--,-,--,5,-28.57,2,100.00,1,-66.67,0,-100.00,1,0.00,1,--,1,-50.00,0,-100.00,27,-51.79
