期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
2008M10,"17,483,391",4.20,200,-83.57,233,-81.68,"4,475,863",6.73,"3,103,521",8.09,"1,372,342",3.78,"13,007,095",3.37,"3,967,973",-0.88,"9,039,122",5.36
2008M11,"17,472,797",4.17,404,-51.33,182,-84.95,"4,353,984",4.68,"2,987,543",6.00,"1,366,441",1.92,"13,118,227",4.02,"4,033,169",0.81,"9,085,058",5.51
2008M12,"17,378,376",2.56,278,-47.35,122,-74.15,"4,193,779",1.06,"2,813,604",0.99,"1,380,175",1.20,"13,184,197",3.05,"4,097,103",0.76,"9,087,094",4.12
2009M01,"17,262,703",1.43,241,-72.71,130,-80.63,"4,105,966",-2.52,"2,782,511",-2.86,"1,323,455",-1.79,"13,156,366",2.74,"4,085,634",1.01,"9,070,732",3.54
2009M02,"17,061,257",0.45,244,-64.33,165,-28.88,"3,907,178",-7.15,"2,608,402",-9.31,"1,298,776",-2.49,"13,153,670",2.96,"4,098,024",2.14,"9,055,646",3.34
2009M03,"17,010,372",-0.18,316,-49.60,66,-90.10,"3,873,404",-9.50,"2,572,659",-12.41,"1,300,745",-3.15,"13,136,587",2.95,"4,066,068",2.11,"9,070,519",3.34
2009M04,"16,991,459",-0.27,250,-21.88,58,-83.89,"3,851,023",-10.15,"2,559,917",-13.17,"1,291,106",-3.50,"13,140,128",3.05,"4,060,867",2.69,"9,079,261",3.21
2009M05,"16,968,121",-1.01,202,-51.56,128,-66.23,"3,830,489",-12.30,"2,541,375",-15.17,"1,289,114",-6.01,"13,137,302",2.86,"4,036,875",2.72,"9,100,427",2.92
2009M06,"17,011,706",-1.33,268,-47.35,429,2.14,"3,851,379",-12.56,"2,510,351",-16.06,"1,341,028",-5.16,"13,159,630",2.52,"4,012,757",1.92,"9,146,873",2.79
2009M07,"17,043,005",-1.54,307,-52.40,946,230.77,"3,907,026",-11.40,"2,614,201",-13.27,"1,292,825",-7.36,"13,134,726",1.82,"3,961,334",1.01,"9,173,392",2.18
2009M08,"17,154,480",-0.86,206,-65.08,351,-26.88,"4,009,807",-9.28,"2,716,636",-10.75,"1,293,171",-6.01,"13,144,116",2.04,"3,928,619",1.53,"9,215,497",2.25
2009M09,"17,195,367",-1.17,146,-57.56,"1,635",410.94,"4,002,377",-10.04,"2,691,428",-12.18,"1,310,949",-5.33,"13,191,209",1.87,"3,930,081",0.33,"9,261,128",2.54
2009M10,"17,121,968",-2.07,171,-14.50,"1,746",649.36,"3,932,768",-12.13,"2,623,700",-15.46,"1,309,068",-4.61,"13,187,283",1.39,"3,877,701",-2.28,"9,309,582",2.99
2009M11,"17,256,926",-1.24,232,-42.57,"1,538",745.05,"3,983,249",-8.51,"2,643,540",-11.51,"1,339,709",-1.96,"13,271,907",1.17,"3,941,013",-2.28,"9,330,894",2.71
2009M12,"17,554,377",1.01,196,-29.50,"1,389","1,038.52","4,070,923",-2.93,"2,646,304",-5.95,"1,424,619",3.22,"13,481,869",2.26,"4,066,038",-0.76,"9,415,831",3.62
