期間,原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%)
2008M12,"494,107",2.05,"243,997",1.74,"250,110",2.36,"232,762",2.11,"116,328",1.71,"116,434",2.50,"261,345",2.00,"127,669",1.76,"133,676",2.24
2009M01,"494,785",2.04,"244,285",1.72,"250,500",2.35,"233,116",2.13,"116,473",1.71,"116,643",2.55,"261,669",1.96,"127,812",1.72,"133,857",2.18
2009M02,"496,086",2.14,"244,794",1.80,"251,292",2.48,"233,758",2.24,"116,727",1.81,"117,031",2.67,"262,328",2.06,"128,067",1.79,"134,261",2.31
2009M03,"497,181",2.20,"245,217",1.84,"251,964",2.56,"234,290",2.27,"116,912",1.80,"117,378",2.75,"262,891",2.14,"128,305",1.88,"134,586",2.38
2009M04,"497,915",2.20,"245,525",1.83,"252,390",2.56,"234,669",2.26,"117,065",1.78,"117,604",2.75,"263,246",2.14,"128,460",1.88,"134,786",2.39
2009M05,"498,549",2.19,"245,785",1.83,"252,764",2.55,"234,961",2.23,"117,187",1.75,"117,774",2.72,"263,588",2.15,"128,598",1.90,"134,990",2.39
2009M06,"499,502",2.20,"246,182",1.82,"253,320",2.56,"235,420",2.25,"117,375",1.77,"118,045",2.73,"264,082",2.15,"128,807",1.86,"135,275",2.42
2009M07,"500,429",2.20,"246,589",1.83,"253,840",2.56,"235,873",2.27,"117,561",1.80,"118,312",2.74,"264,556",2.14,"129,028",1.87,"135,528",2.40
2009M08,"501,502",2.19,"247,093",1.84,"254,409",2.53,"236,419",2.26,"117,816",1.81,"118,603",2.70,"265,083",2.13,"129,277",1.87,"135,806",2.37
2009M09,"502,566",2.21,"247,537",1.84,"255,029",2.56,"236,888",2.26,"118,003",1.80,"118,885",2.73,"265,678",2.15,"129,534",1.88,"136,144",2.41
2009M10,"503,259",2.17,"247,797",1.81,"255,462",2.53,"237,216",2.23,"118,125",1.79,"119,091",2.68,"266,043",2.12,"129,672",1.84,"136,371",2.39
2009M11,"503,867",2.15,"248,039",1.79,"255,828",2.49,"237,525",2.22,"118,257",1.78,"119,268",2.65,"266,342",2.08,"129,782",1.79,"136,560",2.35
2009M12,"504,531",2.11,"248,321",1.77,"256,210",2.44,"237,815",2.17,"118,365",1.75,"119,450",2.59,"266,716",2.06,"129,956",1.79,"136,760",2.31
2010M01,"505,159",2.10,"248,590",1.76,"256,569",2.42,"238,084",2.13,"118,485",1.73,"119,599",2.53,"267,075",2.07,"130,105",1.79,"136,970",2.33
2010M02,"505,742",1.95,"248,836",1.65,"256,906",2.23,"238,335",1.96,"118,588",1.59,"119,747",2.32,"267,407",1.94,"130,248",1.70,"137,159",2.16
2010M03,"506,494",1.87,"249,139",1.60,"257,355",2.14,"238,700",1.88,"118,726",1.55,"119,974",2.21,"267,794",1.87,"130,413",1.64,"137,381",2.08
2010M04,"507,071",1.84,"249,355",1.56,"257,716",2.11,"238,941",1.82,"118,794",1.48,"120,147",2.16,"268,130",1.86,"130,561",1.64,"137,569",2.06
2010M05,"507,690",1.83,"249,614",1.56,"258,076",2.10,"239,218",1.81,"118,905",1.47,"120,313",2.16,"268,472",1.85,"130,709",1.64,"137,763",2.05
2010M06,"508,380",1.78,"249,876",1.50,"258,504",2.05,"239,542",1.75,"119,027",1.41,"120,515",2.09,"268,838",1.80,"130,849",1.59,"137,989",2.01
2010M07,"509,148",1.74,"250,196",1.46,"258,952",2.01,"239,910",1.71,"119,166",1.37,"120,744",2.06,"269,238",1.77,"131,030",1.55,"138,208",1.98
2010M08,"510,203",1.73,"250,632",1.43,"259,571",2.03,"240,364",1.67,"119,357",1.31,"121,007",2.03,"269,839",1.79,"131,275",1.55,"138,564",2.03
2010M09,"510,997",1.68,"250,991",1.40,"260,006",1.95,"240,790",1.65,"119,563",1.32,"121,227",1.97,"270,207",1.70,"131,428",1.46,"138,779",1.94
2010M10,"511,567",1.65,"251,203",1.37,"260,364",1.92,"241,057",1.62,"119,659",1.30,"121,398",1.94,"270,510",1.68,"131,544",1.44,"138,966",1.90
2010M11,"512,197",1.65,"251,510",1.40,"260,687",1.90,"241,298",1.59,"119,771",1.28,"121,527",1.89,"270,899",1.71,"131,739",1.51,"139,160",1.90
2010M12,"512,701",1.62,"251,679",1.35,"261,022",1.88,"241,514",1.56,"119,836",1.24,"121,678",1.87,"271,187",1.68,"131,843",1.45,"139,344",1.89
