期間,應提繳單位(家)_原始值,應提繳單位(家)_年增率(%),已繳納單位(家)_原始值,已繳納單位(家)_年增率(%),已繳率(%)_原始值,已繳率(%)_年增率(%),累計已繳納金額(千元)_原始值,累計已繳納金額(千元)_年增率(%),累計提繳本息(千元)_原始值,累計提繳本息(千元)_年增率(%),當期已墊付-事業單位(家)_原始值,當期已墊付-事業單位(家)_年增率(%),當期已墊付-人數(人)_原始值,當期已墊付-人數(人)_年增率(%),當期已墊付-金額(千元)_原始值,當期已墊付-金額(千元)_年增率(%),累計已墊付金額(千元)_原始值,累計已墊付金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2000M05,"359,235",1.26,"336,912",0.47,93.79,-,"3,762,106",10.96,"5,416,296",12.49,...,...,...,...,...,...,"477,296",37.59,"4,939,000",10.54
2000M06,"359,665",1.22,"337,386",0.84,93.81,-,"3,796,899",11.00,"5,468,964",12.37,...,...,...,...,...,...,"508,964",42.58,"4,960,000",9.98
2000M07,"360,637",1.31,"337,406",1.54,93.56,-,"3,829,121",10.97,"5,479,268",11.53,...,...,...,...,...,...,"519,268",44.77,"4,960,000",8.92
2000M08,"360,917",1.22,"337,701",1.15,93.57,-,"3,861,692",10.93,"5,555,821",12.04,...,...,...,...,...,...,"565,821",56.80,"4,990,000",8.53
2000M09,"361,097",1.45,"337,927",1.18,93.58,-,"3,894,420",10.90,"5,624,364",12.13,...,...,...,...,...,...,"586,364",55.93,"5,038,000",8.58
2000M10,"361,858",1.44,"338,300",1.43,93.49,-,"3,927,326",10.87,"5,672,900",12.02,...,...,...,...,...,...,"586,900",55.93,"5,086,000",8.49
2000M11,"362,255",1.40,"336,115",0.39,92.78,-,"3,960,139",10.83,"5,724,462",11.95,...,...,...,...,...,...,"606,462",58.56,"5,118,000",8.18
2000M12,"362,702",1.52,"334,880",0.73,92.33,-,"3,993,355",10.79,"5,780,161",12.00,...,...,...,...,...,...,"622,161",52.16,"5,158,000",8.54
2001M01,"362,231",1.23,"336,413",0.53,92.87,-,"4,026,382",10.74,"5,826,773",11.82,...,...,...,...,...,...,"657,773",58.22,"5,169,000",7.80
2001M02,"361,972",1.31,"334,752",-0.29,92.48,-,"4,026,076",9.79,"5,860,001",11.56,...,...,...,...,...,...,"662,001",58.40,"5,198,000",7.51
2001M03,"361,750",0.95,"335,319",0.08,92.69,-,"4,091,945",10.63,"5,943,880",11.97,...,...,...,...,...,...,"691,880",53.54,"5,252,000",8.11
2001M04,"362,098",0.89,"334,364",-0.63,92.34,-,"4,124,536",10.57,"5,990,992",11.56,...,...,...,...,...,...,"692,992",48.07,"5,298,000",8.08
2001M05,"361,561",0.65,"332,884",-1.20,92.07,-,"4,157,111",10.50,"6,040,490",11.52,...,...,...,...,...,...,"696,490",45.92,"5,344,000",8.20
2001M06,"362,070",0.67,"334,079",-0.98,92.27,-,"4,190,101",10.36,"6,092,734",11.41,...,...,...,...,...,...,"775,734",52.41,"5,317,000",7.20
2001M07,"362,175",0.43,"329,204",-2.43,90.90,-,"4,222,604",10.28,"6,160,483",12.43,...,...,...,...,...,...,"787,483",51.65,"5,373,000",8.33
2001M08,"362,026",0.31,"332,504",-1.54,91.85,-,"4,254,686",10.18,"6,189,039",11.40,...,...,...,...,...,...,"818,039",44.58,"5,371,000",7.64
2001M09,"361,797",0.19,"333,500",-1.31,92.18,-,"4,288,437",10.12,"6,245,225",11.04,...,...,...,...,...,...,"846,951",44.44,"5,398,274",7.15
2001M10,"361,314",-0.15,"332,654",-1.67,92.07,-,"4,320,929",10.02,"6,289,701",10.87,...,...,...,...,...,...,"848,172",44.52,"5,441,528",6.99
2001M11,"361,213",-0.29,"334,467",-0.49,92.60,-,"4,353,319",9.93,"6,336,859",10.70,...,...,...,...,...,...,"885,744",46.05,"5,451,115",6.51
2001M12,"360,800",-0.52,"327,992",-2.06,90.91,-,"4,385,679",9.82,"6,381,640",10.41,...,...,...,...,...,...,"909,316",46.15,"5,472,324",6.09
2002M01,"360,441",-0.49,"332,247",-1.24,92.18,-,"4,417,945",9.72,"6,392,866",9.72,...,...,...,...,...,...,"971,259",47.66,"5,421,606",4.89
2002M02,"360,417",-0.43,"332,960",-0.54,92.38,-,"4,451,514",10.57,"6,470,909",10.43,...,...,...,...,...,...,"1,044,861",57.83,"5,426,048",4.39
2002M03,"359,964",-0.49,"332,733",-0.77,92.44,-,"4,483,533",9.57,"6,510,867",9.54,...,...,...,...,...,...,"1,069,097",54.52,"5,441,770",3.61
2002M04,"360,325",-0.49,"332,264",-0.63,92.21,-,"4,515,661",9.48,"6,555,920",9.43,...,...,...,...,...,...,"1,128,257",62.81,"5,427,662",2.45
2002M05,"360,843",-0.20,"333,781",0.27,92.50,-,"4,547,908",9.40,"6,599,736",9.26,...,...,...,...,...,...,"1,180,128",69.44,"5,419,608",1.41
2002M06,"361,334",-0.20,"333,661",-0.13,92.34,-,"4,580,371",9.31,"6,643,733",9.04,...,...,...,...,...,...,"1,188,064",53.15,"5,455,669",2.61
2002M07,"361,436",-0.20,"329,632",0.13,91.20,-,"4,612,481",9.23,"6,688,435",8.57,...,...,...,...,...,...,"1,191,785",51.34,"5,496,650",2.30
2002M08,"361,658",-0.10,"333,449",0.28,92.20,-,"4,644,984",9.17,"6,722,564",8.62,...,...,...,...,...,...,"1,221,637",49.34,"5,500,927",2.42
2002M09,"364,737",0.81,"336,822",1.00,92.35,-,"4,677,904",9.08,"6,766,271",8.34,...,...,...,...,...,...,"1,263,729",49.21,"5,502,542",1.93
2002M10,"365,452",1.15,"337,746",1.53,92.42,-,"4,710,964",9.03,"6,807,298",8.23,...,...,...,...,...,...,"1,316,015",55.16,"5,491,284",0.91
2002M11,"363,793",0.71,"336,760",0.69,92.57,-,"4,743,656",8.97,"6,846,354",8.04,...,...,...,...,...,...,"1,345,865",51.95,"5,500,489",0.91
2002M12,"363,578",0.77,"333,678",1.73,91.78,-,"4,776,619",8.91,"6,883,275",7.86,...,...,...,...,...,...,"1,371,153",50.79,"5,512,121",0.73
2003M01,"364,079",1.01,"337,098",1.46,92.59,-,"4,809,802",8.87,"6,926,906",8.35,7,...,175,...,"8,478",...,"1,379,631",42.05,"5,547,275",2.32
2003M02,"364,555",1.15,"337,652",1.41,92.62,-,"4,842,851",8.79,"6,958,520",7.54,7,...,363,...,"25,250",...,"1,404,881",34.46,"5,553,639",2.35
2003M03,"365,345",1.49,"339,009",1.89,92.79,-,"4,878,050",8.80,"6,985,101",7.28,12,...,"1,179",...,"52,491",...,"1,457,372",36.32,"5,527,729",1.58
2003M04,"366,141",1.61,"338,955",2.01,92.57,-,"4,911,311",8.76,"7,031,071",7.25,14,...,"1,087",...,"83,287",...,"1,540,659",36.55,"5,490,412",1.16
2003M05,"367,270",1.78,"341,338",2.26,92.94,-,"4,944,854",8.73,"7,079,773",7.27,14,...,489,...,"28,492",...,"1,569,151",32.96,"5,510,623",1.68
2003M06,"368,097",1.87,"342,048",2.51,92.92,-,"4,978,342",8.69,"7,119,605",7.16,5,...,273,...,"21,562",...,"1,590,713",33.89,"5,528,892",1.34
2003M07,"369,141",2.13,"342,644",3.95,92.82,-,"5,012,012",8.66,"7,162,879",7.09,10,...,270,...,"26,271",...,"1,616,984",35.68,"5,545,895",0.90
2003M08,"370,071",2.33,"344,371",3.28,93.06,-,"5,045,827",8.63,"7,197,622",7.07,5,...,143,...,"15,688",...,"1,632,672",33.65,"5,564,950",1.16
2003M09,"370,962",1.71,"345,267",2.51,93.07,-,"5,079,556",8.59,"7,240,428",7.01,4,...,270,...,"12,336",...,"1,645,008",30.17,"5,595,421",1.69
2003M10,"372,121",1.82,"346,713",2.65,93.17,-,"5,113,705",8.55,"7,274,790",6.87,2,...,95,...,"9,255",...,"1,654,263",25.70,"5,620,527",2.35
2003M11,"374,055",2.82,"346,221",2.81,92.56,-,"5,147,868",8.52,"7,311,690",6.80,5,...,422,...,"30,490",...,"1,684,754",25.18,"5,626,936",2.30
2003M12,"377,116",3.72,"350,357",5.00,92.90,-,"5,182,478",8.50,"7,349,473",6.77,2,...,494,...,"18,980",...,"1,703,734",24.26,"5,645,739",2.42
2004M01,"377,795",3.77,"352,454",4.56,93.29,-,"4,809,802",0.00,"7,386,492",6.63,1,-85.71,24,-86.29,"1,120",-86.79,"1,704,854",23.57,"5,681,637",2.42
2004M02,"379,268",4.04,"354,489",4.99,93.47,-,"5,251,747",8.44,"7,423,635",6.68,5,-28.57,165,-54.55,"5,652",-77.62,"1,710,506",21.75,"5,713,129",2.87
