期間,合計_原始值,合計_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),年滿十五歲以上按經濟活動分-合計_原始值,年滿十五歲以上按經濟活動分-合計_年增率(%),年滿十五歲以上按經濟活動分-商_原始值,年滿十五歲以上按經濟活動分-商_年增率(%),年滿十五歲以上按經濟活動分-工程師_原始值,年滿十五歲以上按經濟活動分-工程師_年增率(%),年滿十五歲以上按經濟活動分-教師_原始值,年滿十五歲以上按經濟活動分-教師_年增率(%),年滿十五歲以上按經濟活動分-傳教士_原始值,年滿十五歲以上按經濟活動分-傳教士_年增率(%),年滿十五歲以上按經濟活動分-技工技匠_原始值,年滿十五歲以上按經濟活動分-技工技匠_年增率(%),年滿十五歲以上按經濟活動分-外籍勞工_原始值,年滿十五歲以上按經濟活動分-外籍勞工_年增率(%),年滿十五歲以上按經濟活動分-其他_原始值,年滿十五歲以上按經濟活動分-其他_年增率(%),年滿十五歲以上按經濟活動分-失業_原始值,年滿十五歲以上按經濟活動分-失業_年增率(%),年滿十五歲以上按經濟活動分-非勞動力_原始值,年滿十五歲以上按經濟活動分-非勞動力_年增率(%),未滿十五歲者_原始值,未滿十五歲者_年增率(%)
2011M09,"461,010",11.36,"186,401",18.19,"274,609",7.15,"453,414",11.49,"4,993",20.52,"2,427",11.95,"6,666",11.64,"1,681",10.01,527,14.32,"360,824",12.80,"24,085",12.94,"1,978",0.46,"50,233",2.06,"7,596",3.76
2011M10,"464,920",11.77,"189,204",19.21,"275,716",7.18,"457,291",11.89,"4,926",26.70,"2,398",13.27,"6,857",15.32,"1,699",14.57,529,5.38,"363,660",12.92,"24,360",15.00,"1,985",0.35,"50,877",2.65,"7,629",4.88
2011M11,"466,188",11.24,"190,355",18.25,"275,833",6.87,"458,496",11.35,"4,893",18.36,"2,392",7.36,"6,911",13.99,"1,717",10.56,500,-1.19,"365,181",12.78,"24,470",12.95,"1,998",1.78,"50,434",1.20,"7,692",4.80
2011M12,"466,206",11.32,"190,237",18.19,"275,969",7.03,"458,930",11.41,"4,467",18.11,"2,148",7.29,"6,748",13.93,"1,687",7.25,448,-6.86,"367,666",12.93,"23,935",11.72,"1,998",1.99,"49,833",1.30,"7,276",5.76
2012M01,"457,779",12.77,"185,463",21.70,"272,316",7.40,"450,533",12.61,"4,876",73.89,"2,273",42.15,"6,233",22.67,"1,656",8.59,476,3.93,"369,616",12.97,"23,555",21.13,"1,928",4.44,"39,920",-0.58,"7,246",23.69
2012M02,"471,054",9.45,"192,939",16.11,"278,115",5.26,"463,510",9.60,"4,955",9.29,"2,315",-2.77,"6,852",6.23,"1,688",5.76,457,-8.96,"371,897",11.68,"24,408",7.36,"1,955",0.31,"48,983",-1.55,"7,544",0.90
2012M03,"468,759",9.04,"192,647",16.28,"276,112",4.50,"461,814",9.17,"4,809",16.92,"2,236",3.33,"6,692",8.13,"1,717",8.06,468,-2.30,"370,200",10.80,"24,211",8.25,"1,929",-0.10,"49,552",-1.09,"6,945",1.45
2012M04,"472,965",7.59,"195,335",13.87,"277,630",3.57,"465,471",7.73,"5,054",8.25,"2,309",-5.29,"7,003",4.21,"1,693",1.32,460,-8.37,"372,168",9.46,"24,770",5.54,"1,952",-0.91,"50,062",-1.11,"7,494",-0.50
2012M05,"470,764",6.36,"194,470",12.24,"276,294",2.58,"463,468",6.51,"4,996",6.64,"2,273",-5.13,"6,868",2.98,"1,724",3.73,448,-13.68,"371,232",7.98,"24,720",5.51,"1,936",-2.96,"49,271",-1.43,"7,296",-2.39
2012M06,"465,279",5.87,"192,495",11.37,"272,784",2.30,"459,235",6.01,"4,901",5.97,"2,268",-3.78,"5,975",3.28,"1,608",0.19,442,-17.54,"374,475",7.67,"24,098",4.47,"1,849",-4.49,"43,619",-4.15,"6,044",-3.70
2012M07,"467,479",5.93,"193,822",10.61,"273,657",2.84,"462,020",6.08,"4,741",2.66,"2,247",-5.15,"5,628",3.59,"1,573",1.16,434,-13.89,"381,295",7.79,"23,569",3.55,"1,801",-6.20,"40,732",-4.49,"5,459",-5.34
2012M08,"473,678",5.96,"196,697",9.82,"276,981",3.38,"466,744",6.17,"4,830",0.19,"2,232",-4.04,"6,053",-2.02,"1,626",1.50,404,-22.61,"384,308",8.23,"24,190",3.02,"1,815",-7.49,"41,286",-5.42,"6,934",-6.50
2012M09,"483,324",4.84,"200,985",7.82,"282,339",2.81,"476,320",5.05,"4,925",-1.36,"2,254",-7.13,"6,500",-2.49,"1,663",-1.07,358,-32.07,"386,863",7.22,"24,398",1.30,"1,804",-8.80,"47,555",-5.33,"7,004",-7.79
2012M10,"486,098",4.56,"202,203",6.87,"283,895",2.97,"479,001",4.75,"4,739",-3.80,"2,205",-8.05,"6,687",-2.48,"1,674",-1.47,315,-40.45,"388,087",6.72,"24,400",0.16,"1,785",-10.08,"49,109",-3.48,"7,097",-6.97
2012M11,"486,705",4.40,"203,069",6.68,"283,636",2.83,"479,633",4.61,"4,795",-2.00,"2,185",-8.65,"6,679",-3.36,"1,696",-1.22,298,-40.40,"388,979",6.52,"24,537",0.27,"1,782",-10.81,"48,682",-3.47,"7,072",-8.06
2012M12,"483,921",3.80,"201,194",5.76,"282,727",2.45,"477,523",4.05,"4,410",-1.28,"2,027",-5.63,"6,421",-4.85,"1,673",-0.83,238,-46.88,"388,843",5.76,"24,008",0.30,"1,783",-10.76,"48,120",-3.44,"6,398",-12.07
2013M01,"476,472",4.08,"196,256",5.82,"280,216",2.90,"469,883",4.29,"4,802",-1.52,"2,146",-5.59,"6,091",-2.28,"1,672",0.97,256,-46.22,"389,097",5.27,"24,041",2.06,"1,730",-10.27,"40,048",0.32,"6,589",-9.07
2013M02,"485,308",3.03,"200,466",3.90,"284,842",2.42,"478,258",3.18,"4,919",-0.73,"2,234",-3.50,"6,688",-2.39,"1,694",0.36,260,-43.11,"388,877",4.57,"24,541",0.54,"1,747",-10.64,"47,298",-3.44,"7,050",-6.55
2013M03,"489,024",4.32,"202,236",4.98,"286,788",3.87,"482,622",4.51,"4,851",0.87,"2,247",0.49,"6,485",-3.09,"1,702",-0.87,253,-45.94,"391,924",5.87,"24,434",0.92,"1,714",-11.15,"49,012",-1.09,"6,402",-7.82
2013M04,"493,774",4.40,"205,049",4.97,"288,725",4.00,"486,680",4.56,"4,923",-2.59,"2,316",0.30,"6,839",-2.34,"1,686",-0.41,260,-43.48,"394,647",6.04,"24,814",0.18,"1,751",-10.30,"49,444",-1.23,"7,094",-5.34
2013M05,"497,100",5.59,"207,100",6.49,"290,000",4.96,"490,089",5.74,"4,960",-0.72,"2,325",2.29,"6,745",-1.79,"1,688",-2.09,257,-42.63,"398,524",7.35,"24,937",0.88,"1,752",-9.50,"48,901",-0.75,"7,011",-3.91
2013M06,"490,250",5.37,"204,794",6.39,"285,456",4.65,"484,511",5.50,"4,815",-1.75,"2,327",2.60,"5,805",-2.85,"1,613",0.31,245,-44.57,"401,022",7.09,"24,224",0.52,"1,692",-8.49,"42,768",-1.95,"5,739",-5.05
2013M07,"486,772",4.13,"203,379",4.93,"283,393",3.56,"481,657",4.25,"4,687",-1.14,"2,278",1.38,"5,298",-5.86,"1,598",1.59,246,-43.32,"403,001",5.69,"23,604",0.15,"1,655",-8.11,"39,290",-3.54,"5,115",-6.30
2013M08,"496,566",4.83,"209,217",6.37,"287,349",3.74,"489,598",4.90,"4,815",-0.31,"2,295",2.82,"6,013",-0.66,"1,662",2.21,256,-36.63,"407,838",6.12,"24,362",0.71,"1,714",-5.56,"40,643",-1.56,"6,968",0.49
2013M09,"508,216",5.15,"215,696",7.32,"292,520",3.61,"501,205",5.22,"4,726",-4.04,"2,250",-0.18,"6,306",-2.98,"1,722",3.55,247,-31.01,"411,817",6.45,"24,535",0.56,"1,707",-5.38,"47,895",0.71,"7,011",0.10
2013M10,"511,106",5.14,"217,178",7.41,"293,928",3.53,"504,460",5.32,"3,756",-20.74,"1,988",-9.84,"6,211",-7.12,"1,694",1.19,244,-22.54,"416,755",7.39,"23,507",-3.66,"1,700",-4.76,"48,605",-1.03,"6,646",-6.35
2013M11,"520,513",6.95,"223,330",9.98,"297,183",4.78,"513,863",7.14,"4,499",-6.17,"2,204",0.87,"6,409",-4.04,"1,755",3.48,249,-16.44,"423,516",8.88,"24,605",0.28,"1,734",-2.69,"48,892",0.43,"6,650",-5.97
2013M12,"525,109",8.51,"225,905",12.28,"299,204",5.83,"518,886",8.66,"4,613",4.60,"2,192",8.14,"6,044",-5.87,"1,800",7.59,249,4.62,"428,897",10.30,"24,625",2.57,"1,757",-1.46,"48,709",1.22,"6,223",-2.74
2014M01,"513,235",7.72,"222,221",13.23,"291,014",3.85,"507,639",8.04,"4,514",-6.00,"2,142",-0.19,"5,866",-3.69,"1,740",4.07,241,-5.86,"419,072",7.70,"24,348",1.28,"1,749",1.10,"47,967",19.77,"5,596",-15.07
2014M02,"543,572",12.01,"234,820",17.14,"308,752",8.39,"537,168",12.32,"4,879",-0.81,"2,403",7.56,"6,546",-2.12,"1,836",8.38,268,3.08,"444,718",14.36,"26,018",6.02,"1,882",7.73,"48,618",2.79,"6,404",-9.16
2014M03,"552,146",12.91,"239,303",18.33,"312,843",9.09,"545,730",13.08,"4,885",0.70,"2,456",9.30,"6,538",0.82,"1,845",8.40,270,6.72,"452,171",15.37,"26,311",7.68,"1,919",11.96,"49,335",0.66,"6,416",0.22
2014M04,"563,947",14.21,"244,845",19.41,"319,102",10.52,"557,359",14.52,"4,968",0.91,"2,491",7.56,"6,666",-2.53,"1,869",10.85,276,6.15,"462,766",17.26,"26,754",7.82,"1,959",11.88,"49,610",0.34,"6,588",-7.13
2014M05,"580,924",16.86,"253,724",22.51,"327,200",12.83,"574,266",17.18,"5,528",11.45,"2,884",24.04,"7,913",17.32,"2,014",19.31,316,22.96,"474,256",19.00,"28,582",14.62,"2,132",21.69,"50,641",3.56,"6,658",-5.03
2014M06,"590,296",20.41,"258,346",26.15,"331,950",16.29,"583,602",20.45,"5,547",15.20,"2,884",23.94,"7,863",35.45,"1,986",23.12,321,31.02,"483,795",20.64,"28,731",18.61,"2,141",26.54,"50,154",17.27,"6,694",16.64
2014M07,"593,799",21.99,"259,996",27.84,"333,803",17.79,"587,136",21.90,"5,539",18.18,"2,884",26.60,"7,517",41.88,"1,980",23.90,317,28.86,"488,572",21.23,"28,630",21.29,"2,163",30.69,"49,534",26.07,"6,663",30.26
