期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
2004M02,"13,636,398",6.45,"3,957,964",7.29,"1,459,878",11.31,"1,374,612",13.66,"1,311,538",-1.99,"5,532,406",5.14
2004M03,"13,746,522",7.84,"3,930,839",6.81,"1,485,045",16.26,"1,365,234",14.91,"1,360,267",1.53,"5,605,137",6.53
2004M04,"13,891,515",8.53,"3,990,877",6.76,"1,539,340",21.32,"1,376,274",13.47,"1,365,362",2.84,"5,619,662",6.99
2004M05,"14,097,001",10.04,"4,040,863",7.21,"1,631,489",28.51,"1,408,744",17.09,"1,346,659",4.51,"5,669,246",7.35
2004M06,"14,144,940",8.65,"4,009,514",3.30,"1,690,965",28.41,"1,424,701",16.16,"1,318,406",3.47,"5,701,353",7.18
2004M07,"14,216,853",9.73,"4,045,694",5.47,"1,719,824",31.59,"1,440,458",18.06,"1,292,720",4.20,"5,718,157",6.82
2004M08,"14,263,503",9.91,"4,013,986",4.15,"1,747,259",29.20,"1,455,566",19.83,"1,303,168",7.92,"5,743,525",7.37
2004M09,"14,334,628",9.54,"3,978,316",1.80,"1,811,631",35.40,"1,484,050",22.24,"1,288,576",2.97,"5,772,055",7.39
2004M10,"14,378,043",10.13,"3,979,664",2.68,"1,833,001",38.32,"1,488,566",22.62,"1,315,699",6.71,"5,761,112",6.54
2004M11,"14,607,097",10.64,"4,018,615",0.32,"1,916,685",42.12,"1,539,128",27.06,"1,328,613",7.20,"5,804,056",7.53
2004M12,"14,862,514",10.05,"3,981,130",-2.98,"2,072,043",48.24,"1,560,950",23.06,"1,356,796",7.08,"5,891,595",7.75
2005M01,"14,865,789",9.65,"3,901,601",-1.50,"2,114,744",47.81,"1,569,351",16.15,"1,359,110",4.01,"5,920,983",7.51
2005M02,"14,913,350",9.36,"3,872,106",-2.17,"2,131,665",46.02,"1,604,859",16.75,"1,358,888",3.61,"5,945,831",7.47
2005M03,"15,130,497",10.07,"3,916,734",-0.36,"2,194,972",47.81,"1,620,520",18.70,"1,388,249",2.06,"6,010,023",7.22
2005M04,"15,108,676",8.76,"3,844,938",-3.66,"2,196,966",42.72,"1,633,685",18.70,"1,396,833",2.30,"6,036,254",7.41
2005M05,"15,283,823",8.42,"3,889,949",-3.73,"2,247,764",37.77,"1,647,367",16.94,"1,409,748",4.68,"6,088,994",7.40
2005M06,"15,439,755",9.15,"3,933,891",-1.89,"2,281,650",34.93,"1,661,672",16.63,"1,431,587",8.58,"6,129,799",7.51
2005M07,"15,438,195",8.59,"3,907,332",-3.42,"2,264,239",31.66,"1,648,518",14.44,"1,444,940",11.78,"6,173,166",7.96
2005M08,"15,498,318",8.66,"3,904,060",-2.74,"2,267,742",29.79,"1,657,162",13.85,"1,453,388",11.53,"6,215,966",8.23
