期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
2012M09,"22,270,837",0.58,"7,161,666",2.20,"15,109,171",-0.17,"20,378",4.70,9.16,-,164,-6.82,169,-8.65,67,-23.86,"20,214",4.81,"27,614",5.22,155,-9.36,0,-100.00,9,200.00,0,--,0,-100.00
2012M10,"22,304,793",0.58,"7,174,310",2.18,"15,130,483",-0.17,"22,801",13.06,10.23,-,165,-4.07,171,-3.93,64,-12.33,"22,636",13.21,"31,106",14.08,158,-4.24,0,--,7,0.00,0,--,0,--
2012M11,"22,333,087",0.57,"7,189,653",2.16,"15,143,434",-0.16,"21,670",5.46,9.71,-,162,-22.12,169,-22.83,94,17.50,"21,508",5.74,"29,129",6.66,153,-19.47,1,0.00,8,-50.00,0,-100.00,0,--
2012M12,"22,346,398",0.54,"7,206,770",2.18,"15,139,628",-0.22,"23,310",6.52,10.43,-,179,-3.76,196,1.03,75,25.00,"23,131",6.61,"30,935",7.29,164,-4.65,5,25.00,10,0.00,0,--,0,--
2013M01,"22,377,730",0.51,"7,230,034",2.16,"15,147,696",-0.26,"23,657",12.10,10.58,-,166,-5.14,171,-5.52,56,-45.10,"23,491",12.24,"31,403",12.24,158,-5.39,1,0.00,7,0.00,0,--,0,--
2013M02,"22,391,131",0.45,"7,235,495",2.19,"15,155,636",-0.36,"19,134",-0.44,8.55,-,156,-2.50,163,-1.81,73,-3.95,"18,978",-0.42,"25,729",1.86,147,-5.16,2,100.00,7,75.00,0,--,0,--
2013M03,"22,363,757",0.86,"7,243,213",2.14,"15,120,544",0.26,"22,623",5.64,10.11,-,163,-5.78,166,-6.21,76,-1.30,"22,460",5.73,"30,286",6.26,152,-8.43,0,-100.00,11,83.33,0,--,0,--
2013M04,"22,335,514",0.82,"7,246,629",2.14,"15,088,885",0.20,"20,639",2.82,9.23,-,147,3.52,148,2.78,49,-9.26,"20,492",2.82,"27,403",2.12,139,3.73,3,200.00,4,-42.86,1,--,0,--
2013M05,"22,370,531",1.22,"7,262,393",2.17,"15,108,138",0.76,"22,836",12.50,10.22,-,137,-15.43,142,-14.46,48,-46.07,"22,699",12.72,"30,347",12.00,133,-15.29,2,100.00,2,-50.00,0,--,0,--
2013M06,"22,419,144",1.25,"7,277,998",2.16,"15,141,146",0.82,"22,984",20.73,10.26,-,150,-4.46,157,-4.27,76,43.40,"22,834",20.94,"31,073",23.08,145,-2.03,0,-100.00,5,-37.50,0,--,0,--
2013M07,"22,456,107",1.21,"7,297,534",2.18,"15,158,573",0.75,"23,430",11.31,10.44,-,158,4.64,166,6.41,67,31.37,"23,272",11.35,"31,281",11.02,153,5.52,1,0.00,4,-20.00,0,--,0,--
2013M08,"22,237,996",0.06,"7,298,915",2.05,"14,939,081",-0.89,"23,184",21.32,10.37,-,137,-21.26,141,-22.10,67,11.67,"23,047",21.71,"30,623",20.82,133,-18.90,2,0.00,2,-75.00,0,--,0,--
2013M09,"21,646,304",-2.80,"7,307,302",2.03,"14,339,002",-5.10,"22,538",10.60,10.27,-,163,-0.61,169,0.00,56,-16.42,"22,375",10.69,"30,383",10.03,153,-1.29,0,--,9,0.00,1,--,0,--
2013M10,"21,629,623",-3.03,"7,323,353",2.08,"14,306,270",-5.45,"25,145",10.28,11.62,-,160,-3.03,167,-2.34,55,-14.06,"24,985",10.38,"34,290",10.24,156,-1.27,1,--,3,-57.14,0,--,0,--
2013M11,"21,636,581",-3.12,"7,342,855",2.13,"14,293,726",-5.61,"25,371",17.08,11.73,-,159,-1.85,161,-4.73,69,-26.60,"25,212",17.22,"34,345",17.91,149,-2.61,0,-100.00,9,12.50,0,--,1,--
2013M12,"21,562,645",-3.51,"7,367,522",2.23,"14,195,123",-6.24,"26,847",15.17,12.43,-,171,-4.47,177,-9.69,84,12.00,"26,676",15.33,"35,629",15.17,165,0.61,0,-100.00,6,-40.00,0,--,0,--
2014M01,"21,585,998",-3.54,"7,387,299",2.18,"14,198,699",-6.26,"26,330",11.30,12.20,-,199,19.88,204,19.30,98,75.00,"26,131",11.24,"34,536",9.98,186,17.72,2,100.00,11,57.14,0,--,0,--
2014M02,"21,583,375",-3.61,"7,389,423",2.13,"14,193,952",-6.35,"20,986",9.68,9.72,-,122,-21.79,125,-23.31,54,-26.03,"20,864",9.94,"27,505",6.90,116,-21.09,1,-50.00,5,-28.57,0,--,0,--
2014M03,"21,535,010",-3.71,"7,402,867",2.20,"14,132,143",-6.54,"23,407",3.47,10.86,-,137,-15.95,139,-16.27,67,-11.84,"23,270",3.61,"30,933",2.14,129,-15.13,2,--,7,-36.36,0,--,0,--
2014M04,"21,548,889",-3.52,"7,416,753",2.35,"14,132,136",-6.34,"23,264",12.72,10.80,-,134,-8.84,138,-6.76,83,69.39,"23,130",12.87,"31,120",13.56,124,-10.79,2,-33.33,8,100.00,0,-100.00,0,--
2014M05,"21,399,173",-4.34,"7,434,703",2.37,"13,964,470",-7.57,"23,902",4.67,11.13,-,121,-11.68,127,-10.56,53,10.42,"23,781",4.77,"31,273",3.05,115,-13.53,1,-50.00,5,150.00,0,--,0,--
2014M06,"21,309,303",-4.95,"7,457,061",2.46,"13,852,242",-8.51,"26,718",16.25,12.51,-,143,-4.67,145,-7.64,54,-28.95,"26,575",16.38,"35,213",13.32,133,-8.28,4,--,6,20.00,0,--,0,--
2014M07,"21,284,482",-5.22,"7,479,775",2.50,"13,804,707",-8.93,"24,955",6.51,11.72,-,161,1.90,163,-1.81,63,-5.97,"24,794",6.54,"32,931",5.27,152,-0.65,2,100.00,7,75.00,0,--,0,--
