期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2003M11,"5,799",8.64,"19,801",-16.10,"1,534",84.60,"61,222",11.63,"10,749",44.34,"22,136",31.41,"26,853",-11.30,128,6.67,"148,222",6.41,"86,817",6.52,"78,239",6.19,"-16,834",--
2003M12,"5,730",8.75,"20,346",-9.40,"1,483",147.99,"60,999",12.25,"10,376",-0.55,"22,052",33.03,"29,569",-7.16,118,-28.05,"150,673",6.34,"86,942",6.62,"78,742",7.16,"-15,011",--
2004M01,"5,699",8.76,"20,433",-12.44,"1,360",110.20,"52,378",-3.89,"11,888",42.61,"22,083",21.34,"30,050",-6.29,154,10.00,"144,045",1.11,"87,735",6.51,"81,112",8.10,"-24,802",--
2004M02,"5,700",10.25,"20,717",-8.15,"1,460",99.18,"55,110",0.19,"10,430",14.80,"22,039",20.94,"30,227",-5.44,154,-27.70,"145,837",2.02,"88,103",6.93,"81,915",7.67,"-24,181",--
2004M03,"5,706",10.22,"20,555",-14.62,"1,461",60.02,"56,392",-0.60,"10,068",34.73,"22,219",20.16,"32,050",1.28,164,-26.46,"148,615",2.69,"90,067",6.83,"81,325",9.36,"-22,777",--
2004M04,"5,711",10.61,"21,776",-10.81,"2,428",160.52,"55,348",-2.49,"9,486",21.03,"20,521",10.61,"32,373",4.27,149,12.03,"147,792",2.04,"90,580",7.40,"79,401",6.11,"-22,189",--
2004M05,"5,583",8.34,"22,432",-7.74,"1,181",12.91,"57,484",2.49,"7,751",-0.87,"20,585",10.84,"31,307",2.31,159,22.31,"146,482",1.92,"90,608",7.56,"79,200",5.36,"-23,326",--
2004M06,"5,636",4.93,"22,236",-9.78,"1,365",36.77,"57,392",2.86,"9,447",10.07,"19,529",-4.89,"31,587",3.38,154,12.41,"147,346",0.50,"91,678",6.96,"78,488",4.71,"-22,820",--
2004M07,"5,649",4.81,"22,317",-0.09,"1,454",0.00,"58,270",0.61,"7,876",-16.81,"19,480",-6.17,"29,806",0.44,156,-25.71,"145,008",-1.50,"92,520",7.70,"78,727",3.59,"-26,239",--
2004M08,"5,645",2.04,"23,060",5.12,"1,360",23.08,"57,836",-1.09,"7,827",-18.19,"19,489",-7.23,"30,793",7.06,167,28.46,"146,177",-0.23,"93,572",8.87,"79,016",3.39,"-26,411",--
2004M09,"5,623",1.39,"22,443",0.74,"1,298",42.17,"58,259",-2.28,"8,954",-8.69,"19,567",-7.08,"30,100",3.51,158,25.40,"146,402",-1.36,"93,826",8.22,"79,731",3.76,"-27,155",--
2004M10,"5,635",-2.79,"22,816",3.53,"1,356",2.88,"59,260",-1.96,"8,842",-16.35,"19,499",-7.69,"30,371",2.64,155,23.02,"147,934",-2.04,"94,331",8.35,"80,448",3.45,"-26,845",--
2004M11,"5,652",-2.53,"22,742",14.85,"1,470",-4.17,"58,800",-3.96,"9,401",-12.54,"19,175",-13.38,"31,947",18.97,156,21.88,"149,343",0.76,"94,295",8.61,"80,613",3.03,"-25,565",--
2004M12,"5,551",-3.12,"23,511",15.56,"1,345",-9.31,"56,498",-7.38,"10,140",-2.27,"19,505",-11.55,"31,717",7.26,141,19.49,"148,408",-1.50,"94,723",8.95,"77,972",-0.98,"-24,287",--
2005M01,"5,455",-4.28,"22,682",11.01,"1,631",19.93,"56,924",8.68,"9,517",-19.94,"19,523",-11.59,"32,086",6.78,168,9.09,"147,986",2.74,"95,776",9.17,"79,216",-2.34,"-27,006",--
2005M02,"5,348",-6.18,"23,048",11.25,"1,854",26.99,"56,473",2.47,"10,465",0.34,"19,519",-11.43,"30,977",2.48,171,11.04,"147,855",1.38,"95,976",8.94,"79,898",-2.46,"-28,019",--
2005M03,"5,447",-4.54,"24,069",17.10,"1,530",4.72,"59,100",4.80,"9,357",-7.06,"19,177",-13.69,"31,554",-1.55,158,-3.66,"150,392",1.20,"97,436",8.18,"79,313",-2.47,"-26,357",--
2005M04,"5,166",-9.54,"23,039",5.80,"1,879",-22.61,"60,052",8.50,"9,988",5.29,"19,085",-7.00,"30,995",-4.26,154,3.36,"150,358",1.74,"97,833",8.01,"75,590",-4.80,"-23,065",--
2005M05,"5,076",-9.08,"23,616",5.28,"1,919",62.49,"58,586",1.92,"10,355",33.60,"19,096",-7.23,"30,897",-1.31,157,-1.26,"149,702",2.20,"98,835",9.08,"73,868",-6.73,"-23,001",--
2005M06,"5,191",-7.90,"23,100",3.89,"1,910",39.93,"55,416",-3.44,"10,365",9.72,"19,144",-1.97,"30,679",-2.87,153,-0.65,"145,958",-0.94,"99,739",8.79,"73,711",-6.09,"-27,492",--
2005M07,"5,091",-9.88,"22,667",1.57,"1,697",16.71,"56,116",-3.70,"10,954",39.08,"19,087",-2.02,"30,006",0.67,158,1.28,"145,776",0.53,"100,873",9.03,"74,513",-5.35,"-29,610",--
2005M08,"5,042",-10.68,"22,816",-1.06,"1,686",23.97,"56,505",-2.30,"10,391",32.76,"19,037",-2.32,"30,960",0.54,164,-1.80,"146,601",0.29,"101,029",7.97,"74,868",-5.25,"-29,296",--
2005M09,"4,928",-12.36,"22,178",-1.18,"1,539",18.57,"56,429",-3.14,"10,680",19.28,"19,338",-1.17,"30,925",2.74,157,-0.63,"146,174",-0.16,"101,642",8.33,"75,100",-5.81,"-30,568",--
2005M10,"4,937",-12.39,"21,966",-3.73,97,-92.85,"56,824",-4.11,"11,749",32.88,"19,357",-0.73,"31,042",2.21,153,-1.29,"146,125",-1.22,"101,217",7.30,"74,731",-7.11,"-29,823",--
2005M11,"4,891",-13.46,"20,878",-8.20,281,-80.88,"57,288",-2.57,"12,450",32.43,"19,390",1.12,"30,921",-3.21,155,-0.64,"146,254",-2.07,"101,162",7.28,"75,089",-6.85,"-29,997",--
2005M12,"5,092",-8.27,"22,817",-2.95,37,-97.25,"56,943",0.79,"11,260",11.05,"19,079",-2.18,"31,010",-2.23,143,1.42,"146,381",-1.37,"100,599",6.20,"76,289",-2.16,"-30,507",--
2006M01,"5,401",-0.99,"22,427",-1.12,-,-,"53,979",-5.17,"11,903",25.07,"18,097",-7.30,"30,076",-6.26,411,144.64,"142,294",-3.85,"100,342",4.77,"79,520",0.38,"-37,568",--
2006M02,"5,484",2.54,"18,871",-18.12,-,-,"56,066",-0.72,"11,409",9.02,"18,110",-7.22,"30,496",-1.55,495,189.47,"140,931",-4.68,"100,604",4.82,"80,701",1.01,"-40,374",--
