期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
2011M02,"19,084,320",8.43,"4,578,895",14.15,"2,519,098",16.11,"1,902,671",12.45,"1,490,779",-4.86,"8,592,877",5.29
2011M03,"19,132,331",8.96,"4,581,736",16.15,"2,505,235",13.64,"1,926,977",13.11,"1,497,384",-0.53,"8,620,999",5.13
2011M04,"19,173,644",8.59,"4,637,589",14.80,"2,450,564",13.04,"1,928,809",12.16,"1,495,641",0.18,"8,661,041",5.15
2011M05,"19,322,496",8.09,"4,817,664",15.04,"2,389,811",10.40,"1,942,146",11.32,"1,486,672",1.12,"8,686,203",4.53
2011M06,"19,333,013",7.73,"4,777,799",13.69,"2,388,389",10.52,"1,982,244",13.06,"1,493,078",0.22,"8,691,503",4.22
2011M07,"19,438,129",7.54,"4,887,509",13.30,"2,336,166",8.53,"1,994,995",12.43,"1,477,357",0.78,"8,742,102",4.46
2011M08,"19,649,421",7.70,"4,913,073",12.42,"2,446,706",10.32,"2,029,487",11.54,"1,504,282",2.97,"8,755,873",4.53
2011M09,"19,719,780",7.94,"4,873,286",12.50,"2,455,103",9.47,"2,088,343",13.71,"1,524,669",4.39,"8,778,379",4.53
2011M10,"19,703,687",7.37,"4,863,685",9.37,"2,444,017",11.55,"2,079,672",14.68,"1,525,368",2.80,"8,790,945",4.45
2011M11,"19,735,697",7.08,"4,915,891",10.14,"2,409,491",10.86,"2,065,985",10.91,"1,536,237",3.92,"8,808,093",4.21
2011M12,"19,819,265",5.78,"4,781,346",8.18,"2,492,990",2.97,"2,110,223",12.86,"1,596,252",7.60,"8,838,454",3.48
2012M01,"19,958,028",4.67,"4,820,191",4.25,"2,562,389",2.57,"2,115,231",12.24,"1,623,028",10.42,"8,837,189",2.86
2012M02,"19,960,777",4.59,"4,823,268",5.34,"2,588,744",2.76,"2,117,372",11.28,"1,621,626",8.78,"8,809,767",2.52
2012M03,"20,018,297",4.63,"4,772,448",4.16,"2,653,334",5.91,"2,135,645",10.83,"1,626,092",8.60,"8,830,778",2.43
2012M04,"20,078,705",4.72,"4,763,911",2.72,"2,703,890",10.34,"2,088,674",8.29,"1,646,826",10.11,"8,875,404",2.48
2012M05,"20,090,724",3.98,"4,739,859",-1.61,"2,714,632",13.59,"2,072,409",6.71,"1,649,425",10.95,"8,914,399",2.63
2012M06,"19,907,754",2.97,"4,535,035",-5.08,"2,674,818",11.99,"2,083,160",5.09,"1,653,550",10.75,"8,961,191",3.10
2012M07,"20,067,640",3.24,"4,695,775",-3.92,"2,625,457",12.38,"2,065,578",3.54,"1,663,713",12.61,"9,017,117",3.15
2012M08,"20,074,680",2.16,"4,690,668",-4.53,"2,603,102",6.39,"2,071,410",2.07,"1,671,865",11.14,"9,037,635",3.22
2012M09,"20,094,454",1.90,"4,685,050",-3.86,"2,605,386",6.12,"2,067,576",-0.99,"1,669,893",9.52,"9,066,549",3.28
2012M10,"20,182,829",2.43,"4,819,102",-0.92,"2,545,932",4.17,"2,069,978",-0.47,"1,659,071",8.77,"9,088,746",3.39
2012M11,"20,135,286",2.02,"4,779,533",-2.77,"2,526,000",4.84,"2,055,843",-0.49,"1,659,430",8.02,"9,114,480",3.48
2012M12,"20,372,531",2.79,"4,769,374",-0.25,"2,709,347",8.68,"2,055,503",-2.59,"1,693,952",6.12,"9,144,355",3.46
2013M01,"20,375,303",2.09,"4,766,816",-1.11,"2,712,812",5.87,"2,014,396",-4.77,"1,697,820",4.61,"9,183,458",3.92
2013M02,"20,397,735",2.19,"4,780,040",-0.90,"2,733,455",5.59,"2,018,073",-4.69,"1,699,517",4.80,"9,166,650",4.05
2013M03,"20,442,195",2.12,"4,690,285",-1.72,"2,844,885",7.22,"2,018,355",-5.49,"1,707,338",5.00,"9,181,332",3.97
2013M04,"20,461,593",1.91,"4,780,711",0.35,"2,740,535",1.36,"2,020,586",-3.26,"1,699,601",3.20,"9,220,160",3.88
2013M05,"20,384,387",1.46,"4,797,201",1.21,"2,605,583",-4.02,"2,027,711",-2.16,"1,695,177",2.77,"9,258,714",3.86
2013M06,"20,490,679",2.93,"4,812,552",6.12,"2,636,983",-1.41,"2,027,958",-2.65,"1,736,206",5.00,"9,276,980",3.52
2013M07,"20,665,824",2.98,"4,958,039",5.59,"2,619,943",-0.21,"2,030,212",-1.71,"1,744,631",4.86,"9,312,999",3.28
2013M08,"20,658,622",2.91,"4,945,407",5.43,"2,601,267",-0.07,"2,025,853",-2.20,"1,737,901",3.95,"9,348,194",3.44
2013M09,"20,757,011",3.30,"4,939,661",5.43,"2,630,114",0.95,"2,048,677",-0.91,"1,746,027",4.56,"9,392,531",3.60
2013M10,"20,795,510",3.04,"5,012,329",4.01,"2,557,063",0.44,"2,069,435",-0.03,"1,734,817",4.57,"9,421,865",3.67
2013M11,"20,873,418",3.67,"5,044,716",5.55,"2,563,218",1.47,"2,079,095",1.13,"1,711,196",3.12,"9,475,192",3.96
2013M12,"20,978,750",2.98,"5,008,312",5.01,"2,572,751",-5.04,"2,126,957",3.48,"1,732,607",2.28,"9,538,122",4.31
2014M01,"21,169,579",3.90,"5,165,182",8.36,"2,542,124",-6.29,"2,136,665",6.07,"1,736,502",2.28,"9,589,106",4.42
2014M02,"21,185,699",3.86,"5,159,527",7.94,"2,581,227",-5.57,"2,136,233",5.86,"1,730,131",1.80,"9,578,581",4.49
2014M03,"21,275,860",4.08,"5,169,807",10.22,"2,610,936",-8.22,"2,153,799",6.71,"1,734,752",1.61,"9,606,565",4.63
2014M04,"21,426,779",4.72,"5,272,984",10.30,"2,537,542",-7.41,"2,180,368",7.91,"1,786,798",5.13,"9,649,087",4.65
2014M05,"21,401,019",4.99,"5,287,178",10.21,"2,507,808",-3.75,"2,151,734",6.12,"1,760,584",3.86,"9,693,715",4.70
2014M06,"21,377,677",4.33,"5,271,791",9.54,"2,469,494",-6.35,"2,157,597",6.39,"1,747,551",0.65,"9,731,244",4.90
2014M07,"21,524,809",4.16,"5,385,112",8.61,"2,418,410",-7.69,"2,196,501",8.19,"1,736,598",-0.46,"9,788,188",5.10
