期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
2007M02,"16,645,515",2.91,"4,177,877",0.43,"2,190,497",-9.62,"1,674,383",-0.56,"1,545,389",5.47,"7,057,369",9.56
2007M03,"16,644,077",3.08,"4,215,456",2.41,"2,180,786",-8.38,"1,636,792",-3.25,"1,529,346",3.60,"7,081,698",9.26
2007M04,"16,664,719",3.14,"4,257,742",3.52,"2,132,050",-10.08,"1,609,344",-4.46,"1,536,369",5.39,"7,129,215",9.15
2007M05,"16,698,934",2.71,"4,284,779",2.82,"2,126,417",-9.10,"1,579,019",-6.91,"1,513,640",2.76,"7,195,078",9.31
2007M06,"16,685,247",2.48,"4,237,152",2.57,"2,148,764",-8.17,"1,567,122",-8.03,"1,503,774",1.67,"7,228,435",9.08
2007M07,"16,764,536",3.68,"4,280,161",6.47,"2,139,049",-5.73,"1,564,994",-7.38,"1,466,016",-1.33,"7,314,315",9.09
2007M08,"16,745,740",3.56,"4,194,129",5.17,"2,170,477",1.81,"1,561,212",-8.44,"1,462,531",-6.59,"7,357,391",8.53
2007M09,"16,818,155",3.45,"4,257,285",5.02,"2,164,775",0.31,"1,569,538",-6.38,"1,444,498",-7.34,"7,382,059",8.39
2007M10,"16,779,098",3.20,"4,212,027",4.19,"2,159,815",0.47,"1,565,269",-6.05,"1,451,904",-7.04,"7,390,084",8.08
2007M11,"16,772,693",2.81,"4,177,258",2.87,"2,163,138",0.71,"1,557,770",-6.88,"1,451,920",-4.82,"7,422,607",7.46
2007M12,"16,944,572",2.69,"4,168,569",1.48,"2,238,676",3.06,"1,561,930",-6.68,"1,485,797",-5.90,"7,489,600",7.48
2008M01,"17,018,645",2.74,"4,231,316",2.65,"2,211,734",0.91,"1,580,357",-5.75,"1,469,393",-5.44,"7,525,846",7.20
2008M02,"16,984,176",2.03,"4,224,981",1.13,"2,184,582",-0.27,"1,589,580",-5.06,"1,458,350",-5.63,"7,526,683",6.65
2008M03,"17,041,086",2.39,"4,297,470",1.95,"2,149,245",-1.45,"1,590,485",-2.83,"1,452,620",-5.02,"7,551,266",6.63
2008M04,"17,038,160",2.24,"4,303,881",1.08,"2,124,735",-0.34,"1,584,986",-1.51,"1,435,429",-6.57,"7,589,129",6.45
2008M05,"17,140,426",2.64,"4,386,895",2.38,"2,095,459",-1.46,"1,584,881",0.37,"1,437,699",-5.02,"7,635,492",6.12
2008M06,"17,241,592",3.33,"4,424,729",4.43,"2,093,540",-2.57,"1,602,937",2.29,"1,439,340",-4.28,"7,681,046",6.26
2008M07,"17,310,048",3.25,"4,429,832",3.50,"2,144,994",0.28,"1,608,411",2.77,"1,412,498",-3.65,"7,714,313",5.47
2008M08,"17,302,581",3.33,"4,441,982",5.91,"2,119,921",-2.33,"1,601,379",2.57,"1,418,655",-3.00,"7,720,643",4.94
2008M09,"17,399,432",3.46,"4,473,518",5.08,"2,153,741",-0.51,"1,628,630",3.76,"1,418,672",-1.79,"7,724,871",4.64
2008M10,"17,483,391",4.20,"4,503,624",6.92,"2,129,851",-1.39,"1,671,488",6.79,"1,469,999",1.25,"7,708,429",4.31
2008M11,"17,472,797",4.17,"4,382,961",4.92,"2,135,164",-1.29,"1,683,047",8.04,"1,536,152",5.80,"7,735,473",4.22
2008M12,"17,378,376",2.56,"4,224,240",1.34,"2,162,731",-3.39,"1,672,067",7.05,"1,559,137",4.94,"7,760,201",3.61
2009M01,"17,262,703",1.43,"4,135,515",-2.26,"2,133,019",-3.56,"1,673,569",5.90,"1,553,871",5.75,"7,766,729",3.20
2009M02,"17,061,257",0.45,"3,935,783",-6.84,"2,185,838",0.06,"1,636,669",2.96,"1,553,374",6.52,"7,749,593",2.96
2009M03,"17,010,372",-0.18,"3,900,495",-9.24,"2,139,411",-0.46,"1,646,683",3.53,"1,565,044",7.74,"7,758,740",2.75
2009M04,"16,991,459",-0.27,"3,875,168",-9.96,"2,095,136",-1.39,"1,659,421",4.70,"1,574,657",9.70,"7,787,077",2.61
2009M05,"16,968,121",-1.01,"3,853,624",-12.16,"2,072,223",-1.11,"1,649,801",4.10,"1,568,509",9.10,"7,823,964",2.47
2009M06,"17,011,706",-1.33,"3,848,613",-13.02,"2,069,301",-1.16,"1,643,674",2.54,"1,585,915",10.18,"7,864,203",2.38
2009M07,"17,043,005",-1.54,"3,895,138",-12.07,"2,014,857",-6.07,"1,620,057",0.72,"1,600,417",13.30,"7,912,536",2.57
2009M08,"17,154,480",-0.86,"3,980,089",-10.40,"2,001,967",-5.56,"1,600,702",-0.04,"1,607,847",13.34,"7,963,875",3.15
2009M09,"17,195,367",-1.17,"3,959,139",-11.50,"2,020,245",-6.20,"1,611,217",-1.07,"1,611,325",13.58,"7,993,441",3.48
2009M10,"17,121,968",-2.07,"3,888,326",-13.66,"1,966,980",-7.65,"1,620,743",-3.04,"1,613,836",9.78,"8,032,083",4.20
2009M11,"17,256,926",-1.24,"3,931,424",-10.30,"2,035,881",-4.65,"1,611,140",-4.27,"1,613,100",5.01,"8,065,381",4.26
2009M12,"17,554,377",1.01,"4,011,212",-5.04,"2,201,291",1.78,"1,642,852",-1.75,"1,582,976",1.53,"8,116,046",4.59
