期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2002M03,"833,379",2.36,"503,663",-0.93,"329,716",7.85,"25,280",13.96,"747,622",1.63,"60,477",7.46,"551,857",0.69,"14,752",11.79,"40,000",...,"7,230",-78.03,"219,540",-0.19
2002M04,"881,754",-1.56,"525,813",-1.41,"355,941",-1.78,"27,072",-34.38,"778,987",-0.85,"75,695",10.03,"635,995",-1.82,"14,508",31.26,"27,008",...,"6,197",-81.95,"198,046",-2.23
2002M05,"866,016",0.11,"512,652",-2.32,"353,364",3.86,"25,164",8.64,"770,394",-0.30,"70,458",1.90,"622,075",-0.38,"13,363",10.88,"30,834",...,"6,892",-73.12,"192,852",-4.96
2002M06,"825,014",-9.66,"495,001",-9.27,"330,013",-10.25,"31,811",-5.18,"741,265",-9.41,"51,938",-15.42,"583,636",-11.53,"14,769",22.90,"26,350",...,"6,444",-81.95,"193,815",-5.84
2002M07,"952,947",1.30,"539,585",0.02,"413,362",3.03,"97,979",2.08,"808,172",1.42,"46,796",-2.17,"718,351",1.44,"14,429",19.23,"28,984",...,"7,421",-73.82,"183,762",-4.33
2002M08,"984,782",1.69,"550,024",0.74,"434,758",2.93,"107,555",5.03,"834,728",1.66,"42,499",-5.22,"738,703",1.22,"13,676",6.59,"37,155",...,"6,101",-81.87,"189,147",-1.54
2002M09,"820,450",11.69,"492,860",8.94,"327,590",16.09,"19,709",13.46,"748,135",11.52,"52,606",13.44,"586,837",12.03,"14,004",23.43,"27,439",...,"2,598",-92.02,"189,572",13.61
2002M10,"867,554",17.47,"522,249",14.63,"345,305",22.05,"18,903",-1.64,"776,216",17.12,"72,435",28.12,"609,194",14.80,"12,709",8.79,"32,612",...,"5,352",-80.94,"207,687",23.54
2002M11,"789,882",10.06,"489,715",7.62,"300,167",14.28,"19,136",8.73,"712,308",9.75,"58,438",14.46,"534,237",5.37,"14,090",12.75,"32,209",...,"6,747",-77.55,"202,599",20.49
2002M12,"808,612",6.71,"487,293",5.87,"321,319",8.01,"34,610",7.91,"729,487",6.31,"44,515",12.72,"523,309",-0.23,"15,178",25.41,"40,404",...,"9,856",-73.37,"219,865",19.39
2003M01,"800,782",14.29,"490,508",16.53,"310,274",10.91,"46,473",27.76,"716,621",14.55,"37,688",-2.72,"562,751",16.49,"14,485",21.95,"24,392",10.82,"2,155",-64.78,"196,999",10.93
2003M02,"783,759",-8.53,"439,491",-8.95,"344,268",-7.99,"59,495",-25.14,"684,747",-7.46,"39,517",5.58,"523,793",-15.92,"13,200",11.11,"38,559",10.62,"2,152",-71.75,"206,055",14.77
2003M03,"779,413",-6.48,"477,963",-5.10,"301,450",-8.57,"21,448",-15.16,"707,245",-5.40,"50,720",-16.13,"521,285",-5.54,"17,047",15.56,"29,957",-25.11,"1,932",-73.28,"209,192",-4.71
2003M04,"367,853",-58.28,"235,340",-55.24,"132,513",-62.77,"11,505",-57.50,"335,692",-56.91,"20,656",-72.71,"257,213",-59.56,"10,694",-26.29,"12,180",-54.90,"1,243",-79.94,"86,523",-56.31
2003M05,"142,638",-83.53,"87,725",-82.89,"54,913",-84.46,"3,448",-86.30,"133,792",-82.63,"5,398",-92.34,"102,382",-83.54,"3,833",-71.32,650,-97.89,603,-91.25,"35,170",-81.76
2003M06,"264,960",-67.88,"159,026",-67.87,"105,934",-67.90,"11,582",-63.59,"241,664",-67.40,"11,714",-77.45,"207,829",-64.39,"5,474",-62.94,"1,911",-92.75,923,-85.68,"48,823",-74.81
2003M07,"769,515",-19.25,"442,094",-18.07,"327,421",-20.79,"78,729",-19.65,"656,981",-18.71,"33,805",-27.76,"615,341",-14.34,"10,570",-26.74,"20,189",-30.34,"1,832",-75.31,"121,583",-33.84
