期間,單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%)
2001M01,"397,821",1.67,"119,823",-0.63,"232,864",2.37,"7,108",11.24,"8,150",3.00,718,-0.83,57,-48.18,"2,449",2.94,39,0.00,"26,613",3.71,"7,891,167",1.61,"2,567,218",-0.07,"2,288,851",4.45,"188,346",4.93,"258,997",3.85,"4,139",-10.45,"6,809",-29.76,"2,104,271",-0.36,"255,428",5.26,"217,108",4.41
2001M02,"397,788",1.74,"119,571",-0.66,"232,961",2.50,"7,134",11.09,"8,189",3.51,720,-0.55,63,-49.19,"2,456",2.85,39,0.00,"26,655",3.66,"7,866,750",1.82,"2,547,432",-0.10,"2,277,345",4.93,"188,393",5.65,"261,825",4.71,"4,125",-9.97,"7,428",-27.21,"2,106,581",-0.21,"256,757",5.08,"216,864",4.80
2001M03,"397,806",1.57,"119,413",-0.86,"232,987",2.31,"7,165",10.57,"8,205",3.64,724,0.14,80,-39.39,"2,462",2.88,39,0.00,"26,731",3.64,"7,863,517",1.61,"2,535,339",-0.73,"2,280,010",4.72,"189,154",5.97,"263,705",5.22,"4,129",-8.91,"8,491",-22.51,"2,107,807",-0.13,"257,423",4.97,"217,459",4.92
2001M04,"398,509",1.57,"119,342",-0.92,"233,512",2.31,"7,231",10.38,"8,221",3.68,720,-0.96,95,-32.62,"2,475",3.00,39,0.00,"26,874",3.81,"7,858,913",1.31,"2,524,253",-1.33,"2,280,593",4.30,"189,530",5.81,"264,652",5.11,"4,038",-10.56,"8,727",-25.10,"2,109,927",-0.07,"258,909",4.98,"218,284",5.16
2001M05,"398,225",1.31,"119,040",-1.15,"233,472",2.04,"7,260",9.68,"8,238",3.83,719,0.00,107,-18.94,"2,482",2.90,39,0.00,"26,868",3.43,"7,844,706",0.97,"2,507,656",-2.15,"2,278,990",3.90,"189,762",5.75,"264,801",5.25,"3,978",-9.53,"8,959",-16.53,"2,112,033",0.09,"259,723",4.75,"218,804",4.92
2001M06,"399,043",1.36,"118,917",-1.27,"234,157",2.11,"7,320",9.84,"8,294",4.37,720,0.00,112,-11.11,"2,490",3.02,39,0.00,"26,994",3.76,"7,847,848",0.57,"2,496,804",-3.05,"2,287,951",3.29,"190,986",5.78,"264,994",5.35,"3,989",-9.59,"6,905",-24.71,"2,114,681",0.32,"261,559",4.81,"219,979",5.09
2001M07,"399,345",1.10,"118,690",-1.49,"234,448",1.75,"7,343",9.17,"8,404",5.55,719,0.70,129,-5.15,"2,500",3.05,39,0.00,"27,073",3.81,"7,847,292",-0.25,"2,480,570",-4.63,"2,293,956",1.88,"192,586",5.13,"268,836",8.37,"3,939",-9.66,"9,639",-20.42,"2,113,087",0.33,"262,609",4.97,"222,070",5.39
2001M08,"399,679",1.07,"118,436",-1.59,"234,723",1.68,"7,396",9.05,"8,502",6.72,720,0.70,184,36.30,"2,511",3.12,39,0.00,"27,168",3.76,"7,819,411",-0.67,"2,458,508",-5.58,"2,286,112",1.30,"193,293",5.31,"262,776",7.82,"3,916",-9.52,"12,891",10.90,"2,114,732",0.42,"264,630",5.40,"222,553",5.10
2001M09,"399,668",0.97,"118,181",-1.69,"234,761",1.52,"7,446",8.76,"8,544",6.92,717,-0.14,226,69.92,"2,515",3.16,39,0.00,"27,239",3.91,"7,815,139",-0.96,"2,445,563",-6.09,"2,281,376",0.71,"193,758",4.96,"269,457",7.61,"3,856",-11.17,"16,582",33.19,"2,116,198",0.55,"265,356",5.33,"222,993",4.70
2001M10,"399,428",0.65,"117,921",-1.93,"234,669",1.16,"7,472",7.77,"8,556",6.83,709,-1.39,235,88.00,"2,528",3.56,39,0.00,"27,299",3.55,"7,809,101",-1.28,"2,434,002",-6.63,"2,272,932",-0.21,"193,508",4.25,"281,941",11.24,"3,844",-11.06,"18,661",62.75,"2,113,347",0.48,"267,094",5.71,"223,772",4.26
2001M11,"399,520",0.56,"117,744",-2.03,"234,758",1.03,"7,511",7.07,"8,567",6.81,708,-1.12,206,123.91,"2,531",3.60,39,0.00,"27,456",3.89,"7,792,470",-1.57,"2,422,051",-6.89,"2,271,722",-0.68,"194,010",3.76,"279,338",9.58,"3,833",-9.62,"14,047",65.63,"2,114,774",0.48,"267,359",5.63,"225,336",4.43
2001M12,"399,303",0.32,"117,507",-2.14,"234,720",0.74,"7,538",6.68,"8,579",6.72,711,-0.97,167,114.10,"2,541",3.80,39,0.00,"27,501",3.50,"7,779,127",-1.73,"2,413,724",-6.89,"2,267,775",-1.14,"194,570",3.68,"279,433",9.61,"3,846",-7.99,"11,489",54.05,"2,114,207",0.44,"268,643",5.99,"225,440",3.93
2002M01,"399,092",0.32,"117,182",-2.20,"234,846",0.85,"7,576",6.58,"8,550",4.91,703,-2.09,117,105.26,"2,552",4.21,39,0.00,"27,527",3.43,"7,780,148",-1.41,"2,406,963",-6.24,"2,277,109",-0.51,"194,933",3.50,"274,501",5.99,"3,803",-8.12,"8,182",20.16,"2,118,465",0.67,"269,960",5.69,"226,232",4.20
2002M02,"399,335",0.39,"117,042",-2.12,"235,095",0.92,"7,607",6.63,"8,589",4.88,702,-2.50,106,68.25,"2,558",4.15,39,0.00,"27,597",3.53,"7,752,051",-1.46,"2,391,410",-6.12,"2,260,551",-0.74,"193,713",2.82,"276,549",5.62,"3,776",-8.46,"8,435",13.56,"2,119,376",0.61,"272,011",5.94,"226,230",4.32
2002M03,"399,075",0.32,"116,764",-2.22,"235,060",0.89,"7,648",6.74,"8,584",4.62,699,-3.45,107,33.75,"2,568",4.31,39,0.00,"27,606",3.27,"7,747,789",-1.47,"2,394,980",-5.54,"2,251,160",-1.27,"193,010",2.04,"276,787",4.96,"3,694",-10.54,"8,680",2.23,"2,120,773",0.62,"273,242",6.15,"225,463",3.68
2002M04,"399,749",0.31,"116,694",-2.22,"235,661",0.92,"7,694",6.40,"8,579",4.35,702,-2.50,117,23.16,"2,578",4.16,39,0.00,"27,685",3.02,"7,758,947",-1.27,"2,402,835",-4.81,"2,251,482",-1.28,"193,104",1.89,"275,841",4.23,"3,714",-8.02,"8,881",1.76,"2,122,408",0.59,"275,287",6.33,"225,395",3.26
2002M05,"400,600",0.60,"116,637",-2.02,"236,417",1.26,"7,753",6.79,"8,575",4.09,701,-2.50,130,21.50,"2,591",4.39,39,0.00,"27,757",3.31,"7,781,406",-0.81,"2,409,418",-3.92,"2,261,794",-0.75,"192,622",1.51,"274,811",3.78,"3,721",-6.46,"9,276",3.54,"2,127,028",0.71,"276,392",6.42,"226,344",3.45
2002M06,"401,316",0.57,"116,553",-1.99,"237,143",1.28,"7,784",6.34,"8,566",3.28,705,-2.08,145,29.46,"2,599",4.38,39,0.00,"27,782",2.92,"7,811,161",-0.47,"2,420,190",-3.07,"2,277,042",-0.48,"193,921",1.54,"271,639",2.51,"3,731",-6.47,"7,770",12.53,"2,131,718",0.81,"278,408",6.44,"226,742",3.07
2002M07,"401,807",0.62,"116,392",-1.94,"237,647",1.36,"7,823",6.54,"8,552",1.76,706,-1.81,200,55.04,"2,609",4.36,39,0.00,"27,839",2.83,"7,829,828",-0.22,"2,427,902",-2.12,"2,295,291",0.06,"193,961",0.71,"259,974",-3.30,"3,755",-4.67,"12,507",29.75,"2,131,259",0.86,"279,251",6.34,"225,928",1.74
2002M08,"403,056",0.84,"116,368",-1.75,"238,678",1.68,"7,878",6.52,"8,547",0.53,707,-1.81,244,32.61,"2,627",4.62,39,0.00,"27,968",2.94,"7,847,993",0.37,"2,425,850",-1.33,"2,304,240",0.79,"193,900",0.31,"261,818",-0.36,"3,754",-4.14,"14,849",15.19,"2,136,069",1.01,"281,302",6.30,"226,211",1.64
2002M09,"403,416",0.94,"116,205",-1.67,"239,042",1.82,"7,926",6.45,"8,541",-0.04,721,0.56,261,15.49,"2,631",4.61,39,0.00,"28,050",2.98,"7,839,127",0.31,"2,415,817",-1.22,"2,302,330",0.92,"194,504",0.39,"265,708",-1.39,"3,767",-2.31,"17,218",3.84,"2,131,703",0.73,"281,703",6.16,"226,377",1.52
2002M10,"403,952",1.13,"116,095",-1.55,"239,484",2.05,"7,973",6.71,"8,548",-0.09,728,2.68,268,14.04,"2,639",4.39,39,0.00,"28,178",3.22,"7,860,806",0.66,"2,422,319",-0.48,"2,310,772",1.66,"195,377",0.97,"268,835",-4.65,"3,712",-3.43,"17,924",-3.95,"2,131,327",0.85,"282,490",5.76,"228,050",1.91
