期間,受理件數(件)_原始值,受理件數(件)_年增率(%),受理件數(件)-初次認定申請件數_原始值,受理件數(件)-初次認定申請件數_年增率(%),受理件數(件)-再次認定申請件數_原始值,受理件數(件)-再次認定申請件數_年增率(%),核付件數(件)_原始值,核付件數(件)_年增率(%),核付件數(件)-初次認定核付件數_原始值,核付件數(件)-初次認定核付件數_年增率(%),核付件數(件)-再次認定核付件數_原始值,核付件數(件)-再次認定核付件數_年增率(%),核付金額(千元)_原始值,核付金額(千元)_年增率(%),推介就業人數(人)_原始值,推介就業人數(人)_年增率(%),安排職訓人數(人)_原始值,安排職訓人數(人)_年增率(%)
2009M04,"114,843",320.72,"21,314",200.58,"93,529",362.88,"111,400",312.96,"22,147",226.65,"89,253",341.93,"1,913,053",295.45,"8,066",120.02,"2,875",129.27
2009M05,"105,776",293.19,"16,033",158.14,"89,743",333.73,"88,618",237.30,"12,229",98.59,"76,389",279.76,"1,555,397",230.09,"7,882",110.52,"2,729",293.80
2009M06,"120,276",375.98,"16,151",188.72,"104,125",429.22,"129,884",429.53,"17,729",234.01,"112,155",483.53,"2,531,788",473.65,"9,005",171.64,"3,765",239.50
2009M07,"104,203",263.49,"14,660",105.26,"89,543",316.00,"113,651",310.53,"15,208",154.70,"98,443",353.38,"2,219,897",342.89,"8,011",163.35,"2,821",203.66
2009M08,"88,296",224.01,"13,669",76.42,"74,627",282.64,"87,290",220.66,"12,651",64.21,"74,639",282.41,"1,705,634",244.45,"7,244",98.96,"2,923",184.89
2009M09,"83,023",186.28,"11,601",48.16,"71,422",237.36,"87,493",215.06,"11,177",44.41,"76,316",281.01,"1,718,866",240.10,"7,505",120.02,"2,825",286.46
2009M10,"72,626",101.34,"9,761",-4.97,"62,865",143.65,"75,350",113.65,"9,287",-2.83,"66,063",156.94,"1,479,707",130.70,"5,975",92.25,"2,028",262.14
2009M11,"63,109",66.21,"8,513",-40.49,"54,596",130.69,"60,982",87.53,"8,141",-23.45,"52,841",141.47,"1,196,382",105.13,"5,606",104.52,"2,043",375.12
2009M12,"66,114",-2.55,"9,284",-69.34,"56,830",51.31,"69,054",9.17,"9,116",-65.95,"59,938",64.31,"1,366,341",22.32,"5,207",47.26,"1,804",5.81
2010M01,"52,537",-27.58,"8,379",-74.67,"44,158",11.88,"51,046",-7.44,"7,594",-70.05,"43,452",45.85,"1,010,879",5.16,"4,250",37.72,"1,297",17.80
2010M02,"49,447",-58.86,"9,466",-73.11,"39,981",-52.96,"36,496",-68.69,"5,384",-86.04,"31,112",-60.12,"717,054",-64.79,"4,298",-25.58,"1,207",-57.91
2010M03,"55,944",-55.05,"8,133",-71.00,"47,811",-50.41,"70,712",-42.91,"11,736",-56.80,"58,976",-39.01,"1,396,462",-34.74,"7,506",-9.02,"2,277",-17.92
2010M04,"45,397",-60.47,"8,593",-59.68,"36,804",-60.65,"45,324",-59.31,"8,670",-60.85,"36,654",-58.93,"904,383",-52.73,"6,950",-13.84,"1,804",-37.25
2010M05,"41,638",-60.64,"6,868",-57.16,"34,770",-61.26,"42,015",-52.59,"6,562",-46.34,"35,453",-53.59,"839,386",-46.03,"5,727",-27.34,"1,617",-40.75
2010M06,"39,361",-67.27,"6,089",-62.30,"33,272",-68.05,"40,363",-68.92,"6,228",-64.87,"34,135",-69.56,"814,760",-67.82,"5,262",-41.57,"1,875",-50.20
