期間,金融業拆款,商業本票--初級市場--1-30天,商業本票--初級市場--31-90天,商業本票--初級市場--91-180天,商業本票--次級市場--1-30天,商業本票--次級市場--31-90天,商業本票--次級市場--91-180天,可轉讓定期存單--次級市場--1-90天,可轉讓定期存單--次級市場--91-180天,銀行承兌匯票--次級市場--1-30天,銀行承兌匯票--次級市場--31-90天,銀行承兌匯票--次級市場--91-180天,國庫券--初級市場--1-91天,國庫券--初級市場--92-182天,國庫券--初級市場--183-364天,中央銀行定期存單--初級市場--1-30天,中央銀行定期存單--初級市場--31-91天,中央銀行定期存單--初級市場--92-182天,公債附條件交易利率--次級市場--1-30天,公債附條件交易利率--次級市場--31-90天,公債附條件交易利率--次級市場--91-180天
2010M12,0.239,0.60,0.65,0.69,0.44,0.49,0.65,0.43,0.45,0.43,0.38,0.49,-,-,0.70,0.69,0.73,0.83,0.40,0.41,0.39
2011M01,0.257,0.63,0.68,0.70,0.49,0.55,0.58,0.48,0.62,0.48,0.50,0.51,0.41,-,-,0.74,0.78,0.88,0.44,0.46,0.43
2011M02,0.262,0.65,0.66,0.75,0.50,0.54,0.64,0.52,0.51,0.47,0.50,0.55,-,0.71,-,0.74,0.78,0.88,0.45,0.48,0.40
2011M03,0.274,0.68,0.73,1.02,0.52,0.59,0.73,0.53,0.56,0.50,0.51,-,-,-,0.77,0.74,0.78,0.88,0.47,0.48,0.44
2011M04,0.296,0.78,0.82,0.91,0.60,0.65,0.79,0.62,0.71,0.53,0.50,0.46,-,-,0.84,0.81,0.86,0.97,0.53,0.52,0.49
2011M05,0.319,0.77,0.82,0.86,0.63,0.68,0.87,0.66,0.64,0.59,0.59,0.46,0.65,-,-,0.81,0.86,0.97,0.56,0.57,0.49
2011M06,0.344,0.80,0.86,1.05,0.66,0.71,0.83,0.67,0.71,0.60,0.63,0.52,-,-,-,0.81,0.86,0.97,0.61,0.59,0.49
2011M07,0.375,0.84,0.89,1.23,0.73,0.73,0.86,0.75,0.85,0.73,0.78,0.55,-,-,-,0.87,0.93,1.05,0.65,0.62,0.62
2011M08,0.388,0.88,0.87,1.03,0.74,0.77,0.79,0.74,0.79,0.68,0.68,0.60,-,-,0.86,0.87,0.93,1.05,0.68,0.65,0.61
2011M09,0.394,0.84,0.98,0.95,0.76,0.80,0.91,0.77,0.82,0.70,0.81,-,0.64,-,-,0.87,0.93,1.05,0.69,0.65,0.62
2011M10,0.395,0.87,0.92,1.12,0.75,0.82,0.86,0.76,0.83,0.76,0.74,-,-,0.77,-,0.87,0.93,1.05,0.71,0.65,0.64
2011M11,0.396,0.88,1.00,1.04,0.75,0.81,1.02,0.78,0.89,0.70,0.75,-,-,-,0.85,0.87,0.93,1.05,0.72,0.68,0.62
2011M12,0.400,0.88,0.98,1.00,0.75,0.79,0.84,0.78,0.86,0.72,-,-,-,0.81,0.85,0.87,0.93,1.05,0.73,0.70,0.64
2012M01,0.403,0.87,1.04,1.00,0.75,0.79,0.83,0.77,0.78,0.84,-,-,-,-,-,0.87,0.93,1.05,0.73,0.73,0.65
2012M02,0.399,0.87,0.95,0.97,0.75,0.79,0.89,0.77,0.85,0.80,0.76,-,-,-,-,0.87,0.93,1.05,0.73,0.75,0.64
2012M03,0.402,0.84,0.88,0.94,0.75,0.79,0.88,0.77,0.78,0.76,0.77,-,-,-,-,0.87,0.93,1.05,0.73,0.73,0.66
2012M04,0.476,0.85,0.89,0.95,0.74,0.79,0.86,0.77,0.77,0.80,0.73,-,0.80,-,-,0.87,0.93,1.05,0.72,0.74,0.65
2012M05,0.512,0.86,0.90,0.94,0.77,0.81,0.88,0.79,0.79,0.77,0.84,-,-,0.84,-,0.87,0.93,1.05,0.73,0.72,0.66
2012M06,0.513,0.86,0.93,0.94,0.78,0.82,0.88,0.79,0.82,0.73,0.77,-,-,-,0.83,0.87,0.93,1.05,0.74,0.75,0.66
2012M07,0.445,0.86,0.88,0.92,0.77,0.80,0.88,0.78,0.81,0.77,0.65,-,-,-,0.77,0.87,0.93,1.05,0.74,0.74,0.66
2012M08,0.388,0.84,0.87,0.90,0.77,0.80,0.84,0.77,0.81,0.74,0.80,-,-,-,0.78,0.87,0.93,1.05,0.74,0.73,0.67
2012M09,0.389,0.83,0.87,0.88,0.78,0.79,0.84,0.79,0.80,0.76,0.74,-,0.63,-,-,0.87,0.93,1.05,0.74,0.74,0.65
2012M10,0.388,0.84,0.87,0.88,0.77,0.78,0.83,0.78,0.80,0.73,0.79,-,-,0.63,-,0.87,0.93,1.05,0.73,0.72,0.66
2012M11,0.386,0.82,0.84,0.84,0.76,0.77,0.81,0.76,0.81,0.76,0.73,-,-,-,0.65,0.87,0.93,1.05,0.73,0.71,0.66
2012M12,0.388,0.83,0.85,0.82,0.74,0.76,0.79,0.74,0.77,0.74,0.79,-,-,0.62,0.70,0.87,0.93,1.05,0.72,0.69,0.63
2013M01,0.387,0.82,0.85,0.83,0.73,0.75,0.78,0.72,0.78,0.73,0.74,0.73,-,0.63,-,0.87,0.93,1.05,0.70,0.71,0.61
2013M02,0.387,0.82,0.84,0.81,0.71,0.73,0.76,0.70,0.77,0.74,0.71,-,-,-,0.62,0.87,0.93,1.05,0.69,0.72,0.61
2013M03,0.387,0.80,0.85,0.80,0.70,0.72,0.76,0.71,0.75,0.73,0.72,0.73,-,-,0.63,0.87,0.93,1.05,0.69,0.69,0.63
2013M04,0.386,0.80,0.82,0.80,0.70,0.71,0.77,0.71,0.73,0.69,0.72,-,0.43,-,-,0.87,0.93,1.05,0.67,0.70,0.62
2013M05,0.386,0.78,0.83,0.76,0.69,0.70,0.73,0.66,0.71,0.68,0.68,-,0.32,-,-,0.87,0.93,1.05,0.66,0.66,0.60
2013M06,0.386,0.79,0.81,0.77,0.68,0.70,0.72,0.70,0.69,0.66,0.72,0.74,-,-,-,0.87,0.93,1.05,0.64,0.65,0.58
2013M07,0.386,0.79,0.81,0.81,0.67,0.70,0.74,0.68,0.71,0.67,0.66,0.68,0.40,0.48,0.49,0.87,0.93,1.05,0.63,0.64,0.59
2013M08,0.386,0.77,0.81,0.77,0.66,0.68,0.71,0.66,0.69,0.67,0.70,0.67,-,0.45,0.65,0.87,0.93,1.05,0.62,0.64,0.57
2013M09,0.386,0.76,0.78,0.74,0.64,0.67,0.70,0.65,0.68,0.65,0.73,0.65,-,-,0.50,0.87,0.93,1.05,0.60,0.63,0.56
2013M10,0.387,0.76,0.78,0.74,0.64,0.66,0.70,0.64,0.68,0.65,0.69,-,-,-,-,0.87,0.93,1.05,0.60,0.62,0.56
2013M11,0.386,0.74,0.78,0.72,0.63,0.64,0.68,0.62,0.64,0.62,0.64,-,-,-,0.45,0.87,0.93,1.05,0.59,0.61,0.56
2013M12,0.387,0.74,0.77,0.73,0.61,0.64,0.69,0.61,0.60,0.57,0.64,-,-,-,0.54,0.87,0.93,1.05,0.58,0.60,0.56
2014M01,0.388,0.70,0.77,0.73,0.62,0.63,0.69,0.60,0.62,0.60,0.65,-,0.58,0.50,-,0.87,0.93,1.05,0.57,0.60,0.57
2014M02,0.387,0.73,0.77,0.72,0.60,0.63,0.67,0.60,0.63,0.60,0.61,-,-,-,0.45,0.87,0.93,1.05,0.56,0.60,0.57
2014M03,0.387,0.75,0.78,0.71,0.60,0.61,0.64,0.60,0.64,0.61,0.67,-,-,-,0.50,0.87,0.93,1.05,0.56,0.59,0.55
2014M04,0.387,0.75,0.79,0.73,0.59,0.59,0.63,0.59,0.65,0.60,0.66,-,0.39,-,-,0.87,0.93,1.05,0.55,0.60,0.55
2014M05,0.388,0.76,0.78,0.74,0.58,0.59,0.61,0.58,0.60,0.56,0.57,-,0.32,-,-,0.87,0.93,1.05,0.55,0.59,0.55
2014M06,0.387,0.79,0.80,0.76,0.59,0.62,0.64,0.60,0.60,0.60,0.57,-,-,-,-,0.87,0.93,1.05,0.55,0.59,0.54
2014M07,0.387,0.79,0.78,0.77,0.58,0.61,0.69,0.59,0.63,0.59,0.59,-,-,-,0.42,0.87,0.93,1.05,0.55,0.57,0.55
