期間,噸數(千公噸)-合計_原始值,噸數(千公噸)-合計_年增率(%),延噸公里(千噸公里)-合計_原始值,延噸公里(千噸公里)-合計_年增率(%),平均每噸貨物運距(公里)-合計_原始值,平均每噸貨物運距(公里)-合計_年增率(%),噸數(千公噸)-台鐵_原始值,噸數(千公噸)-台鐵_年增率(%),延噸公里(千噸公里)-台鐵_原始值,延噸公里(千噸公里)-台鐵_年增率(%),平均每噸貨物運距(公里)-台鐵_原始值,平均每噸貨物運距(公里)-台鐵_年增率(%),貨運收入(千元)-台鐵_原始值,貨運收入(千元)-台鐵_年增率(%),噸數(千公噸)-生產事業機構_原始值,噸數(千公噸)-生產事業機構_年增率(%),延噸公里(千噸公里)-生產事業機構_原始值,延噸公里(千噸公里)-生產事業機構_年增率(%)
2005M07,"1,531",9.37,"83,887",6.58,54.8,-2.55,"1,091",9.45,"83,443",6.59,76.5,-2.61,"102,545",9.99,441,9.16,443,3.11
2005M08,"1,684",28.12,"86,942",22.61,51.6,-4.30,"1,154",24.29,"86,437",22.64,74.9,-1.33,"101,534",21.63,530,37.33,505,17.26
2005M09,"1,439",8.30,"75,319",9.50,52.3,1.11,959,1.63,"74,864",9.49,78.1,7.73,"86,069",4.04,480,24.63,455,12.09
2005M10,"1,337",-6.88,"73,750",-2.88,55.2,4.30,916,-9.98,"73,322",-2.82,80.1,7.95,"85,627",-6.42,421,0.64,428,-11.55
2005M11,"1,511",5.39,"80,938",2.37,53.6,-2.87,"1,026",-1.15,"80,466",2.36,78.4,3.55,"94,434",-0.34,485,22.54,472,4.02
2005M12,"1,920",32.05,"94,800",18.60,49.4,-10.19,"1,257",24.18,"93,730",18.49,74.6,-4.59,"110,559",16.31,663,50.07,"1,071",29.27
2006M01,"1,653",0.82,"82,505",-3.17,49.9,-3.96,"1,080",-3.06,"81,325",-3.27,75.3,-0.21,"96,126",-4.86,573,9.06,"1,180",3.63
2006M02,"1,725",15.81,"77,871",22.24,45.1,5.55,"1,056",13.01,"75,472",20.02,71.5,6.21,"91,567",21.69,669,20.54,"2,398",191.84
2006M03,"1,615",-11.03,"86,306",0.05,53.4,12.45,"1,073",-9.91,"85,365",0.29,79.6,11.33,"99,632",-2.41,542,-13.15,941,-17.71
2006M04,"1,425",-10.78,"79,855",-0.16,56.0,11.90,983,-10.53,"79,398",-0.08,80.8,11.68,"93,404",-0.80,442,-11.33,458,-13.08
2006M05,"1,494",-10.14,"81,996",-4.85,54.9,5.89,"1,054",-9.92,"81,542",-4.84,77.4,5.64,"97,277",-4.20,440,-10.65,454,-6.40
2006M06,"1,562",-3.84,"83,481",-1.33,53.4,2.61,"1,085",-4.27,"82,999",-1.33,76.5,3.07,"98,445",-3.46,477,-2.84,482,-1.02
2006M07,"1,734",13.20,"88,265",5.22,50.9,-7.05,"1,172",7.40,"87,731",5.14,74.9,-2.11,"105,323",2.71,562,27.56,534,20.48
2006M08,"1,830",8.66,"92,016",5.84,50.3,-2.60,"1,214",5.18,"91,439",5.79,75.3,0.58,"107,105",5.49,616,16.23,577,14.27
2006M09,"1,628",13.13,"84,554",12.26,51.9,-0.77,"1,117",16.46,"84,046",12.26,75.3,-3.60,"98,152",14.04,511,6.47,508,11.65
2006M10,"1,774",32.71,"91,109",23.54,51.4,-6.91,"1,205",31.56,"90,540",23.48,75.1,-6.14,"105,579",23.30,569,35.21,569,32.95
2006M11,"1,438",-4.85,"77,046",-4.81,53.6,0.04,994,-3.17,"76,580",-4.83,77.1,-1.71,"89,760",-4.95,444,-8.40,466,-1.29
2006M12,"1,182",-38.43,"71,523",-24.55,60.5,22.53,835,-33.59,"70,746",-24.52,84.7,13.66,"82,525",-25.36,347,-47.60,777,-27.40
2007M01,"1,524",-7.84,"77,436",-6.14,50.8,1.84,"1,021",-5.49,"76,290",-6.19,74.7,-0.75,"90,634",-5.71,503,-12.28,"1,147",-2.81
2007M02,"1,146",-33.54,"56,828",-27.02,49.6,9.81,773,-26.78,"55,916",-25.91,72.3,1.18,"67,116",-26.70,373,-44.22,912,-61.96
2007M03,"1,554",-3.79,"78,182",-9.41,50.3,-5.85,"1,001",-6.65,"76,937",-9.87,76.8,-3.45,"89,473",-10.20,552,1.87,"1,245",32.31
2007M04,"1,455",2.09,"72,922",-8.68,50.1,-10.55,971,-1.21,"72,445",-8.76,74.6,-7.64,"84,046",-10.02,484,9.44,477,4.32
2007M05,"1,624",8.70,"81,132",-1.05,50.0,-8.97,"1,046",-0.71,"80,585",-1.17,77.0,-0.47,"92,815",-4.59,578,31.21,547,20.49
2007M06,"1,513",-3.15,"70,556",-15.48,46.6,-12.74,952,-12.28,"70,040",-15.61,73.6,-3.80,"79,820",-18.92,562,17.60,516,7.02
2007M07,"1,618",-6.68,"80,281",-9.05,49.6,-2.53,"1,047",-10.65,"79,745",-9.10,76.2,1.74,"90,591",-13.99,571,1.60,536,0.26
2007M08,"1,232",-32.67,"71,770",-22.00,58.2,15.85,818,-32.58,"71,344",-21.98,87.2,15.73,"81,225",-24.16,414,-32.86,426,-26.19
