期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
2006M07,"13,060",-37.90,"256,892",-23.60,"13,573",-33.66,"266,729",-15.64,"19,266",-4.60,"287,685",12.54,"1,969",-33.23,"74,725",0.57,"2,228",-37.06,"80,209",-3.53,586,-38.12,"17,806",-28.65
2006M08,"14,505",-16.07,"293,853",-9.81,"15,396",-11.19,"306,319",-5.95,"18,375",-8.76,"275,219",7.61,"2,246",-15.18,"89,837",4.98,"2,074",-26.48,"82,001",-4.77,758,-2.07,"25,642",4.99
2006M09,"13,471",5.10,"284,979",26.21,"13,553",4.28,"280,934",21.38,"18,293",-8.35,"279,264",11.67,"1,969",-10.66,"79,926",6.39,"1,793",-16.45,"71,723",-1.83,934,12.26,"33,845",27.77
2006M10,"17,916",27.45,"295,006",20.69,"17,372",18.57,"282,168",10.40,"18,837",-2.73,"292,102",22.25,"2,271",0.09,"70,318",-4.70,"2,208",-5.68,"73,728",-5.77,997,31.18,"30,435",38.16
2006M11,"25,412",65.91,"426,063",44.93,"24,229",57.24,"401,889",36.86,"20,020",3.87,"316,276",32.20,"3,817",41.06,"104,545",3.05,"3,271",28.38,"93,251",1.57,"1,543",68.08,"41,729",31.80
2006M12,"28,760",16.72,"489,426",7.90,"27,624",17.68,"460,442",8.83,"21,156",3.50,"345,260",27.99,"3,460",10.33,"97,297",0.70,"3,773",26.95,"102,734",12.47,"1,230",13.68,"36,292",-1.76
2007M01,"26,822",12.34,"562,260",17.23,"26,770",11.26,"543,950",16.54,"21,208",4.70,"363,570",28.64,"3,923",31.20,"104,788",-0.37,"4,168",26.73,"108,100",-4.98,985,25.80,"32,980",16.30
2007M02,"8,281",-31.80,"178,245",-25.96,"9,223",-26.46,"195,049",-19.84,"20,266",2.06,"346,766",23.82,"1,006",-39.32,"46,202",-19.71,"1,090",-37.25,"48,148",-22.99,901,27.98,"31,034",32.74
2007M03,"22,730",41.47,"510,321",32.10,"21,839",32.49,"486,220",29.32,"21,157",8.83,"370,867",27.72,"2,324",8.55,"97,929",-4.74,"2,561",10.29,"106,066",-0.83,664,26.96,"22,897",19.11
2007M04,"22,222",6.97,"414,657",-1.82,"22,252",7.95,"412,735",1.33,"21,127",7.78,"372,789",22.07,"2,352",-6.03,"79,171",-8.95,"2,380",1.97,"83,110",0.97,636,-8.09,"18,958",-20.57
2007M05,"19,209",-35.84,"403,186",-28.02,"19,207",-31.90,"398,226",-24.34,"21,129",-0.97,"377,749",11.36,"2,271",-39.34,"79,765",-26.38,"1,930",-43.76,"73,817",-27.70,977,-2.69,"24,906",-17.30
2007M06,"27,457",66.45,"614,037",89.34,"26,513",46.86,"578,623",58.10,"22,073",11.60,"413,163",38.87,"2,547",-2.97,"100,426",-0.77,"2,655",-4.63,"98,888",-8.46,869,2.84,"26,444",13.54
2007M07,"46,711",257.66,"1,049,232",308.43,"44,453",227.51,"965,701",262.05,"24,331",26.29,"496,694",72.65,"5,091",158.56,"152,171",103.64,"5,141",130.75,"156,259",94.81,819,39.76,"22,356",25.55
2007M08,"29,054",100.30,"704,997",139.91,"29,592",92.21,"722,236",135.78,"23,793",29.49,"479,455",74.21,"3,202",42.56,"143,447",59.67,"3,281",58.20,"139,907",70.62,740,-2.37,"25,896",0.99
2007M09,"19,576",45.32,"502,820",76.44,"18,927",39.65,"488,043",73.72,"24,442",33.61,"494,232",76.98,"2,355",19.60,"110,409",38.14,"2,278",27.05,"108,280",50.97,817,-12.53,"28,025",-17.20
2007M10,"24,417",36.29,"643,154",118.01,"23,439",34.92,"608,743",115.74,"25,420",34.95,"528,643",80.98,"3,107",36.81,"131,265",86.67,"3,169",43.52,"129,564",75.73,755,-24.27,"29,726",-2.33
2007M11,"17,357",-31.70,"449,901",5.59,"18,860",-22.16,"496,725",23.60,"23,917",19.47,"481,819",52.34,"2,473",-35.21,"122,738",17.40,"2,626",-19.72,"130,431",39.87,602,-60.99,"22,033",-47.20
2007M12,"13,708",-52.34,"331,907",-32.18,"15,721",-43.09,"400,600",-13.00,"21,904",3.54,"413,126",19.66,"2,491",-28.01,"125,706",29.20,"2,627",-30.37,"124,837",21.51,466,-62.11,"22,902",-36.90
2008M01,"18,890",-29.57,"429,360",-23.64,"19,563",-26.92,"462,017",-15.06,"21,231",0.11,"380,469",4.65,"3,859",-1.63,"162,131",54.72,"3,726",-10.60,"161,558",49.45,599,-39.19,"23,475",-28.82
2008M02,"11,825",42.80,"240,342",34.84,"11,869",28.69,"251,548",28.97,"21,187",4.54,"369,263",6.49,"2,124",111.13,"89,138",92.93,"2,032",86.42,"82,115",70.55,691,-23.31,"30,498",-1.73
2008M03,"23,368",2.81,"481,490",-5.65,"22,241",1.84,"451,944",-7.05,"22,314",5.47,"398,809",7.53,"3,437",47.89,"123,620",26.23,"3,493",36.39,"130,359",22.90,635,-4.37,"23,759",3.76
2008M04,"24,040",8.18,"522,398",25.98,"23,542",5.80,"498,607",20.81,"22,812",7.98,"422,600",13.36,"2,801",19.09,"112,797",42.47,"3,015",26.68,"117,363",41.21,421,-33.81,"19,193",1.24
2008M05,"22,215",15.65,"500,441",24.12,"21,915",14.10,"484,614",21.69,"23,112",9.39,"438,427",16.06,"2,878",26.73,"118,764",48.89,"2,759",42.95,"115,441",56.39,540,-44.73,"22,516",-9.60
2008M06,"12,961",-52.80,"272,906",-55.56,"14,353",-45.86,"314,504",-45.65,"21,720",-1.60,"396,829",-3.95,"2,460",-3.42,"113,778",13.30,"2,551",-3.92,"116,977",18.29,449,-48.33,"19,317",-26.95
2008M07,"16,066",-65.61,"306,538",-70.78,"18,586",-58.19,"378,181",-60.84,"19,200",-21.09,"325,186",-34.53,"3,150",-38.13,"126,246",-17.04,"3,150",-38.73,"128,114",-18.01,449,-45.18,"17,449",-21.95
2008M08,"13,720",-52.78,"274,614",-61.05,"14,094",-52.37,"293,028",-59.43,"18,826",-20.88,"306,772",-36.02,"2,905",-9.28,"123,790",-13.70,"2,763",-15.79,"114,417",-18.22,591,-20.14,"26,822",3.58
2008M09,"14,879",-23.99,"252,394",-49.80,"18,116",-4.28,"335,539",-31.25,"15,589",-36.22,"223,627",-54.75,"3,247",37.88,"118,020",6.89,"3,268",43.46,"125,151",15.58,570,-30.23,"19,691",-29.74
2008M10,"11,588",-52.54,"155,132",-75.88,"13,372",-42.95,"214,412",-64.78,"13,805",-45.69,"164,347",-68.91,103,-96.68,"2,899",-97.79,386,-87.82,"13,588",-89.51,287,-61.99,"9,002",-69.72
2008M11,"13,978",-19.47,"154,900",-65.57,"14,625",-22.45,"183,032",-63.15,"13,158",-44.98,"136,215",-71.73,18,-99.27,412,-99.66,83,-96.84,"2,289",-98.25,222,-63.12,"7,125",-67.66
2008M12,"19,524",42.43,"211,328",-36.33,"19,133",21.70,"208,692",-47.91,"13,549",-38.14,"138,851",-66.39,"3,700",48.53,"84,583",-32.71,"3,192",21.51,"72,660",-41.80,730,56.65,"19,048",-16.83
2009M01,"10,808",-42.78,"133,582",-68.89,"10,826",-44.66,"133,015",-71.21,"13,531",-36.27,"139,418",-63.36,"2,645",-31.46,"68,554",-57.72,"2,546",-31.67,"66,504",-58.84,829,38.40,"21,098",-10.13
2009M02,"13,622",15.20,"174,928",-27.22,"12,742",7.36,"165,374",-34.26,"14,411",-31.98,"148,972",-59.66,"3,159",48.73,"75,153",-15.69,"3,158",55.41,"71,615",-12.79,830,20.12,"24,636",-19.22
2009M03,"31,138",33.25,"374,462",-22.23,"29,898",34.43,"356,296",-21.16,"15,651",-29.86,"167,138",-58.09,"5,023",46.14,"115,285",-6.74,"5,128",46.81,"120,081",-7.88,725,14.17,"19,840",-16.49
2009M04,"41,025",70.65,"499,805",-4.32,"40,624",72.56,"478,374",-4.06,"16,052",-29.63,"188,569",-55.38,"5,858",109.14,"122,469",8.57,"6,040",100.33,"124,597",6.16,543,28.98,"17,712",-7.72
2009M05,"40,198",80.95,"585,271",16.95,"37,937",73.11,"532,519",9.89,"18,313",-20.76,"241,321",-44.96,"6,096",111.81,"152,011",27.99,"5,723",107.43,"141,857",22.88,916,69.63,"27,866",23.76
2009M06,"30,726",137.07,"508,097",86.18,"31,643",120.46,"510,900",62.45,"17,396",-19.91,"238,518",-39.89,"5,235",112.80,"156,611",37.65,"5,351",109.76,"157,658",34.78,800,78.17,"26,819",38.84
2009M07,"29,618",84.35,"519,724",69.55,"29,624",59.39,"509,347",34.68,"17,390",-9.43,"248,895",-23.46,"4,412",40.06,"136,280",7.95,"4,308",36.76,"131,821",2.89,904,101.34,"31,278",79.25
2009M08,"19,609",42.92,"336,373",22.49,"20,208",43.38,"343,618",17.26,"16,791",-10.81,"241,650",-21.23,"3,518",21.10,"124,589",0.65,"3,482",26.02,"121,242",5.97,940,59.05,"34,625",29.09
2009M09,"25,055",68.39,"434,580",72.18,"24,370",34.52,"412,754",23.01,"17,476",12.10,"263,476",17.82,"3,694",13.77,"130,682",10.73,"3,560",8.94,"124,393",-0.61,"1,074",88.42,"40,914",107.78
2009M10,"26,636",129.86,"471,696",204.06,"26,344",97.01,"451,768",110.70,"17,768",28.71,"283,404",72.44,"3,336","3,138.83","125,996","4,246.19","3,362",770.98,"126,540",831.26,"1,048",265.16,"40,370",348.46
2009M11,"20,423",46.11,"387,526",150.18,"20,183",38.00,"376,709",105.82,"18,008",36.86,"294,221",116.00,"2,840","15,677.78","113,558","27,462.62","2,874","3,362.65","112,328","4,807.30","1,014",356.76,"41,600",483.86
2009M12,"27,630",41.52,"543,837",157.34,"27,019",41.22,"521,252",149.77,"18,619",37.42,"316,806",128.16,"2,874",-22.32,"115,790",36.90,"2,912",-8.77,"115,850",59.44,976,33.70,"41,540",118.08
