期間,受理件數(件)_原始值,受理件數(件)_年增率(%),受理件數(件)-初次認定申請件數_原始值,受理件數(件)-初次認定申請件數_年增率(%),受理件數(件)-再次認定申請件數_原始值,受理件數(件)-再次認定申請件數_年增率(%),核付件數(件)_原始值,核付件數(件)_年增率(%),核付件數(件)-初次認定核付件數_原始值,核付件數(件)-初次認定核付件數_年增率(%),核付件數(件)-再次認定核付件數_原始值,核付件數(件)-再次認定核付件數_年增率(%),核付金額(千元)_原始值,核付金額(千元)_年增率(%),推介就業人數(人)_原始值,推介就業人數(人)_年增率(%),安排職訓人數(人)_原始值,安排職訓人數(人)_年增率(%)
2013M03,"31,392",13.15,"6,724",0.49,"24,668",17.18,"32,957",12.99,"6,537",-14.59,"26,420",22.80,"711,565",15.23,"5,664",-1.38,710,-12.24
2013M04,"29,805",19.80,"6,423",16.34,"23,382",20.79,"29,539",26.79,"6,445",30.25,"23,094",25.86,"640,810",29.73,"4,921",16.31,567,-19.92
2013M05,"28,629",11.50,"5,536",-0.43,"23,093",14.80,"30,357",14.41,"6,146",5.86,"24,211",16.80,"662,809",17.57,"4,651",2.44,483,-20.17
2013M06,"24,031",8.75,"4,806",5.77,"19,225",9.53,"23,719",8.75,"4,611",3.50,"19,108",10.09,"517,084",11.52,"3,614",1.43,366,-46.88
2013M07,"27,751",14.53,"6,107",8.98,"21,644",16.20,"28,176",17.41,"5,896",12.97,"22,280",18.65,"618,425",21.02,"4,065",16.34,354,-37.68
2013M08,"28,542",2.08,"8,712",-4.77,"19,830",5.41,"27,248",-1.70,"7,518",-11.20,"19,730",2.47,"605,380",0.15,"4,291",1.20,455,-37.50
2013M09,"24,686",9.90,"5,768",1.10,"18,918",12.90,"23,614",8.13,"5,823",1.66,"17,791",10.43,"522,031",11.35,"5,363",0.24,294,-62.36
2013M10,"26,916",-0.76,"5,557",-18.97,"21,359",5.40,"28,819",7.33,"6,375",-9.79,"22,444",13.45,"631,896",10.16,"4,132",2.45,354,-13.02
2013M11,"24,053",-12.75,"5,406",-28.49,"18,647",-6.80,"23,581",-12.77,"5,052",-28.84,"18,529",-7.04,"515,836",-10.31,"3,334",-13.43,193,-63.52
2013M12,"26,733",-1.56,"5,610",-16.26,"21,123",3.25,"27,686",-5.32,"5,839",-19.08,"21,847",-0.82,"609,608",-3.50,"3,177",-11.50,259,-60.52
2014M01,"27,017",-21.50,"6,972",-15.51,"20,045",-23.39,"25,827",-14.49,"6,501",-9.88,"19,326",-15.93,"573,766",-11.67,"3,210",-18.69,183,-57.64
2014M02,"24,989",-6.98,"5,293",-19.66,"19,696",-2.86,"22,530",-8.30,"4,063",-38.11,"18,467",2.57,"497,221",-5.83,"4,061",28.92,299,-30.47
2014M03,"25,201",-19.72,"5,586",-16.92,"19,615",-20.48,"26,447",-19.75,"6,623",1.32,"19,824",-24.97,"586,219",-17.62,"4,706",-16.91,395,-44.37
2014M04,"25,153",-15.61,"5,770",-10.17,"19,383",-17.10,"25,560",-13.47,"5,636",-12.55,"19,924",-13.73,"568,669",-11.26,"4,348",-11.64,372,-34.39
2014M05,"23,256",-18.77,"4,592",-17.05,"18,664",-19.18,"23,465",-22.70,"4,829",-21.43,"18,636",-23.03,"521,847",-21.27,"4,035",-13.24,367,-24.02
2014M06,"21,561",-10.28,"4,179",-13.05,"17,382",-9.59,"21,304",-10.18,"3,970",-13.90,"17,334",-9.28,"473,968",-8.34,"3,573",-1.13,377,3.01
2014M07,"23,642",-14.81,"5,054",-17.24,"18,588",-14.12,"23,022",-18.29,"4,729",-19.79,"18,293",-17.89,"511,762",-17.25,"3,607",-11.27,459,29.66
