期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2003M03,"580,727",-5.06,"353,782",3.65,"127,978",-29.34,0,-,"11,475",-,"75,360",18.89,"12,132",-53.13,0.837,-5.424,0.712,-10.214,97.91,-,14.96,-,0.00,-,1.98,-,12.98,-
2003M04,"604,490",-4.75,"363,095",-0.04,"132,651",-26.26,0,-,"12,310",-,"78,936",17.03,"17,498",-27.29,0.899,-5.169,0.763,-9.917,97.11,-,15.10,-,0.00,-,2.04,-,13.06,-
2003M05,"634,417",-4.17,"360,923",-5.19,"163,623",-12.99,0,-,"13,769",-,"83,343",15.61,"12,759",-39.78,0.912,-4.702,0.773,-9.272,97.99,-,15.31,-,0.00,-,2.17,-,13.14,-
2003M06,"628,026",-2.83,"371,443",-0.62,"146,906",-16.05,0,-,"13,449",-,"85,470",23.15,"10,758",-61.81,0.933,-3.616,0.786,-9.028,98.29,-,15.75,-,0.00,-,2.14,-,13.61,-
2003M07,"640,964",-3.56,"376,891",-3.49,"145,700",-14.19,0,-,"14,774",-,"94,140",21.08,"9,459",-64.41,0.923,-4.550,0.766,-10.304,98.52,-,16.99,-,0.00,-,2.30,-,14.69,-
2003M08,"630,228",-2.63,"375,969",-1.75,"134,222",-17.41,0,-,"14,517",-,"96,613",26.82,"8,907",-65.66,0.907,-3.613,0.747,-10.000,98.59,-,17.63,-,0.00,-,2.30,-,15.33,-
2003M09,"639,626",2.51,"384,130",6.83,"135,537",-17.50,0,-,"15,680",-,"95,982",22.70,"8,297",-62.13,0.950,1.171,0.784,-4.507,98.70,-,17.46,-,0.00,-,2.45,-,15.01,-
2003M10,"602,888",-5.33,"350,951",2.25,"134,396",-27.21,0,-,"16,201",-,"93,052",15.70,"8,288",-71.01,0.866,-6.580,0.709,-12.469,98.63,-,18.12,-,0.00,-,2.69,-,15.43,-
2003M11,"574,018",-1.48,"313,532",-4.69,"144,108",-7.27,0,-,"17,034",-,"88,080",11.35,"11,264",-41.17,0.851,-2.743,0.695,-8.069,98.04,-,18.31,-,0.00,-,2.97,-,15.34,-
2003M12,"609,304",-0.26,"339,698",-3.87,"140,055",-13.28,0,-,"19,103",-,"100,936",21.99,"9,512",-28.50,0.874,-1.466,0.702,-8.475,98.44,-,19.71,-,0.00,-,3.14,-,16.57,-
2004M01,"689,440",1.60,"395,233",-0.62,"151,548",-12.40,0,-,"21,789",144.71,"111,255",32.23,"9,615",-35.13,0.986,0.612,0.796,-5.910,98.61,-,19.30,-,0.00,-,3.16,-,16.14,-
2004M02,"573,123",7.71,"326,367",3.13,"117,994",-3.49,0,-,"21,379",111.90,"99,117",35.90,"8,266",-20.05,0.876,3.180,0.692,-3.352,98.56,-,21.02,-,0.00,-,3.73,-,17.29,-
2004M03,"602,482",3.75,"349,888",-1.10,"116,664",-8.84,0,-,"22,963",100.11,"105,801",40.39,"7,166",-40.93,0.860,2.748,0.676,-5.056,98.81,-,21.37,-,0.00,-,3.81,-,17.56,-
2004M04,"603,415",-0.18,"339,664",-6.45,"124,011",-6.51,0,-,"23,390",90.01,"106,194",34.53,"10,156",-41.96,0.890,-1.001,0.699,-8.388,98.32,-,21.48,-,0.00,-,3.88,-,17.60,-
