期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2006M02,"19,943,594",9.23,"2,547,537",18.66,"10,713,940",11.80,"1,515,877",5.75,"3,736,392",0.50,"444,878",-18.34,"223,387",-14.34,"761,583",33.25,"13,918,974",7.73,"1,990,150",15.33,"7,258,424",11.40,"205,722",7.32,"3,306,376",-1.80,"196,068",-32.83,"217,993",-15.17,"744,241",30.35,"6,024,620",12.85,"557,387",32.29,"3,455,516",12.65,"1,310,155",5.50,"430,016",22.56,"248,810",-1.61,"5,394",41.50,"17,342","2,780.73"
2006M03,"22,606,613",-3.73,"2,915,391",-7.90,"10,952,636",-17.14,"1,656,748",-2.73,"5,040,489",19.37,"743,700",218.32,"185,936",-56.05,"1,111,713",116.08,"15,996,045",-4.54,"2,256,585",-10.03,"7,299,116",-22.34,"79,510",-52.13,"4,564,795",22.85,"519,750","1,177.50","178,363",-56.94,"1,097,926",113.88,"6,610,568",-1.69,"658,806",0.25,"3,653,520",-4.35,"1,577,238",2.61,"475,694",-6.15,"223,950",16.07,"7,573",-15.07,"13,787","1,087.51"
2006M04,"22,111,708",-2.80,"3,085,184",-2.49,"11,318,481",-5.14,"1,462,063",-22.93,"4,509,376",20.89,"471,943",-48.01,"242,898",-45.71,"1,021,763",52.57,"15,533,586",-5.50,"2,419,974",-3.81,"7,476,721",-12.11,"115,836",-63.08,"4,035,218",21.23,"249,913",-62.33,"237,185",-46.28,"998,739",49.75,"6,578,122",4.24,"665,210",2.62,"3,841,760",12.18,"1,346,227",-14.98,"474,158",18.06,"222,030",-9.14,"5,713",-3.15,"23,024",732.39
2006M05,"24,388,210",1.94,"3,066,547",-1.26,"12,905,705",1.15,"1,534,531",-22.36,"4,945,671",11.82,"476,525",26.00,"237,387",-51.54,"1,221,844",54.60,"17,426,810",2.38,"2,397,989",0.28,"8,735,010",-2.95,"105,559",-49.84,"4,478,373",13.23,"269,926",41.03,"234,994",-51.56,"1,204,959",52.78,"6,961,400",0.88,"668,558",-6.41,"4,170,695",10.94,"1,428,972",-19.09,"467,298",-0.08,"206,599",10.61,"2,393",-50.17,"16,885",922.71
2006M06,"22,191,611",-4.82,"2,863,020",-19.13,"11,352,290",-7.32,"1,496,093",-19.91,"4,766,075",11.16,"379,189",52.06,"273,242",-32.08,"1,061,702",47.57,"15,947,658",-2.82,"2,236,135",-21.66,"7,774,899",-6.42,"140,658",-54.32,"4,293,890",13.28,"195,509",466.02,"270,511",-31.66,"1,036,056",44.22,"6,243,953",-9.58,"626,885",-8.61,"3,577,391",-9.21,"1,355,435",-13.12,"472,185",-5.00,"183,680",-14.50,"2,731",-57.76,"25,646","2,303.56"
2006M07,"21,930,859",1.57,"3,081,117",3.78,"11,651,815",2.34,"1,535,975",-9.37,"3,677,205",-6.70,"518,442",-6.91,"239,475",-32.60,"1,226,830",78.09,"15,341,613",0.83,"2,442,149",4.71,"7,843,721",-0.96,"171,552",-4.19,"3,212,350",-7.27,"248,897",-12.25,"235,510",-32.55,"1,187,434",72.78,"6,589,246",3.34,"638,968",0.39,"3,808,094",9.88,"1,364,423",-9.98,"464,855",-2.58,"269,545",-1.38,"3,965",-35.33,"39,396","2,290.53"
2006M08,"24,458,279",17.69,"2,924,261",-10.58,"12,862,330",28.97,"1,518,045",-17.59,"5,274,000",27.90,"570,140",-14.41,"196,216",2.07,"1,113,287",55.94,"17,778,988",23.13,"2,272,479",-14.00,"8,985,631",37.95,"105,868",-63.55,"4,757,848",29.46,"372,130",-11.13,"188,284",1.18,"1,096,748",54.04,"6,679,291",5.30,"651,782",3.80,"3,876,699",12.06,"1,412,177",-8.98,"516,152",15.12,"198,010",-19.98,"7,932",28.77,"16,539",772.31
2006M09,"23,037,508",7.00,"2,853,759",-16.75,"12,026,854",11.63,"1,725,305",6.13,"3,881,982",-2.45,"604,147",-11.94,"792,978",369.85,"1,152,483",32.83,"16,624,545",9.99,"2,161,223",-22.48,"8,284,674",15.79,"403,010",279.27,"3,490,433",-1.80,"373,846",-22.51,"786,094",378.79,"1,125,265",30.09,"6,412,963",-0.03,"692,536",8.15,"3,742,180",3.41,"1,322,295",-12.97,"391,549",-7.93,"230,301",13.13,"6,884",50.01,"27,218",932.94
2006M10,"21,582,702",-1.47,"2,870,280",-12.98,"10,919,483",1.02,"1,578,896",2.24,"4,384,485",-6.83,"437,781",-21.31,"208,348",86.27,"1,183,429",34.72,"15,083,873",-1.24,"2,276,324",-12.21,"7,165,813",2.42,"78,422",-42.89,"3,948,812",-7.40,"252,431",-16.44,"201,538",96.95,"1,160,533",32.31,"6,498,829",-2.00,"593,956",-15.82,"3,753,670",-1.54,"1,500,474",6.64,"435,673",-1.27,"185,350",-27.10,"6,810",-28.50,"22,896","1,630.61"
2006M11,"22,008,865",3.56,"3,051,468",-3.95,"10,356,898",1.59,"1,510,358",-11.72,"5,318,848",16.68,"382,170",-19.54,"237,018",73.45,"1,152,105",15.23,"15,799,886",8.30,"2,354,353",-4.60,"6,868,415",4.56,"120,081",26.60,"4,824,357",17.93,"260,720",9.02,"233,212",79.36,"1,138,748",14.14,"6,208,979",-6.82,"697,115",-1.69,"3,488,483",-3.79,"1,390,277",-13.97,"494,491",5.79,"121,450",-48.50,"3,806",-42.58,"13,357",514.11
2006M12,"20,303,182",-4.09,"2,550,654",-14.01,"10,399,767",-5.57,"1,224,065",-30.12,"4,295,334",10.99,"668,796",36.94,"251,773",132.13,"912,793",-6.01,"14,033,817",-3.88,"1,896,474",-18.21,"6,624,615",-9.57,"74,698",-48.36,"3,846,169",12.67,"451,148",38.30,"245,911",140.62,"894,802",-7.67,"6,269,365",-4.55,"654,180",1.04,"3,775,152",2.38,"1,149,367",-28.48,"449,165",-1.54,"217,648",34.20,"5,862",-6.39,"17,991",767.87
2007M01,"25,614,886",30.42,"2,949,580",-4.79,"13,569,378",41.03,"1,772,130",10.57,"4,489,499",25.70,"558,839",15.04,"979,374",380.79,"1,296,086",22.61,"18,989,259",38.67,"2,215,014",-11.66,"9,822,461",52.34,"315,052",355.66,"4,002,491",28.63,"379,421",21.99,"973,927",397.72,"1,280,893",21.84,"6,625,627",11.41,"734,566",24.34,"3,746,917",18.04,"1,457,078",-4.99,"487,008",5.85,"179,418",2.67,"5,447",-32.11,"15,193",160.02
2007M02,"19,163,162",-3.91,"2,126,473",-16.53,"10,442,295",-2.54,"1,307,751",-13.73,"3,476,072",-6.97,"413,722",-7.00,"472,327",111.44,"924,522",21.39,"14,041,393",0.88,"1,677,655",-15.70,"7,383,360",1.72,"251,425",22.22,"3,147,485",-4.81,"210,067",7.14,"464,167",112.93,"907,234",21.90,"5,121,769",-14.99,"448,818",-19.48,"3,058,935",-11.48,"1,056,326",-19.37,"328,587",-23.59,"203,655",-18.15,"8,160",51.28,"17,288",-0.31
2007M03,"22,798,535",0.85,"2,706,806",-7.15,"12,123,642",10.69,"1,683,551",1.62,"4,200,166",-16.67,"435,050",-41.50,"733,516",294.50,"915,804",-17.62,"16,224,970",1.43,"1,969,829",-12.71,"8,422,881",15.40,"237,075",198.17,"3,702,980",-18.88,"268,840",-48.28,"718,460",302.81,"904,905",-17.58,"6,573,565",-0.56,"736,977",11.87,"3,700,761",1.29,"1,446,476",-8.29,"497,186",4.52,"166,210",-25.78,"15,056",98.81,"10,899",-20.95
2007M04,"24,342,960",10.09,"2,551,748",-17.29,"14,109,581",24.66,"1,908,366",30.53,"3,853,998",-14.53,"692,453",46.72,"512,925",111.17,"713,889",-30.13,"17,293,402",11.33,"1,853,775",-23.40,"10,217,075",36.65,"335,366",189.52,"3,313,729",-17.88,"366,846",46.79,"505,770",113.24,"700,841",-29.83,"7,049,558",7.17,"697,973",4.93,"3,892,506",1.32,"1,573,000",16.85,"540,269",13.94,"325,607",46.65,"7,155",25.24,"13,048",-43.33
2007M05,"22,829,718",-6.39,"2,633,526",-14.12,"12,298,900",-4.70,"1,653,685",7.76,"4,439,781",-10.23,"369,731",-22.41,"503,313",112.02,"930,782",-23.82,"15,849,252",-9.05,"1,935,115",-19.30,"8,389,159",-3.96,"73,250",-30.61,"3,914,630",-12.59,"153,382",-43.18,"489,828",108.44,"893,888",-25.82,"6,980,466",0.27,"698,411",4.47,"3,909,741",-6.26,"1,580,435",10.60,"525,151",12.38,"216,349",4.72,"13,485",463.52,"36,894",118.50
2007M06,"22,386,185",0.88,"2,469,705",-13.74,"12,404,417",9.27,"1,459,851",-2.42,"4,165,715",-12.60,"502,239",32.45,"441,446",61.56,"942,812",-11.20,"15,866,284",-0.51,"1,797,227",-19.63,"8,593,960",10.53,"212,859",51.33,"3,673,407",-14.45,"231,814",18.57,"423,887",56.70,"933,130",-9.93,"6,519,901",4.42,"672,478",7.27,"3,810,457",6.51,"1,246,992",-8.00,"492,308",4.26,"270,425",47.23,"17,559",542.95,"9,682",-62.25
2007M07,"24,305,954",10.83,"2,668,126",-13.40,"12,453,386",6.88,"1,570,990",2.28,"5,511,777",49.89,"623,114",20.19,"492,568",105.69,"985,993",-19.63,"17,602,936",14.74,"2,000,391",-18.09,"8,651,470",10.30,"251,643",46.69,"4,877,297",51.83,"368,025",47.86,"482,866",105.03,"971,244",-18.21,"6,703,018",1.73,"667,735",4.50,"3,801,916",-0.16,"1,319,347",-3.30,"634,480",36.49,"255,089",-5.36,"9,702",144.69,"14,749",-62.56
2007M08,"22,235,644",-9.09,"2,409,895",-17.59,"12,229,281",-4.92,"1,490,143",-1.84,"4,580,699",-13.15,"331,497",-41.86,"355,960",81.41,"838,169",-24.71,"15,925,165",-10.43,"1,747,940",-23.08,"8,412,596",-6.38,"312,397",195.08,"4,100,382",-13.82,"175,428",-52.86,"342,049",81.67,"834,373",-23.92,"6,310,479",-5.52,"661,955",1.56,"3,816,685",-1.55,"1,177,746",-16.60,"480,317",-6.94,"156,069",-21.18,"13,911",75.38,"3,796",-77.05
