期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
2000M04,"12,703,727",6.02,"1,180",-60.69,"2,827",9.40,"4,267,401",7.22,"2,264,431",13.69,"2,002,970",0.74,"8,432,319",5.44,"2,527,131",12.72,"5,905,188",2.61
2000M05,"12,773,854",6.24,"1,077",-65.85,"2,741",-2.77,"4,313,441",7.93,"2,293,861",13.75,"2,019,580",2.01,"8,456,595",5.43,"2,539,858",12.40,"5,916,737",2.70
2000M06,"12,898,802",5.12,933,-52.30,"1,884",-32.21,"4,382,224",6.13,"2,338,573",12.11,"2,043,651",0.03,"8,513,761",4.63,"2,565,836",10.31,"5,947,925",2.36
2000M07,"12,947,063",6.22,"1,079",-50.28,"2,105",-16.44,"4,382,637",7.97,"2,385,574",15.64,"1,997,063",0.05,"8,561,242",5.37,"2,577,461",10.90,"5,983,781",3.16
2000M08,"12,895,221",6.22,"1,040",-51.27,"2,056",-17.53,"4,324,984",7.97,"2,350,465",15.32,"1,974,519",0.35,"8,567,141",5.39,"2,586,822",12.32,"5,980,319",2.65
2000M09,"12,955,705",5.78,933,-46.32,"2,326",1.04,"4,341,942",5.93,"2,377,583",13.07,"1,964,359",-1.60,"8,610,504",5.72,"2,600,282",12.75,"6,010,222",2.95
2000M10,"13,062,344",7.10,909,-48.06,"2,595",-2.81,"4,335,434",7.06,"2,382,508",14.41,"1,952,926",-0.72,"8,723,406",7.14,"2,682,790",16.00,"6,040,616",3.63
2000M11,"13,095,564",6.08,896,-46.35,"2,123",-28.25,"4,264,038",2.31,"2,340,267",6.96,"1,923,771",-2.84,"8,828,507",8.02,"2,768,787",18.34,"6,059,720",3.88
2000M12,"13,295,437",6.05,768,-55.04,"2,844",19.35,"4,227,945",-0.03,"2,298,963",3.82,"1,928,982",-4.27,"9,063,880",9.15,"2,922,667",22.00,"6,141,213",3.95
2001M01,"13,226,153",5.09,633,-68.97,"2,839",35.77,"4,115,750",-2.74,"2,276,580",1.31,"1,839,170",-7.33,"9,106,931",9.07,"2,989,192",22.18,"6,117,739",3.64
2001M02,"13,134,795",4.33,-353,--,"3,223",25.36,"4,045,323",-4.08,"2,239,838",0.47,"1,805,485",-9.17,"9,086,602",8.59,"2,992,938",20.55,"6,093,664",3.54
2001M03,"13,141,537",3.66,619,-64.65,"2,226",-7.71,"4,030,208",-5.41,"2,230,441",-1.20,"1,799,767",-10.16,"9,108,484",8.27,"3,010,865",19.58,"6,097,619",3.44
2001M04,"13,041,731",2.66,547,-53.64,"2,502",-11.50,"3,948,659",-7.47,"2,189,155",-3.32,"1,759,504",-12.16,"9,090,023",7.80,"3,004,380",18.89,"6,085,643",3.06
