期間,北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),北美洲_原始值,北美洲_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),加拿大_原始值,加拿大_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%),美國_原始值,美國_年增率(%)
2011M09,"87,909",-4.59,"3,013,705",4.24,"58,033",-17.52,"1,982,700",-9.91,"5,457",2.46,"187,081",11.95,"5,793",82.00,"197,921",98.80,"82,452",-5.02,"2,826,617",3.77,"52,240",-22.24,"1,784,775",-15.06
2011M10,"105,075",9.93,"3,457,529",12.38,"63,309",-10.63,"2,076,371",-8.64,"6,960",17.11,"229,008",19.74,"3,583",-14.49,"117,505",-12.59,"98,112",9.45,"3,228,423",11.90,"59,726",-10.39,"1,958,862",-8.39
2011M11,"91,692",-4.23,"3,050,318",-3.43,"62,078",-24.51,"2,058,294",-23.88,"5,521",-9.01,"183,675",-8.25,"4,949",-8.44,"164,109",-7.67,"86,169",-3.90,"2,866,560",-3.10,"57,129",-25.64,"1,894,185",-25.02
2011M12,"90,890",3.55,"3,002,634",3.13,"71,029",-7.88,"2,338,801",-8.24,"8,122",33.15,"268,315",32.62,"4,658",10.62,"153,381",10.19,"82,765",1.34,"2,734,233",0.93,"66,371",-8.95,"2,185,420",-9.31
2012M01,"80,155",-7.42,"2,661,174",-10.06,"58,548",-23.07,"1,937,394",-25.26,"5,855",11.52,"194,381",8.33,"3,493",-28.57,"115,590",-30.60,"74,297",-8.64,"2,466,697",-11.25,"55,055",-22.70,"1,821,799",-24.89
2012M02,"74,637",2.19,"2,520,655",0.46,"57,384",-2.78,"1,931,496",-4.42,"5,500",25.40,"185,739",23.27,"3,833",5.45,"129,025",3.69,"69,131",0.71,"2,334,727",-1.00,"53,551",-3.32,"1,802,469",-4.95
2012M03,"87,229",-8.44,"2,958,941",-8.34,"63,279",-21.73,"2,139,222",-21.65,"6,857",-12.71,"232,606",-12.62,"4,197",-46.79,"141,871",-46.74,"80,370",-8.05,"2,726,259",-7.95,"59,082",-19.02,"1,997,351",-18.94
2012M04,"85,965",-13.91,"2,917,023",-14.67,"66,932",-0.29,"2,263,496",-1.16,"6,313",16.91,"214,212",15.87,"2,942",-37.23,"99,495",-37.78,"79,650",-15.67,"2,702,732",-16.41,"63,990",2.49,"2,164,001",1.58
2012M05,"95,140",-9.47,"3,242,659",-11.54,"68,213",-13.50,"2,317,004",-15.47,"6,662",2.12,"227,072",-0.22,"4,864",27.23,"165,214",24.32,"88,476",-10.24,"3,015,533",-12.29,"63,349",-15.58,"2,151,790",-17.50
2012M06,"90,375",-9.52,"3,034,736",-12.62,"61,537",-9.40,"2,059,454",-12.50,"6,041",16.13,"202,838",12.15,"3,833",-36.54,"128,271",-38.71,"84,334",-10.93,"2,831,891",-13.98,"57,704",-6.76,"1,931,180",-9.94
2012M07,"90,338",-17.03,"3,022,348",-20.06,"73,925",10.31,"2,464,989",6.30,"5,967",-17.39,"199,625",-20.40,"4,761",-11.91,"158,742",-15.12,"84,365",-17.01,"2,822,532",-20.04,"69,164",12.26,"2,306,240",8.18
2012M08,"92,052",-5.50,"3,069,391",-9.09,"60,846",-7.73,"2,022,149",-11.22,"6,496",-13.73,"216,597",-17.02,"5,170",25.15,"171,832",20.41,"85,555",-4.81,"2,852,777",-8.43,"55,676",-9.92,"1,850,315",-13.33
2012M09,"92,135",4.81,"3,103,256",2.97,"59,590",2.68,"2,000,338",0.89,"5,914",8.37,"199,189",6.47,"4,569",-21.13,"153,387",-22.50,"86,221",4.57,"2,904,055",2.74,"55,021",5.32,"1,846,949",3.48
2012M10,"91,463",-12.95,"3,129,090",-9.50,"59,760",-5.61,"2,037,506",-1.87,"6,107",-12.26,"208,931",-8.77,"3,565",-0.50,"121,543",3.44,"85,356",-13.00,"2,920,150",-9.55,"56,195",-5.91,"1,915,962",-2.19
2012M11,"85,108",-7.18,"2,921,671",-4.22,"53,750",-13.42,"1,838,857",-10.66,"6,464",17.08,"221,891",20.81,"3,254",-34.25,"111,308",-32.17,"78,642",-8.74,"2,699,700",-5.82,"50,496",-11.61,"1,727,547",-8.80
2012M12,"84,174",-7.39,"2,900,537",-3.40,"64,537",-9.14,"2,216,240",-5.24,"5,846",-28.02,"201,433",-24.93,"3,728",-19.97,"128,019",-16.54,"78,328",-5.36,"2,699,102",-1.28,"60,809",-8.38,"2,088,220",-4.45
2013M01,"79,254",-1.12,"2,737,611",2.87,"70,696",20.75,"2,433,594",25.61,"5,622",-3.98,"194,194",-0.10,"3,633",4.01,"125,055",8.19,"73,630",-0.90,"2,543,346",3.11,"67,011",21.72,"2,306,740",26.62
2013M02,"65,217",-12.62,"2,217,526",-12.03,"68,364",19.13,"2,316,628",19.94,"4,741",-13.80,"161,196",-13.21,"2,173",-43.31,"73,623",-42.94,"60,474",-12.52,"2,056,226",-11.93,"66,184",23.59,"2,242,774",24.43
2013M03,"84,781",-2.81,"2,861,329",-3.30,"70,325",11.13,"2,365,466",10.58,"5,537",-19.25,"186,876",-19.66,"4,516",7.60,"151,914",7.08,"79,243",-1.40,"2,674,430",-1.90,"65,732",11.26,"2,210,962",10.69
2013M04,"90,815",5.64,"3,045,427",4.40,"65,603",-1.99,"2,192,608",-3.13,"6,232",-1.28,"208,984",-2.44,"3,373",14.65,"112,749",13.32,"84,583",6.19,"2,836,439",4.95,"62,210",-2.78,"2,079,204",-3.92
2013M05,"95,185",0.05,"3,211,383",-0.96,"73,324",7.49,"2,465,485",6.41,"6,783",1.82,"228,847",0.78,"4,103",-15.65,"137,966",-16.49,"88,400",-0.09,"2,982,456",-1.10,"69,203",9.24,"2,326,927",8.14
2013M06,"87,878",-2.76,"2,948,917",-2.83,"65,585",6.58,"2,193,474",6.51,"6,143",1.69,"206,144",1.63,"4,121",7.51,"137,811",7.44,"81,734",-3.08,"2,742,768",-3.15,"61,445",6.48,"2,055,006",6.41
2013M07,"91,918",1.75,"3,066,985",1.48,"59,688",-19.26,"1,984,968",-19.47,"6,142",2.93,"204,924",2.65,"3,540",-25.65,"117,718",-25.84,"85,776",1.67,"2,862,051",1.40,"56,122",-18.86,"1,866,367",-19.07
2013M08,"92,521",0.51,"3,094,358",0.81,"57,871",-4.89,"1,929,021",-4.61,"6,471",-0.38,"216,412",-0.09,"3,962",-23.37,"132,075",-23.14,"86,050",0.58,"2,877,942",0.88,"53,828",-3.32,"1,794,279",-3.03
2013M09,"84,588",-8.19,"2,839,469",-8.50,"59,789",0.33,"2,000,316",0.00,"5,432",-8.15,"182,326",-8.47,"3,854",-15.65,"128,952",-15.93,"79,156",-8.19,"2,657,139",-8.50,"55,869",1.54,"1,869,167",1.20
2013M10,"92,662",1.31,"3,153,909",0.79,"71,423",19.52,"2,422,759",18.91,"6,442",5.49,"219,264",4.95,"4,291",20.36,"145,556",19.76,"86,218",1.01,"2,934,584",0.49,"67,035",19.29,"2,273,915",18.68
2013M11,"85,440",0.39,"2,906,128",-0.53,"60,604",12.75,"2,054,363",11.72,"5,663",-12.39,"192,633",-13.19,"2,715",-16.56,"92,050",-17.30,"79,774",1.44,"2,713,407",0.51,"57,808",14.48,"1,959,608",13.43
2013M12,"85,449",1.51,"2,891,661",-0.31,"69,268",7.33,"2,336,200",5.41,"6,150",5.20,"208,133",3.33,"3,532",-5.26,"119,109",-6.96,"79,298",1.24,"2,683,517",-0.58,"65,713",8.06,"2,216,306",6.13
2014M01,"86,350",8.95,"2,878,339",5.14,"70,875",0.25,"2,362,512",-2.92,"6,553",16.56,"218,441",12.49,"3,610",-0.63,"120,349",-3.76,"79,795",8.37,"2,659,847",4.58,"67,236",0.34,"2,241,195",-2.84
2014M02,"69,919",7.21,"2,309,095",4.13,"59,116",-13.53,"1,952,314",-15.73,"4,707",-0.72,"155,452",-3.56,"3,888",78.92,"128,393",74.39,"65,209",7.83,"2,153,548",4.73,"55,178",-16.63,"1,822,257",-18.75
2014M03,"96,482",13.80,"3,182,108",11.21,"81,438",15.80,"2,685,963",13.55,"7,034",27.04,"232,003",24.15,"4,277",-5.29,"141,073",-7.14,"89,447",12.88,"2,950,094",10.31,"77,117",17.32,"2,543,439",15.04
2014M04,"98,115",8.04,"3,235,992",6.26,"84,728",29.15,"2,794,471",27.45,"6,310",1.25,"208,112",-0.42,"2,513",-25.50,"82,878",-26.49,"91,805",8.54,"3,027,869",6.75,"82,147",32.05,"2,709,331",30.31
2014M05,"97,347",2.27,"3,225,548",0.44,"74,539",1.66,"2,469,823",0.18,"6,448",-4.94,"213,647",-6.64,"3,888",-5.24,"128,824",-6.63,"90,899",2.83,"3,011,897",0.99,"70,577",1.99,"2,338,522",0.50
2014M06,"98,444",12.02,"3,275,997",11.09,"73,904",12.68,"2,459,383",12.12,"6,274",2.13,"208,785",1.28,"4,477",8.64,"148,997",8.12,"92,168",12.77,"3,067,163",11.83,"69,402",12.95,"2,309,553",12.39
2014M07,"93,785",2.03,"3,131,402",2.10,"71,534",19.85,"2,388,449",20.33,"5,981",-2.62,"199,687",-2.56,"4,453",25.79,"148,669",26.29,"87,804",2.36,"2,931,701",2.43,"67,018",19.41,"2,237,655",19.89
