期間,權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%)
2007M05,640,-52.98,"2,746",-71.03,"233,698","3,686.42","1,965",--,0,--,"11,549",161.17,0,-100.00,0,--
2007M06,"1,268",-30.10,937,-8.23,"240,905","3,106.08","2,027","10,035.00",0,--,"10,930",363.14,0,--,0,--
2007M07,947,716.38,256,-59.37,"385,512","4,119.70","5,781","27,428.57",0,--,"11,994",273.64,0,--,0,--
2007M08,381,120.23,385,-67.43,"485,605","4,485.51","4,436",--,0,--,"40,401",379.59,0,--,0,--
2007M09,313,-83.77,751,-70.01,"186,440","1,959.66","3,410","30,900.00",0,--,"23,953",185.22,0,--,0,--
2007M10,261,0.38,"2,111",209.53,"244,736","2,851.47","3,914","16,917.39",0,--,"19,421",324.22,0,--,0,--
2007M11,"1,609",55.16,"1,298",98.47,"337,412","2,798.48","4,114","2,679.73",0,--,"40,804",516.28,0,--,0,--
2007M12,246,-55.35,652,254.35,"238,014","2,443.97","3,611","2,129.01",0,--,"6,280",-3.93,0,--,0,--
2008M01,71,-91.41,"2,506",99.68,"392,907","4,029.78","7,683","63,925.00",0,--,"59,553",77.59,0,--,0,--
2008M02,41,-82.02,16,-99.54,"156,609","3,928.01","7,820",--,0,--,"16,190",335.33,0,--,0,--
2008M03,115,-87.62,285,-88.77,"345,262","4,326.44","13,025","108,441.67",0,--,"41,184",186.60,345,--,0,--
2008M04,811,-55.09,278,-93.43,"261,043",21.37,"4,067",63.14,0,--,"44,040",311.17,"30,614",--,59,--
2008M05,110,-82.81,0,-100.00,"300,789",28.71,"7,709",292.32,0,--,"26,754",131.66,"27,060",--,96,--
2008M06,131,-89.67,716,-23.59,"382,960",58.97,"10,362",411.20,0,--,"60,208",450.85,"26,511",--,133,--
2008M07,315,-66.74,0,-100.00,"370,930",-3.78,"14,034",142.76,0,--,"166,500","1,288.19","31,393",--,46,--
2008M08,0,-100.00,120,-68.83,"300,336",-38.15,"12,786",188.23,0,--,"59,745",47.88,"25,749",--,40,--
2008M09,139,-55.59,0,-100.00,"332,040",78.09,"15,351",350.18,0,--,"66,228",176.49,"30,484",--,662,--
2008M10,30,-88.51,0,-100.00,"252,318",3.10,"12,357",215.71,0,--,"37,615",93.68,"26,474",--,"2,468",--
2008M11,18,-98.88,0,-100.00,"171,850",-49.07,"4,906",19.25,0,--,"42,987",5.35,"26,624",--,876,--
2008M12,0,-100.00,0,-100.00,"196,335",-17.51,"6,259",73.33,0,--,"118,991","1,794.76","26,530",--,585,--
2009M01,229,222.54,14,-99.44,"138,331",-64.79,"3,626",-52.80,0,--,"41,610",-30.13,"57,245",--,886,--
2009M02,72,75.61,70,337.50,"179,359",14.53,"3,817",-51.19,0,--,"20,788",28.40,"92,249",--,"2,677",--
2009M03,132,14.78,146,-48.77,"205,813",-40.39,"3,849",-70.45,0,--,"103,777",151.98,"90,881","26,242.32","1,533",--
2009M04,126,-84.46,76,-72.66,"217,842",-16.55,"8,657",112.86,0,--,"96,905",120.04,"93,916",206.77,970,"1,544.07"
2009M05,177,60.91,0,--,"203,917",-32.21,"5,080",-34.10,0,--,"61,599",130.24,"37,287",37.79,781,713.54
2009M06,327,149.62,53,-92.60,"229,960",-39.95,"3,049",-70.58,0,--,"58,122",-3.46,"37,993",43.31,905,580.45
2009M07,302,-4.13,0,--,"231,440",-37.61,"5,807",-58.62,0,--,"70,212",-57.83,"37,137",18.30,778,"1,591.30"
2009M08,196,--,282,135.00,"214,704",-28.51,"2,496",-80.48,0,--,"47,581",-20.36,"37,079",44.00,734,"1,735.00"
2009M09,372,167.63,366,--,"265,462",-20.05,"4,234",-72.42,0,--,"47,190",-28.75,"38,192",25.29,"2,501",277.79
2009M10,294,880.00,0,--,"249,886",-0.96,"2,458",-80.11,0,--,"49,119",30.58,"40,817",54.18,"2,544",3.08
2009M11,366,"1,933.33",518,--,"276,560",60.93,"3,077",-37.28,0,--,"27,087",-36.99,"41,156",54.58,"2,082",137.67
2009M12,441,--,147,--,"271,700",38.39,"3,643",-41.80,0,--,"47,896",-59.75,"45,424",71.22,348,-40.51
2010M01,437,90.83,677,"4,735.71","290,552",110.04,"2,887",-20.38,0,--,"57,940",39.25,953,-98.34,"1,229",38.71
2010M02,163,126.39,0,-100.00,"225,482",25.72,"4,089",7.13,0,--,"57,946",178.75,607,-99.34,881,-67.09
2010M03,119,-9.85,70,-52.05,"363,419",76.58,"3,561",-7.48,0,--,"71,538",-31.07,438,-99.52,"4,294",180.10
