期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),美國道瓊工業指數_原始值,美國道瓊工業指數_年增率(%),美國NASDAQ指數_原始值,美國NASDAQ指數_年增率(%),日本日經225_原始值,日本日經225_年增率(%),倫敦金融時報_原始值,倫敦金融時報_年增率(%),香港恆生指數_原始值,香港恆生指數_年增率(%),韓國綜合指數_原始值,韓國綜合指數_年增率(%),新加坡海峽時報_原始值,新加坡海峽時報_年增率(%),上海綜合指數_原始值,上海綜合指數_年增率(%)
2005M02,"6,207.83",-8.04,"10,766.23",1.72,"2,051.72",1.08,"11,740.60",6.33,"4,968.50",10.60,"14,195.35",2.07,"1,011.36",14.48,"2,119.40",12.22,...,...
2005M03,"6,005.88",-7.92,"10,503.76",1.41,"1,999.23",0.25,"11,668.95",-0.40,"4,894.40",11.60,"13,516.88",6.59,965.68,9.67,"2,141.43",15.20,...,...
2005M04,"5,818.07",-4.90,"10,192.51",-0.32,"1,921.65",0.08,"11,008.90",-6.40,"4,801.70",6.95,"13,908.97",16.46,911.30,5.62,"2,125.25",15.38,...,...
2005M05,"6,011.56",0.56,"10,467.48",2.74,"2,068.22",4.10,"11,276.59",0.36,"4,964.00",12.04,"13,867.07",13.68,970.21,20.70,"2,161.77",20.86,...,...
2005M06,"6,241.94",6.89,"10,274.97",-1.54,"2,056.96",0.45,"11,584.01",-2.32,"5,113.20",14.54,"14,201.06",15.59,"1,008.16",28.30,"2,212.66",20.38,...,...
2005M07,"6,311.98",16.44,"10,640.91",4.94,"2,184.83",15.76,"11,899.60",5.07,"5,282.30",19.70,"14,880.98",21.60,"1,111.29",51.13,"2,352.56",24.36,...,...
2005M08,"6,033.47",4.65,"10,481.60",3.02,"2,152.09",17.08,"12,413.60",12.02,"5,296.90",18.78,"14,903.55",15.98,"1,083.33",34.81,"2,275.43",18.61,...,...
2005M09,"6,118.61",4.67,"10,568.70",4.85,"2,151.69",13.44,"13,574.30",25.41,"5,477.70",19.84,"15,428.52",17.60,"1,221.01",46.21,"2,305.14",16.14,...,...
2005M10,"5,764.30",1.02,"10,440.07",4.11,"2,120.30",7.36,"13,606.50",26.32,"5,317.30",14.99,"14,386.37",10.20,"1,158.11",38.72,"2,216.77",11.92,...,...
2005M11,"6,203.47",6.14,"10,805.87",3.62,"2,232.82",6.49,"14,872.15",36.45,"5,423.20",15.31,"14,937.14",6.24,"1,297.44",47.76,"2,300.25",13.44,...,...
2005M12,"6,548.34",6.66,"10,717.50",-0.61,"2,205.32",1.37,"16,111.43",40.24,"5,618.80",16.71,"14,876.43",4.54,"1,379.37",53.96,"2,347.34",13.61,...,...
2006M01,"6,532.18",8.97,"10,864.86",3.57,"2,305.82",11.80,"16,649.82",46.21,"5,760.30",18.71,"15,753.14",14.80,"1,399.83",50.08,"2,412.08",15.06,...,...
2006M02,"6,561.63",5.70,"10,993.41",2.11,"2,281.39",11.19,"16,205.43",38.03,"5,791.50",16.56,"15,918.48",12.14,"1,371.59",35.62,"2,481.96",17.11,...,...
2006M03,"6,613.97",10.12,"11,109.32",5.77,"2,339.79",17.03,"17,059.66",46.20,"5,964.60",21.87,"15,805.04",16.93,"1,359.60",40.79,"2,533.40",18.30,...,...
2006M04,"7,171.77",23.27,"11,367.14",11.52,"2,322.57",20.86,"16,906.23",53.57,"6,023.10",25.44,"16,661.30",19.79,"1,419.73",55.79,"2,610.71",22.84,...,...
2006M05,"6,846.95",13.90,"11,168.31",6.70,"2,178.88",5.35,"15,467.33",37.16,"5,723.80",15.31,"15,857.89",14.36,"1,317.70",35.82,"2,383.87",10.27,...,...
2006M06,"6,704.41",7.41,"11,150.22",8.52,"2,172.09",5.60,"15,505.18",33.85,"5,833.40",14.09,"16,267.62",14.55,"1,295.15",28.47,"2,435.39",10.07,...,...
2006M07,"6,454.58",2.26,"11,185.68",5.12,"2,091.47",-4.27,"15,456.81",29.89,"5,928.30",12.23,"16,971.34",14.05,"1,297.82",16.78,"2,445.43",3.95,...,...
