期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2004M07,"1,055,746",37.20,"590,500",33.57,"465,246",42.09,"121,650",54.52,"879,719",33.90,"54,377",60.85,"812,350",32.02,"12,475",18.02,"30,755",52.34,"2,264",23.58,"197,902",62.77
2004M08,"1,072,340",15.40,"590,988",12.07,"481,352",19.78,"124,743",25.28,"899,060",14.02,"48,537",18.08,"818,796",12.38,"12,907",17.10,"35,735",20.40,"2,044",-2.90,"202,858",28.55
2004M09,"899,128",7.93,"534,086",5.36,"365,042",11.94,"22,875",5.23,"819,603",8.42,"56,650",2.34,"653,213",6.31,"11,837",-18.39,"28,713",11.37,"1,811",-3.10,"203,554",15.37
2004M10,"929,300",7.68,"549,963",6.03,"379,337",10.16,"21,908",-11.19,"831,187",7.59,"76,205",15.81,"662,710",3.63,"13,130",-12.83,"29,678",15.59,"1,703",5.45,"222,079",22.56
2004M11,"872,786",7.57,"531,347",6.09,"341,439",9.95,"23,281",6.14,"784,635",7.30,"64,870",11.43,"602,233",5.65,"13,816",-18.74,"23,027",-9.09,"1,492",-2.93,"232,218",17.59
2004M12,"886,031",11.78,"529,978",11.05,"356,053",12.90,"38,906",18.97,"798,298",11.11,"48,827",17.86,"609,351",11.41,"13,332",-18.12,"30,042",-8.40,"1,997",8.59,"231,309",18.76
2005M01,"791,824",-7.98,"475,957",-5.34,"315,867",-11.69,"45,517",-38.33,"703,670",-6.54,"42,637",26.31,"547,572",-15.45,"11,576",-14.63,"18,000",-33.32,"2,126",1.67,"212,550",24.88
2005M02,"930,991",31.33,"531,379",25.58,"399,612",39.83,"82,391",105.99,"808,761",27.18,"39,839",20.68,"673,651",38.07,"12,735",-16.85,"34,158",40.70,"2,890",31.42,"207,557",15.81
2005M03,"892,384",10.18,"539,624",9.09,"352,760",11.90,"30,352",26.62,"804,086",9.58,"57,946",11.12,"594,102",4.17,"14,633",15.08,"34,328",32.45,"2,685",44.67,"246,636",23.88
2005M04,"968,000",14.94,"576,893",13.49,"391,107",17.14,"32,068",8.53,"855,786",13.95,"80,146",29.98,"698,487",13.92,"14,353",21.99,"24,881",-17.11,"1,804",13.17,"228,475",23.04
2005M05,"966,166",17.17,"571,633",15.05,"394,533",20.36,"30,623",16.18,"858,847",15.95,"76,696",33.23,"682,117",15.16,"14,594",35.39,"31,110",21.49,"1,620",-1.46,"236,725",21.86
2005M06,"995,750",6.20,"582,391",6.29,"413,359",6.07,"41,600",-0.40,"884,785",5.87,"69,365",15.25,"702,706",3.52,"15,296",32.34,"31,625",-10.78,"1,853",-5.02,"244,270",16.37
2005M07,"1,133,434",7.36,"629,985",6.69,"503,449",8.21,"127,429",4.75,"949,872",7.97,"56,133",3.23,"865,165",6.50,"17,280",38.52,"31,714",3.12,"2,235",-1.28,"217,040",9.67
2005M08,"1,109,110",3.43,"614,820",4.03,"494,290",2.69,"122,243",-2.00,"938,652",4.40,"48,215",-0.66,"827,417",1.05,"17,134",32.75,"35,990",0.71,"2,061",0.83,"226,508",11.66
2005M09,"955,678",6.29,"561,054",5.05,"394,624",8.10,"23,534",2.88,"868,787",6.00,"63,357",11.84,"684,978",4.86,"18,245",54.14,"27,177",-5.35,"2,021",11.60,"223,257",9.68
2005M10,"1,020,257",9.79,"597,074",8.57,"423,183",11.56,"27,580",25.89,"914,515",10.03,"78,162",2.57,"722,803",9.07,"18,405",40.18,"25,122",-15.35,"1,638",-3.82,"252,289",13.60
2005M11,"895,288",2.58,"541,577",1.93,"353,711",3.59,"25,027",7.50,"805,511",2.66,"64,750",-0.18,"593,011",-1.53,"22,580",63.43,"25,946",12.68,"1,565",4.89,"252,186",8.60
2005M12,"898,293",1.38,"536,080",1.15,"362,213",1.73,"40,497",4.09,"813,439",1.90,"44,357",-9.15,"587,048",-3.66,"23,311",74.85,"35,392",17.81,"1,825",-8.61,"250,717",8.39
2006M01,"893,161",12.80,"540,645",13.59,"352,516",11.60,"62,395",37.08,"789,178",12.15,"41,588",-2.46,"628,814",14.84,"19,279",66.54,"25,932",44.07,"1,959",-7.86,"217,177",2.18
2006M02,"963,695",3.51,"533,907",0.48,"429,788",7.55,"76,482",-7.17,"835,717",3.33,"51,496",29.26,"677,539",0.58,"21,117",65.82,"28,687",-16.02,"2,150",-25.61,"234,202",12.84
2006M03,"960,759",7.66,"571,640",5.93,"389,119",10.31,"27,931",-7.98,"858,663",6.79,"74,165",27.99,"651,378",9.64,"22,083",50.91,"27,822",-18.95,"2,004",-25.36,"257,472",4.39
2006M04,"1,020,864",5.46,"598,225",3.70,"422,639",8.06,"39,109",21.96,"895,663",4.66,"86,092",7.42,"730,821",4.63,"26,072",81.65,"34,812",39.91,"1,813",0.50,"227,346",-0.49
2006M05,"980,602",1.49,"567,439",-0.73,"413,163",4.72,"30,895",0.89,"869,482",1.24,"80,225",4.60,"697,527",2.26,"24,524",68.04,"29,469",-5.27,"1,659",2.41,"227,423",-3.93
2006M06,"1,009,466",1.38,"584,915",0.43,"424,551",2.71,"45,205",8.67,"895,622",1.22,"68,639",-1.05,"704,339",0.23,"23,076",50.86,"33,361",5.49,"2,064",11.39,"246,626",0.96
2006M07,"1,172,463",3.44,"642,302",1.96,"530,161",5.31,"137,722",8.08,"975,264",2.67,"59,477",5.96,"901,613",4.21,"24,141",39.70,"31,308",-1.28,"2,273",1.70,"213,128",-1.80
2006M08,"1,128,834",1.78,"622,185",1.20,"506,649",2.50,"123,821",1.29,"954,757",1.72,"50,256",4.23,"836,273",1.07,"24,481",42.88,"37,292",3.62,"2,067",0.29,"228,721",0.98
2006M09,"981,986",2.75,"573,669",2.25,"408,317",3.47,"22,218",-5.59,"891,801",2.65,"67,967",7.28,"707,868",3.34,"24,771",35.77,"26,565",-2.25,"1,768",-12.52,"221,014",-1.00
2006M10,"1,077,436",5.60,"615,085",3.02,"462,351",9.26,"32,120",16.46,"957,267",4.67,"88,049",12.65,"775,861",7.34,"24,421",32.69,"22,483",-10.50,"1,837",12.15,"252,834",0.22
2006M11,"970,278",8.38,"579,790",7.06,"390,488",10.40,"25,789",3.04,"864,536",7.33,"79,953",23.48,"651,615",9.88,"27,782",23.04,"22,484",-13.34,"1,548",-1.09,"266,849",5.81
2006M12,"989,150",10.11,"584,222",8.98,"404,928",11.79,"44,315",9.43,"887,907",9.15,"56,928",28.34,"665,219",13.32,"24,861",6.65,"34,120",-3.59,"2,113",15.78,"262,837",4.83
2007M01,"831,893",-6.86,"489,626",-9.44,"342,267",-2.91,"37,118",-40.51,"742,512",-5.91,"52,263",25.67,"557,695",-11.31,"19,839",2.90,"18,548",-28.47,"1,866",-4.75,"233,945",7.72
2007M02,"1,107,611",14.93,"620,309",16.18,"487,302",13.38,"114,571",49.80,"942,701",12.80,"50,339",-2.25,"845,812",24.84,"22,089",4.60,"31,006",8.08,"1,882",-12.47,"206,822",-11.69
