期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
2008M10,99.17,1.30,98.65,3.03,99.16,3.17,99.91,1.30,99.46,2.89,101.02,2.69
2008M11,98.21,0.11,97.82,1.80,98.95,2.67,99.79,1.09,99.30,2.46,99.80,2.20
2008M12,97.37,-0.70,97.26,1.09,98.75,2.32,99.40,0.74,99.09,2.12,97.63,1.45
2009M01,97.99,0.08,97.81,1.58,99.23,2.72,99.94,1.47,99.47,2.48,97.21,1.75
2009M02,96.77,-2.10,96.89,-0.31,98.10,0.54,98.40,-1.15,98.37,0.41,95.46,-1.59
2009M03,96.67,-1.10,96.73,0.11,97.86,0.94,98.20,-0.12,98.16,0.82,95.60,-0.16
2009M04,97.59,-1.18,97.39,-0.22,98.38,0.50,98.96,-0.32,98.70,0.39,96.47,-0.53
2009M05,97.58,-1.24,97.35,-0.45,98.25,0.19,98.83,-0.45,98.57,0.10,96.97,-0.06
2009M06,98.07,-1.87,97.64,-1.34,98.00,-0.54,98.60,-0.85,98.28,-0.61,96.86,-2.29
2009M07,98.22,-2.21,97.77,-1.78,98.05,-0.85,98.65,-1.00,98.29,-0.93,97.09,-2.69
2009M08,98.22,-1.67,97.87,-1.36,98.06,-0.73,98.50,-0.88,98.26,-0.81,99.16,-0.90
2009M09,97.57,-1.72,97.33,-1.45,97.76,-0.90,98.18,-1.02,97.97,-0.97,98.40,-0.96
2009M10,98.38,-0.80,97.87,-0.79,98.34,-0.83,99.07,-0.84,98.58,-0.88,98.85,-2.15
2009M11,98.59,0.39,97.93,0.11,98.16,-0.80,98.97,-0.82,98.44,-0.87,97.96,-1.84
2009M12,98.39,1.05,97.81,0.57,98.07,-0.69,98.80,-0.60,98.35,-0.75,97.42,-0.22
2010M01,98.42,0.44,97.98,0.17,98.16,-1.08,98.72,-1.22,98.36,-1.12,97.55,0.35
2010M02,99.31,2.62,98.86,2.03,99.30,1.22,99.95,1.58,99.36,1.01,98.16,2.83
2010M03,98.02,1.40,97.75,1.05,98.08,0.22,98.51,0.32,98.25,0.09,97.05,1.52
2010M04,98.91,1.35,98.50,1.14,98.76,0.39,99.32,0.36,98.95,0.25,98.02,1.61
2010M05,98.75,1.20,98.36,1.04,98.63,0.39,99.15,0.32,98.79,0.22,97.84,0.90
2010M06,99.07,1.02,98.68,1.07,98.79,0.81,99.26,0.67,98.91,0.64,98.23,1.41
2010M07,99.18,0.98,98.77,1.02,98.90,0.87,99.40,0.76,99.00,0.72,98.59,1.54
2010M08,98.87,0.66,98.49,0.63,98.55,0.50,99.01,0.52,98.64,0.39,98.61,-0.55
2010M09,98.76,1.22,98.51,1.21,98.58,0.84,98.88,0.71,98.66,0.70,98.71,0.32
2010M10,99.04,0.67,98.70,0.85,99.02,0.69,99.51,0.44,99.13,0.56,99.47,0.63
2010M11,99.30,0.72,98.93,1.02,99.20,1.06,99.71,0.75,99.33,0.90,99.70,1.78
2010M12,99.27,0.89,98.96,1.18,99.15,1.10,99.57,0.78,99.27,0.94,98.80,1.42
2011M01,99.16,0.75,99.08,1.12,99.21,1.07,99.35,0.64,99.14,0.79,98.77,1.25
2011M02,100.12,0.82,99.99,1.14,100.22,0.93,100.45,0.50,100.15,0.80,99.66,1.53
2011M03,99.22,1.22,99.18,1.46,99.18,1.12,99.23,0.73,99.21,0.98,98.63,1.63
2011M04,100.01,1.11,99.86,1.38,99.85,1.10,100.01,0.69,99.90,0.96,99.50,1.51
2011M05,99.96,1.23,99.89,1.56,99.94,1.33,100.04,0.90,99.96,1.18,99.71,1.91
2011M06,100.47,1.41,100.36,1.70,100.14,1.37,100.19,0.94,100.14,1.24,100.44,2.25
2011M07,100.37,1.20,100.29,1.54,100.10,1.21,100.12,0.72,100.10,1.11,100.08,1.51
2011M08,100.11,1.25,100.08,1.61,99.90,1.37,99.85,0.85,99.89,1.27,100.10,1.51
2011M09,99.92,1.17,100.05,1.56,99.83,1.27,99.60,0.73,99.84,1.20,100.26,1.57
2011M10,100.38,1.35,100.47,1.79,100.63,1.63,100.57,1.07,100.65,1.53,100.88,1.42
2011M11,100.28,0.99,100.45,1.54,100.55,1.36,100.41,0.70,100.59,1.27,100.85,1.15
2011M12,100.00,0.74,100.30,1.35,100.45,1.31,100.17,0.60,100.44,1.18,101.12,2.35
2012M01,100.67,1.52,100.88,1.82,101.11,1.92,100.96,1.62,100.99,1.87,101.48,2.74
2012M02,99.65,-0.47,100.10,0.11,100.17,-0.05,99.71,-0.74,100.10,-0.05,99.89,0.23
2012M03,99.76,0.54,100.07,0.90,100.01,0.84,99.65,0.42,99.97,0.77,100.01,1.40
2012M04,101.18,1.17,101.19,1.33,100.89,1.04,100.78,0.77,100.82,0.92,101.11,1.62
2012M05,100.92,0.96,101.08,1.19,100.92,0.98,100.68,0.64,100.84,0.88,101.68,1.98
2012M06,101.24,0.77,101.44,1.08,101.06,0.92,100.71,0.52,100.96,0.82,102.44,1.99
2012M07,101.36,0.99,101.59,1.30,101.15,1.05,100.74,0.62,101.06,0.96,102.87,2.79
2012M08,101.49,1.38,101.68,1.60,100.95,1.05,100.48,0.63,100.83,0.94,104.04,3.94
2012M09,101.47,1.55,101.69,1.64,100.85,1.02,100.30,0.70,100.76,0.92,103.63,3.36
2012M10,101.98,1.59,102.11,1.63,101.73,1.09,101.44,0.87,101.69,1.03,103.54,2.64
2012M11,101.60,1.32,101.88,1.42,101.57,1.01,101.16,0.75,101.55,0.95,102.60,1.74
2012M12,101.50,1.50,101.87,1.57,101.55,1.10,101.03,0.86,101.53,1.09,102.90,1.76
2013M01,101.30,0.63,101.75,0.86,101.41,0.30,100.79,-0.17,101.35,0.36,102.67,1.17
2013M02,102.51,2.87,102.74,2.64,102.36,2.19,101.97,2.27,102.26,2.16,103.24,3.35
2013M03,101.07,1.31,101.59,1.52,101.20,1.19,100.50,0.85,101.15,1.18,101.47,1.46
2013M04,101.64,0.45,102.03,0.83,101.76,0.86,101.23,0.45,101.71,0.88,102.21,1.09
2013M05,101.34,0.42,101.78,0.69,101.54,0.61,100.96,0.28,101.47,0.62,102.44,0.75
2013M06,101.85,0.60,102.24,0.79,101.67,0.60,101.04,0.33,101.59,0.62,103.04,0.59
2013M07,101.90,0.53,102.30,0.70,101.67,0.51,101.02,0.28,101.57,0.50,102.84,-0.03
2013M08,101.78,0.29,102.16,0.47,101.45,0.50,100.80,0.32,101.32,0.49,102.97,-1.03
2013M09,101.85,0.37,102.31,0.61,101.50,0.64,100.73,0.43,101.37,0.61,104.56,0.90
2013M10,101.81,-0.17,102.29,0.18,101.88,0.15,101.21,-0.23,101.78,0.09,104.22,0.66
2013M11,101.54,-0.06,102.18,0.29,101.78,0.21,100.94,-0.22,101.69,0.14,103.33,0.71
2013M12,101.49,-0.01,102.23,0.35,101.76,0.21,100.79,-0.24,101.64,0.11,103.19,0.28
2014M01,102.08,0.77,102.83,1.06,102.46,1.04,101.49,0.69,102.25,0.89,103.56,0.87
2014M02,101.56,-0.93,102.56,-0.18,102.17,-0.19,100.93,-1.02,101.98,-0.27,103.07,-0.16
2014M03,101.29,0.22,102.60,0.99,102.17,0.96,100.58,0.08,101.98,0.82,103.27,1.77
2014M04,102.11,0.46,103.35,1.29,103.03,1.25,101.55,0.32,102.84,1.11,104.09,1.84
2014M05,102.04,0.69,103.37,1.56,103.03,1.47,101.44,0.48,102.82,1.33,104.28,1.80
2014M06,102.75,0.88,103.96,1.68,103.16,1.47,101.57,0.52,102.95,1.34,104.90,1.81
2014M07,102.82,0.90,104.01,1.67,103.25,1.55,101.67,0.64,103.04,1.45,104.85,1.95
2014M08,102.64,0.84,103.93,1.73,103.14,1.67,101.46,0.65,102.94,1.60,105.37,2.33
