期間,資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權_原始值,資產--對金融機構債權_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2002M03,"410,534",210.81,"963,518",6.55,"634,864",49.68,"41,577",-14.72,"488,077",2.71,"62,967",-33.21,"199,017",7.28,"337,980",-22.91,"2,263",91.13,"162,283",21.76,"3,303,080",16.43,"3,026,949",17.22,"101,984",29.85,"174,147",-1.20
2002M04,"428,947",220.86,"965,919",5.30,"602,887",39.23,"41,570",-12.24,"492,937",2.03,"57,864",-38.02,"200,085",7.91,"344,462",-23.50,"1,555",59.98,"276,907",77.61,"3,413,133",17.68,"3,074,144",17.01,"163,361",75.30,"175,628",-2.41
2002M05,"431,556",201.96,"968,526",4.55,"585,504",37.59,"41,410",-18.88,"509,548",4.38,"61,228",-34.64,"205,252",10.33,"346,609",-22.77,"1,278",57.00,"299,692",64.84,"3,450,603",17.16,"3,131,425",17.09,"149,314",62.67,"169,864",-5.12
2002M06,"434,931",168.16,"969,271",3.63,"650,364",45.42,"40,290",-16.43,"514,337",9.87,"70,175",-32.76,"206,198",10.52,"359,664",-21.54,"1,336",20.36,"199,872",28.53,"3,446,438",16.16,"3,200,500",17.86,"101,887",22.56,"144,051",-14.47
2002M07,"449,320",144.07,"971,195",2.97,"650,226",43.44,"42,988",-13.24,"540,063",17.41,"61,123",-33.03,"206,494",9.59,"343,146",-26.62,"1,782",74.71,"239,360",50.01,"3,505,697",16.94,"3,254,249",18.23,"103,466",26.61,"147,982",-9.68
2002M08,"484,684",108.65,"975,164",2.60,"658,645",40.74,"45,518",-14.33,"526,245",19.35,"58,102",-29.72,"208,072",9.87,"308,843",-32.80,"2,760",142.96,"289,550",71.74,"3,557,583",16.79,"3,303,124",18.71,"110,012",13.24,"144,447",-13.19
2002M09,"498,346",105.36,"981,730",2.65,"766,084",60.56,"45,524",-8.44,"523,366",8.16,"58,397",-30.69,"209,141",9.06,"296,074",-29.68,"3,341",118.80,"216,972",52.32,"3,598,975",17.97,"3,345,191",18.78,"109,746",25.95,"144,038",-2.25
2002M10,"514,105",81.60,"978,384",1.68,"802,510",63.44,"43,382",-10.87,"529,578",12.76,"59,885",-17.50,"214,237",11.42,"280,121",-30.61,"2,753",148.69,"231,197",32.11,"3,656,152",17.97,"3,386,293",19.40,"125,601",16.40,"144,258",-7.16
2002M11,"524,596",69.68,"977,889",1.93,"872,845",77.67,"39,171",-22.80,"548,733",20.28,"63,462",-13.96,"212,828",9.86,"273,496",-30.04,"3,324",158.68,"188,421",-7.83,"3,704,765",18.33,"3,439,389",19.56,"123,080",4.71,"142,296",4.07
2002M12,"551,103",58.07,"978,213",1.64,"885,349",68.27,"46,628",2.41,"563,443",22.56,"67,103",10.67,"219,327",12.50,"279,563",-30.43,"4,065",177.85,"192,697",-2.59,"3,787,491",18.39,"3,494,402",19.69,"135,964",29.80,"157,125",-10.21
2003M01,"583,376",62.24,"978,282",1.85,"888,379",56.33,"39,931",-3.47,"588,695",17.69,"65,180",0.32,"219,450",11.89,"276,619",-27.29,"1,416",-19.55,"204,634",6.42,"3,845,962",17.77,"3,552,107",20.12,"123,174",-12.46,"170,681",1.75
2003M02,"610,529",55.60,"972,373",1.40,"896,230",50.52,"41,482",-0.54,"596,489",22.92,"63,833",3.09,"220,230",10.89,"276,466",-29.23,"1,181",-29.91,"202,273",3.88,"3,881,086",16.86,"3,586,172",19.91,"121,319",-26.26,"173,595",4.58
2003M03,"639,066",55.67,"971,203",0.80,"910,878",43.48,"44,120",6.12,"622,496",27.54,"63,304",0.54,"220,019",10.55,"261,883",-22.52,"1,531",-32.35,"196,384",21.01,"3,930,884",19.01,"3,630,333",19.93,"120,460",18.12,"180,091",3.41
2003M04,"759,561",77.08,"964,089",-0.19,"896,950",48.78,"44,237",6.42,"595,415",20.79,"61,989",7.13,"221,077",10.49,"251,537",-26.98,"2,544",63.60,"208,198",-24.81,"4,005,597",17.36,"3,679,013",19.68,"144,595",-11.49,"181,989",3.62
2003M05,"844,624",95.72,"962,520",-0.62,"892,347",52.41,"41,089",-0.78,"572,716",12.40,"60,003",-2.00,"220,701",7.53,"229,191",-33.88,"1,132",-11.42,"229,264",-23.50,"4,053,587",17.47,"3,733,920",19.24,"141,964",-4.92,"177,703",4.61
2003M06,"882,590",102.93,"960,015",-0.95,"898,671",38.18,"37,210",-7.64,"569,861",10.80,"63,358",-9.71,"220,509",6.94,"220,481",-38.70,"1,755",31.36,"278,609",39.39,"4,133,059",19.92,"3,771,671",17.85,"166,535",63.45,"194,853",35.27
2003M07,"919,030",104.54,"939,255",-3.29,"893,300",37.38,"33,755",-21.48,"588,055",8.89,"62,509",2.27,"221,477",7.26,"245,843",-28.36,"1,561",-12.40,"333,237",39.22,"4,238,022",20.89,"3,826,453",17.58,"213,244",106.10,"198,325",34.02
2003M08,"947,302",95.45,"949,961",-2.58,"913,719",38.73,"34,573",-24.05,"576,528",9.56,"66,206",13.95,"218,316",4.92,"240,680",-22.07,"1,466",-46.88,"336,210",16.11,"4,284,961",20.45,"3,881,310",17.50,"203,595",85.07,"200,056",38.50
2003M09,"981,164",96.88,"951,240",-3.11,"925,971",20.87,"29,217",-35.82,"625,624",19.54,"74,312",27.25,"217,992",4.23,"198,268",-33.03,"7,965",138.40,"342,178",57.71,"4,353,931",20.98,"3,934,440",17.61,"215,628",96.48,"203,863",41.53
2003M10,"1,020,021",98.41,"949,498",-2.95,"934,589",16.46,"29,955",-30.95,"631,363",19.22,"87,159",45.54,"218,252",1.87,"212,623",-24.10,"1,130",-58.95,"352,771",52.58,"4,437,361",21.37,"3,987,622",17.76,"238,840",90.16,"210,899",46.20
2003M11,"1,084,018",106.64,"942,858",-3.58,"962,914",10.32,"39,036",-0.34,"590,114",7.54,"84,256",32.77,"218,191",2.52,"205,573",-24.84,970,-70.82,"395,000",109.64,"4,522,930",22.08,"4,046,807",17.66,"260,665",111.79,"215,458",51.42
2003M12,"1,115,621",102.43,"941,760",-3.73,"1,020,280",15.24,"29,362",-37.03,"598,396",6.20,"101,385",51.09,"222,823",1.59,"189,017",-32.39,"1,206",-70.33,"400,135",107.65,"4,619,985",21.98,"4,148,006",18.70,"245,830",80.81,"226,149",43.93
2004M01,"1,141,281",95.63,"935,347",-4.39,"1,030,702",16.02,"28,176",-29.44,"660,961",12.28,"103,016",58.05,"222,391",1.34,"195,994",-29.15,"1,061",-25.07,"382,592",86.96,"4,701,521",22.25,"4,218,700",18.77,"257,137",108.76,"225,684",32.23
2004M02,"1,168,476",91.39,"932,786",-4.07,"1,053,720",17.57,"25,140",-39.40,"663,540",11.24,"99,325",55.60,"222,916",1.22,"190,154",-31.22,"1,211",2.54,"409,160",102.28,"4,766,428",22.81,"4,272,073",19.13,"265,445",118.80,"228,910",31.86
2004M03,"1,182,335",85.01,"935,155",-3.71,"1,068,385",17.29,"28,743",-34.85,"705,050",13.26,"104,800",65.55,"229,122",4.14,"175,286",-33.07,980,-35.99,"395,855",101.57,"4,825,711",22.76,"4,329,311",19.25,"256,912",113.28,"239,488",32.98
2004M04,"1,230,744",62.03,"934,970",-3.02,"1,093,989",21.97,"27,036",-38.88,"729,998",22.60,"106,618",72.00,"230,630",4.32,"180,449",-28.26,908,-64.31,"386,599",85.69,"4,921,941",22.88,"4,385,934",19.21,"307,422",112.61,"228,585",25.60
2004M05,"1,253,665",48.43,"934,198",-2.94,"1,137,727",27.50,"24,356",-40.72,"718,729",25.49,"116,564",94.26,"231,622",4.95,"181,588",-20.77,741,-34.54,"403,376",75.94,"5,002,566",23.41,"4,443,037",18.99,"338,527",138.46,"221,002",24.37
2004M06,"1,293,926",46.61,"932,008",-2.92,"1,169,491",30.14,"24,608",-33.87,"716,153",25.67,"121,393",91.60,"232,352",5.37,"181,503",-17.68,"1,144",-34.81,"387,400",39.05,"5,059,978",22.43,"4,496,252",19.21,"347,571",108.71,"216,155",10.93
2004M07,"1,323,294",43.99,"928,427",-1.15,"1,181,918",32.31,"27,310",-19.09,"730,921",24.29,"129,921",107.84,"232,620",5.03,"151,179",-38.51,"1,631",4.48,"412,891",23.90,"5,120,112",20.81,"4,554,823",19.04,"345,309",61.93,"219,980",10.92
2004M08,"1,345,401",42.02,"929,118",-2.19,"1,190,243",30.26,"29,204",-15.53,"683,454",18.55,"154,667",133.61,"232,727",6.60,"166,503",-30.82,"1,541",5.12,"450,905",34.11,"5,183,763",20.98,"4,612,284",18.83,"347,077",70.47,"224,402",12.17
2004M09,"1,360,294",38.64,"926,138",-2.64,"1,230,269",32.86,"42,752",46.33,"645,505",3.18,"184,397",148.14,"232,892",6.84,"164,298",-17.13,"1,989",-75.03,"465,388",36.01,"5,253,922",20.67,"4,668,203",18.65,"356,105",65.15,"229,614",12.63
2004M10,"1,359,241",33.26,"923,542",-2.73,"1,253,262",34.10,"34,026",13.59,"636,905",0.88,"199,202",128.55,"233,207",6.85,"166,353",-21.76,"1,385",22.57,"494,923",40.30,"5,302,046",19.49,"4,722,311",18.42,"347,029",45.30,"232,706",10.34
2004M11,"1,344,876",24.06,"921,810",-2.23,"1,284,725",33.42,"40,208",3.00,"632,888",7.25,"207,503",146.28,"232,073",6.36,"200,156",-2.64,"1,352",39.38,"509,866",29.08,"5,375,457",18.85,"4,783,530",18.21,"354,637",36.05,"237,290",10.13
2004M12,"1,347,759",20.81,"922,190",-2.08,"1,311,036",28.50,"32,891",12.02,"662,712",10.75,"239,050",135.78,"234,007",5.02,"218,307",15.50,"1,366",13.27,"537,466",34.32,"5,506,784",19.19,"4,873,543",17.49,"380,913",54.95,"252,328",11.58
2005M01,"1,380,877",20.99,"917,703",-1.89,"1,308,543",26.96,"31,343",11.24,"697,398",5.51,"245,865",138.67,"232,549",4.57,"217,867",11.16,702,-33.84,"533,747",39.51,"5,566,594",18.40,"4,954,653",17.45,"361,564",40.61,"250,377",10.94
2005M02,"1,368,166",17.09,"910,564",-2.38,"1,335,366",26.73,"31,802",26.50,"701,907",5.78,"253,294",155.02,"234,770",5.32,"224,936",18.29,"1,022",-15.61,"565,761",38.27,"5,627,588",18.07,"5,014,538",17.38,"361,021",36.01,"252,029",10.10
2005M03,"1,465,993",23.99,"917,261",-1.91,"1,352,596",26.60,"28,173",-1.98,"723,009",2.55,"239,252",128.29,"234,341",2.28,"237,256",35.35,921,-6.02,"520,854",31.58,"5,719,656",18.52,"5,089,729",17.56,"380,301",48.03,"249,626",4.23
2005M04,"1,501,070",21.96,"918,447",-1.77,"1,360,448",24.36,"26,938",-0.36,"714,226",-2.16,"235,208",120.61,"234,338",1.61,"226,338",25.43,"1,447",59.36,"565,270",46.22,"5,783,730",17.51,"5,155,309",17.54,"392,830",27.78,"235,591",3.06
2005M05,"1,511,572",20.57,"920,976",-1.42,"1,375,476",20.90,"26,047",6.94,"715,756",-0.41,"255,520",119.21,"234,805",1.37,"230,304",26.83,587,-20.78,"610,624",51.38,"5,881,667",17.57,"5,240,422",17.95,"406,821",20.17,"234,424",6.07
2005M06,"1,561,269",20.66,"926,840",-0.55,"1,406,887",20.30,"23,569",-4.22,"690,620",-3.57,"269,839",122.29,"236,499",1.78,"249,193",37.29,671,-41.35,"605,397",56.27,"5,970,784",18.00,"5,306,757",18.03,"428,732",23.35,"235,295",8.85
2005M07,"1,617,276",22.22,"929,410",0.11,"1,404,537",18.84,"24,139",-11.61,"719,849",-1.51,"283,945",118.55,"236,826",1.81,"217,118",43.62,585,-64.13,"625,390",51.47,"6,059,075",18.34,"5,373,065",17.96,"442,820",28.24,"243,190",10.55
2005M08,"1,689,000",25.54,"931,807",0.29,"1,431,063",20.23,"22,797",-21.94,"693,645",1.49,"299,652",93.74,"237,664",2.12,"230,473",38.42,591,-61.65,"640,570",42.06,"6,177,262",19.17,"5,439,020",17.92,"486,386",40.14,"251,856",12.23
