期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2005M03,"637,464",5.81,"359,579",2.77,"98,553",-15.52,"1,347",-,"37,432",63.01,"137,246",29.72,"3,307",-53.85,0.907,5.465,0.656,-2.959,99.48,-,27.61,-,0.21,-,5.87,-,21.53,-
2005M04,"629,297",4.29,"332,646",-2.07,"104,069",-16.08,"1,512",-,"42,990",83.80,"143,025",34.68,"5,055",-50.23,0.925,3.933,0.649,-7.153,99.20,-,29.80,-,0.24,-,6.83,-,22.73,-
2005M05,"658,250",2.61,"359,270",-0.69,"106,375",-22.64,"1,561",-,"43,718",68.69,"141,998",30.22,"5,328",-26.58,0.936,2.183,0.669,-7.469,99.19,-,28.45,-,0.24,-,6.64,-,21.57,-
2005M06,"665,285",1.66,"380,450",-1.91,"90,663",-22.96,"2,163",-,"41,526",56.42,"146,917",25.57,"3,566",-33.05,0.977,1.244,0.697,-7.560,99.46,-,28.65,-,0.33,-,6.24,-,22.08,-
2005M07,"677,695",3.06,"385,660",-2.20,"96,356",-17.45,"4,873",-,"37,372",46.99,"150,736",29.55,"2,698",-43.18,0.963,2.665,0.688,-6.522,99.60,-,28.48,-,0.72,-,5.51,-,22.24,-
2005M08,"665,585",3.44,"382,372",0.07,"93,080",-18.62,"2,675",-,"37,483",54.24,"149,250",26.49,725,-84.54,0.946,3.162,0.676,-5.455,99.89,-,28.46,-,0.40,-,5.63,-,22.42,-
2005M09,"654,217",3.53,"364,280",-0.55,"89,777",-19.37,"3,153",-,"37,439",50.82,"157,048",26.19,"2,520",-49.72,0.960,3.115,0.670,-5.767,99.61,-,30.21,-,0.48,-,5.72,-,24.01,-
2005M10,"630,572",2.79,"335,791",1.70,"97,689",-21.34,"2,773",-,"37,973",50.64,"154,641",19.84,"1,705",-64.77,0.895,2.403,0.618,-5.505,99.73,-,30.99,-,0.44,-,6.02,-,24.52,-
2005M11,"610,906",-1.10,"318,023",-4.29,"99,670",-19.03,"2,573",-,"37,572",36.36,"150,580",18.43,"2,488",-67.24,0.896,-1.430,0.616,-9.545,99.59,-,31.22,-,0.42,-,6.15,-,24.65,-
2005M12,"632,290",0.94,"331,511",-3.00,"98,745",-17.05,"2,171",-,"38,736",29.25,"158,072",22.24,"3,055",-51.64,0.897,0.561,0.615,-7.519,99.52,-,31.47,-,0.34,-,6.13,-,25.00,-
2006M01,"697,531",5.10,"367,784",-3.38,"103,616",-1.26,"3,578",39.01,"41,125",14.79,"177,932",32.60,"3,496",-36.15,0.989,4.767,0.673,-3.720,99.50,-,31.92,-,0.51,-,5.90,-,25.51,-
2006M02,"607,487",-6.52,"324,825",-12.25,"84,760",-19.03,"1,464",-33.45,"42,845",18.58,"151,514",14.50,"2,079",-52.03,0.953,-6.843,0.646,-14.437,99.66,-,32.23,-,0.24,-,7.05,-,24.94,-
2006M03,"614,147",-3.66,"326,259",-9.27,"82,062",-16.73,"2,267",68.30,"44,991",20.19,"157,146",14.50,"1,422",-57.00,0.870,-4.079,0.580,-11.585,99.77,-,33.28,-,0.37,-,7.33,-,25.59,-
2006M04,"610,131",-3.05,"320,099",-3.77,"73,868",-29.02,"1,566",3.57,"48,058",11.79,"164,884",15.28,"1,656",-67.24,0.893,-3.459,0.579,-10.786,99.73,-,35.16,-,0.26,-,7.88,-,27.02,-
2006M05,"656,819",-0.22,"344,364",-4.15,"84,207",-20.84,"2,364",51.44,"50,420",15.33,"174,493",22.88,971,-81.78,0.930,-0.641,0.608,-9.118,99.85,-,34.60,-,0.36,-,7.68,-,26.57,-
2006M06,"664,101",-0.18,"359,602",-5.48,"70,987",-21.70,"2,698",24.73,"48,985",17.96,"181,275",23.39,554,-84.46,0.971,-0.614,0.630,-9.613,99.92,-,35.08,-,0.41,-,7.38,-,27.30,-
2006M07,"666,548",-1.64,"367,193",-4.79,"65,409",-32.12,"1,660",-65.93,"46,399",24.15,"185,252",22.90,635,-76.46,0.943,-2.077,0.613,-10.901,99.90,-,35.00,-,0.25,-,6.96,-,27.79,-
2006M08,"660,089",-0.83,"361,360",-5.50,"63,265",-32.03,"2,053",-23.25,"48,268",28.77,"184,599",23.68,544,-24.97,0.933,-1.374,0.601,-11.095,99.92,-,35.59,-,0.31,-,7.31,-,27.97,-
2006M09,"632,381",-3.34,"344,741",-5.36,"57,317",-36.16,"2,529",-19.79,"48,448",29.41,"178,493",13.66,853,-66.15,0.923,-3.854,0.588,-12.239,99.87,-,36.29,-,0.40,-,7.66,-,28.23,-
2006M10,"646,121",2.47,"352,267",4.91,"58,321",-40.30,"2,832",2.13,"50,159",32.09,"180,869",16.96,"1,673",-1.88,0.913,2.011,0.582,-5.825,99.74,-,36.19,-,0.44,-,7.76,-,27.99,-
2006M11,"639,817",4.73,"350,407",10.18,"50,525",-49.31,"2,949",14.61,"50,462",34.31,"183,322",21.74,"2,152",-13.50,0.933,4.129,0.588,-4.545,99.66,-,37.00,-,0.46,-,7.89,-,28.65,-
2006M12,"643,359",1.75,"345,067",4.09,"56,679",-42.60,"2,687",23.77,"50,017",29.12,"187,258",18.46,"1,651",-45.96,0.908,1.226,0.569,-7.480,99.74,-,37.30,-,0.42,-,7.77,-,29.11,-
2007M01,"664,765",-4.70,"371,663",1.05,"48,035",-53.64,"3,038",-15.09,"50,076",21.77,"191,107",7.40,848,-75.74,0.938,-5.157,0.593,-11.887,99.87,-,36.74,-,0.46,-,7.53,-,28.75,-
2007M02,"679,248",11.81,"386,836",19.09,"48,880",-42.33,"3,037",107.45,"50,669",18.26,"188,908",24.68,918,-55.84,1.061,11.333,0.682,5.573,99.86,-,35.72,-,0.45,-,7.46,-,27.81,-
2007M03,"659,990",7.46,"368,444",12.93,"44,152",-46.20,"1,988",-12.31,"55,526",23.42,"189,050",20.30,831,-41.56,0.931,7.011,0.583,0.517,99.87,-,37.36,-,0.30,-,8.41,-,28.64,-
2007M04,"645,092",5.73,"353,137",10.32,"45,477",-38.43,"2,178",39.08,"53,678",11.69,"189,025",14.64,"1,597",-3.56,0.940,5.263,0.583,0.691,99.75,-,37.96,-,0.34,-,8.32,-,29.30,-
2007M05,"671,927",2.30,"365,524",6.14,"50,618",-39.89,"2,829",19.67,"56,691",12.44,"194,245",11.32,"2,019",107.93,0.947,1.828,0.589,-3.125,99.70,-,37.77,-,0.42,-,8.44,-,28.91,-
2007M06,"684,625",3.09,"381,399",6.06,"37,541",-47.12,"2,341",-13.23,"57,053",16.47,"203,076",12.03,"3,215",480.32,0.997,2.678,0.615,-2.381,99.53,-,38.34,-,0.34,-,8.33,-,29.66,-
2007M07,"689,592",3.46,"375,015",2.13,"38,329",-41.40,"2,724",64.10,"58,048",25.11,"214,343",15.70,"1,132",78.27,0.971,2.969,0.584,-4.731,99.84,-,39.90,-,0.39,-,8.42,-,31.08,-
2007M08,"700,453",6.11,"385,436",6.66,"37,044",-41.45,"3,091",50.56,"58,798",21.82,"215,928",16.97,157,-71.14,0.986,5.681,0.595,-0.998,99.98,-,39.66,-,0.44,-,8.39,-,30.83,-
