期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),水污染_原始值,水污染_年增率(%),水污染_原始值,水污染_年增率(%),廢棄物_原始值,廢棄物_年增率(%),廢棄物_原始值,廢棄物_年增率(%),空氣污染_原始值,空氣污染_年增率(%),空氣污染_原始值,空氣污染_年增率(%),噪音_原始值,噪音_年增率(%),噪音_原始值,噪音_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),環境用藥_原始值,環境用藥_年增率(%),環境用藥_原始值,環境用藥_年增率(%),飲用水_原始值,飲用水_年增率(%),飲用水_原始值,飲用水_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2011M11,"10,799",-44.93,212,-32.27,519,-34.47,36,12.50,"7,650",-52.15,82,-60.19,"2,008",1.72,82,9.33,33,450.00,2,--,306,-38.31,1,--,0,--,0,--,240,-32.39,0,--,41,--,9,--,2,--,0,--,0,--,0,--,0,--,0,--
2011M12,"11,790",-44.95,184,-11.11,572,-36.16,18,-14.29,"8,662",-51.97,81,-33.61,"1,847",7.26,77,24.19,32,255.56,2,0.00,343,-33.66,0,--,0,--,0,--,281,19.07,0,--,52,"5,100.00",6,--,0,--,0,--,0,--,0,--,1,--,0,--
2012M01,"4,478",-33.04,88,-48.24,348,-36.26,15,87.50,"3,357",-22.13,37,-54.32,393,-66.21,33,-59.26,22,37.50,1,--,153,-51.27,0,--,0,--,0,--,193,-42.56,0,--,12,--,2,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M02,"12,297",182.75,212,105.83,470,53.09,58,866.67,"10,400",276.40,89,102.27,798,-11.14,53,0.00,29,190.00,2,--,242,56.13,0,--,0,--,0,--,328,53.27,0,--,30,"1,400.00",10,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M03,"10,929",24.18,221,-9.05,536,-30.57,22,-52.17,"7,891",61.21,96,24.68,"1,895",-15.40,93,-19.83,28,3.70,1,-66.67,264,-46.01,0,--,0,--,0,--,282,-20.79,0,--,33,57.14,9,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M04,"10,420",53.96,227,-3.40,487,-34.63,15,-67.39,"7,477",107.87,93,9.41,"1,861",17.86,111,15.62,23,-42.50,1,-83.33,257,-40.92,0,--,0,--,0,--,268,-20.00,0,--,46,43.75,7,250.00,1,-80.00,0,--,0,--,0,--,0,--,0,--
2012M05,"9,830",36.62,236,-22.11,492,-30.41,22,-62.71,"7,482",100.59,90,23.29,"1,385",-21.71,114,-10.94,16,-30.43,0,--,251,-61.50,3,-92.31,0,--,0,--,182,-32.84,0,--,22,-46.34,7,600.00,0,--,0,--,0,--,0,--,0,--,0,--
2012M06,"7,087",-7.95,154,-31.56,476,-40.87,22,-51.11,"5,173",19.00,94,42.42,927,-45.79,37,-62.24,21,0.00,0,--,270,-45.78,0,--,0,--,0,--,185,-34.86,0,--,34,3.03,1,--,1,--,0,--,0,--,0,--,0,--,0,--
2012M07,"7,430",-12.35,121,-47.39,513,-35.71,15,-21.05,"5,494",5.96,61,-14.08,877,-51.47,41,-59.41,18,5.88,0,--,264,-36.39,3,-89.66,0,--,0,--,219,5.29,1,--,44,-2.22,0,--,1,0.00,0,--,0,--,0,--,0,--,0,--
2012M08,"8,233",-40.74,198,-29.54,501,-31.37,36,5.88,"6,171",-41.63,110,20.88,794,-54.08,46,-65.15,27,-10.00,1,-50.00,270,-36.17,5,-37.50,0,--,0,--,433,20.61,0,--,36,-26.53,0,--,1,--,0,--,0,--,0,--,0,--,0,--
2012M09,"8,499",-38.07,137,-36.28,481,-23.53,18,-21.74,"6,583",-37.74,80,-1.23,815,-53.59,36,-64.00,46,84.00,0,--,228,-41.24,0,--,0,--,0,--,316,7.12,1,--,30,-48.28,2,-77.78,0,--,0,--,0,--,0,--,0,--,0,--
2012M10,"10,583",-14.11,205,-22.64,582,10.02,26,-29.73,"8,017",-12.05,100,-4.76,"1,290",-37.50,65,-43.48,32,10.34,2,-33.33,299,-11.54,8,--,0,--,0,--,302,46.60,0,--,61,52.50,4,-20.00,0,--,0,--,0,--,0,--,0,--,0,--
2012M11,"8,126",-24.75,140,-33.96,479,-7.71,29,-19.44,"5,980",-21.83,71,-13.41,"1,000",-50.20,32,-60.98,27,-18.18,4,100.00,251,-17.97,1,0.00,0,--,0,--,339,41.25,0,--,50,21.95,3,-66.67,0,--,0,--,0,--,0,--,0,--,0,--
2012M12,"5,986",-49.23,128,-30.43,443,-22.55,17,-5.56,"4,209",-51.41,74,-8.64,869,-52.95,31,-59.74,29,-9.38,0,--,212,-38.19,3,--,0,--,0,--,157,-44.13,0,--,67,28.85,3,-50.00,0,--,0,--,0,--,0,--,0,--,0,--
2013M01,"4,925",9.98,165,87.50,455,30.75,23,53.33,"2,855",-14.95,82,121.62,"1,051",167.43,47,42.42,29,31.82,2,100.00,264,72.55,10,--,0,--,0,--,250,29.53,0,--,21,75.00,1,-50.00,0,--,0,--,0,--,0,--,0,--,0,--
2013M02,"2,345",-80.93,52,-75.47,165,-64.89,6,-89.66,"1,559",-85.01,22,-75.28,360,-54.89,21,-60.38,13,-55.17,0,--,87,-64.05,2,--,0,--,0,--,151,-53.96,0,--,9,-70.00,1,-90.00,1,--,0,--,0,--,0,--,0,--,0,--
2013M03,"6,153",-43.70,180,-18.55,470,-12.31,26,18.18,"4,181",-47.02,85,-11.46,944,-50.18,63,-32.26,23,-17.86,0,--,294,11.36,3,--,0,--,0,--,199,-29.43,0,--,42,27.27,3,-66.67,0,--,0,--,0,--,0,--,0,--,0,--
2013M04,"5,699",-45.31,156,-31.28,504,3.49,11,-26.67,"3,597",-51.89,87,-6.45,972,-47.77,54,-51.35,25,8.70,1,0.00,305,18.68,0,--,0,--,0,--,254,-5.22,1,--,42,-8.70,2,-71.43,0,--,0,--,0,--,0,--,0,--,0,--
2013M05,"6,533",-33.54,187,-20.76,528,7.32,28,27.27,"4,306",-42.45,110,22.22,"1,064",-23.18,46,-59.65,29,81.25,2,--,308,22.71,0,--,0,--,0,--,255,40.11,0,--,43,95.45,1,-85.71,0,--,0,--,0,--,0,--,0,--,0,--
2013M06,"6,083",-14.17,134,-12.99,333,-30.04,18,-18.18,"4,489",-13.22,70,-25.53,767,-17.26,42,13.51,26,23.81,0,--,182,-32.59,0,--,0,--,0,--,236,27.57,0,--,50,47.06,4,300.00,0,--,0,--,0,--,0,--,0,--,0,--
2013M07,"7,290",-1.88,266,119.83,390,-23.98,25,66.67,"5,460",-0.62,177,190.16,847,-3.42,61,48.78,9,-50.00,0,--,230,-12.88,1,-66.67,0,--,0,--,316,44.29,0,--,38,-13.64,2,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M08,"6,092",-26.01,149,-24.75,350,-30.14,14,-61.11,"4,382",-28.99,95,-13.64,840,5.79,36,-21.74,18,-33.33,2,100.00,193,-28.52,0,--,0,--,0,--,262,-39.49,0,--,42,16.67,2,--,5,400.00,0,--,0,--,0,--,0,--,0,--
2013M09,"8,812",3.68,162,18.25,345,-28.27,22,22.22,"7,055",7.17,75,-6.25,888,8.96,61,69.44,24,-47.83,1,--,175,-23.25,0,--,0,--,0,--,274,-13.29,0,--,51,70.00,3,50.00,0,--,0,--,0,--,0,--,0,--,0,--
2013M10,"7,886",-25.48,178,-13.17,434,-25.43,26,0.00,"5,754",-28.23,80,-20.00,"1,164",-9.77,60,-7.69,22,-31.25,1,-50.00,206,-31.10,3,-62.50,0,--,0,--,253,-16.23,1,--,53,-13.11,7,75.00,0,--,0,--,0,--,0,--,0,--,0,--
2013M11,"7,574",-6.79,201,43.57,349,-27.14,42,44.83,"5,813",-2.79,104,46.48,869,-13.10,44,37.50,37,37.04,0,--,164,-34.66,0,--,0,--,0,--,292,-13.86,0,--,50,0.00,11,266.67,0,--,0,--,0,--,0,--,0,--,0,--
2013M12,"5,901",-1.42,202,57.81,355,-19.86,70,311.76,"4,310",2.40,88,18.92,783,-9.90,35,12.90,27,-6.90,1,--,171,-19.34,4,33.33,0,--,0,--,216,37.58,0,--,38,-43.28,3,0.00,0,--,0,--,1,--,1,--,0,--,0,--
2014M01,"2,609",-47.03,148,-10.30,246,-45.93,51,121.74,"1,660",-41.86,72,-12.20,336,-68.03,21,-55.32,23,-20.69,1,-50.00,117,-55.68,0,--,0,--,0,--,211,-15.60,0,--,15,-28.57,3,200.00,0,--,0,--,1,--,0,--,0,--,0,--
2014M02,"1,240",-47.12,91,75.00,200,21.21,26,333.33,522,-66.52,50,127.27,197,-45.28,12,-42.86,8,-38.46,1,--,93,6.90,0,--,0,--,0,--,199,31.79,0,--,21,133.33,2,100.00,0,--,0,--,0,--,0,--,0,--,0,--
2014M03,"1,831",-70.24,156,-13.33,316,-32.77,43,65.38,756,-81.92,86,1.18,329,-65.15,23,-63.49,15,-34.78,2,--,167,-43.20,0,--,0,--,0,--,212,6.53,0,--,35,-16.67,2,-33.33,1,--,0,--,0,--,0,--,0,--,0,--
2014M04,"2,246",-60.59,212,35.90,423,-16.07,67,509.09,"1,043",-71.00,104,19.54,395,-59.36,34,-37.04,25,0.00,1,0.00,166,-45.57,3,--,0,--,0,--,143,-43.70,0,--,50,19.05,3,50.00,0,--,0,--,1,--,0,--,0,--,0,--
2014M05,"1,894",-71.01,150,-19.79,326,-38.26,36,28.57,841,-80.47,75,-31.82,335,-68.52,34,-26.09,31,6.90,2,0.00,139,-54.87,1,--,0,--,0,--,178,-30.20,0,--,44,2.33,2,100.00,0,--,0,--,0,--,0,--,0,--,0,--
