期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
2003M11,"101,745.438","6,800.516",0.067,"-4,637.445","1,639.223","-6,276.668","1,190.135",777.761,"10,385.044","6,045.776",535.840,"36,764.542",931.922,580.045,"32,148.539",-,"25,155.621","6,992.918",279.631,149.415,"1,028.170",0.747,-,"3,975.907","3,644.406","1,144.420",-
2003M12,"94,039.137","8,078.727",0.373,"18,016.696","4,280.009","13,736.687","3,961.994",542.707,"15,123.308","5,132.351",508.437,"1,726.720",541.579,324.212,"31,741.360",-,"21,690.536","10,050.824",299.494,146.426,"1,305.470",1.173,-,"5,372.181",71.545,"1,144.384",-
2004M01,"97,346.925","6,006.115",1.000,"19,166.641","1,863.827","17,302.814","1,273.330",499.100,"9,367.443","5,799.159",461.136,"34,495.184",780.452,906.886,"9,060.306",-,573.903,"8,486.403",201.283,139.300,942.795,1.157,-,"3,828.543","3,680.444",736.651,-
2004M02,"71,262.468","5,451.417",3.319,"21,375.024",553.310,"20,821.714","2,022.848",582.018,"14,917.506","10,676.707",735.582,-36.576,371.949,968.331,"8,188.287",-,511.310,"7,676.977",328.195,150.655,"1,008.746",0.115,-,"3,623.959",197.971,696.415,-
2004M03,"117,406.765","6,895.520",0.189,"15,924.831","1,892.946","14,031.885","2,066.778",470.455,"15,059.265","13,318.894","1,175.144","41,404.376",864.589,"1,618.609","8,563.485",-,589.442,"7,974.043",283.020,149.217,"1,241.485",1.261,-,"3,695.748","3,908.123",765.776,-
2004M04,"99,421.427","6,729.804",-1.156,"17,926.046","2,108.798","15,817.248","2,473.858",609.998,"11,804.398","11,669.725",882.642,"2,335.283",411.604,"30,694.672","7,124.548",-,450.856,"6,673.692",815.698,138.659,"1,195.145",1.444,-,"3,691.035",134.459,783.565,-
2004M05,"258,764.258","6,734.304",0.172,"128,586.541","104,499.455","24,087.086","1,931.269",373.077,"13,288.523","7,101.811",861.932,"39,103.932",946.722,"11,332.582","6,589.789",-,323.956,"6,265.833","31,785.785",140.778,"1,115.124",0.457,-,"3,963.876","4,140.142",767.442,-
2004M06,"144,446.216","6,882.545",0.476,"90,441.802","28,972.926","61,468.876","1,408.588",424.538,"13,961.664","5,377.857",749.700,"-2,401.397",395.241,843.222,"6,752.263",-,248.974,"6,503.289","13,674.637",160.239,"1,056.206",0.647,-,"3,732.603",187.140,798.245,-
2004M07,"90,913.564","6,779.732",0.039,"2,724.283","1,409.667","1,314.616","1,578.463",706.199,"12,981.975","4,263.731",579.308,"42,607.169",985.820,691.041,"6,553.493",-,283.312,"6,270.181",436.349,161.354,"1,089.629",0.502,-,"4,270.026","3,765.114",739.337,-
2004M08,"63,701.103","6,101.738",0.062,"28,973.348","5,806.351","23,166.997","1,883.863",411.989,"13,379.493","4,120.590",477.726,"-4,716.205",383.824,664.293,"5,779.835",-,358.664,"5,421.171",424.649,170.462,969.841,0.635,-,"3,762.087",236.521,676.352,-
2004M09,"180,906.671","6,450.087",-,"93,373.913","70,641.939","22,731.974","2,202.890",280.375,"12,623.691","6,076.393",563.526,"41,527.046",890.814,494.959,"5,475.225",-,214.322,"5,260.903",445.297,167.216,941.721,0.660,-,"4,614.838","3,745.706","1,032.314",-
2004M10,"38,113.330","6,513.774",-0.360,167.158,"16,103.656","-15,936.498","1,314.026",580.818,"12,860.684","5,645.672",574.183,"-3,140.522",377.150,750.897,"6,263.797",-,617.614,"5,646.183",312.680,156.553,"1,024.644",0.598,-,"3,902.603",223.319,585.656,-
2004M11,"135,924.312","7,307.244",-,"16,543.957","2,258.666","14,285.291","2,021.653",352.672,"13,197.821","5,313.114",660.353,"40,078.495",940.599,666.600,"38,437.679",-,"30,987.024","7,450.655",249.142,162.493,"1,031.919",0.474,-,"4,156.695","3,724.098","1,079.304",-
2004M12,"89,093.252","7,032.309",0.058,"20,710.278","4,977.312","15,732.966","2,984.889",594.014,"16,201.167","4,784.690",551.147,"2,203.048",421.923,272.276,"25,104.626",-,"17,457.818","7,646.808",366.414,165.168,"1,319.707",0.676,-,"5,094.175",286.477,"1,000.210",-
2005M01,"106,968.918","6,868.247",-,"20,228.305","1,641.824","18,586.481","1,578.391",713.554,"10,494.193","4,031.354",537.415,"39,965.597","1,006.633","1,073.910","9,840.047",-,720.677,"9,119.370",257.480,166.333,"1,232.625",0.453,-,"4,123.885","4,092.347",758.149,-
2005M02,"53,949.123","5,481.362",-,"19,344.889","1,106.544","18,238.345","1,363.212",539.171,"17,043.380","3,867.392",360.422,"-9,391.322",330.962,895.087,"8,181.922",-,441.312,"7,740.610",160.639,136.410,786.390,0.453,-,"3,772.074",275.770,800.910,-
2005M03,"123,916.382","6,925.407",-,"24,762.555","1,612.207","23,150.348","2,470.338",583.240,"13,141.024","6,535.588",568.620,"43,566.903",857.345,"1,873.737","12,398.583",-,521.867,"11,876.716",306.089,192.020,"1,223.627",0.597,-,"3,642.482","3,917.904",950.323,-
2005M04,"93,657.896","6,863.920",-,"16,894.734","1,467.598","15,427.136","2,365.284",573.114,"14,966.998","4,442.023",482.351,"2,630.805",353.620,"28,287.580","7,857.120",-,435.543,"7,421.577",709.711,152.899,986.406,0.443,-,"4,795.394",165.278,"1,130.216",-
2005M05,"312,104.157","6,457.072",-,"176,893.203","146,916.465","29,976.738","3,288.181",435.659,"14,323.651","4,613.729",502.431,"41,045.931","1,053.570","15,330.729","5,532.194",-,279.181,"5,253.013","32,362.163",163.854,"1,109.258",0.719,-,"4,103.840","4,008.111",879.862,-
2005M06,"186,419.275","6,919.836",-,"132,702.721","42,222.122","90,480.599","1,724.532",553.158,"14,529.068","6,387.081",620.751,"-6,088.915",443.680,877.187,"6,334.166",-,354.421,"5,979.745","14,514.966",161.370,"1,106.653",1.043,-,"4,413.252",240.524,978.202,-
2005M07,"95,182.949","6,770.459",-,"5,740.443","1,896.244","3,844.199","1,314.887","1,115.335","15,398.233","6,557.665",580.698,"40,137.856","1,105.339",690.616,"5,624.688",-,309.614,"5,315.074",526.090,159.890,"1,053.427",0.767,-,"3,728.124","4,054.900",623.532,-
2005M08,"83,391.829","6,826.705",-,"39,432.659","5,437.672","33,994.987","1,628.629",437.749,"14,751.269","7,046.665",545.497,"-1,252.010",413.086,732.820,"5,829.544",-,328.948,"5,500.596",570.763,176.318,"1,102.936",0.611,-,"4,133.629",278.506,736.453,-
2005M09,"212,955.167","6,812.942",-,"123,862.303","93,874.379","29,987.924","1,344.607",279.628,"13,884.010","4,788.994",478.914,"44,020.711","1,046.763",463.727,"5,302.972",-,335.621,"4,967.351",426.929,171.921,"1,088.751",0.554,-,"4,159.139","4,072.512",749.790,-
2005M10,"64,995.770","7,234.137",-,"23,308.038","23,676.548",-368.510,"1,441.578",435.988,"14,854.355","5,091.751",519.194,"-2,617.760",380.766,870.823,"6,355.645",-,690.011,"5,665.634",388.163,168.312,"1,127.236",1.596,-,"4,290.690",242.191,903.067,-
2005M11,"146,613.271","7,500.281",-,"21,447.851","4,802.404","16,645.447","2,981.153",258.796,"12,258.434","5,955.309",552.597,"44,487.425","1,007.513",541.663,"38,327.624",-,"32,250.723","6,076.901",362.050,166.239,"1,111.033",1.086,-,"4,489.860","4,286.705",877.652,-
2005M12,"87,241.626","7,713.300",0.638,"21,189.351","4,703.072","16,486.279","2,608.881",415.839,"12,766.293","8,886.124",592.783,"1,025.996",458.777,225.181,"23,785.512",-,"17,037.938","6,747.574",291.845,163.216,"1,249.666",1.209,-,"4,790.782",77.376,998.857,-
2006M01,"114,068.756","7,284.196",-,"24,823.009","2,718.884","22,104.125","1,177.142",360.110,"10,119.220","9,262.705",324.496,"39,515.989",964.214,983.180,"7,186.641",-,731.879,"6,454.762",257.488,166.815,"1,263.191",0.648,-,"4,897.885","4,431.393","1,050.434",-
2006M02,"62,486.723","5,962.878",-,"25,084.539","1,387.993","23,696.546","1,716.609",447.034,"15,385.109","5,272.525",265.602,"-6,921.262",311.825,788.361,"5,625.082",-,306.140,"5,318.942",221.286,162.351,863.590,0.177,-,"5,492.517",292.620,"1,515.880",-
2006M03,"122,655.527","7,185.077",-,"23,647.342","3,176.461","20,470.881","2,050.906",367.866,"15,659.317","7,639.103",346.858,"45,558.490",948.351,"1,731.608","6,522.555",-,619.429,"5,903.126",258.829,177.515,"1,262.630",0.334,-,"3,770.161","4,522.468","1,006.117",-
2006M04,"85,232.188","6,181.738",-,"16,436.053",682.129,"15,753.924","2,779.850",381.861,"12,227.274","8,230.526",371.169,"-1,892.820",359.525,"28,039.654","6,141.332",-,400.279,"5,741.053",793.389,148.924,"1,050.313",0.209,-,"2,799.517",227.119,956.555,-
2006M05,"220,623.647","6,557.363",-,"84,102.160","56,459.367","27,642.793","1,378.044",379.198,"13,563.599","10,180.470",446.423,"39,704.955","1,119.006","16,823.939","6,502.307",-,351.966,"6,150.341","30,052.929",158.557,"1,139.953",0.375,-,"3,343.467","4,122.652","1,048.250",-
2006M06,"293,898.268","7,174.803",-,"228,589.575","111,908.668","116,680.907","2,261.255","1,015.920","14,982.513","7,074.398",446.457,"-2,444.882",440.223,904.785,"7,083.415",-,308.386,"6,775.029","18,311.080",167.471,"1,326.229",1.080,-,"4,654.643",214.002,"1,695.301",-
