期間,合計_原始值,合計_年增率(%),銀行對顧客市場--小計_原始值,銀行對顧客市場--小計_年增率(%),銀行對顧客市場--即期_原始值,銀行對顧客市場--即期_年增率(%),銀行對顧客市場--遠期_原始值,銀行對顧客市場--遠期_年增率(%),銀行對顧客市場--換匯_原始值,銀行對顧客市場--換匯_年增率(%),銀行對顧客市場--保證金交易_原始值,銀行對顧客市場--保證金交易_年增率(%),銀行對顧客市場--選擇權_原始值,銀行對顧客市場--選擇權_年增率(%),銀行對顧客市場--換匯換利_原始值,銀行對顧客市場--換匯換利_年增率(%),銀行間市場--小計_原始值,銀行間市場--小計_年增率(%),銀行間市場--即期_原始值,銀行間市場--即期_年增率(%),銀行間市場--遠期_原始值,銀行間市場--遠期_年增率(%),銀行間市場--換匯_原始值,銀行間市場--換匯_年增率(%),銀行間市場--選擇權_原始值,銀行間市場--選擇權_年增率(%),銀行間市場--換匯換利_原始值,銀行間市場--換匯換利_年增率(%),全體外匯銀行外匯交易淨部位(期底數)_原始值,全體外匯銀行外匯交易淨部位(期底數)_年增率(%),外匯存底(期底數)_原始值,外匯存底(期底數)_年增率(%)
1997M11,"5,578",31.43,"2,288",26.06,"1,174",1.82,361,272.16,22,0.00,667,27.53,63,215.00,1,--,"3,290",35.45,"2,069",30.54,364,69.30,763,31.10,89,122.50,5,-28.57,115,--,"83,135",-5.19
1997M12,"4,906",28.06,"2,146",13.48,"1,209",-14.56,278,239.02,20,100.00,595,59.95,44,266.67,0,--,"2,760",42.27,"1,689",43.14,335,127.89,663,17.35,66,135.71,7,-65.00,237,--,"83,502",-5.15
1998M01,"5,574",27.79,"2,383",34.10,"1,263",12.67,297,133.86,28,75.00,741,72.33,42,-48.78,12,"1,100.00","3,191",23.44,"2,062",15.58,430,115.00,643,27.83,53,-41.11,3,-62.50,187,--,"84,030",-4.94
1998M02,"5,081",14.51,"2,018",13.43,"1,129",-4.97,212,60.61,13,550.00,598,44.10,64,52.38,2,--,"3,063",15.24,"1,906",6.84,388,74.77,688,14.10,77,67.39,4,33.33,-10,--,"84,011",-5.21
1998M03,"5,032",10.74,"1,922",2.51,"1,110",0.18,170,97.67,10,-9.09,579,-10.65,53,140.91,0,--,"3,110",16.52,"2,040",10.99,299,56.54,688,15.24,69,130.00,14,7.69,329,--,"83,615",-5.83
1998M04,"4,935",14.08,"1,849",8.13,"1,106",-3.74,153,86.59,11,83.33,514,25.06,65,14.04,0,-100.00,"3,086",17.97,"1,984",8.59,252,38.46,745,42.45,91,49.18,14,-39.13,278,--,"84,032",-5.53
1998M05,"4,570",-6.35,"1,810",-10.66,"1,046",-10.21,213,31.48,15,87.50,418,-34.48,114,119.23,4,300.00,"2,760",-3.29,"1,673",-18.63,302,50.25,611,18.41,149,115.94,25,108.33,432,--,"84,446",-6.18
1998M06,"4,873",6.77,"1,957",-2.83,"1,193",-4.33,164,8.61,16,77.78,468,-18.18,110,243.75,6,100.00,"2,916",14.35,"1,978",13.09,216,8.54,559,6.27,142,202.13,21,-27.59,165,--,"83,286",-7.49
1998M07,"4,076",-15.92,"1,703",-20.31,"1,019",-17.56,113,-31.52,13,8.33,474,-30.80,81,161.29,3,-62.50,"2,373",-12.47,"1,631",-9.99,173,-30.80,458,-19.51,101,57.81,10,-37.50,182,--,"83,607",-5.82
1998M08,"4,221",-14.43,"1,594",-22.70,"1,010",-17.55,145,-22.87,11,10.00,343,-43.59,85,174.19,0,--,"2,627",-8.50,"1,725",-8.15,115,-59.65,644,-2.28,142,230.23,1,-83.33,219,--,"83,666",-4.70
1998M09,"5,120",1.59,"1,866",-13.13,"1,141",-12.43,155,-20.10,4,-71.43,460,-19.30,106,73.77,0,-100.00,"3,254",12.52,"2,202",20.07,113,-60.35,801,15.58,138,91.67,0,-100.00,104,--,"84,247",-1.76
1998M10,"5,223",-13.05,"2,006",-25.92,"1,235",-0.40,207,-30.77,7,-70.83,448,-58.90,109,101.85,0,-100.00,"3,217",-2.49,"2,129",-2.70,158,-48.87,771,5.04,158,159.02,1,-85.71,-447,--,"86,558",4.39
1998M11,"4,015",-28.02,"1,680",-26.57,"1,267",7.92,151,-58.17,10,-54.55,162,-75.71,90,42.86,0,-100.00,"2,335",-29.03,"1,509",-27.07,136,-62.64,577,-24.38,113,26.97,0,-100.00,20,--,"88,074",5.94
1998M12,"3,947",-19.55,"1,649",-23.16,"1,269",4.96,165,-40.65,8,-60.00,145,-75.63,61,38.64,1,--,"2,298",-16.74,"1,399",-17.17,134,-60.00,686,3.47,79,19.70,0,-100.00,-113,--,"90,341",8.19
1999M01,"4,065",-27.07,"1,653",-30.63,"1,186",-6.10,177,-40.40,9,-67.86,163,-78.00,118,180.95,0,-100.00,"2,412",-24.41,"1,532",-25.70,114,-73.49,595,-7.47,151,184.91,20,566.67,104,--,"91,920",9.39
1999M02,"4,462",-12.18,"1,876",-7.04,"1,268",12.31,260,22.64,12,-7.69,221,-63.04,115,79.69,0,-100.00,"2,586",-15.57,"1,671",-12.33,160,-58.76,657,-4.51,97,25.97,1,-75.00,170,--,"92,616",10.24
1999M03,"4,024",-20.03,"1,650",-14.15,"1,158",4.32,212,24.71,10,0.00,178,-69.26,89,67.92,3,--,"2,374",-23.67,"1,628",-20.20,89,-70.23,556,-19.19,81,17.39,20,42.86,226,--,"93,005",11.23
1999M04,"4,248",-13.92,"1,713",-7.36,"1,215",9.86,216,41.18,11,0.00,140,-72.76,129,98.46,2,--,"2,535",-17.85,"1,652",-16.73,206,-18.25,535,-28.19,136,49.45,6,-57.14,-223,--,"95,120",13.19
1999M05,"3,964",-13.26,"1,667",-7.90,"1,158",10.71,182,-14.55,9,-40.00,111,-73.44,207,81.58,0,-100.00,"2,297",-16.78,"1,511",-9.68,126,-58.28,521,-14.73,129,-13.42,10,-60.00,-164,--,"95,704",13.33
1999M06,"4,362",-10.49,"1,767",-9.71,"1,335",11.90,202,23.17,10,-37.50,118,-74.79,102,-7.27,0,-100.00,"2,595",-11.01,"1,675",-15.32,180,-16.67,583,4.29,146,2.82,11,-47.62,-511,--,"97,704",17.31
1999M07,"4,008",-1.67,"1,727",1.41,"1,296",27.18,152,34.51,6,-53.85,130,-72.57,143,76.54,0,-100.00,"2,281",-3.88,"1,393",-14.59,174,0.58,549,19.87,162,60.40,3,-70.00,-373,--,"98,596",17.93
1999M08,"4,160",-1.45,"1,675",5.08,"1,255",24.26,166,14.48,8,-27.27,99,-71.14,146,71.76,1,--,"2,485",-5.41,"1,386",-19.65,146,26.96,787,22.20,164,15.49,2,100.00,-336,--,"100,130",19.68
1999M09,"4,639",-9.39,"1,973",5.73,"1,409",23.49,226,45.81,16,300.00,144,-68.70,178,67.92,0,--,"2,666",-18.07,"1,583",-28.11,143,26.55,733,-8.49,206,49.28,1,--,-70,--,"101,652",20.66
1999M10,"4,261",-18.42,"1,824",-9.07,"1,446",17.09,130,-37.20,4,-42.86,102,-77.23,142,30.28,0,--,"2,437",-24.25,"1,519",-28.65,89,-43.67,699,-9.34,130,-17.72,0,-100.00,-496,--,"102,679",18.62
1999M11,"3,998",-0.42,"1,729",2.92,"1,370",8.13,138,-8.61,7,-30.00,76,-53.09,138,53.33,0,--,"2,269",-2.83,"1,338",-11.33,128,-5.88,628,8.84,175,54.87,0,--,-432,--,"103,539",17.56
1999M12,"3,949",0.05,"1,857",12.61,"1,501",18.28,141,-14.55,13,62.50,55,-62.07,147,140.98,0,-100.00,"2,092",-8.96,"1,184",-15.37,158,17.91,592,-13.70,158,100.00,0,--,-482,--,"106,200",17.55
2000M01,"4,915",20.91,"2,180",31.88,"1,615",36.17,229,29.38,9,0.00,86,-47.24,239,102.54,2,--,"2,735",13.39,"1,637",6.85,180,57.89,642,7.90,275,82.12,1,-95.00,-555,--,"110,051",19.72
2000M02,"5,104",14.39,"2,261",20.52,"1,664",31.23,213,-18.08,9,-25.00,125,-43.44,249,116.52,1,--,"2,843",9.94,"1,734",3.77,259,61.88,560,-14.76,280,188.66,10,900.00,-240,--,"113,638",22.70
2000M03,"5,260",30.72,"2,330",41.21,"1,801",55.53,208,-1.89,6,-40.00,106,-40.45,207,132.58,2,-33.33,"2,930",23.42,"1,792",10.07,264,196.63,619,11.33,243,200.00,12,-40.00,-479,--,"113,002",21.50
2000M04,"5,176",21.85,"2,359",37.71,"1,826",50.29,228,5.56,11,0.00,86,-38.57,208,61.24,0,-100.00,"2,817",11.12,"1,691",2.36,208,0.97,681,27.29,233,71.32,4,-33.33,-155,--,"113,662",19.49
2000M05,"4,759",20.06,"1,995",19.68,"1,478",27.63,180,-1.10,11,22.22,70,-36.94,255,23.19,1,--,"2,764",20.33,"1,584",4.83,196,55.56,697,33.78,275,113.18,12,20.00,-61,--,"113,122",18.20
2000M06,"4,585",5.11,"2,038",15.34,"1,588",18.95,147,-27.23,20,100.00,74,-37.29,208,103.92,1,--,"2,547",-1.85,"1,504",-10.21,170,-5.56,640,9.78,220,50.68,13,18.18,-21,--,"113,830",16.50
2000M07,"4,362",8.83,"1,948",12.80,"1,545",19.21,192,26.32,19,216.67,55,-57.69,136,-4.90,1,--,"2,414",5.83,"1,411",1.29,135,-22.41,707,28.78,158,-2.47,3,0.00,-40,--,"113,527",15.14
2000M08,"4,321",3.87,"1,934",15.46,"1,508",20.16,158,-4.82,21,162.50,69,-30.30,170,16.44,8,700.00,"2,387",-3.94,"1,314",-5.19,133,-8.90,735,-6.61,198,20.73,7,250.00,161,--,"113,036",12.89
2000M09,"4,967",7.07,"2,223",12.67,"1,661",17.89,228,0.88,29,81.25,226,56.94,63,-64.61,16,--,"2,744",2.93,"1,488",-6.00,197,37.76,795,8.46,251,21.84,13,"1,200.00",492,--,"111,667",9.85
2000M10,"4,851",13.85,"2,193",20.23,"1,648",13.97,251,93.08,26,550.00,196,92.16,62,-56.34,10,--,"2,658",9.07,"1,464",-3.62,198,122.47,759,8.58,224,72.31,13,--,345,--,"109,056",6.21
2000M11,"4,814",20.41,"2,244",29.79,"1,714",25.11,244,76.81,42,500.00,56,-26.32,175,26.81,13,--,"2,570",13.27,"1,516",13.30,168,31.25,707,12.58,172,-1.71,7,--,412,--,"108,231",4.53
2000M12,"5,517",39.71,"2,394",28.92,"1,729",15.19,312,121.28,46,253.85,130,136.36,165,12.24,12,--,"3,123",49.28,"1,664",40.54,161,1.90,765,29.22,529,234.81,4,--,304,--,"106,742",0.51
2001M01,"5,365",9.16,"2,318",6.33,"1,638",1.42,228,-0.44,42,366.67,158,83.72,251,5.02,1,-50.00,"3,047",11.41,"1,905",16.37,193,7.22,659,2.65,288,4.73,2,100.00,-246,--,"108,056",-1.81
2001M02,"4,577",-10.33,"1,985",-12.21,"1,500",-9.86,156,-26.76,35,288.89,96,-23.20,197,-20.88,1,0.00,"2,592",-8.83,"1,609",-7.21,155,-40.15,621,10.89,206,-26.43,1,-90.00,265,--,"110,085",-3.13
2001M03,"5,106",-2.93,"2,269",-2.62,"1,595",-11.44,226,8.65,44,633.33,146,37.74,251,21.26,7,250.00,"2,837",-3.17,"1,823",1.73,146,-44.70,607,-1.94,257,5.76,4,-66.67,497,--,"110,636",-2.09
2001M04,"4,710",-9.00,"2,040",-13.52,"1,405",-23.06,277,21.49,34,209.09,95,10.47,217,4.33,12,--,"2,670",-5.22,"1,620",-4.20,154,-25.96,648,-4.85,242,3.86,6,50.00,358,--,"111,652",-1.77
