期間,市內電話-用戶數(萬戶)_原始值,市內電話-用戶數(萬戶)_年增率(%),市內電話-每百人用戶數(戶／百人)_原始值,市內電話-每百人用戶數(戶／百人)_年增率(%),國際電話去話分鐘數(萬分鐘)_原始值,國際電話去話分鐘數(萬分鐘)_年增率(%),整體服務數位網路(ISDN)用戶數(戶)_原始值,整體服務數位網路(ISDN)用戶數(戶)_年增率(%),數據通信出租電路數(路)_原始值,數據通信出租電路數(路)_年增率(%),分封交換數據通信-用戶數(戶)_原始值,分封交換數據通信-用戶數(戶)_年增率(%),分封交換數據通信-資訊量(百萬節)_原始值,分封交換數據通信-資訊量(百萬節)_年增率(%),無線電叫人用戶數(千戶)_原始值,無線電叫人用戶數(千戶)_年增率(%),行動電話-用戶數(千戶)_原始值,行動電話-用戶數(千戶)_年增率(%),行動電話-每百人用戶數(戶／百人)_原始值,行動電話-每百人用戶數(戶／百人)_年增率(%),行動電話-去話分鐘數(百萬分鐘)_原始值,行動電話-去話分鐘數(百萬分鐘)_年增率(%),網際網路帳號數(千戶)_原始值,網際網路帳號數(千戶)_年增率(%),寬頻(千戶)_原始值,寬頻(千戶)_年增率(%)
2011M01,"1,283",0.17,55.4,-0.01,"40,750",1.54,"110,096",21.92,"167,396",2.12,"1,071",-18.24,7,-95.13,"1,096",-0.55,"27,917",3.32,120.5,3.14,"3,560",8.07,"5,923",4.76,"5,336",6.64
2011M02,"1,285",0.44,55.5,0.27,"38,301",-0.94,"111,547",22.30,"167,728",2.25,"1,076",-16.78,9,-33.67,"1,059",-5.62,"28,008",3.38,120.9,3.21,"3,303",7.36,"5,964",5.30,"5,354",6.54
2011M03,"1,285",0.45,55.5,0.30,"38,025",1.64,"111,099",16.16,"168,508",2.32,"1,072",-15.86,6,-45.35,"1,065",-4.89,"28,130",3.42,121.4,3.26,"3,516",6.32,"5,953",5.72,"5,380",7.45
2011M04,"1,285",0.49,55.5,0.33,"38,167",-0.05,"113,771",13.89,"168,606",2.06,"1,068",-14.70,1,-94.70,"1,064",-5.01,"28,224",3.83,121.8,3.67,"3,525",5.58,"5,962",5.09,"5,392",6.82
2011M05,"1,286",0.59,55.5,0.42,"37,577",-0.67,"115,178",13.77,"168,602",1.63,"1,062",-13.24,5,-54.90,"1,060",-5.27,"28,191",4.15,121.7,3.98,"3,587",6.61,"5,962",5.07,"5,393",6.47
2011M06,"1,285",0.66,55.4,0.48,"37,561",-0.40,"116,358",15.53,"168,601",0.82,"1,062",-12.16,4,-76.41,"1,059",-5.30,"28,292",4.12,122.1,3.94,"3,536",6.47,"5,958",5.37,"5,384",6.65
2011M07,"1,285",0.76,55.4,0.57,"38,039",1.22,"116,934",15.74,"167,898",0.35,"1,040",-11.94,2,-89.59,"1,059",-3.84,"28,399",4.10,122.5,3.91,"3,626",8.15,"5,980",5.41,"5,409",6.70
2011M08,"1,284",0.85,55.4,0.64,"38,727",-4.54,"117,921",14.89,"169,237",0.91,"1,023",-11.96,0,-96.49,"1,039",-5.65,"28,504",3.94,122.9,3.73,"3,733",9.83,"5,984",5.05,"5,421",6.63
2011M09,"1,284",0.89,55.3,0.68,"40,222",2.54,"118,077",14.28,"169,480",1.18,"1,025",-8.15,1,-94.45,"1,039",-5.66,"28,607",3.91,123.3,3.68,"3,590",6.29,"6,030",5.11,"5,466",6.54
2011M10,"1,279",0.58,55.1,0.35,"39,454",2.82,"120,326",16.05,"169,271",1.53,999,-8.85,0,-96.47,939,-14.53,"28,672",3.87,123.6,3.63,"3,623",7.32,"6,030",2.08,"5,463",3.10
2011M11,"1,273",0.17,54.8,-0.07,"39,617",-0.85,"120,238",14.84,"168,978",1.35,969,-11.34,0,-96.63,912,-16.83,"28,753",3.75,123.9,3.50,"3,566",7.58,"6,062",2.89,"5,485",3.25
2011M12,"1,268",-0.14,54.6,-0.39,"40,230",2.00,"123,321",16.53,"172,124",2.61,928,-14.47,0,-96.56,912,-16.73,"28,862",3.67,124.3,3.40,"3,670",6.55,"6,092",3.46,"5,516",3.85
2012M01,"1,263",-1.54,54.4,-1.81,"43,197",6.01,"123,617",12.28,"171,797",2.63,910,-15.03,0,-96.97,827,-24.56,"28,904",3.54,124.4,3.25,"3,721",4.53,"6,114",3.22,"5,539",3.80
2012M02,"1,260",-1.97,54.2,-2.26,"41,014",7.08,"123,401",10.63,"170,953",1.92,836,-22.30,0,-97.69,826,-21.98,"28,936",3.32,124.6,3.01,"3,619",9.58,"6,371",6.83,"5,814",8.58
2012M03,"1,258",-2.12,54.1,-2.43,"41,454",9.02,"123,244",10.93,"169,933",0.85,817,-23.79,0,-95.85,826,-22.44,"28,977",3.01,124.7,2.69,"3,747",6.57,"6,387",7.29,"5,834",8.44
