期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%)
2012M10,"1,858,217",8.77,"1,457,445",-1.82,"1,711,883",12.88,"1,354,710",2.07,"59,252",-50.79,"51,139",-53.62,198,-50.00,176,-32.31,"86,884",22.32,"51,420",9.94
2012M11,"1,896,202",10.93,"1,433,130",-1.32,"1,733,996",11.51,"1,324,650",0.14,"81,698",-23.46,"68,388",-29.77,394,4.23,323,24.23,"80,114",69.41,"39,769",24.58
2012M12,"1,751,492",-4.85,"1,306,727",-16.06,"1,603,039",-1.09,"1,204,224",-13.57,"65,195",-36.34,"67,516",-27.43,246,43.86,221,53.47,"83,012",-29.33,"34,766",-50.48
2013M01,"1,750,031",18.88,"1,455,750",15.04,"1,634,611",21.71,"1,355,270",19.20,"58,031",-14.76,"59,451",-11.67,217,146.59,169,322.50,"57,172",-6.17,"36,758",-39.83
2013M02,"1,305,197",-23.30,"1,039,558",-26.78,"1,212,237",-21.87,"970,259",-24.42,"38,869",-55.62,"38,230",-52.50,175,-47.45,120,-51.61,"51,654",-17.09,"28,988",-47.54
2013M03,"1,717,861",-6.39,"1,355,920",-14.08,"1,601,481",-3.87,"1,269,062",-10.94,"50,985",-44.60,"51,031",-40.09,184,-72.16,125,-75.20,"65,211",-14.66,"35,694",-47.05
2013M04,"1,651,308",-6.68,"1,322,133",-12.05,"1,516,608",-4.26,"1,236,955",-8.97,"43,371",-37.44,"43,230",-36.43,178,-66.48,151,-69.43,"91,151",-21.16,"41,796",-44.92
2013M05,"1,776,470",-4.33,"1,407,442",-8.59,"1,660,373",-3.08,"1,297,351",-8.50,"84,627",27.79,"72,279",13.34,233,-35.10,228,-34.67,"29,225",-62.09,"36,076",-37.64
2013M06,"1,469,790",-14.08,"1,236,563",-14.54,"1,355,666",-13.69,"1,127,932",-16.02,"91,554",47.65,"79,346",34.97,224,-46.79,154,-49.84,"22,346",-71.20,"29,130",-35.06
2013M07,"1,805,159",0.88,"1,456,571",-2.35,"1,621,164",-1.41,"1,336,503",-3.49,"100,922",64.68,"95,830",65.40,244,16.19,183,-19.74,"82,829",-0.92,"24,051",-50.47
2013M08,"1,831,797",-7.38,"1,437,695",-6.58,"1,683,096",-7.15,"1,329,205",-6.03,"86,599",12.11,"90,021",31.01,489,46.41,411,77.16,"59,601",-31.77,"16,558",-70.18
2013M09,"1,746,698",0.33,"1,359,596",0.92,"1,613,290",-0.23,"1,249,336",-0.02,"95,576",50.83,"94,110",66.58,406,40.00,326,63.82,"37,426",-37.90,"15,824",-61.39
2013M10,"1,727,691",-7.02,"1,360,651",-6.64,"1,635,889",-4.44,"1,260,753",-6.94,"86,934",46.72,"93,575",82.98,488,146.46,393,123.30,"4,380",-94.96,"5,930",-88.47
2013M11,"1,803,581",-4.88,"1,376,075",-3.98,"1,665,623",-3.94,"1,275,542",-3.71,"105,270",28.85,"92,130",34.72,346,-12.18,237,-26.63,"30,330",-62.14,"6,666",-83.24
2013M12,"1,769,734",1.04,"1,391,258",6.47,"1,586,620",-1.02,"1,240,979",3.05,"143,659",120.35,"140,598",108.24,"1,123",356.50,485,119.46,"38,332",-53.82,"9,134",-73.73
2014M01,"1,855,123",6.01,"1,393,470",-4.28,"1,669,318",2.12,"1,263,823",-6.75,"151,579",161.20,"119,090",100.32,410,88.94,335,98.22,"33,816",-40.85,"10,222",-72.19
2014M02,"1,762,507",35.04,"1,237,481",19.04,"1,424,214",17.49,"1,123,177",15.76,"314,959",710.31,"100,854",163.81,341,94.86,236,96.67,"20,982",-59.38,"11,714",-59.59
2014M03,"1,687,883",-1.75,"1,364,316",0.62,"1,564,382",-2.32,"1,288,251",1.51,"75,187",47.47,"63,494",24.42,502,172.83,272,117.60,"47,812",-26.68,"12,299",-65.54
2014M04,"1,677,351",1.58,"1,429,165",8.10,"1,630,281",7.50,"1,368,082",10.60,"41,156",-5.11,"52,570",21.61,863,384.83,322,113.25,"5,051",-94.46,"8,191",-80.40
2014M05,"1,708,555",-3.82,"1,408,207",0.05,"1,597,251",-3.80,"1,320,070",1.75,"82,433",-2.59,"70,758",-2.10,492,111.16,408,78.95,"28,379",-2.89,"16,971",-52.96
2014M06,"1,714,803",16.67,"1,379,648",11.57,"1,569,548",15.78,"1,261,828",11.87,"128,681",40.55,"97,111",22.39,"1,082",383.04,765,396.75,"15,492",-30.67,"19,944",-31.53
2014M07,"1,602,233",-11.24,"1,469,038",0.86,"1,537,950",-5.13,"1,389,109",3.94,"40,314",-60.05,"69,783",-27.18,"1,217",398.77,767,319.13,"22,752",-72.53,"9,379",-61.00
