期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
2004M01,94.97,0.47,91.44,0.47,92.92,0.40,97.37,0.37,93.65,0.38,88.50,0.18
2004M02,93.52,-0.03,90.46,0.16,91.78,0.00,95.64,-0.26,92.46,-0.04,87.68,0.97
2004M03,93.39,-0.22,90.39,0.09,91.70,0.08,95.50,-0.26,92.36,0.00,87.61,1.26
2004M04,94.70,0.22,91.48,0.46,92.82,0.24,96.88,-0.08,93.51,0.17,88.86,1.32
2004M05,94.71,0.71,91.55,0.96,92.90,0.68,96.89,0.33,93.60,0.67,88.76,1.28
2004M06,94.94,1.31,91.77,1.54,92.91,1.25,96.84,0.95,93.62,1.28,89.04,2.29
2004M07,94.40,1.21,91.49,1.62,92.59,1.35,96.21,0.82,93.25,1.31,90.31,4.26
2004M08,94.11,0.93,91.26,1.35,92.30,1.11,95.84,0.58,92.95,1.04,89.86,3.26
2004M09,94.21,0.87,91.35,1.30,92.37,1.05,95.91,0.51,93.02,0.99,90.46,3.55
2004M10,94.68,0.96,91.80,1.44,92.96,1.05,96.58,0.43,93.61,0.95,90.82,3.04
2004M11,94.62,0.87,91.72,1.35,92.85,0.87,96.48,0.22,93.52,0.78,89.41,1.98
2004M12,94.59,1.00,91.80,1.54,92.94,1.10,96.45,0.39,93.59,0.98,89.48,2.08
2005M01,94.30,-0.71,91.56,0.13,92.75,-0.18,96.22,-1.18,93.37,-0.30,89.11,0.69
2005M02,95.20,1.80,92.36,2.10,93.61,1.99,97.21,1.64,94.20,1.88,89.81,2.43
2005M03,94.04,0.70,91.71,1.46,92.81,1.21,95.79,0.30,93.33,1.05,90.14,2.89
2005M04,94.94,0.25,92.47,1.08,93.59,0.83,96.73,-0.15,94.17,0.71,90.68,2.05
2005M05,95.00,0.31,92.40,0.93,93.52,0.67,96.79,-0.10,94.12,0.56,91.30,2.86
2005M06,95.21,0.28,92.53,0.83,93.46,0.59,96.77,-0.07,94.06,0.47,91.64,2.92
2005M07,94.80,0.42,92.23,0.81,93.14,0.59,96.32,0.11,93.74,0.53,92.92,2.89
2005M08,94.82,0.75,92.30,1.14,93.03,0.79,96.09,0.26,93.64,0.74,93.76,4.34
2005M09,94.97,0.81,92.32,1.06,93.03,0.71,96.22,0.32,93.64,0.67,93.91,3.81
2005M10,95.19,0.54,92.55,0.82,93.50,0.58,96.78,0.21,94.15,0.58,93.83,3.31
2005M11,95.15,0.56,92.45,0.80,93.46,0.66,96.81,0.34,94.13,0.65,92.12,3.03
2005M12,95.00,0.43,92.36,0.61,93.35,0.44,96.64,0.20,94.00,0.44,91.88,2.68
2006M01,95.73,1.52,93.02,1.59,94.03,1.38,97.40,1.23,94.65,1.37,92.00,3.24
2006M02,94.85,-0.37,92.42,0.06,93.31,-0.32,96.33,-0.91,93.91,-0.31,90.88,1.19
2006M03,94.87,0.88,92.45,0.81,93.31,0.54,96.31,0.54,93.94,0.65,90.56,0.47
