期間,上市公司-家數_原始值,上市公司-家數_年增率(%),上市公司-資本額_原始值,上市公司-資本額_年增率(%),上市公司-上市面值_原始值,上市公司-上市面值_年增率(%),上市公司-上市公司市值_原始值,上市公司-上市公司市值_年增率(%),上櫃公司-家數_原始值,上櫃公司-家數_年增率(%),上櫃公司-資本額_原始值,上櫃公司-資本額_年增率(%),上櫃公司-上櫃面值_原始值,上櫃公司-上櫃面值_年增率(%),上櫃公司-上櫃市值_原始值,上櫃公司-上櫃市值_年增率(%),其他公開發行公司-家數_原始值,其他公開發行公司-家數_年增率(%),其他公開發行公司-家數-興櫃股票_原始值,其他公開發行公司-家數-興櫃股票_年增率(%),其他公開發行公司-資本額_原始值,其他公開發行公司-資本額_年增率(%),其他公開發行公司-資本額-興櫃股票_原始值,其他公開發行公司-資本額-興櫃股票_年增率(%)
2000M04,471,4.67,"3,121.77",11.74,"3,106.04",12.04,"12,649.86",25.86,287,37.98,570.72,49.01,564.11,49.11,"2,192.26",126.75,"2,057",13.46,...,...,"1,574.11",3.96,...,...
2000M05,472,3.96,"3,184.53",13.20,"3,109.49",11.81,"12,270.46",23.24,294,34.86,579.65,37.70,568.10,36.74,"2,178.75",102.06,"2,102",15.56,...,...,"1,579.99",4.15,...,...
2000M06,472,3.74,"3,248.25",12.77,"3,161.67",13.33,"11,422.78",6.61,302,35.43,598.95,38.39,574.42,39.58,"2,038.59",83.12,"2,187",18.15,...,...,"1,615.14",6.09,...,...
2000M07,472,3.96,"3,361.81",12.34,"3,204.00",14.46,"11,150.50",14.31,307,35.84,637.59,39.90,604.69,44.37,"1,883.39",85.72,"2,351",18.50,...,...,"1,661.55",4.15,...,...
2000M08,471,3.74,"3,462.82",14.07,"3,274.81",13.81,"10,751.27",2.24,312,36.84,664.33,40.91,631.22,44.28,"1,967.99",72.06,"2,363",18.86,...,...,"1,656.39",3.87,...,...
2000M09,525,15.13,"3,528.50",15.25,"3,419.63",15.23,"9,251.93",-9.41,272,16.74,662.47,42.82,636.63,45.32,"1,577.13",44.04,"2,361",18.64,...,...,"1,630.59",1.35,...,...
2000M10,529,15.50,"3,651.50",18.24,"3,612.95",19.60,"9,468.17",-11.97,284,16.39,671.79,37.32,657.94,43.20,"1,305.78",8.70,"2,376",18.98,...,...,"1,545.73",-2.82,...,...
2000M11,530,14.97,"3,654.96",18.02,"3,620.97",18.55,"9,057.15",-15.55,295,17.53,682.26,37.10,667.53,38.38,"1,226.80",-4.79,"2,347",16.88,...,...,"1,536.97",-3.72,...,...
2000M12,531,14.94,"3,661.22",18.75,"3,630.05",18.76,"8,191.17",-30.60,300,13.64,677.19,31.81,667.29,32.15,"1,050.59",-28.46,"2,257",11.84,...,...,"1,518.63",-5.65,...,...
2001M01,529,14.01,"3,650.51",17.43,"3,617.79",17.29,"10,258.51",-26.65,303,10.58,677.36,30.47,667.71,30.17,"1,427.18",-20.66,"2,219",9.47,...,...,"1,505.73",-6.28,...,...
2001M02,528,14.04,"3,651.41",17.63,"3,618.39",17.36,"9,816.50",-27.56,312,11.43,685.54,28.70,672.52,27.71,"1,426.88",-24.59,"2,195",8.18,...,...,"1,497.09",-6.81,...,...
2001M03,530,12.77,"3,649.69",17.20,"3,619.60",16.80,"10,048.29",-29.35,337,19.08,696.47,23.06,684.01,22.28,"1,627.37",-30.07,"2,144",5.77,...,...,"1,477.99",-6.02,...,...
2001M04,533,13.16,"3,649.69",16.91,"3,635.34",17.04,"9,493.68",-24.95,345,20.21,701.67,22.94,692.62,22.78,"1,543.72",-29.58,"2,102",2.19,...,...,"1,464.55",-6.96,...,...
2001M05,538,13.98,"3,677.24",15.47,"3,612.01",16.16,"8,674.44",-29.31,356,21.09,731.04,26.12,704.52,24.01,"1,373.98",-36.94,"2,084",-0.86,...,...,"1,492.01",-5.57,...,...
2001M06,539,14.19,"3,777.85",16.30,"3,640.22",15.14,"7,959.98",-30.31,361,19.54,752.29,25.60,716.48,24.73,"1,395.82",-31.53,"2,083",-4.76,...,...,"1,489.80",-7.76,...,...
2001M07,539,14.19,"3,879.97",15.41,"3,709.41",15.77,"7,189.44",-35.52,364,18.57,772.07,21.09,736.13,21.74,"1,226.17",-34.90,"2,116",-10.00,...,...,"1,556.83",-6.30,...,...
2001M08,538,14.23,"3,930.90",13.52,"3,799.93",16.04,"7,677.98",-28.59,369,18.27,787.66,18.56,761.05,20.57,"1,213.01",-38.36,"2,102",-11.05,...,...,"1,611.62",-2.70,...,...
2001M09,587,11.81,"4,071.35",15.38,"3,991.56",16.72,"6,503.17",-29.71,323,18.75,687.78,3.82,675.23,6.06,828.96,-47.44,"2,085",-11.69,...,...,"1,605.38",-1.55,...,...
2001M10,587,10.96,"4,087.19",11.93,"4,033.54",11.64,"7,038.01",-25.67,326,14.79,688.32,2.46,681.55,3.59,826.56,-36.70,"2,074",-12.71,...,...,"1,601.61",3.62,...,...
2001M11,585,10.38,"4,071.83",11.41,"4,038.09",11.52,"8,106.18",-10.50,328,11.19,688.06,0.85,677.96,1.56,"1,017.12",-17.09,"2,060",-12.23,...,...,"1,597.52",3.94,...,...
2001M12,584,9.98,"4,096.43",11.89,"4,064.00",11.95,"10,247.60",25.11,333,11.00,681.44,0.63,674.70,1.11,"1,412.19",34.42,"1,953",-13.47,...,...,"1,517.98",-0.04,...,...
2002M01,587,10.96,"4,087.10",11.96,"4,060.56",12.24,"10,870.37",5.96,352,16.17,686.45,1.34,679.07,1.70,"1,592.75",11.60,"1,882",-15.19,...,...,"3,102.45",106.04,...,...
2002M02,591,11.93,"4,100.07",12.29,"4,069.13",12.46,"10,583.00",7.81,363,16.35,696.22,1.56,689.42,2.51,"1,615.35",13.21,"1,827",-16.77,...,...,"3,027.50",102.23,...,...
2002M03,595,12.26,"4,083.99",11.90,"4,053.04",11.97,"11,584.56",15.29,380,12.76,701.51,0.72,695.39,1.66,"1,783.88",9.62,"1,754",-18.19,...,...,"2,952.84",99.79,...,...
2002M04,593,11.26,"4,072.81",11.59,"4,042.27",11.19,"11,409.82",20.18,392,13.62,707.57,0.84,698.80,0.89,"1,765.20",14.35,"1,690",-19.60,...,...,"2,896.66",97.78,...,...
2002M05,593,10.22,"4,089.97",11.22,"4,059.19",12.38,"10,699.98",23.35,397,11.52,702.09,-3.96,695.63,-1.26,"1,603.29",16.69,"1,659",-20.39,...,...,"2,861.82",91.81,...,...
2002M06,593,10.02,"4,127.67",9.26,"4,062.30",11.59,"9,529.13",19.71,397,9.97,705.65,-6.20,696.37,-2.81,"1,431.07",2.53,"1,617",-22.37,...,...,"2,856.29",91.72,...,...
2002M07,595,10.39,"4,198.77",8.22,"4,090.86",10.28,"9,052.56",25.91,395,8.52,713.61,-7.57,703.33,-4.46,"1,390.04",13.36,"1,520",-28.17,...,...,"2,801.54",79.95,...,...
