期間,合計--美金(百萬美元)_原始值,合計--美金(百萬美元)_年增率(%),合計--歐元(百萬歐元)_原始值,合計--歐元(百萬歐元)_年增率(%),合計--日圓(億日圓)_原始值,合計--日圓(億日圓)_年增率(%),合計--其他(百萬美元)_原始值,合計--其他(百萬美元)_年增率(%),隔夜--美金(百萬美元)_原始值,隔夜--美金(百萬美元)_年增率(%),隔夜--歐元(百萬歐元)_原始值,隔夜--歐元(百萬歐元)_年增率(%),隔夜--日圓(億日圓)_原始值,隔夜--日圓(億日圓)_年增率(%),隔夜--其他(百萬美元)_原始值,隔夜--其他(百萬美元)_年增率(%),1~3週--美金(百萬美元)_原始值,1~3週--美金(百萬美元)_年增率(%),1~3週--歐元(百萬歐元)_原始值,1~3週--歐元(百萬歐元)_年增率(%),1~3週--日圓(億日圓)_原始值,1~3週--日圓(億日圓)_年增率(%),1~3週--其他(百萬美元)_原始值,1~3週--其他(百萬美元)_年增率(%),1~12個月--美金(百萬美元)_原始值,1~12個月--美金(百萬美元)_年增率(%),1~12個月--歐元(百萬歐元)_原始值,1~12個月--歐元(百萬歐元)_年增率(%),1~12個月--日圓(億日圓)_原始值,1~12個月--日圓(億日圓)_年增率(%),1~12個月--其他(百萬美元)_原始值,1~12個月--其他(百萬美元)_年增率(%),隔夜利率(%)--最高--美金_原始值,隔夜利率(%)--最高--美金_年增率(%),隔夜利率(%)--最高--歐元_原始值,隔夜利率(%)--最高--歐元_年增率(%),隔夜利率(%)--最高--日圓_原始值,隔夜利率(%)--最高--日圓_年增率(%),隔夜利率(%)--最低--美金_原始值,隔夜利率(%)--最低--美金_年增率(%),隔夜利率(%)--最低--歐元_原始值,隔夜利率(%)--最低--歐元_年增率(%),隔夜利率(%)--最低--日圓_原始值,隔夜利率(%)--最低--日圓_年增率(%)
2013M03,"143,610",-15.36,-,-,694,-13.25,"1,104",220.00,"131,873",-16.05,-,-,-,-,-,-,"2,333",3.60,-,-,6,-,-,-,"9,404",-9.06,-,-,688,-14.00,"1,104",220.00,0.65,-,-,-,-,-,0.09,-,-,-,-,-
2013M04,"123,636",-22.25,20,0.00,741,-2.76,"1,045",202.90,"112,473",-24.91,-,-,-,-,-,-,"1,256",68.36,-,-,-,-,-,-,"9,907",16.65,20,0.00,741,-2.76,"1,045",202.90,0.55,-,-,-,-,-,0.10,-,-,-,-,-
2013M05,"104,741",-39.45,21,-66.67,"1,345",86.55,"1,851",329.47,"92,555",-42.70,-,-,12,-,-,-,"1,527",-44.69,-,-,564,-,-,-,"10,659",22.77,21,-53.33,769,6.66,"1,851",329.47,3.20,-,-,-,0.20,-,0.12,-,-,-,0.15,-
2013M06,"108,052",-34.34,37,105.56,830,30.50,"1,559","2,542.37","95,747",-37.06,-,-,129,-,-,-,"1,725",-48.31,-,-,-,-,-,-,"10,580",16.30,37,825.00,701,10.22,"1,559","2,542.37",0.72,-,-,-,0.15,-,0.12,-,-,-,0.11,-
2013M07,"115,175",-29.19,46,"4,500.00","1,014",31.01,"1,773",410.95,"103,122",-31.62,-,-,188,"4,600.00",-,-,"1,881",-30.38,-,-,42,-,-,-,"10,172",11.35,46,"4,500.00",784,1.82,"1,773",410.95,0.33,-,-,-,0.16,-,0.10,-,-,-,0.10,-
2013M08,"95,866",-40.60,36,227.27,939,35.50,"1,359",579.50,"84,068",-43.01,-,-,90,-,-,-,"1,459",-64.83,-,-,133,-,-,-,"10,339",6.38,36,227.27,716,3.32,"1,359",579.50,0.36,-,-,-,0.16,-,0.09,-,-,-,0.10,-
2013M09,"85,754",-40.91,59,"1,080.00",843,21.29,"1,481",414.24,"73,418",-44.53,4,-,98,-,-,-,"2,100",-30.62,-,-,5,-,-,-,"10,236",4.94,55,"1,000.00",740,6.47,"1,481",414.24,0.50,-,0.18,-,0.17,-,0.08,-,0.18,-,0.12,-
2013M10,"101,565",-24.58,65,550.00,"2,250",212.50,"1,509",380.57,"87,825",-28.72,-,-,995,-,-,-,"2,850",65.89,-,-,26,-,-,-,"10,890",11.74,65,550.00,"1,229",70.69,"1,509",380.57,0.51,-,-,-,0.28,-,0.08,-,-,-,0.07,-
2013M11,"90,856",-29.07,56,833.33,"1,813",160.86,"1,209",680.00,"79,238",-32.39,-,-,46,-,-,-,"2,316",-3.34,-,-,-,-,-,-,"9,302",9.44,56,833.33,"1,767",154.24,"1,209",680.00,0.40,-,-,-,0.14,-,0.09,-,-,-,0.08,-
2013M12,"113,990",-16.35,270,"1,185.71","1,300",85.98,"1,667",910.30,"100,853",-18.44,-,-,80,-,-,-,"2,229",-40.03,-,-,7,-30.00,-,-,"10,908",22.55,270,"26,900.00","1,212",75.91,"1,667",910.30,1.15,-,-,-,0.23,-,0.08,-,-,-,0.12,-
2014M01,"118,390",-24.11,143,"1,942.86","1,029",28.46,"1,887",628.57,"105,137",-27.22,28,-,88,-,-,-,"2,729",15.68,-,-,-,-,-,-,"10,524",14.62,115,"1,542.86",941,23.49,"1,887",628.57,1.35,-,0.20,-,0.25,-,0.08,-,0.15,-,0.08,-
2014M02,"110,313",16.41,95,"4,650.00",915,67.58,"1,553",218.89,"99,956",19.32,-,-,72,-,-,-,748,-79.96,-,-,6,-,-,-,"9,609",32.37,95,"4,650.00",837,53.30,"1,553",218.89,1.05,-,-,-,0.20,-,0.09,-,-,-,0.12,-
2014M03,"128,257",-10.69,128,-,"1,259",81.41,"2,359",113.68,"116,212",-11.88,5,-,372,-,-,-,"3,066",31.42,8,-,54,800.00,-,-,"8,979",-4.52,115,-,833,21.08,"2,359",113.68,1.48,-,0.30,-,0.17,-,0.08,-,0.30,-,0.13,-
2014M04,"126,606",2.40,115,475.00,"1,160",56.55,"2,444",133.88,"112,110",-0.32,-,-,91,-,-,-,"2,751",119.03,5,-,2,-,-,-,"11,745",18.55,110,450.00,"1,067",43.99,"2,444",133.88,1.15,-,-,-,0.15,-,0.09,-,-,-,0.15,-
2014M05,"116,211",10.95,129,514.29,887,-34.05,"2,509",35.55,"100,605",8.70,9,-,78,550.00,-,-,"5,536",262.54,20,-,43,-92.38,-,-,"10,070",-5.53,100,376.19,766,-0.39,"2,509",35.55,1.01,-,0.35,-,0.20,-,0.08,-,0.20,-,0.12,-
2014M06,"116,676",7.98,202,445.95,962,15.90,"2,563",64.40,"101,154",5.65,-,-,289,124.03,-,-,"5,662",228.23,-,-,39,-,-,-,"9,861",-6.80,202,445.95,634,-9.56,"2,563",64.40,0.60,-,-,-,0.50,-,0.08,-,-,-,0.12,-
2014M07,"124,438",8.04,60,30.43,966,-4.73,"3,513",98.14,"107,285",4.04,-,-,166,-11.70,-,-,"7,590",303.51,7,-,113,169.05,-,-,"9,563",-5.99,53,15.22,687,-12.37,"3,513",98.14,0.33,...,-,...,0.14,...,0.07,...,-,...,0.12,...
