期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%)
1998M10,"1,172,533",-8.29,"1,134,047",1.30,"2,573,347",38.47,0,--,0,-100.00,0,-100.00,"1,066,770",8.95,"977,706",13.50,"1,923,766",57.19,"12,446",-85.97,"33,759",-55.47,"68,113",-56.28,"93,317",-55.70,"122,582",-28.08,"581,468",24.16
1998M11,"1,011,238",-5.78,"1,108,211",1.01,"2,476,375",34.98,0,--,0,-100.00,0,--,"873,006",12.00,"959,794",18.65,"1,836,978",53.80,"10,080",-86.46,"28,876",-67.99,"49,318",-64.77,"128,152",-41.58,"119,541",-36.24,"590,079",17.97
1998M12,"1,149,940",-20.49,"1,240,333",0.13,"2,385,981",16.83,"55,000",175.00,0,--,"55,000",175.00,"1,007,164",-7.65,"1,079,634",9.23,"1,764,508",36.10,"11,072",-84.85,"23,241",-71.37,"37,148",-71.84,"76,704",-70.80,"137,458",-18.69,"529,325",-10.86
1999M01,"967,569",-3.08,"1,009,766",-8.76,"2,343,784",21.20,"40,000",--,0,--,"95,000",375.00,"849,251",0.64,"906,147",-3.36,"1,707,612",41.98,"12,338",-79.49,"15,409",-76.13,"34,077",-73.28,"65,980",-30.04,"88,210",-15.62,"507,095",-13.11
1999M02,"562,099",-51.59,"576,023",-40.42,"2,329,860",9.47,0,--,0,-100.00,"95,000",496.36,"460,666",-51.40,"464,589",-37.72,"1,703,688",21.29,"5,077",-91.19,"6,486",-86.79,"32,668",-75.99,"96,356",-38.06,"104,948",-37.38,"498,504",-12.78
1999M03,"1,014,115",-26.01,"1,029,468",-19.50,"2,314,508",4.26,"35,000",--,"30,000",--,"100,000",527.75,"898,447",-19.42,"869,710",-12.36,"1,732,425",13.43,"6,678",-90.58,"11,477",-83.93,"27,870",-79.44,"73,990",-59.93,"118,281",-45.00,"454,213",-16.07
1999M04,"940,675",-23.68,"981,850",-15.63,"2,273,334",-0.67,"30,000",--,"25,000",--,"105,000",559.13,"851,345",-16.78,"849,123",-11.99,"1,734,648",9.41,"6,153",-90.19,"10,289",-84.57,"23,734",-81.97,"53,177",-63.79,"97,438",-26.31,"409,952",-26.24
1999M05,"880,601",-16.53,"976,636",-8.37,"2,177,300",-4.42,0,--,"20,000",25.55,"85,000",--,"806,715",-7.45,"829,621",0.65,"1,711,742",4.84,"5,196",-89.92,"10,544",-81.46,"18,386",-85.44,"68,690",-47.87,"116,471",-30.99,"362,172",-30.19
1999M06,"913,931",-19.42,"963,883",-14.01,"2,127,349",-7.15,"40,000",--,"20,000",--,"105,000",--,"798,792",-9.37,"856,837",-5.35,"1,653,698",2.78,"4,593",-89.87,"6,463",-88.49,"16,516",-85.70,"70,546",-66.01,"80,583",-49.50,"352,135",-37.87
1999M07,"891,844",-24.45,"935,203",-13.13,"2,083,991",-12.99,"50,000",--,"25,000",--,"130,000",--,"773,416",-19.91,"818,051",-7.61,"1,609,063",-4.74,"5,310",-88.05,"6,048",-85.68,"15,779",-86.59,"63,118",-62.95,"86,104",-42.16,"329,149",-44.05
1999M08,"812,969",-25.70,"883,196",-14.02,"2,013,765",-18.21,0,--,"10,000",--,"120,000",--,"744,886",-18.91,"779,437",-11.09,"1,574,513",-9.05,"3,956",-90.16,"4,467",-90.51,"15,267",-86.23,"64,127",-52.65,"89,292",-13.76,"303,985",-50.98
1999M09,"904,313",-20.04,"922,367",-12.85,"1,995,710",-21.27,"30,000",--,"30,000",--,"120,000",--,"788,465",-19.87,"806,211",-8.43,"1,556,767",-15.15,"3,609",-81.96,"4,335",-89.53,"14,541",-83.74,"82,239",-35.26,"81,821",-40.05,"304,402",-50.16
1999M10,"896,844",-23.51,"909,247",-19.82,"1,983,307",-22.93,0,--,"20,000",--,"100,000",--,"799,333",-25.07,"813,649",-16.78,"1,542,451",-19.82,"4,238",-65.95,"4,777",-85.85,"14,002",-79.44,"93,273",-0.05,"70,821",-42.23,"326,854",-43.79
1999M11,"930,213",-8.01,"911,399",-17.76,"2,002,121",-19.15,"30,000",--,"25,000",--,"105,000",--,"813,541",-6.81,"820,213",-14.54,"1,535,779",-16.40,"4,079",-59.53,"4,747",-83.56,"13,334",-72.96,"82,593",-35.55,"61,439",-48.60,"348,008",-41.02
1999M12,"961,353",-16.40,"930,169",-25.01,"2,033,305",-14.78,"60,000",9.09,"15,000",--,"150,000",172.73,"805,783",-19.99,"850,224",-21.25,"1,491,338",-15.48,"4,789",-56.75,"4,936",-78.76,"13,187",-64.50,"90,781",18.35,"60,009",-56.34,"378,780",-28.44
2000M01,"895,045",-7.50,"804,297",-20.35,"2,124,054",-9.38,"30,000",-25.00,"30,000",--,"150,000",57.89,"803,356",-5.40,"700,643",-22.68,"1,594,052",-6.65,"3,943",-68.04,"4,276",-72.25,"12,854",-62.28,"57,746",-12.48,"69,378",-21.35,"367,148",-27.60
2000M02,"631,529",12.35,"598,026",3.82,"2,157,558",-7.40,0,--,0,--,"150,000",57.89,"585,607",27.12,"544,268",17.15,"1,635,391",-4.01,"3,067",-39.59,"4,025",-37.94,"11,897",-63.58,"42,855",-55.52,"49,733",-52.61,"360,270",-27.73
2000M03,"914,771",-9.80,"999,632",-2.90,"2,072,696",-10.45,0,-100.00,"30,000",0.00,"120,000",20.00,"846,323",-5.80,"868,929",-0.09,"1,612,784",-6.91,"4,647",-30.41,"4,073",-64.51,"12,471",-55.25,"63,801",-13.77,"96,630",-18.30,"327,441",-27.91
2000M04,"839,988",-10.70,"803,988",-18.11,"2,108,697",-7.24,"20,000",-33.33,0,-100.00,"140,000",33.33,"724,551",-14.89,"723,614",-14.78,"1,613,722",-6.97,"3,771",-38.71,"3,666",-64.37,"12,576",-47.01,"91,666",72.38,"76,708",-21.28,"342,399",-16.48
2000M05,"776,954",-11.77,"840,484",-13.94,"2,045,167",-6.07,0,--,"30,000",50.00,"110,000",29.41,"701,317",-13.07,"741,372",-10.64,"1,573,667",-8.07,"4,023",-22.58,"4,480",-57.51,"12,119",-34.09,"71,614",4.26,"64,632",-44.51,"349,381",-3.53
2000M06,"867,396",-5.09,"935,009",-3.00,"1,977,554",-7.04,"20,000",-50.00,"30,000",50.00,"100,000",-4.76,"743,460",-6.93,"824,288",-3.80,"1,492,839",-9.73,"4,004",-12.82,"4,426",-31.52,"11,696",-29.18,"99,932",41.66,"76,295",-5.32,"373,019",5.93
2000M07,"866,651",-2.82,"909,835",-2.71,"1,934,371",-7.18,0,-100.00,"30,000",20.00,"70,000",-46.15,"774,376",0.12,"789,815",-3.45,"1,477,400",-8.18,"3,981",-25.03,"4,320",-28.57,"11,357",-28.02,"88,294",39.89,"85,700",-0.47,"375,614",14.12
2000M08,"910,123",11.95,"902,382",2.17,"1,942,112",-3.56,0,--,"30,000",200.00,"40,000",-66.67,"794,134",6.61,"791,326",1.53,"1,480,208",-5.99,"4,000",1.11,"4,366",-2.26,"10,991",-28.01,"111,989",74.64,"76,690",-14.11,"410,913",35.18
2000M09,"883,441",-2.31,"962,365",4.34,"1,863,189",-6.64,0,-100.00,"20,000",-33.33,"20,000",-83.33,"786,942",-0.19,"837,242",3.85,"1,429,909",-8.15,"3,474",-3.74,"3,741",-13.70,"10,724",-26.25,"93,025",13.12,"101,382",23.91,"402,556",32.24
2000M10,"894,833",-0.22,"953,594",4.88,"1,804,429",-9.02,"25,000",--,0,-100.00,"45,000",-55.00,"728,659",-8.84,"822,560",1.10,"1,336,008",-13.38,"3,714",-12.36,"4,146",-13.21,"10,293",-26.49,"137,460",47.37,"126,888",79.17,"413,128",26.40
2000M11,"911,016",-2.06,"899,270",-1.33,"1,816,174",-9.29,0,-100.00,0,-100.00,"45,000",-57.14,"774,503",-4.80,"797,746",-2.74,"1,312,764",-14.52,"3,865",-5.25,"3,692",-22.22,"10,466",-21.51,"132,648",60.60,"97,832",59.23,"447,944",28.72
2000M12,"932,873",-2.96,"944,027",1.49,"1,805,018",-11.23,0,-100.00,0,-100.00,"45,000",-70.00,"769,462",-4.51,"825,958",-2.85,"1,256,268",-15.76,"3,684",-23.07,"3,938",-20.22,"10,211",-22.57,"159,727",75.95,"114,131",90.19,"493,539",30.30
2001M01,"653,296",-27.01,"621,075",-22.78,"1,837,239",-13.50,0,-100.00,0,-100.00,"45,000",-70.00,"547,357",-31.87,"527,301",-24.74,"1,276,324",-19.93,"2,792",-29.19,"4,021",-5.96,"8,982",-30.12,"103,147",78.62,"89,753",29.37,"506,933",38.07
2001M02,"728,237",15.31,"695,194",16.25,"1,870,282",-13.31,0,--,"20,000",--,"25,000",-83.33,"640,219",9.33,"600,527",10.34,"1,316,016",-19.53,"3,126",1.92,"2,912",-27.65,"9,196",-22.70,"84,892",98.09,"71,755",44.28,"520,070",44.36
2001M03,"903,800",-1.20,"956,714",-4.29,"1,817,367",-12.32,"20,000",--,"25,000",-16.67,"20,000",-83.33,"789,471",-6.72,"787,989",-9.31,"1,317,498",-18.31,"3,460",-25.54,"3,487",-14.39,"9,168",-26.49,"90,869",42.43,"140,238",45.13,"470,701",43.75
2001M04,"805,912",-4.06,"854,044",6.23,"1,769,234",-16.10,0,-100.00,0,--,"20,000",-85.71,"713,963",-1.46,"722,268",-0.19,"1,309,192",-18.87,"2,951",-21.74,"3,222",-12.11,"8,897",-29.25,"88,998",-2.91,"128,554",67.59,"431,145",25.92
