期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%)
2004M02,"2,256,440",35.02,"1,775,933",32.71,"1,755,941",22.40,"1,462,990",25.67,"453,130",163.34,"270,676",166.08,"2,789",-32.49,"2,021",-39.85,"44,580",-26.18,"40,246",-41.65
2004M03,"2,493,576",17.01,"2,116,270",22.39,"1,976,281",7.19,"1,705,796",12.40,"455,648",127.99,"354,311",189.64,"2,580",-44.36,"2,217",-44.80,"59,067",-28.60,"53,946",-36.60
2004M04,"2,261,772",0.62,"1,909,970",7.37,"1,633,653",-12.43,"1,478,766",-4.72,"570,775",109.49,"378,020",187.91,"2,818",-41.93,"2,091",-44.40,"54,526",-48.03,"51,093",-44.36
2004M05,"2,109,507",-5.17,"1,668,038",-1.78,"1,536,266",-14.09,"1,342,693",-7.33,"485,972",43.47,"249,713",52.40,"1,951",-44.29,"1,551",-50.67,"85,318",-9.14,"74,081",-10.22
2004M06,"2,063,506",-0.16,"1,790,519",6.16,"1,646,023",-2.77,"1,445,474",4.63,"348,646",18.30,"281,572",20.33,"1,893",-44.14,"1,590",-44.44,"66,944",-11.67,"61,883",-9.43
2004M07,"2,339,505",-1.05,"1,881,476",-0.89,"1,738,725",-10.65,"1,514,313",-5.60,"513,402",53.46,"295,351",42.08,"2,160",-48.91,"1,537",-60.32,"85,218",7.09,"70,275",-14.73
2004M08,"2,465,896",7.14,"1,889,931",4.30,"1,771,967",-5.24,"1,484,685",-2.40,"562,537",47.65,"295,559",19.90,"1,373",-65.32,879,-72.96,"130,019",178.96,"108,808",164.68
2004M09,"2,202,002",-0.16,"1,866,186",5.00,"1,720,115",-5.61,"1,473,742",-1.64,"362,337",20.84,"282,528",32.18,"1,001",-70.88,949,-64.56,"118,549",48.40,"108,967",73.97
2004M10,"2,106,239",-4.77,"1,723,095",-11.26,"1,558,015",-12.50,"1,341,494",-14.02,"412,818",8.53,"255,770",-21.98,"2,831",-17.99,"2,519",-11.58,"132,575",180.29,"123,312",143.30
2004M11,"2,195,786",1.70,"1,855,661",-1.40,"1,620,193",-7.30,"1,409,644",-7.47,"409,299",19.20,"296,545",-3.58,"1,307",-61.68,873,-69.35,"164,987",156.23,"148,599",208.09
2004M12,"2,574,273",12.96,"1,962,796",0.17,"1,704,723",-4.64,"1,473,600",-5.97,"671,067",55.16,"299,977",-10.33,"1,295",-66.14,974,-70.38,"197,188",259.22,"188,245",245.58
2005M01,"2,786,488",48.82,"1,863,157",28.68,"1,701,618",23.66,"1,408,612",17.04,"891,894",100.53,"275,100",40.04,"1,582",-38.37,"1,157",-48.12,"191,394",290.11,"178,288",289.63
2005M02,"1,969,645",-12.71,"1,340,958",-24.49,"1,242,792",-29.22,"1,059,549",-27.58,"631,338",39.33,"185,963",-31.30,"1,223",-56.15,"1,106",-45.27,"94,292",111.51,"94,340",134.41
2005M03,"2,793,835",12.04,"2,065,087",-2.42,"1,951,933",-1.23,"1,649,464",-3.30,"672,068",47.50,"244,796",-30.91,"1,580",-38.76,"1,230",-44.52,"168,254",184.85,"169,597",214.38
2005M04,"2,583,777",14.24,"1,849,066",-3.19,"1,753,958",7.36,"1,457,247",-1.46,"625,127",9.52,"217,328",-42.51,"1,257",-55.39,"1,050",-49.78,"203,435",273.10,"173,441",239.46
2005M05,"2,505,625",18.78,"1,958,799",17.43,"1,779,644",15.84,"1,512,177",12.62,"447,792",-7.86,"206,531",-17.29,"1,119",-42.64,956,-38.36,"277,070",224.75,"239,135",222.80
2005M06,"2,394,538",16.04,"1,924,486",7.48,"1,722,502",4.65,"1,482,532",2.56,"450,875",29.32,"220,157",-21.81,"1,324",-30.06,945,-40.57,"219,837",228.39,"220,852",256.89
2005M07,"2,763,568",18.13,"1,985,490",5.53,"1,829,135",5.20,"1,536,547",1.47,"690,128",34.42,"237,372",-19.63,"1,105",-48.84,987,-35.78,"243,200",185.39,"210,584",199.66
2005M08,"2,666,549",8.14,"2,054,172",8.69,"1,979,403",11.71,"1,640,350",10.48,"468,514",-16.71,"224,060",-24.19,"1,159",-15.59,994,13.08,"217,473",67.26,"188,768",73.49
2005M09,"2,435,031",10.58,"1,911,131",2.41,"1,916,866",11.44,"1,608,253",9.13,"384,758",6.19,"187,510",-33.63,"1,586",58.44,"1,160",22.23,"131,821",11.20,"114,208",4.81
2005M10,"2,336,247",10.92,"1,812,116",5.17,"1,799,185",15.48,"1,506,649",12.31,"418,760",1.44,"195,646",-23.51,"1,760",-37.83,972,-61.41,"116,542",-12.09,"108,849",-11.73
2005M11,"2,282,004",3.93,"1,758,040",-5.26,"1,786,742",10.28,"1,508,977",7.05,"342,466",-16.33,"153,095",-48.37,"1,339",2.45,997,14.20,"151,457",-8.20,"94,971",-36.09
2005M12,"2,567,322",-0.27,"1,983,960",1.08,"2,043,290",19.86,"1,709,917",16.04,"413,442",-38.39,"172,049",-42.65,"1,083",-16.37,895,-8.11,"109,507",-44.47,"101,099",-46.29
2006M01,"2,807,676",0.76,"1,885,124",1.18,"1,943,082",14.19,"1,607,545",14.12,"758,775",-14.93,"182,818",-33.54,"1,196",-24.40,947,-18.15,"104,623",-45.34,"93,814",-47.38
2006M02,"2,017,214",2.42,"1,505,694",12.28,"1,566,680",26.06,"1,290,419",21.79,"358,874",-43.16,"136,314",-26.70,"1,098",-10.22,778,-29.66,"90,562",-3.96,"78,183",-17.13
2006M03,"2,543,387",-8.96,"2,007,518",-2.79,"1,995,499",2.23,"1,732,484",5.03,"425,218",-36.73,"173,557",-29.10,"1,394",-11.77,"1,319",7.24,"121,276",-27.92,"100,158",-40.94
2006M04,"2,485,102",-3.82,"1,721,374",-6.91,"1,723,437",-1.74,"1,438,488",-1.29,"626,044",0.15,"167,505",-22.93,"1,402",11.54,"1,010",-3.81,"134,219",-34.02,"114,371",-34.06
2006M05,"2,336,602",-6.75,"1,918,984",-2.03,"1,916,164",7.67,"1,636,323",8.21,"298,681",-33.30,"177,948",-13.84,"1,325",18.41,"1,012",5.86,"120,432",-56.53,"103,701",-56.63
2006M06,"2,302,513",-3.84,"1,946,276",1.13,"1,860,795",8.03,"1,649,703",11.28,"317,640",-29.55,"187,519",-14.82,"1,155",-12.76,935,-1.06,"122,923",-44.08,"108,119",-51.04
2006M07,"2,402,585",-13.06,"1,901,064",-4.25,"1,772,638",-3.09,"1,597,016",3.94,"514,723",-25.42,"209,784",-11.62,"1,247",12.85,"1,026",3.95,"113,977",-53.13,"93,238",-55.72
2006M08,"2,309,107",-13.40,"1,948,421",-5.15,"1,840,211",-7.03,"1,608,754",-1.93,"325,003",-30.63,"211,626",-5.55,"1,766",52.37,"1,350",35.81,"142,127",-34.65,"126,691",-32.89
2006M09,"2,105,108",-13.55,"1,714,814",-10.27,"1,691,407",-11.76,"1,429,800",-11.10,"288,271",-25.08,"183,338",-2.22,"1,262",-20.43,"1,025",-11.64,"124,168",-5.81,"100,651",-11.87
2006M10,"1,987,434",-14.93,"1,594,997",-11.98,"1,468,991",-18.35,"1,336,201",-11.31,"428,347",2.29,"189,800",-2.99,"1,363",-22.56,"1,265",30.14,"88,733",-23.86,"67,731",-37.78
2006M11,"1,846,247",-19.10,"1,605,863",-8.66,"1,544,467",-13.56,"1,380,875",-8.49,"223,941",-34.61,"168,238",9.89,"1,736",29.65,"1,342",34.60,"76,103",-49.75,"55,408",-41.66
2006M12,"1,995,878",-22.26,"1,662,330",-16.21,"1,698,048",-16.90,"1,449,958",-15.20,"239,502",-42.07,"166,210",-3.39,"1,567",44.69,"1,180",31.84,"56,761",-48.17,"44,982",-55.51
