期間,函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%)
2012M07,"732,450",6.49,"310,212",21.99,"422,238",-2.61,"8,935",17.58,"6,600",19.89,"2,335",11.51,"40,458",7.59,"24,263",16.91,"16,195",-3.89
2012M08,"618,016",0.22,"316,598",10.09,"301,418",-8.40,"8,753",2.14,"6,646",2.70,"2,107",0.38,"38,006",3.43,"24,287",7.05,"13,719",-2.43
2012M09,"598,404",0.71,"305,416",13.89,"292,988",-10.14,"8,506",3.55,"6,244",2.65,"2,262",6.15,"41,426",8.42,"26,048",11.23,"15,378",3.98
2012M10,"685,666",8.40,"378,242",32.72,"307,424",-11.55,"9,132",10.53,"6,755",11.05,"2,377",9.09,"38,306",14.77,"25,510",28.21,"12,796",-5.07
2012M11,"744,559",6.30,"351,186",17.44,"393,373",-2.01,"9,175",-4.54,"6,732",-4.54,"2,443",-4.53,...,...,...,...,...,...
2012M12,"843,093",-21.70,"444,774",-14.91,"398,319",-28.12,"10,680",-10.87,"7,960",-11.98,"2,720",-7.45,...,...,...,...,...,...
2013M01,"1,016,695",4.33,"400,626",3.68,"616,069",4.75,"13,785",40.63,"10,031",38.00,"3,754",48.20,...,...,...,...,...,...
2013M02,"543,810",-1.95,"253,086",-7.33,"290,724",3.28,"5,564",-32.31,"4,181",-33.68,"1,383",-27.82,...,...,...,...,...,...
2013M03,"668,162",-12.32,"317,448",-9.30,"350,714",-14.88,"8,539",-11.56,"6,077",-14.83,"2,462",-2.30,...,...,...,...,...,...
2013M04,"661,458",8.43,"332,119",18.76,"329,339",-0.32,"7,989",-2.82,"6,049",-4.67,"1,940",3.41,...,...,...,...,...,...
2013M05,"725,423",-0.37,"333,009",-3.76,"392,414",2.69,"8,681",-10.52,"6,489",-11.27,"2,192",-8.25,...,...,...,...,...,...
2013M06,"632,592",0.70,"324,693",12.54,"307,899",-9.36,"8,264",-12.46,"6,461",-14.77,"1,803",-3.01,...,...,...,...,...,...
2013M07,"698,214",-4.67,"359,031",15.74,"339,183",-19.67,"7,789",-12.83,"5,627",-14.74,"2,162",-7.41,...,...,...,...,...,...
2013M08,"668,876",8.23,"329,631",4.12,"339,245",12.55,"7,117",-18.69,"5,089",-23.43,"2,028",-3.75,...,...,...,...,...,...
2013M09,"647,894",8.27,"300,018",-1.77,"347,876",18.73,"8,070",-5.13,"5,601",-10.30,"2,469",9.15,...,...,...,...,...,...
2013M10,"766,056",11.72,"427,535",13.03,"338,521",10.12,"8,236",-9.81,"6,084",-9.93,"2,152",-9.47,...,...,...,...,...,...
2013M11,"632,325",-15.07,"340,565",-3.02,"291,760",-25.83,"8,325",-9.26,"6,081",-9.67,"2,244",-8.15,...,...,...,...,...,...
2013M12,"921,370",9.28,"463,670",4.25,"457,700",14.91,"9,651",-9.63,"7,191",-9.66,"2,460",-9.56,...,...,...,...,...,...
2014M01,"856,003",-15.81,"445,032",11.08,"410,971",-33.29,"11,531",-16.35,"7,773",-22.51,"3,758",0.11,...,...,...,...,...,...
2014M02,"645,061",18.62,"302,919",19.69,"342,142",17.69,"6,385",14.76,"4,791",14.59,"1,594",15.26,...,...,...,...,...,...
2014M03,"656,937",-1.68,"327,324",3.11,"329,613",-6.02,"7,795",-8.71,"5,521",-9.15,"2,274",-7.64,...,...,...,...,...,...
2014M04,"697,457",5.44,"376,463",13.35,"320,994",-2.53,"7,337",-8.16,"5,360",-11.39,"1,977",1.91,...,...,...,...,...,...
2014M05,"718,372",-0.97,"398,268",19.60,"320,104",-18.43,"7,190",-17.18,"5,399",-16.80,"1,791",-18.29,...,...,...,...,...,...
2014M06,"668,639",5.70,"345,885",6.53,"322,754",4.82,"8,232",-0.39,"6,265",-3.03,"1,967",9.10,...,...,...,...,...,...
2014M07,"695,053",-0.45,"384,674",7.14,"310,379",-8.49,"7,732",-0.73,"5,547",-1.42,"2,185",1.06,...,...,...,...,...,...
