期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),換匯_原始值,換匯_年增率(%),換匯_原始值,換匯_年增率(%),換匯換利_原始值,換匯換利_年增率(%),換匯換利_原始值,換匯換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2005M03,"701,908",12.83,"155,151",-41.24,"1,150,795",123.19,"788,542",-15.91,"110,073",165.02,0,--,"74,980",-31.46,"357,086",-7.51,"81,201",-20.39,"340,773",-11.86,"2,118,957",52.37,"1,641,552",-16.86
2005M04,"589,951",-3.45,"164,733",-52.74,"965,670",59.55,"788,273",-28.30,"72,839",39.83,214,--,"72,577",-41.86,"255,221",-26.09,"69,241",-45.53,"249,172",-26.52,"1,770,278",16.44,"1,457,613",-31.65
2005M05,"504,370",-1.39,"165,218",-36.08,"828,490",16.79,"880,655",-29.92,"92,366",104.06,146,-12.57,"60,613",-27.58,"274,576",-23.05,"52,915",-33.58,"282,545",-18.66,"1,538,754",7.64,"1,603,140",-27.77
2005M06,"619,533",33.98,"201,354",-23.42,"999,530",32.48,"1,016,780",-6.74,"120,449",147.63,"4,264",--,"49,428",-36.32,"246,588",-26.65,"42,607",-39.62,"243,805",-26.37,"1,831,547",29.56,"1,712,791",-15.23
2005M07,"602,939",17.92,"245,585",-2.56,"1,005,209",31.27,"975,306",10.97,"86,797",201.00,"1,620",--,"63,307",-30.38,"286,416",-14.59,"57,430",-34.22,"278,743",-14.34,"1,815,682",22.34,"1,787,670",-0.22
2005M08,"623,146",56.13,"148,040",-36.33,"1,031,427",37.09,"1,133,166",38.45,"134,254",338.47,"3,735","2,058.96","80,423",13.48,"363,118",18.96,"83,136",36.48,"359,073",24.73,"1,952,386",48.60,"2,007,132",22.07
2005M09,"630,566",12.68,"188,629",-26.24,"981,306",20.34,"1,098,543",52.26,"138,775",190.25,"1,151",-12.14,"73,299",-21.25,"267,287",-20.74,"71,816",-23.36,"257,264",-21.42,"1,895,762",17.77,"1,812,874",10.33
2005M10,"639,909",33.04,"194,894",-14.63,"1,110,300",42.92,"1,097,995",51.26,"70,130",45.23,465,--,"43,521",-47.39,"421,447",-2.47,"39,480",-56.18,"414,600",-5.32,"1,903,340",28.69,"2,129,401",16.73
2005M11,"608,972",-6.57,"225,376",-24.07,"1,005,241",18.76,"1,045,290",39.47,"165,266",60.18,0,--,"34,985",-76.54,"499,598",41.93,"31,652",-77.21,"494,972",40.99,"1,846,116",-2.29,"2,265,236",29.49
2005M12,"789,565",42.87,"348,727",0.71,"947,355",6.31,"1,411,984",54.41,"126,264",75.70,"16,303",--,"48,799",-61.60,"642,823",40.20,"33,867",-73.03,"640,352",46.49,"1,945,850",10.04,"3,060,189",41.92
2006M01,"723,084",43.20,"265,878",6.92,"858,467",-0.94,"1,118,835",43.03,"106,683",40.87,158,--,"57,090",-7.45,"427,222",34.33,"51,726",-22.64,"421,354",28.22,"1,797,050",14.04,"2,233,447",33.14
2006M02,"628,316",34.63,"399,088",129.44,"777,368",11.95,"1,155,038",114.40,"160,571",149.65,"5,527",--,"30,525",-0.37,"274,319",36.12,"33,879",32.90,"268,853",30.44,"1,630,659",27.24,"2,102,825",87.70
