期間,金融業拆款,商業本票--初級市場--1-30天,商業本票--初級市場--31-90天,商業本票--初級市場--91-180天,商業本票--次級市場--1-30天,商業本票--次級市場--31-90天,商業本票--次級市場--91-180天,可轉讓定期存單--次級市場--1-90天,可轉讓定期存單--次級市場--91-180天,銀行承兌匯票--次級市場--1-30天,銀行承兌匯票--次級市場--31-90天,銀行承兌匯票--次級市場--91-180天,國庫券--初級市場--1-91天,國庫券--初級市場--92-182天,國庫券--初級市場--183-364天,中央銀行定期存單--初級市場--1-30天,中央銀行定期存單--初級市場--31-91天,中央銀行定期存單--初級市場--92-182天,公債附條件交易利率--次級市場--1-30天,公債附條件交易利率--次級市場--31-90天,公債附條件交易利率--次級市場--91-180天
1998M03,6.931,7.42,7.59,7.50,7.28,7.51,7.57,7.34,7.57,7.30,7.51,7.60,-,-,-,-,-,-,6.74,5.99,6.75
1998M04,6.800,7.12,7.27,7.15,7.01,7.15,7.26,7.07,7.13,6.99,7.18,7.28,-,-,-,-,-,-,6.17,6.19,6.02
1998M05,6.877,7.01,7.06,7.00,6.94,7.00,7.05,6.93,7.04,6.91,7.00,7.05,-,-,-,-,-,-,6.15,6.12,6.22
1998M06,6.837,7.18,7.24,7.11,7.02,7.08,7.12,7.04,7.08,7.03,7.05,7.14,-,-,-,6.66,-,-,6.89,6.55,6.44
1998M07,6.748,7.00,7.08,7.02,6.88,6.95,7.06,6.95,7.02,6.92,6.95,7.10,-,-,-,6.50,-,-,5.83,5.94,6.03
1998M08,6.673,6.87,6.88,6.84,6.78,6.79,6.83,6.79,6.84,6.74,6.83,6.84,-,-,-,6.40,-,-,5.90,5.90,5.94
1998M09,6.521,6.73,6.78,6.72,6.64,6.67,6.75,6.65,6.69,6.64,6.65,6.68,-,-,-,-,-,-,5.77,5.75,5.89
1998M10,6.061,6.28,6.38,6.37,6.11,6.04,6.18,6.07,6.14,6.16,6.11,6.16,-,-,-,5.65,5.50,-,5.09,5.18,5.49
1998M11,5.401,6.24,6.23,6.08,5.57,5.57,5.79,5.52,5.91,5.49,5.45,5.68,-,-,-,4.14,4.40,-,4.63,4.55,5.03
1998M12,4.954,6.12,6.31,6.08,4.96,5.21,5.57,5.08,5.46,5.04,5.16,5.30,4.74,5.15,-,4.48,4.13,-,3.95,4.17,5.03
1999M01,4.848,5.87,5.94,5.78,4.76,5.20,5.39,4.88,5.24,4.72,5.06,5.07,-,4.84,-,4.60,-,-,3.85,4.14,4.39
1999M02,4.747,5.83,5.91,5.60,4.85,5.08,5.14,5.01,5.03,4.82,5.02,5.04,-,-,-,4.60,-,-,4.20,4.16,4.25
1999M03,4.730,5.40,5.37,5.34,4.70,4.80,4.99,4.76,4.82,4.69,4.77,4.91,-,4.68,-,4.60,4.76,4.97,3.93,3.90,4.00
1999M04,4.723,5.37,5.27,5.34,4.69,4.85,5.08,4.73,4.90,4.73,4.73,4.92,-,4.94,-,4.58,4.78,4.97,3.90,3.99,4.20
1999M05,4.696,5.28,5.23,5.37,4.66,4.73,5.05,4.73,4.86,4.68,4.72,4.81,-,-,-,-,4.78,4.95,3.92,3.97,4.16
1999M06,4.737,5.33,5.26,5.30,4.68,4.76,5.04,4.72,4.87,4.70,4.75,4.88,-,4.95,-,4.63,4.79,4.95,4.07,4.03,4.11
1999M07,4.835,5.32,5.32,5.38,4.72,4.85,5.21,4.77,5.03,4.74,4.80,4.95,4.83,5.04,-,4.69,4.82,4.95,4.01,4.05,4.21
1999M08,4.841,5.39,5.31,5.43,4.76,4.86,5.08,4.84,4.90,4.81,4.84,4.99,-,-,-,4.70,4.83,4.94,4.12,4.14,4.22
1999M09,4.837,5.27,5.27,5.47,4.78,4.90,5.17,4.81,4.98,4.78,4.84,4.94,-,5.12,-,4.70,4.83,4.93,4.22,4.20,4.29
1999M10,4.817,5.37,5.36,5.41,4.79,4.88,5.13,4.80,5.08,4.79,4.89,4.97,-,-,-,4.70,4.83,4.91,4.21,4.25,4.41
1999M11,4.825,5.45,5.31,5.44,4.76,4.85,5.05,4.79,4.99,4.79,4.83,4.95,-,4.93,-,4.70,4.83,4.92,4.31,4.30,4.50
1999M12,4.730,5.38,5.28,5.37,4.75,4.84,5.11,4.83,4.99,4.79,4.83,4.93,-,4.91,4.94,4.68,4.80,4.93,4.22,4.35,4.40
2000M01,4.614,5.26,5.04,5.15,4.61,4.79,4.99,4.71,4.85,4.70,4.77,4.89,-,-,4.85,4.60,4.73,4.85,4.18,4.33,4.30
2000M02,4.611,5.36,5.04,5.11,4.60,4.74,4.89,4.72,4.83,4.68,4.73,4.87,-,-,-,4.60,4.73,4.86,4.13,4.27,4.29
2000M03,4.643,5.24,4.99,5.15,4.63,4.74,4.97,4.71,4.83,4.67,4.76,4.88,-,-,-,4.61,4.77,4.91,4.20,4.32,4.30
2000M04,4.645,5.20,5.00,5.14,4.64,4.78,4.98,4.73,4.86,4.70,4.77,4.96,-,4.85,-,4.68,4.82,4.93,4.12,4.32,4.41
2000M05,4.771,5.40,5.11,5.23,4.76,4.87,4.99,4.86,4.94,4.80,4.90,4.99,-,-,-,4.68,4.86,4.97,4.28,4.35,4.53
2000M06,4.797,5.33,5.19,5.33,4.83,4.93,5.16,4.92,5.04,4.88,4.95,4.94,-,-,5.02,4.68,4.88,4.99,4.40,4.44,4.48
2000M07,4.785,5.31,5.13,5.25,4.84,4.90,5.12,4.90,5.05,4.86,4.95,5.14,-,-,-,4.68,4.89,4.96,4.25,4.41,4.58
2000M08,4.754,5.31,5.03,5.11,4.78,4.83,4.98,4.90,4.96,4.83,4.86,5.04,-,-,-,4.63,4.78,4.86,4.37,4.42,4.50
2000M09,4.799,5.28,5.21,5.26,4.80,4.88,5.01,4.88,4.86,4.81,4.90,5.00,-,-,-,4.63,4.77,4.84,4.39,4.47,4.48
2000M10,4.758,5.45,5.26,5.44,5.00,5.03,5.12,5.00,5.09,4.95,5.03,5.11,-,4.96,-,4.63,4.74,4.93,4.58,4.54,4.48
2000M11,4.739,5.50,5.47,5.44,5.00,5.10,5.24,5.05,5.19,5.04,5.11,5.57,-,-,-,4.63,-,4.98,4.58,4.54,4.58
2000M12,4.720,5.50,5.65,5.60,5.03,5.28,5.32,5.12,5.45,5.00,5.11,5.37,-,-,-,4.62,-,5.01,4.54,4.62,4.67
2001M01,4.655,5.46,5.38,5.43,4.83,5.00,5.19,4.96,5.06,4.84,4.99,5.12,-,-,-,4.62,4.71,4.89,4.42,4.54,4.53
2001M02,4.517,5.08,4.93,5.00,4.56,4.62,4.77,4.63,4.65,4.57,4.64,4.81,-,-,-,4.45,4.57,4.65,4.18,4.29,4.32
2001M03,4.360,4.81,4.73,4.76,4.35,4.37,4.56,4.42,4.39,4.44,4.41,4.64,-,4.04,-,4.30,4.31,4.56,4.07,4.12,4.13
2001M04,4.227,4.84,4.51,4.58,4.20,4.22,4.28,4.24,4.37,4.39,4.26,4.43,-,-,-,4.17,4.13,4.12,3.79,3.88,3.95
