期間,發生件數(包括補報數)(件) - 合計_原始值,發生件數(包括補報數)(件) - 合計_年增率(%),發生件數(包括補報數)(件) - 竊盜_原始值,發生件數(包括補報數)(件) - 竊盜_年增率(%),發生件數(包括補報數)(件) - 暴力犯罪_原始值,發生件數(包括補報數)(件) - 暴力犯罪_年增率(%),發生件數(包括補報數)(件) - 其他刑案_原始值,發生件數(包括補報數)(件) - 其他刑案_年增率(%),破獲件數(包括破積案)(件) - 合計_原始值,破獲件數(包括破積案)(件) - 合計_年增率(%),破獲件數(包括破積案)(件) - 竊盜_原始值,破獲件數(包括破積案)(件) - 竊盜_年增率(%),破獲件數(包括破積案)(件) - 暴力犯罪_原始值,破獲件數(包括破積案)(件) - 暴力犯罪_年增率(%),破獲件數(包括破積案)(件) - 其他刑案_原始值,破獲件數(包括破積案)(件) - 其他刑案_年增率(%),嫌疑犯人數(人) - 合計_原始值,嫌疑犯人數(人) - 合計_年增率(%),嫌疑犯人數(人) - 竊盜_原始值,嫌疑犯人數(人) - 竊盜_年增率(%),嫌疑犯人數(人) - 暴力犯罪_原始值,嫌疑犯人數(人) - 暴力犯罪_年增率(%),嫌疑犯人數(人) - 其他刑案_原始值,嫌疑犯人數(人) - 其他刑案_年增率(%),刑案發生率(件/十萬人)_原始值,刑案發生率(件/十萬人)_年增率(%),犯罪人口率(人/十萬人)_原始值,犯罪人口率(人/十萬人)_年增率(%),破獲率(%)_原始值,破獲率(%)_年增率(%)
2011M11,"27,194",-4.81,"8,630",-19.37,268,-31.81,"18,296",4.71,"21,506",-4.09,"5,263",-23.06,307,-13.52,"15,936",4.66,"20,974",-12.55,"2,713",-4.87,391,-14.63,"17,870",-13.57,117.16,-,90.37,-,79.08,-
2011M12,"24,798",-9.97,"7,745",-24.16,264,-23.70,"16,789",-1.15,"18,396",-2.67,"3,494",-22.60,244,-12.86,"14,658",3.91,"18,742",2.13,"1,756",-19.96,342,-7.32,"16,644",5.42,106.80,-,80.72,-,74.18,-
2012M01,"28,063",-15.50,"10,858",-14.02,257,-37.32,"16,948",-15.97,"26,377",-7.98,"10,798",-1.06,220,-34.91,"15,359",-11.79,"23,748",-4.53,"5,170",13.28,314,-16.27,"18,264",-8.38,120.82,-,102.24,-,93.99,-
2012M02,"27,688",-3.93,"9,506",-12.80,304,5.56,"17,878",1.40,"23,642",-7.40,"7,416",-20.96,284,0.35,"15,942",0.49,"22,695",-2.37,"3,973",-16.25,328,-11.59,"18,394",1.44,119.18,-,97.69,-,85.39,-
2012M03,"27,916",-8.34,"8,795",-9.86,311,-20.26,"18,810",-7.38,"21,859",-5.90,"5,242",-5.79,305,-9.76,"16,312",-5.86,"21,416",-3.90,"2,806",12.06,365,-13.30,"18,245",-5.76,120.14,-,92.16,-,78.30,-
2012M04,"27,028",-4.14,"8,335",-16.09,339,-9.84,"18,354",2.62,"21,613",0.50,"5,308",-14.63,297,-16.57,"16,008",7.21,"21,079",3.72,"2,854",-5.37,381,-10.56,"17,844",5.70,116.29,-,90.69,-,79.97,-
2012M05,"27,177",-7.45,"8,555",-13.40,313,-28.86,"18,309",-3.87,"22,270",-2.46,"5,563",-9.59,309,-24.08,"16,398",0.77,"22,044",1.75,"2,952",-3.53,390,-19.75,"18,702",3.22,116.90,-,94.82,-,81.94,-
2012M06,"23,803",-12.36,"7,648",-19.92,243,-26.81,"15,912",-7.90,"18,762",-9.95,"4,593",-21.10,225,-26.23,"13,944",-5.19,"18,121",-5.77,"2,353",-12.66,316,-20.60,"15,452",-4.25,102.35,-,77.92,-,78.82,-
2012M07,"29,405",-6.51,"8,520",-11.92,318,-9.66,"20,567",-4.02,"24,786",0.53,"5,597",-11.43,331,-4.61,"18,858",4.83,"25,410",7.50,"3,210",5.66,531,18.79,"21,669",7.53,126.39,-,109.22,-,84.29,-
2012M08,"27,421",-12.77,"7,928",-17.79,303,-19.41,"19,190",-10.39,"23,742",-4.84,"5,760",-8.69,303,-21.30,"17,679",-3.17,"23,782",-1.15,"3,067",2.17,521,8.77,"20,194",-1.86,117.83,-,102.19,-,86.58,-
2012M09,"25,961",-6.50,"7,979",-13.26,346,7.45,"17,636",-3.34,"21,815",-0.66,"5,576",-8.41,337,19.08,"15,902",2.00,"21,342",1.82,"2,910",0.97,428,26.25,"18,004",1.49,111.52,-,91.68,-,84.03,-
2012M10,"26,195",-5.84,"8,139",-12.39,286,-23.12,"17,770",-2.14,"22,261",-0.21,"5,538",-9.24,297,-15.14,"16,426",3.59,"21,991",3.99,"2,807",-0.53,386,-16.27,"18,798",5.22,112.48,-,94.43,-,84.98,-
2012M11,"24,368",-10.39,"7,458",-13.58,225,-16.04,"16,685",-8.81,"20,979",-2.45,"5,176",-1.65,238,-22.48,"15,565",-2.33,"21,131",0.75,"2,783",2.58,306,-21.74,"18,042",0.96,104.59,-,90.69,-,86.09,-
2012M12,"22,331",-9.95,"6,543",-15.52,216,-18.18,"15,572",-7.25,"18,406",0.05,"3,802",8.82,209,-14.34,"14,395",-1.79,"19,299",2.97,"2,174",23.80,261,-23.68,"16,864",1.32,95.80,-,82.79,-,82.42,-
2013M01,"23,909",-14.80,"6,883",-36.61,212,-17.51,"16,814",-0.79,"19,472",-26.18,"3,567",-66.97,184,-16.36,"15,721",2.36,"20,367",-14.24,"2,030",-60.74,241,-23.25,"18,096",-0.92,102.53,-,87.34,-,81.44,-
2013M02,"29,306",5.84,"11,424",20.18,213,-29.93,"17,669",-1.17,"31,545",33.43,"14,457",94.94,249,-12.32,"16,839",5.63,"29,065",28.07,"8,179",105.86,321,-2.13,"20,565",11.80,125.63,-,124.60,-,107.64,-
2013M03,"23,763",-14.88,"6,644",-24.46,207,-33.44,"16,912",-10.09,"20,234",-7.43,"4,356",-16.90,199,-34.75,"15,679",-3.88,"20,788",-2.93,"2,374",-15.40,270,-26.03,"18,144",-0.55,101.85,-,89.10,-,85.15,-
2013M04,"22,417",-17.06,"6,457",-22.53,207,-38.94,"15,753",-14.17,"19,161",-11.35,"4,413",-16.86,195,-34.34,"14,553",-9.09,"18,754",-11.03,"2,523",-11.60,266,-30.18,"15,965",-10.53,96.07,-,80.37,-,85.48,-
2013M05,"22,956",-15.53,"6,541",-23.54,245,-21.73,"16,170",-11.68,"19,764",-11.25,"4,637",-16.65,214,-30.74,"14,913",-9.06,"18,585",-15.69,"2,385",-19.21,215,-44.87,"15,985",-14.53,98.36,-,79.63,-,86.10,-
2013M06,"22,530",-5.35,"6,339",-17.12,201,-17.28,"15,990",0.49,"19,425",3.53,"4,510",-1.81,205,-8.89,"14,710",5.49,"18,448",1.80,"2,409",2.38,238,-24.68,"15,801",2.26,96.52,-,79.03,-,86.22,-
2013M07,"25,828",-12.16,"6,553",-23.09,208,-34.59,"19,067",-7.29,"22,840",-7.85,"4,778",-14.63,218,-34.14,"17,844",-5.38,"22,011",-13.38,"2,561",-20.22,268,-49.53,"19,182",-11.48,110.63,-,94.28,-,88.43,-
2013M08,"25,829",-5.81,"6,354",-19.85,226,-25.41,"19,249",0.31,"22,574",-4.92,"4,508",-21.74,207,-31.68,"17,859",1.02,"21,800",-8.33,"2,405",-21.58,199,-61.80,"19,196",-4.94,110.61,-,93.35,-,87.40,-
2013M09,"25,663",-1.15,"6,541",-18.02,209,-39.60,"18,913",7.24,"22,209",1.81,"4,513",-19.06,183,-45.70,"17,513",10.13,"21,721",1.78,"2,391",-17.84,219,-48.83,"19,111",6.15,109.88,-,93.00,-,86.54,-
2013M10,"26,331",0.52,"6,404",-21.32,216,-24.48,"19,711",10.92,"22,623",1.63,"4,452",-19.61,231,-22.22,"17,940",9.22,"22,396",1.84,"2,526",-10.01,273,-29.27,"19,597",4.25,112.72,-,95.88,-,85.92,-
2013M11,"25,178",3.32,"5,902",-20.86,193,-14.22,"19,083",14.37,"21,076",0.46,"3,751",-27.53,195,-18.07,"17,130",10.05,"22,044",4.32,"2,247",-19.26,257,-16.01,"19,540",8.30,107.76,-,94.35,-,83.71,-
2013M12,"25,257",13.10,"6,454",-1.36,188,-12.96,"18,615",19.54,"17,879",-2.86,"2,494",-34.40,176,-15.79,"15,209",5.65,"19,331",0.17,"1,438",-33.85,223,-14.56,"17,670",4.78,108.07,-,82.72,-,70.79,-
2014M01,"32,726",36.88,"10,025",45.65,220,3.77,"22,481",33.70,"31,889",63.77,"11,257",215.59,224,21.74,"20,408",29.81,"31,937",56.81,"7,737",281.13,272,12.86,"23,928",32.23,140.00,-,136.63,-,97.44,-
2014M02,"25,486",-13.03,"7,184",-37.11,170,-20.19,"18,132",2.62,"23,736",-24.76,"6,768",-53.19,189,-24.10,"16,779",-0.36,"25,053",-13.80,"4,742",-42.02,265,-17.45,"20,046",-2.52,109.02,-,107.16,-,93.13,-
2014M03,"26,604",11.96,"5,939",-10.61,200,-3.38,"20,465",21.01,"20,985",3.71,"3,809",-12.56,172,-13.57,"17,004",8.45,"21,553",3.68,"2,337",-1.56,239,-11.48,"18,977",4.59,113.79,-,92.19,-,78.88,-
2014M04,"26,233",17.02,"6,186",-4.20,202,-2.42,"19,845",25.98,"20,519",7.09,"4,282",-2.97,189,-3.08,"16,048",10.27,"19,934",6.29,"2,389",-5.31,252,-5.26,"17,293",8.32,112.20,-,85.26,-,78.22,-
2014M05,"24,826",8.15,"6,246",-4.51,175,-28.57,"18,405",13.82,"20,100",1.70,"4,635",-0.04,193,-9.81,"15,272",2.41,"18,814",1.23,"2,435",2.10,247,14.88,"16,132",0.92,106.16,-,80.45,-,80.96,-
2014M06,"24,769",9.94,"5,907",-6.81,210,4.48,"18,652",16.65,"19,804",1.95,"4,179",-7.34,180,-12.20,"15,445",5.00,"18,333",-0.62,"2,296",-4.69,200,-15.97,"15,837",0.23,105.90,-,78.38,-,79.95,-
2014M07,"26,138",1.20,"5,960",-9.05,208,0.00,"19,970",4.74,"22,583",-1.13,"4,496",-5.90,226,3.67,"17,861",0.10,"21,515",-2.25,"2,393",-6.56,263,-1.87,"18,859",-1.68,111.72,-,91.96,-,86.40,-
