期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2009M03,"1,815",-27.02,"26,491",19.44,-,-,"52,840",-7.42,"7,704",-7.57,"16,862",1.63,"34,726",-5.97,124,-15.65,"140,562",-2.21,"156,828",7.41,"58,732",-15.72,"-74,998",--
2009M04,"1,789",-26.29,"26,935",16.79,-,-,"55,824",-2.85,"7,793",-12.54,"16,876",1.66,"34,786",-7.67,122,-14.69,"144,125",-1.47,"156,926",5.93,"61,560",-12.03,"-74,361",--
2009M05,"1,713",-28.68,"26,594",17.11,-,-,"59,591",5.00,"7,679",-16.07,"16,843",1.77,"34,474",-5.30,125,-15.54,"147,019",2.02,"157,435",6.25,"65,519",-3.27,"-75,935",--
2009M06,"1,606",-29.72,"27,617",16.16,95,-,"57,278",10.44,"8,035",-9.38,"16,904",2.67,"35,786",-5.14,122,-17.01,"147,443",4.48,"158,544",3.50,"65,362",4.48,"-76,463",--
2009M07,"1,584",-24.10,"27,061",21.14,-,-,"61,259",16.64,"7,927",-15.50,"16,917",2.88,"36,417",1.77,119,-18.49,"151,284",9.07,"158,290",2.84,"67,137",8.07,"-74,143",--
2009M08,"1,565",-25.86,"27,458",24.37,500,-,"58,367",6.52,"7,845",-14.97,"16,936",-0.90,"38,437",12.37,124,-15.65,"151,232",8.29,"161,534",5.61,"65,508",4.37,"-75,810",--
2009M09,"1,580",-24.22,"26,457",13.65,700,-,"62,825",28.20,"8,041",-9.39,"16,816",-1.40,"37,595",7.43,124,-18.95,"154,138",13.80,"162,480",3.02,"68,307",19.14,"-76,649",--
2009M10,"1,560",-23.72,"25,510",8.31,902,-,"62,530",36.66,"8,095",-7.85,"16,812",-1.03,"36,318",2.34,124,-12.06,"151,851",14.39,"162,872",3.43,"68,345",24.80,"-79,366",--
2009M11,"1,519",-23.97,"25,266",0.73,401,-,"61,212",40.14,"8,241",-2.02,"16,812",-1.00,"39,033",11.12,114,-20.83,"152,598",16.11,"162,467",3.92,"69,371",26.10,"-79,240",--
2009M12,"1,391",-31.41,"25,087",-5.28,400,-,"59,168",28.65,"7,573",-13.23,"16,280",-4.01,"39,766",13.94,105,-15.32,"149,770",10.76,"160,458",1.27,"71,728",30.14,"-82,416",--
2010M01,"1,375",-26.43,"24,228",-3.19,401,-,"58,243",28.65,"7,372",-6.42,"16,263",-3.55,"42,079",25.76,108,-11.48,"150,069",15.01,"161,859",4.21,"70,086",26.89,"-81,876",--
2010M02,"1,344",-27.23,"24,638",-4.71,401,-,"55,902",15.47,"7,126",-9.63,"16,265",-3.66,"42,924",24.67,113,-10.32,"148,713",9.80,"160,866",2.33,"69,385",22.66,"-81,538",--
2010M03,"1,351",-25.56,"24,200",-8.65,401,-,"62,282",17.87,"6,817",-11.51,"16,004",-5.09,"45,839",32.00,109,-12.10,"157,003",11.70,"163,295",4.12,"73,672",25.44,"-79,964",--
