期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
1999M06,"12,270,650",7.66,"4,141,538",3.47,"1,285,208",5.23,"664,905",10.65,"1,254,490",8.11,"4,924,509",11.62
1999M07,"12,188,569",7.41,"4,070,140",3.25,"1,273,902",4.44,"665,199",10.77,"1,248,032",7.14,"4,931,296",11.55
1999M08,"12,139,604",6.52,"4,005,830",1.53,"1,291,597",5.16,"675,452",11.37,"1,266,989",7.83,"4,899,736",10.32
1999M09,"12,247,407",6.29,"4,081,892",3.08,"1,319,736",5.76,"668,394",8.39,"1,273,448",6.70,"4,903,937",8.87
1999M10,"12,195,975",6.21,"4,029,550",3.95,"1,302,076",2.84,"673,566",9.17,"1,280,115",6.95,"4,910,668",8.48
1999M11,"12,345,489",5.16,"4,145,402",2.87,"1,305,827",-0.71,"684,220",9.59,"1,291,241",6.99,"4,918,799",7.79
1999M12,"12,537,233",6.29,"4,209,736",4.32,"1,354,410",3.23,"703,632",11.26,"1,305,794",8.33,"4,963,661",7.65
2000M01,"12,585,364",5.99,"4,230,947",6.38,"1,328,676",0.23,"729,565",12.51,"1,313,745",6.04,"4,982,431",6.36
2000M02,"12,589,621",5.52,"4,215,808",4.95,"1,327,682",1.03,"745,460",14.91,"1,309,077",5.89,"4,991,594",5.87
2000M03,"12,677,528",6.21,"4,252,995",6.50,"1,349,288",3.31,"771,687",13.79,"1,315,204",9.49,"4,988,354",4.86
2000M04,"12,703,727",6.02,"4,261,682",6.57,"1,345,593",4.42,"774,233",19.21,"1,314,649",5.46,"5,007,570",4.35
2000M05,"12,773,854",6.24,"4,309,136",7.39,"1,347,819",5.44,"783,591",19.98,"1,294,857",3.85,"5,038,451",4.25
2000M06,"12,898,802",5.12,"4,374,477",5.62,"1,358,509",5.70,"798,631",20.11,"1,316,349",4.93,"5,050,836",2.57
2000M07,"12,947,063",6.22,"4,370,977",7.39,"1,368,800",7.45,"816,365",22.72,"1,311,111",5.05,"5,079,810",3.01
2000M08,"12,895,221",6.22,"4,313,182",7.67,"1,352,191",4.69,"826,524",22.37,"1,311,397",3.51,"5,091,927",3.92
2000M09,"12,955,705",5.78,"4,326,303",5.99,"1,358,872",2.97,"840,595",25.76,"1,312,577",3.07,"5,117,358",4.35
2000M10,"13,062,344",7.10,"4,321,734",7.25,"1,395,527",7.18,"873,227",29.64,"1,319,189",3.05,"5,152,667",4.93
2000M11,"13,095,564",6.08,"4,249,765",2.52,"1,429,700",9.49,"912,727",33.40,"1,328,120",2.86,"5,175,252",5.21
2000M12,"13,295,437",6.05,"4,212,075",0.06,"1,431,385",5.68,"970,727",37.96,"1,407,817",7.81,"5,273,433",6.24
2001M01,"13,226,153",5.09,"4,098,336",-3.13,"1,423,660",7.15,"955,819",31.01,"1,457,280",10.93,"5,291,058",6.19
2001M02,"13,134,795",4.33,"4,030,169",-4.40,"1,412,427",6.38,"959,209",28.67,"1,453,654",11.04,"5,279,336",5.76
2001M03,"13,141,537",3.66,"4,011,582",-5.68,"1,412,299",4.67,"979,566",26.94,"1,453,587",10.52,"5,284,503",5.94
2001M04,"13,041,731",2.66,"3,931,234",-7.75,"1,404,480",4.38,"985,930",27.34,"1,441,381",9.64,"5,278,706",5.41
