期間,總出境人數(人次)_原始值,總出境人數(人次)_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2013M08,"1,741,749",10.78,"880,040",9.22,"861,709",12.41,"179,897",13.43,"1,474,634",10.26,"87,218",14.37,"1,022,387",9.46,"265,586",16.41,"114,392",17.20,"1,856",-11.03,"337,528",8.71
2013M09,"1,570,605",20.90,"798,108",14.89,"772,497",27.81,"49,152",51.14,"1,400,649",19.55,"120,804",27.25,"977,616",19.43,"219,345",44.80,"72,221",34.65,"1,222",4.89,"300,201",9.48
2013M10,"1,680,899",9.98,"870,125",6.02,"810,774",14.58,"55,239",23.59,"1,482,605",9.35,"143,055",11.94,"1,007,052",10.41,"231,902",6.14,"81,100",5.40,"1,179",-10.82,"359,666",12.55
2013M11,"1,566,772",10.07,"820,711",6.11,"746,061",14.77,"49,378",19.55,"1,374,648",9.67,"142,746",10.90,"862,989",11.58,"226,296",-3.11,"80,445",28.13,"1,067",-6.65,"395,975",12.31
2013M12,"1,568,073",9.22,"810,542",6.43,"757,531",12.37,"80,426",15.00,"1,375,073",8.24,"112,574",18.01,"804,953",6.84,"234,119",-1.45,"104,536",25.45,"1,317",0.77,"423,148",17.51
2014M01,"1,583,584",18.18,"789,225",11.09,"794,359",26.17,"130,518",52.34,"1,351,985",15.42,"101,081",21.81,"854,554",13.41,"259,296",34.68,"67,628",9.35,"2,200",19.50,"399,906",21.06
2014M02,"1,670,633",10.57,"867,907",10.41,"802,726",10.74,"120,596",-11.64,"1,436,884",11.47,"113,153",32.52,"957,463",-0.94,"304,591",38.97,"82,377",23.42,"1,305",-27.01,"324,897",26.59
2014M03,"1,735,747",14.29,"861,749",8.96,"873,998",20.07,"54,226",10.94,"1,504,192",13.65,"177,329",21.19,"873,540",7.24,"339,743",40.94,"89,915",15.10,"1,142",-12.22,"431,407",12.42
2014M04,"1,859,676",15.21,"922,331",11.58,"937,345",19.03,"79,442",29.50,"1,565,320",13.37,"214,914",24.90,"985,216",9.73,"372,851",22.42,"130,670",34.74,"1,230",-8.21,"369,709",17.99
2014M05,"1,851,902",24.59,"923,617",18.51,"928,285",31.29,"67,415",45.89,"1,590,452",22.18,"194,035",40.19,"1,047,248",22.73,"336,168",41.14,"98,539",19.98,"1,214",-0.41,"368,733",18.34
2014M06,"1,916,253",16.77,"962,834",13.70,"953,419",20.03,"110,456",14.86,"1,648,412",15.41,"157,385",35.00,"1,090,022",8.69,"328,923",47.57,"126,676",18.53,"1,435",6.30,"369,197",20.21
2014M07,"1,962,314",14.04,"965,991",10.62,"996,323",17.56,"229,682",20.06,"1,620,618",12.86,"112,014",19.77,"1,163,193",6.79,"335,569",43.57,"124,058",17.74,"1,479",-8.65,"338,015",16.24
