期間,資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權_原始值,資產--對金融機構債權_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1998M06,"78,741",80.44,"609,926",27.27,"102,555",-21.01,"22,336",22.53,"375,424",42.10,"99,127",196.26,"124,020",8.27,"348,517",-20.52,"1,201",-7.62,"165,885",43.67,"1,927,732",17.66,"1,690,728",16.78,"88,520",60.00,"148,484",9.78
1998M07,"79,445",80.34,"619,174",26.18,"112,252",-13.15,"22,176",23.36,"387,236",44.17,"114,132",237.23,"124,618",6.36,"333,040",-24.71,855,-6.56,"147,135",21.91,"1,940,063",16.48,"1,714,109",16.89,"76,355",37.27,"149,599",4.25
1998M08,"79,987",59.34,"626,950",25.67,"104,594",-17.73,"21,740",19.57,"363,722",35.33,"124,915",277.00,"124,883",5.06,"382,163",-13.97,833,-10.04,"156,259",26.46,"1,986,046",17.94,"1,735,267",16.89,"95,426",89.76,"155,353",4.20
1998M09,"79,889",51.06,"641,132",25.84,"109,872",-14.80,"21,841",24.59,"318,845",17.04,"121,857",229.15,"134,267",12.41,"439,065",-2.71,964,-28.33,"141,963",21.36,"2,009,695",17.71,"1,760,505",17.26,"90,186",68.19,"159,004",4.36
1998M10,"78,787",38.34,"653,270",25.82,"126,492",-0.95,"20,457",18.38,"312,976",11.67,"111,469",192.34,"136,373",14.91,"438,976",0.21,787,-20.10,"139,466",12.17,"2,019,053",17.28,"1,782,105",17.10,"73,450",63.32,"163,498",5.63
1998M11,"76,485",26.75,"661,072",22.99,"132,402",0.26,"20,552",16.03,"316,315",16.38,"102,962",85.84,"136,380",13.66,"438,944",2.65,765,-21.38,"154,814",22.90,"2,040,691",16.65,"1,804,010",16.87,"69,142",55.27,"167,539",3.87
1998M12,"73,553",11.98,"668,494",21.54,"133,244",1.22,"27,254",64.16,"326,703",19.75,"86,711",22.08,"136,800",12.50,"463,181",9.61,"1,306",32.86,"142,495",22.77,"2,059,741",16.44,"1,826,441",16.67,"65,378",35.68,"167,922",8.08
1999M01,"73,242",11.22,"673,099",19.52,"133,192",-1.12,"27,277",84.65,"340,987",22.06,"85,056",23.01,"137,953",13.56,"456,646",11.76,"1,033",14.02,"149,328",25.58,"2,077,813",16.93,"1,849,865",16.96,"64,544",66.04,"163,404",4.48
1999M02,"73,314",6.61,"676,441",18.33,"139,049",1.28,"26,913",84.03,"349,373",21.33,"83,286",-1.66,"138,220",12.88,"479,317",22.53,868,-12.06,"131,987",3.71,"2,098,768",16.15,"1,868,002",16.65,"60,011",38.50,"170,755",5.24
1999M03,"77,169",10.67,"680,884",16.44,"143,109",20.93,"27,293",45.44,"368,429",12.76,"83,874",-15.35,"139,847",13.84,"488,482",30.63,991,3.01,"131,142",-7.53,"2,141,220",15.31,"1,900,391",16.91,"67,318",0.63,"173,511",5.45
1999M04,"80,037",12.51,"688,071",15.52,"144,194",20.70,"27,125",47.92,"375,093",8.66,"79,595",-21.50,"139,450",12.09,"482,590",34.98,683,-31.84,"172,749",17.34,"2,189,587",16.39,"1,929,334",17.49,"81,850",-0.83,"178,403",13.86
1999M05,"79,298",8.44,"696,107",15.71,"148,701",63.64,"32,759",58.79,"380,178",0.81,"77,060",-16.80,"140,100",12.16,"475,242",39.57,666,-29.22,"195,125",-9.45,"2,225,236",14.83,"1,957,895",17.47,"91,391",-14.90,"175,950",7.51
1999M06,"79,224",0.61,"702,127",15.12,"159,867",55.88,"33,127",48.31,"377,619",0.58,"74,747",-24.59,"141,734",14.28,"470,487",35.00,941,-21.65,"199,101",20.02,"2,238,974",16.15,"1,989,549",17.67,"77,936",-11.96,"171,489",15.49
1999M07,"79,811",0.46,"714,275",15.36,"170,466",51.86,"34,254",54.46,"388,989",0.45,"63,579",-44.29,"143,105",14.83,"474,320",42.42,651,-23.86,"209,756",42.56,"2,279,206",17.48,"2,016,381",17.63,"87,353",14.40,"175,472",17.29
1999M08,"80,205",0.27,"730,679",16.55,"191,004",82.61,"34,624",59.26,"389,197",7.00,"49,403",-60.45,"144,569",15.76,"468,737",22.65,"1,168",40.22,"212,448",35.96,"2,302,034",15.91,"2,040,995",17.62,"79,223",-16.98,"181,816",17.03
1999M09,"82,854",3.71,"739,100",15.28,"224,859",104.66,"34,431",57.64,"403,174",26.45,"45,955",-62.29,"153,927",14.64,"453,816",3.36,"1,728",79.25,"184,648",30.07,"2,324,492",15.66,"2,068,334",17.49,"82,045",-9.03,"174,113",9.50
1999M10,"82,485",4.69,"748,796",14.62,"236,117",86.67,"34,035",66.37,"401,692",28.35,"52,921",-52.52,"155,775",14.23,"433,749",-1.19,"1,182",50.19,"214,076",53.50,"2,360,828",16.93,"2,087,286",17.12,"97,711",33.03,"175,831",7.54
1999M11,"86,095",12.56,"760,387",15.02,"243,585",83.97,"33,498",62.99,"396,373",25.31,"52,140",-49.36,"156,268",14.58,"444,559",1.28,626,-18.17,"220,501",42.43,"2,394,032",17.31,"2,112,985",17.13,"100,446",45.27,"180,601",7.80
1999M12,"99,397",35.14,"770,720",15.29,"257,767",93.45,"32,321",18.59,"388,987",19.06,"54,062",-37.65,"158,993",16.22,"442,071",-4.56,"1,402",7.35,"214,771",50.72,"2,420,491",17.51,"2,148,445",17.63,"92,358",41.27,"179,688",7.01
2000M01,"101,695",38.85,"775,267",15.18,"289,240",117.16,"32,173",17.95,"398,762",16.94,"52,681",-38.06,"164,822",19.48,"442,295",-3.14,614,-40.56,"208,271",39.47,"2,465,820",18.67,"2,179,031",17.79,"104,539",61.97,"182,250",11.53
2000M02,"101,215",38.06,"779,277",15.20,"292,038",110.03,"32,577",21.05,"408,247",16.85,"52,591",-36.85,"164,139",18.75,"444,212",-7.32,684,-21.20,"214,375",62.42,"2,489,355",18.61,"2,203,457",17.96,"97,736",62.86,"188,162",10.19
2000M03,"103,001",33.47,"792,856",16.45,"325,889",127.72,"32,746",19.98,"409,320",11.10,"42,300",-49.57,"165,257",18.17,"438,293",-10.27,900,-9.18,"231,095",76.22,"2,541,657",18.70,"2,237,489",17.74,"110,590",64.28,"193,578",11.57
2000M04,"103,154",28.88,"806,535",17.22,"332,320",130.47,"36,538",34.70,"431,015",14.91,"35,236",-55.73,"166,058",19.08,"427,368",-11.44,635,-7.03,"244,235",41.38,"2,583,094",17.97,"2,268,771",17.59,"120,869",47.67,"193,454",8.44
2000M05,"104,590",31.89,"818,072",17.52,"323,221",117.36,"39,204",19.67,"429,453",12.96,"35,015",-54.56,"167,919",19.86,"424,107",-10.76,931,39.79,"267,586",37.14,"2,610,098",17.30,"2,302,332",17.59,"109,616",19.94,"198,150",12.62
2000M06,"106,326",34.21,"821,257",16.97,"340,272",112.85,"47,690",43.96,"449,515",19.04,"51,533",-31.06,"173,861",22.67,"417,263",-11.31,"1,001",6.38,"206,431",3.68,"2,615,149",16.80,"2,336,849",17.46,"80,909",3.81,"197,391",15.10
2000M07,"107,200",34.32,"830,948",16.33,"346,464",103.25,"47,711",39.29,"477,446",22.74,"53,967",-15.12,"176,069",23.03,"407,993",-13.98,"1,378",111.67,"205,666",-1.95,"2,654,842",16.48,"2,364,785",17.28,"90,256",3.32,"199,801",13.86
2000M08,"108,615",35.42,"846,218",15.81,"353,237",84.94,"51,558",48.91,"472,739",21.47,"57,748",16.89,"178,559",23.51,"403,564",-13.90,620,-46.92,"208,391",-1.91,"2,681,249",16.47,"2,392,719",17.23,"87,844",10.88,"200,686",10.38
2000M09,"108,895",31.43,"856,276",15.85,"330,394",46.93,"49,002",42.32,"501,763",24.45,"61,210",33.20,"179,984",16.93,"403,854",-11.01,998,-42.25,"195,246",5.74,"2,687,622",15.62,"2,425,388",17.26,"77,733",-5.26,"184,501",5.97
2000M10,"111,976",35.75,"867,094",15.80,"347,918",47.35,"46,940",37.92,"496,722",23.66,"69,459",31.25,"180,520",15.89,"389,181",-10.28,789,-33.25,"206,164",-3.70,"2,716,763",15.08,"2,451,264",17.44,"81,688",-16.40,"183,811",4.54
2000M11,"116,129",34.88,"877,280",15.37,"372,604",52.97,"48,343",44.32,"490,451",23.73,"84,118",61.33,"183,195",17.23,"396,573",-10.79,831,32.75,"180,577",-18.11,"2,750,101",14.87,"2,471,924",16.99,"81,449",-18.91,"196,728",8.93
2000M12,"121,470",22.21,"886,411",15.01,"380,346",47.55,"44,643",38.12,"482,039",23.92,"107,728",99.27,"185,520",16.68,"408,633",-7.56,"1,180",-15.83,"137,444",-36.00,"2,755,414",13.84,"2,492,372",16.01,"96,658",4.66,"166,384",-7.40
2001M01,"124,478",22.40,"891,894",15.04,"374,300",29.41,"45,250",40.65,"482,954",21.11,"113,518",115.48,"186,282",13.02,"415,467",-6.07,818,33.22,"140,787",-32.40,"2,775,748",12.57,"2,518,954",15.60,"84,850",-18.83,"171,944",-5.65
2001M02,"126,935",25.41,"894,904",14.84,"407,034",39.38,"50,359",54.58,"470,348",15.21,"100,629",91.34,"187,160",14.03,"432,819",-2.56,958,40.06,"122,097",-43.05,"2,793,243",12.21,"2,544,410",15.47,"80,282",-17.86,"168,551",-10.42
2001M03,"132,085",28.24,"904,252",14.05,"424,149",30.15,"48,751",48.88,"475,187",16.09,"94,278",122.88,"185,509",12.25,"438,399",0.02,"1,184",31.56,"133,280",-42.33,"2,837,074",11.62,"2,582,277",15.41,"78,538",-28.98,"176,259",-8.95
2001M04,"133,688",29.60,"917,327",13.74,"433,029",30.30,"47,369",29.64,"483,131",12.09,"93,365",164.97,"185,410",11.65,"450,253",5.35,972,53.07,"155,905",-36.17,"2,900,449",12.29,"2,627,288",15.80,"93,187",-22.90,"179,974",-6.97
